Territorio;Medida;Valor;Singular
Adamuz;Consultorio;;E. singular Algallarín
Adamuz;Dias_abierto;;E. singular Algallarín
Adamuz;Horas_consulta;;E. singular Algallarín
Albondón;Consultorio;;
Albondón;Dias_abierto;;
Albondón;Horas_consulta;;
Albox;Consultorio;;E. singular Llano de los Olleres
Albox;Dias_abierto;;E. singular Llano de los Olleres
Albox;Horas_consulta;;E. singular Llano de los Olleres
Albánchez;Consultorio;;
Albánchez;Dias_abierto;;
Albánchez;Horas_consulta;;
Alcalá del Río;Consultorio;;E. singular San Ignacio del Viar
Alcalá del Río;Dias_abierto;;E. singular San Ignacio del Viar
Alcalá del Río;Horas_consulta;;E. singular San Ignacio del Viar
Alcolea;Consultorio;;
Alcolea;Dias_abierto;;
Alcolea;Horas_consulta;;
Alcontar;Consultorio;;
Alcontar;Dias_abierto;;
Alcontar;Horas_consulta;;
Aldeaquemada;Consultorio;;
Aldeaquemada;Dias_abierto;;
Aldeaquemada;Horas_consulta;;
Aldeire;Consultorio;;
Aldeire;Dias_abierto;;
Aldeire;Horas_consulta;;
Alfarnatejo;Consultorio;;
Alfarnatejo;Dias_abierto;;
Alfarnatejo;Horas_consulta;;
Alhabía;Consultorio;;
Alhabía;Dias_abierto;;
Alhabía;Horas_consulta;;
Alhaurín el Grande;Consultorio;;Núcleo Villafranco del Guadalhorce
Alhaurín el Grande;Dias_abierto;;Núcleo Villafranco del Guadalhorce
Alhaurín el Grande;Horas_consulta;;Núcleo Villafranco del Guadalhorce
Alicún de Ortega;Consultorio;;
Alicún de Ortega;Dias_abierto;;
Alicún de Ortega;Horas_consulta;;
Almegíjar;Consultorio;;
Almegíjar;Dias_abierto;;
Almegíjar;Horas_consulta;;
Almócita;Consultorio;;
Almócita;Dias_abierto;;
Almócita;Horas_consulta;;
Alpujarra de la Sierra;Consultorio;;E. singular Mecina Bombarón
Alpujarra de la Sierra;Dias_abierto;;E. singular Mecina Bombarón
Alpujarra de la Sierra;Horas_consulta;;E. singular Mecina Bombarón
Alquife;Consultorio;;
Alquife;Dias_abierto;;
Alquife;Horas_consulta;;
Alsodux;Consultorio;;
Alsodux;Dias_abierto;;
Alsodux;Horas_consulta;;
Andújar;Consultorio;;E. singular Los Villares
Andújar;Dias_abierto;;E. singular Los Villares
Andújar;Horas_consulta;;E. singular Los Villares
Arroyomolinos de León;Consultorio;;
Arroyomolinos de León;Dias_abierto;;
Arroyomolinos de León;Horas_consulta;;
Bayarque;Consultorio;;
Bayarque;Dias_abierto;;
Bayarque;Horas_consulta;;
Beas de Guadix;Consultorio;;
Beas de Guadix;Dias_abierto;;
Beas de Guadix;Horas_consulta;;
Benatae;Consultorio;;
Benatae;Dias_abierto;;
Benatae;Horas_consulta;;
Bentarique;Consultorio;;
Bentarique;Dias_abierto;;
Bentarique;Horas_consulta;;
Berrocal;Consultorio;;
