,Nombre_Mostrar,Provincia,Población,Puntuación,Factor,PuntuaciónFinal,SumaMunicipiosCercanos,PuntuaciónExtendida
0,Vícar (E. singular Barrio de Archilla),Almeria,763,38.91,0.03,38.91,0,38.91
1,Vícar (E. singular Congo-Canal),Almeria,1526,38.91,0.05,38.91,0,38.91
2,Lucainena de las Torres,Almeria,728,38.2,1,38.2,0,38.2
3,Taberno,Almeria,962,37.74,1,37.74,0,37.74
4,Albánchez,Almeria,681,36.9,1,36.9,0,36.9
5,Lúcar,Almeria,828,34.37,1,34.37,0,34.37
6,Enix,Almeria,603,34.06,1,34.06,0,34.06
7,Alhabía,Almeria,732,33.52,1,33.52,0,33.52
8,Ohanes,Almeria,549,32.58,1,32.58,0,32.58
9,Felix,Almeria,770,31.26,1,31.26,0,31.26
10,Padules,Almeria,439,30.06,1,30.06,0,30.06
11,Alcontar,Almeria,556,28.51,1,28.51,0,28.51
12,Tahal,Almeria,374,27.71,1,27.71,0,27.71
13,Instinción,Almeria,502,27.47,1,27.47,0,27.47
14,Terque,Almeria,390,27.16,1,27.16,0,27.16
15,Sierro,Almeria,378,25.53,1,25.53,0,25.53
16,Ragol,Almeria,299,24.37,1,24.37,0,24.37
17,Paterna del Río,Almeria,396,24.02,1,24.02,0,24.02
18,Bayarque,Almeria,223,23.77,1,23.77,0,23.77
19,Bentarique,Almeria,228,21.95,1,21.95,0,21.95
20,Sufli,Almeria,229,21.63,1,21.63,0,21.63
21,Almócita,Almeria,213,21.43,1,21.43,0,21.43
22,Chercos (E. singular Chercos Nuevo),Almeria,247,20.81,0.8,20.81,0,20.81
23,Velefique,Almeria,246,19.07,1,19.07,0,19.07
24,Albox (E. singular Llano de los Olleres),Almeria,230,18.95,0.02,18.95,0,18.95
25,Cóbdar,Almeria,194,18.69,1,18.69,0,18.69
26,Turrillas,Almeria,263,18.53,1,18.53,0,18.53
27,Alsodux,Almeria,137,18.2,1,18.2,0,18.2
