,Nombre_Mostrar,Provincia,Población,Puntuación,Factor,PuntuaciónFinal,SumaMunicipiosCercanos,PuntuaciónExtendida
0,Torre Alháquime,Cadiz,800,31.87,1,31.87,0,31.87
1,Villaluenga del Rosario,Cadiz,467,31.12,1,31.12,0,31.12
2,Tarifa (E. singular El Lentiscal),Cadiz,448,28.75,0.02,28.75,0,28.75
3,Grazalema (E. singular Benamahoma),Cadiz,411,27.38,0.2,27.38,0,27.38
4,Medina Sidonia (E. singular Malcocinado),Cadiz,534,24.84,0.05,24.84,0,24.84
5,Jerez de la Frontera (E. singular Gibalbín),Cadiz,644,23.1,0,23.1,0,23.1
6,Jerez de la Frontera (E. singular Las Tablas),Cadiz,148,23.1,0,23.1,0,23.1
7,Jerez de la Frontera (E. singular Mesas de Asta),Cadiz,376,23.1,0,23.1,0,23.1
8,El Puerto de Santa María (Núcleo Doña Blanca-Poblado),Cadiz,611,19.76,0.01,19.76,0,19.76
9,El Puerto de Santa María (Núcleo Cantarranas),Cadiz,402,19.76,0,19.76,0,19.76
