,Nombre_Mostrar,Provincia,Población,Puntuación,Factor,PuntuaciónFinal,SumaMunicipiosCercanos,PuntuaciónExtendida
0,Gor,Granada,763,36.28,1,36.28,0,36.28
1,Albondón,Granada,731,35.6,1,35.6,0,35.6
2,Trevélez,Granada,703,33.87,1,33.87,0,33.87
3,Alpujarra de la Sierra (E. singular Mecina Bombarón),Granada,556,32.64,0.58,32.64,0,32.64
4,Loja (E. singular Ventorros de San José),Granada,813,32.37,0.04,32.37,0,32.37
5,Alicún de Ortega,Granada,456,31.98,1,31.98,0,31.98
6,Sorvilán,Granada,510,31.89,1,31.89,0,31.89
7,Aldeire,Granada,591,31.42,1,31.42,0,31.42
8,La Calahorra,Granada,678,31.32,1,31.32,0,31.32
9,Almegíjar,Granada,328,30.64,1,30.64,0,30.64
10,Salobreña (E. singular La Caleta-Guardia),Granada,685,30.57,0.05,30.57,0,30.57
11,Cogollos de Guadix,Granada,635,30.14,1,30.14,0,30.14
12,Lentegí,Granada,353,29.76,1,29.76,0,29.76
13,Pórtugos,Granada,388,29.22,1,29.22,0,29.22
14,Villanueva de las Torres,Granada,520,27.88,1,27.88,0,27.88
15,Alquife,Granada,545,27.22,1,27.22,0,27.22
16,Marchal,Granada,430,26.89,1,26.89,0,26.89
17,Domingo Pérez de Granada,Granada,835,25.88,1,25.88,0,25.88
18,Lanteira,Granada,544,25.83,1,25.83,0,25.83
19,Ferreira,Granada,303,24.73,1,24.73,0,24.73
20,Gorafe,Granada,372,23.8,1,23.8,0,23.8
21,Lugros,Granada,311,23.7,1,23.7,0,23.7
22,Beas de Guadix,Granada,316,22.81,1,22.81,0,22.81
23,El Valle (E. singular Saleres),Granada,169,20.39,0.18,20.39,0,20.39
24,Turón,Granada,215,20.07,1,20.07,0,20.07
