,Nombre_Mostrar,Provincia,Población,Puntuación,Factor,PuntuaciónFinal,SumaMunicipiosCercanos,PuntuaciónExtendida
0,Cazalilla,Jaen,773,35.5,1,35.5,0,35.5
1,Higuera de Calatrava,Jaen,590,34.53,1,34.53,0,34.53
2,Villarrodrigo,Jaen,394,33.79,1,33.79,0,33.79
3,La Iruela (E. singular Burunchel),Jaen,586,33.2,0.31,33.2,0,33.2
4,Benatae,Jaen,428,32.35,1,32.35,0,32.35
5,Aldeaquemada,Jaen,453,28.45,1,28.45,0,28.45
6,Andújar (E. singular Los Villares),Jaen,632,26.44,0.02,26.44,0,26.44
7,Castillo de Locubín (E. singular Ventas del Carrizal),Jaen,359,25.49,0.09,25.49,0,25.49
8,Martos (E. singular Las Casillas),Jaen,462,24.86,0.02,24.86,0,24.86
9,Santiago-Pontones (E. singular Coto-Rios),Jaen,203,20.09,0.08,20.09,0,20.09
10,Jaén (E. singular Las Infantas),Jaen,404,18.26,0,18.26,0,18.26
