,Nombre_Mostrar,Provincia,Población,Puntuación,Factor,PuntuaciónFinal,SumaMunicipiosCercanos,PuntuaciónExtendida
0,Canillas de Albaida,Malaga,813,40.55,1,40.55,0,40.55
1,Nerja (E. singular Maro),Malaga,858,39.02,0.04,39.02,0,39.02
2,Cútar,Malaga,589,34.11,1,34.11,0,34.11
3,Alfarnatejo,Malaga,371,31.32,1,31.32,0,31.32
4,Alhaurín el Grande (Núcleo Villafranco del Guadalhorce),Malaga,774,30.33,0.03,30.33,0,30.33
5,Vélez-Málaga (E. singular Cajiz),Malaga,836,29.91,0.01,29.91,0,29.91
6,Jubrique,Malaga,586,29.11,1,29.11,0,29.11
7,Faraján,Malaga,284,28.32,1,28.32,0,28.32
8,Pujerra,Malaga,291,26.36,1,26.36,0,26.36
9,Serrato,Malaga,458,22.88,1,22.88,0,22.88
10,Salares,Malaga,204,22.68,1,22.68,0,22.68
