Lugar de residencia;Anual;Sexo;Medida;Valor;
Almería;1996;Ambos sexos;Crecimiento vegetativo;1694;
Almería;1996;Hombres;Crecimiento vegetativo;830;
Almería;1996;Mujeres;Crecimiento vegetativo;864;
Almería;1997;Ambos sexos;Crecimiento vegetativo;1859;
Almería;1997;Hombres;Crecimiento vegetativo;952;
Almería;1997;Mujeres;Crecimiento vegetativo;907;
Almería;1998;Ambos sexos;Crecimiento vegetativo;1809;
Almería;1998;Hombres;Crecimiento vegetativo;893;
Almería;1998;Mujeres;Crecimiento vegetativo;916;
Almería;1999;Ambos sexos;Crecimiento vegetativo;1998;
Almería;1999;Hombres;Crecimiento vegetativo;931;
Almería;1999;Mujeres;Crecimiento vegetativo;1067;
Almería;2000;Ambos sexos;Crecimiento vegetativo;2114;
Almería;2000;Hombres;Crecimiento vegetativo;1001;
Almería;2000;Mujeres;Crecimiento vegetativo;1113;
Almería;2001;Ambos sexos;Crecimiento vegetativo;2415;
Almería;2001;Hombres;Crecimiento vegetativo;1110;
Almería;2001;Mujeres;Crecimiento vegetativo;1305;
Almería;2002;Ambos sexos;Crecimiento vegetativo;2184;
Almería;2002;Hombres;Crecimiento vegetativo;962;
Almería;2002;Mujeres;Crecimiento vegetativo;1222;
Almería;2003;Ambos sexos;Crecimiento vegetativo;2584;
Almería;2003;Hombres;Crecimiento vegetativo;1170;
Almería;2003;Mujeres;Crecimiento vegetativo;1414;
Almería;2004;Ambos sexos;Crecimiento vegetativo;3155;
Almería;2004;Hombres;Crecimiento vegetativo;1475;
Almería;2004;Mujeres;Crecimiento vegetativo;1680;
Almería;2005;Ambos sexos;Crecimiento vegetativo;3255;
Almería;2005;Hombres;Crecimiento vegetativo;1578;
Almería;2005;Mujeres;Crecimiento vegetativo;1677;
Almería;2006;Ambos sexos;Crecimiento vegetativo;4067;
Almería;2006;Hombres;Crecimiento vegetativo;1848;
Almería;2006;Mujeres;Crecimiento vegetativo;2219;
Almería;2007;Ambos sexos;Crecimiento vegetativo;3812;
Almería;2007;Hombres;Crecimiento vegetativo;1882;
Almería;2007;Mujeres;Crecimiento vegetativo;1930;
Almería;2008;Ambos sexos;Crecimiento vegetativo;4526;
Almería;2008;Hombres;Crecimiento vegetativo;2173;
Almería;2008;Mujeres;Crecimiento vegetativo;2353;
Almería;2009;Ambos sexos;Crecimiento vegetativo;3874;
Almería;2009;Hombres;Crecimiento vegetativo;1909;
Almería;2009;Mujeres;Crecimiento vegetativo;1965;
Almería;2010;Ambos sexos;Crecimiento vegetativo;3933;
Almería;2010;Hombres;Crecimiento vegetativo;1916;
Almería;2010;Mujeres;Crecimiento vegetativo;2017;
Almería;2011;Ambos sexos;Crecimiento vegetativo;3540;
Almería;2011;Hombres;Crecimiento vegetativo;1648;
Almería;2011;Mujeres;Crecimiento vegetativo;1892;
Almería;2012;Ambos sexos;Crecimiento vegetativo;3027;
Almería;2012;Hombres;Crecimiento vegetativo;1507;
Almería;2012;Mujeres;Crecimiento vegetativo;1520;
Almería;2013;Ambos sexos;Crecimiento vegetativo;3033;
Almería;2013;Hombres;Crecimiento vegetativo;1533;
Almería;2013;Mujeres;Crecimiento vegetativo;1500;
Almería;2014;Ambos sexos;Crecimiento vegetativo;3095;
Almería;2014;Hombres;Crecimiento vegetativo;1490;
Almería;2014;Mujeres;Crecimiento vegetativo;1605;
Almería;2015;Ambos sexos;Crecimiento vegetativo;2630;
Almería;2015;Hombres;Crecimiento vegetativo;1299;
Almería;2015;Mujeres;Crecimiento vegetativo;1331;
Almería;2016;Ambos sexos;Crecimiento vegetativo;2847;
Almería;2016;Hombres;Crecimiento vegetativo;1302;
Almería;2016;Mujeres;Crecimiento vegetativo;1545;
Almería;2017;Ambos sexos;Crecimiento vegetativo;2356;
Almería;2017;Hombres;Crecimiento vegetativo;1114;
Almería;2017;Mujeres;Crecimiento vegetativo;1242;
Almería;2018;Ambos sexos;Crecimiento vegetativo;1874;
Almería;2018;Hombres;Crecimiento vegetativo;864;
Almería;2018;Mujeres;Crecimiento vegetativo;1010;
Almería;2019;Ambos sexos;Crecimiento vegetativo;2017;
Almería;2019;Hombres;Crecimiento vegetativo;839;
Almería;2019;Mujeres;Crecimiento vegetativo;1178;
Almería;2020;Ambos sexos;Crecimiento vegetativo;1176;
Almería;2020;Hombres;Crecimiento vegetativo;529;
Almería;2020;Mujeres;Crecimiento vegetativo;647;
Almería;2021;Ambos sexos;Crecimiento vegetativo;685;
Almería;2021;Hombres;Crecimiento vegetativo;148;
Almería;2021;Mujeres;Crecimiento vegetativo;537;
Almería;2022;Ambos sexos;Crecimiento vegetativo;738;
Almería;2022;Hombres;Crecimiento vegetativo;272;
Almería;2022;Mujeres;Crecimiento vegetativo;466;
Almería;2023;Ambos sexos;Crecimiento vegetativo;883;
Almería;2023;Hombres;Crecimiento vegetativo;291;
