Lugar de residencia;Anual;Sexo;Medida;Valor;
Cádiz;1996;Ambos sexos;Crecimiento vegetativo;3779;
Cádiz;1996;Hombres;Crecimiento vegetativo;1636;
Cádiz;1996;Mujeres;Crecimiento vegetativo;2143;
Cádiz;1997;Ambos sexos;Crecimiento vegetativo;4227;
Cádiz;1997;Hombres;Crecimiento vegetativo;2120;
Cádiz;1997;Mujeres;Crecimiento vegetativo;2107;
Cádiz;1998;Ambos sexos;Crecimiento vegetativo;3787;
Cádiz;1998;Hombres;Crecimiento vegetativo;1842;
Cádiz;1998;Mujeres;Crecimiento vegetativo;1945;
Cádiz;1999;Ambos sexos;Crecimiento vegetativo;3745;
Cádiz;1999;Hombres;Crecimiento vegetativo;1670;
Cádiz;1999;Mujeres;Crecimiento vegetativo;2075;
Cádiz;2000;Ambos sexos;Crecimiento vegetativo;4321;
Cádiz;2000;Hombres;Crecimiento vegetativo;2219;
Cádiz;2000;Mujeres;Crecimiento vegetativo;2102;
Cádiz;2001;Ambos sexos;Crecimiento vegetativo;4621;
Cádiz;2001;Hombres;Crecimiento vegetativo;2184;
Cádiz;2001;Mujeres;Crecimiento vegetativo;2437;
Cádiz;2002;Ambos sexos;Crecimiento vegetativo;4558;
Cádiz;2002;Hombres;Crecimiento vegetativo;2148;
Cádiz;2002;Mujeres;Crecimiento vegetativo;2410;
Cádiz;2003;Ambos sexos;Crecimiento vegetativo;4491;
Cádiz;2003;Hombres;Crecimiento vegetativo;2125;
Cádiz;2003;Mujeres;Crecimiento vegetativo;2366;
Cádiz;2004;Ambos sexos;Crecimiento vegetativo;5158;
Cádiz;2004;Hombres;Crecimiento vegetativo;2452;
Cádiz;2004;Mujeres;Crecimiento vegetativo;2706;
Cádiz;2005;Ambos sexos;Crecimiento vegetativo;5256;
Cádiz;2005;Hombres;Crecimiento vegetativo;2524;
Cádiz;2005;Mujeres;Crecimiento vegetativo;2732;
Cádiz;2006;Ambos sexos;Crecimiento vegetativo;6370;
Cádiz;2006;Hombres;Crecimiento vegetativo;3233;
Cádiz;2006;Mujeres;Crecimiento vegetativo;3137;
Cádiz;2007;Ambos sexos;Crecimiento vegetativo;6119;
Cádiz;2007;Hombres;Crecimiento vegetativo;3012;
Cádiz;2007;Mujeres;Crecimiento vegetativo;3107;
Cádiz;2008;Ambos sexos;Crecimiento vegetativo;5600;
Cádiz;2008;Hombres;Crecimiento vegetativo;2803;
Cádiz;2008;Mujeres;Crecimiento vegetativo;2797;
Cádiz;2009;Ambos sexos;Crecimiento vegetativo;5104;
Cádiz;2009;Hombres;Crecimiento vegetativo;2510;
Cádiz;2009;Mujeres;Crecimiento vegetativo;2594;
Cádiz;2010;Ambos sexos;Crecimiento vegetativo;4841;
Cádiz;2010;Hombres;Crecimiento vegetativo;2391;
Cádiz;2010;Mujeres;Crecimiento vegetativo;2450;
Cádiz;2011;Ambos sexos;Crecimiento vegetativo;4070;
Cádiz;2011;Hombres;Crecimiento vegetativo;1966;
Cádiz;2011;Mujeres;Crecimiento vegetativo;2104;
Cádiz;2012;Ambos sexos;Crecimiento vegetativo;3138;
Cádiz;2012;Hombres;Crecimiento vegetativo;1388;
Cádiz;2012;Mujeres;Crecimiento vegetativo;1750;
Cádiz;2013;Ambos sexos;Crecimiento vegetativo;2424;
Cádiz;2013;Hombres;Crecimiento vegetativo;1172;
Cádiz;2013;Mujeres;Crecimiento vegetativo;1252;
Cádiz;2014;Ambos sexos;Crecimiento vegetativo;2760;
Cádiz;2014;Hombres;Crecimiento vegetativo;1311;
Cádiz;2014;Mujeres;Crecimiento vegetativo;1449;
Cádiz;2015;Ambos sexos;Crecimiento vegetativo;1693;
Cádiz;2015;Hombres;Crecimiento vegetativo;901;
Cádiz;2015;Mujeres;Crecimiento vegetativo;792;
Cádiz;2016;Ambos sexos;Crecimiento vegetativo;1912;
Cádiz;2016;Hombres;Crecimiento vegetativo;898;
Cádiz;2016;Mujeres;Crecimiento vegetativo;1014;
Cádiz;2017;Ambos sexos;Crecimiento vegetativo;771;
Cádiz;2017;Hombres;Crecimiento vegetativo;391;
Cádiz;2017;Mujeres;Crecimiento vegetativo;380;
Cádiz;2018;Ambos sexos;Crecimiento vegetativo;-239;
Cádiz;2018;Hombres;Crecimiento vegetativo;-111;
Cádiz;2018;Mujeres;Crecimiento vegetativo;-128;
Cádiz;2019;Ambos sexos;Crecimiento vegetativo;-299;
Cádiz;2019;Hombres;Crecimiento vegetativo;-320;
Cádiz;2019;Mujeres;Crecimiento vegetativo;21;
Cádiz;2020;Ambos sexos;Crecimiento vegetativo;-2108;
Cádiz;2020;Hombres;Crecimiento vegetativo;-1283;
Cádiz;2020;Mujeres;Crecimiento vegetativo;-825;
Cádiz;2021;Ambos sexos;Crecimiento vegetativo;-2789;
Cádiz;2021;Hombres;Crecimiento vegetativo;-1402;
Cádiz;2021;Mujeres;Crecimiento vegetativo;-1387;
Cádiz;2022;Ambos sexos;Crecimiento vegetativo;-2696;
Cádiz;2022;Hombres;Crecimiento vegetativo;-1407;
Cádiz;2022;Mujeres;Crecimiento vegetativo;-1289;
Cádiz;2023;Ambos sexos;Crecimiento vegetativo;-2448;
Cádiz;2023;Hombres;Crecimiento vegetativo;-1431;
Cádiz;2023;Mujeres;Crecimiento vegetativo;-1017;
Alcalá de los Gazules;1996;Ambos sexos;Crecimiento vegetativo;16;
Alcalá de los Gazules;1996;Hombres;Crecimiento vegetativo;3;
Alcalá de los Gazules;1996;Mujeres;Crecimiento vegetativo;13;
Alcalá de los Gazules;1997;Ambos sexos;Crecimiento vegetativo;19;
Alcalá de los Gazules;1997;Hombres;Crecimiento vegetativo;6;
Alcalá de los Gazules;1997;Mujeres;Crecimiento vegetativo;13;
Alcalá de los Gazules;1998;Ambos sexos;Crecimiento vegetativo;13;
Alcalá de los Gazules;1998;Hombres;Crecimiento vegetativo;0;
Alcalá de los Gazules;1998;Mujeres;Crecimiento vegetativo;13;
Alcalá de los Gazules;1999;Ambos sexos;Crecimiento vegetativo;26;
Alcalá de los Gazules;1999;Hombres;Crecimiento vegetativo;5;
Alcalá de los Gazules;1999;Mujeres;Crecimiento vegetativo;21;
Alcalá de los Gazules;2000;Ambos sexos;Crecimiento vegetativo;17;
Alcalá de los Gazules;2000;Hombres;Crecimiento vegetativo;5;
Alcalá de los Gazules;2000;Mujeres;Crecimiento vegetativo;12;
Alcalá de los Gazules;2001;Ambos sexos;Crecimiento vegetativo;18;
Alcalá de los Gazules;2001;Hombres;Crecimiento vegetativo;14;
Alcalá de los Gazules;2001;Mujeres;Crecimiento vegetativo;4;
Alcalá de los Gazules;2002;Ambos sexos;Crecimiento vegetativo;-30;
Alcalá de los Gazules;2002;Hombres;Crecimiento vegetativo;-17;
Alcalá de los Gazules;2002;Mujeres;Crecimiento vegetativo;-13;
Alcalá de los Gazules;2003;Ambos sexos;Crecimiento vegetativo;-43;
Alcalá de los Gazules;2003;Hombres;Crecimiento vegetativo;-23;
Alcalá de los Gazules;2003;Mujeres;Crecimiento vegetativo;-20;
Alcalá de los Gazules;2004;Ambos sexos;Crecimiento vegetativo;-4;
Alcalá de los Gazules;2004;Hombres;Crecimiento vegetativo;-7;
Alcalá de los Gazules;2004;Mujeres;Crecimiento vegetativo;3;
Alcalá de los Gazules;2005;Ambos sexos;Crecimiento vegetativo;14;
Alcalá de los Gazules;2005;Hombres;Crecimiento vegetativo;0;
Alcalá de los Gazules;2005;Mujeres;Crecimiento vegetativo;14;
Alcalá de los Gazules;2006;Ambos sexos;Crecimiento vegetativo;15;
Alcalá de los Gazules;2006;Hombres;Crecimiento vegetativo;16;
Alcalá de los Gazules;2006;Mujeres;Crecimiento vegetativo;-1;
Alcalá de los Gazules;2007;Ambos sexos;Crecimiento vegetativo;25;
Alcalá de los Gazules;2007;Hombres;Crecimiento vegetativo;10;
Alcalá de los Gazules;2007;Mujeres;Crecimiento vegetativo;15;
Alcalá de los Gazules;2008;Ambos sexos;Crecimiento vegetativo;-2;
Alcalá de los Gazules;2008;Hombres;Crecimiento vegetativo;2;
Alcalá de los Gazules;2008;Mujeres;Crecimiento vegetativo;-4;
Alcalá de los Gazules;2009;Ambos sexos;Crecimiento vegetativo;-12;
Alcalá de los Gazules;2009;Hombres;Crecimiento vegetativo;8;
Alcalá de los Gazules;2009;Mujeres;Crecimiento vegetativo;-20;
Alcalá de los Gazules;2010;Ambos sexos;Crecimiento vegetativo;-16;
Alcalá de los Gazules;2010;Hombres;Crecimiento vegetativo;-10;
Alcalá de los Gazules;2010;Mujeres;Crecimiento vegetativo;-6;
Alcalá de los Gazules;2011;Ambos sexos;Crecimiento vegetativo;-8;
Alcalá de los Gazules;2011;Hombres;Crecimiento vegetativo;-2;
Alcalá de los Gazules;2011;Mujeres;Crecimiento vegetativo;-6;
Alcalá de los Gazules;2012;Ambos sexos;Crecimiento vegetativo;-30;
Alcalá de los Gazules;2012;Hombres;Crecimiento vegetativo;-13;
Alcalá de los Gazules;2012;Mujeres;Crecimiento vegetativo;-17;
Alcalá de los Gazules;2013;Ambos sexos;Crecimiento vegetativo;-3;
Alcalá de los Gazules;2013;Hombres;Crecimiento vegetativo;-3;
Alcalá de los Gazules;2013;Mujeres;Crecimiento vegetativo;0;
Alcalá de los Gazules;2014;Ambos sexos;Crecimiento vegetativo;11;
Alcalá de los Gazules;2014;Hombres;Crecimiento vegetativo;8;
Alcalá de los Gazules;2014;Mujeres;Crecimiento vegetativo;3;
Alcalá de los Gazules;2015;Ambos sexos;Crecimiento vegetativo;-24;
Alcalá de los Gazules;2015;Hombres;Crecimiento vegetativo;-5;
Alcalá de los Gazules;2015;Mujeres;Crecimiento vegetativo;-19;
Alcalá de los Gazules;2016;Ambos sexos;Crecimiento vegetativo;-9;
Alcalá de los Gazules;2016;Hombres;Crecimiento vegetativo;-3;
Alcalá de los Gazules;2016;Mujeres;Crecimiento vegetativo;-6;
Alcalá de los Gazules;2017;Ambos sexos;Crecimiento vegetativo;3;
Alcalá de los Gazules;2017;Hombres;Crecimiento vegetativo;-4;
Alcalá de los Gazules;2017;Mujeres;Crecimiento vegetativo;7;
Alcalá de los Gazules;2018;Ambos sexos;Crecimiento vegetativo;-13;
Alcalá de los Gazules;2018;Hombres;Crecimiento vegetativo;-15;
Alcalá de los Gazules;2018;Mujeres;Crecimiento vegetativo;2;
Alcalá de los Gazules;2019;Ambos sexos;Crecimiento vegetativo;-2;
