Lugar de residencia;Anual;Sexo;Medida;Valor;
Córdoba;1996;Ambos sexos;Crecimiento vegetativo;1403;
Córdoba;1996;Hombres;Crecimiento vegetativo;677;
Córdoba;1996;Mujeres;Crecimiento vegetativo;726;
Córdoba;1997;Ambos sexos;Crecimiento vegetativo;1442;
Córdoba;1997;Hombres;Crecimiento vegetativo;722;
Córdoba;1997;Mujeres;Crecimiento vegetativo;720;
Córdoba;1998;Ambos sexos;Crecimiento vegetativo;940;
Córdoba;1998;Hombres;Crecimiento vegetativo;553;
Córdoba;1998;Mujeres;Crecimiento vegetativo;387;
Córdoba;1999;Ambos sexos;Crecimiento vegetativo;960;
Córdoba;1999;Hombres;Crecimiento vegetativo;535;
Córdoba;1999;Mujeres;Crecimiento vegetativo;425;
Córdoba;2000;Ambos sexos;Crecimiento vegetativo;1239;
Córdoba;2000;Hombres;Crecimiento vegetativo;695;
Córdoba;2000;Mujeres;Crecimiento vegetativo;544;
Córdoba;2001;Ambos sexos;Crecimiento vegetativo;1063;
Córdoba;2001;Hombres;Crecimiento vegetativo;476;
Córdoba;2001;Mujeres;Crecimiento vegetativo;587;
Córdoba;2002;Ambos sexos;Crecimiento vegetativo;780;
Córdoba;2002;Hombres;Crecimiento vegetativo;433;
Córdoba;2002;Mujeres;Crecimiento vegetativo;347;
Córdoba;2003;Ambos sexos;Crecimiento vegetativo;996;
Córdoba;2003;Hombres;Crecimiento vegetativo;502;
Córdoba;2003;Mujeres;Crecimiento vegetativo;494;
Córdoba;2004;Ambos sexos;Crecimiento vegetativo;1015;
Córdoba;2004;Hombres;Crecimiento vegetativo;580;
Córdoba;2004;Mujeres;Crecimiento vegetativo;435;
Córdoba;2005;Ambos sexos;Crecimiento vegetativo;938;
Córdoba;2005;Hombres;Crecimiento vegetativo;479;
Córdoba;2005;Mujeres;Crecimiento vegetativo;459;
Córdoba;2006;Ambos sexos;Crecimiento vegetativo;1618;
Córdoba;2006;Hombres;Crecimiento vegetativo;836;
Córdoba;2006;Mujeres;Crecimiento vegetativo;782;
Córdoba;2007;Ambos sexos;Crecimiento vegetativo;1106;
Córdoba;2007;Hombres;Crecimiento vegetativo;613;
Córdoba;2007;Mujeres;Crecimiento vegetativo;493;
Córdoba;2008;Ambos sexos;Crecimiento vegetativo;1468;
Córdoba;2008;Hombres;Crecimiento vegetativo;803;
Córdoba;2008;Mujeres;Crecimiento vegetativo;665;
Córdoba;2009;Ambos sexos;Crecimiento vegetativo;1321;
Córdoba;2009;Hombres;Crecimiento vegetativo;634;
Córdoba;2009;Mujeres;Crecimiento vegetativo;687;
Córdoba;2010;Ambos sexos;Crecimiento vegetativo;901;
Córdoba;2010;Hombres;Crecimiento vegetativo;401;
Córdoba;2010;Mujeres;Crecimiento vegetativo;500;
Córdoba;2011;Ambos sexos;Crecimiento vegetativo;704;
Córdoba;2011;Hombres;Crecimiento vegetativo;425;
Córdoba;2011;Mujeres;Crecimiento vegetativo;279;
Córdoba;2012;Ambos sexos;Crecimiento vegetativo;-29;
Córdoba;2012;Hombres;Crecimiento vegetativo;45;
Córdoba;2012;Mujeres;Crecimiento vegetativo;-74;
Córdoba;2013;Ambos sexos;Crecimiento vegetativo;7;
Córdoba;2013;Hombres;Crecimiento vegetativo;34;
Córdoba;2013;Mujeres;Crecimiento vegetativo;-27;
Córdoba;2014;Ambos sexos;Crecimiento vegetativo;20;
Córdoba;2014;Hombres;Crecimiento vegetativo;7;
Córdoba;2014;Mujeres;Crecimiento vegetativo;13;
Córdoba;2015;Ambos sexos;Crecimiento vegetativo;-823;
Córdoba;2015;Hombres;Crecimiento vegetativo;-365;
Córdoba;2015;Mujeres;Crecimiento vegetativo;-458;
Córdoba;2016;Ambos sexos;Crecimiento vegetativo;-598;
Córdoba;2016;Hombres;Crecimiento vegetativo;-305;
Córdoba;2016;Mujeres;Crecimiento vegetativo;-293;
Córdoba;2017;Ambos sexos;Crecimiento vegetativo;-1376;
Córdoba;2017;Hombres;Crecimiento vegetativo;-560;
Córdoba;2017;Mujeres;Crecimiento vegetativo;-816;
Córdoba;2018;Ambos sexos;Crecimiento vegetativo;-1613;
Córdoba;2018;Hombres;Crecimiento vegetativo;-717;
Córdoba;2018;Mujeres;Crecimiento vegetativo;-896;
Córdoba;2019;Ambos sexos;Crecimiento vegetativo;-1751;
Córdoba;2019;Hombres;Crecimiento vegetativo;-739;
Córdoba;2019;Mujeres;Crecimiento vegetativo;-1012;
Córdoba;2020;Ambos sexos;Crecimiento vegetativo;-2650;
Córdoba;2020;Hombres;Crecimiento vegetativo;-1260;
Córdoba;2020;Mujeres;Crecimiento vegetativo;-1390;
Córdoba;2021;Ambos sexos;Crecimiento vegetativo;-2557;
Córdoba;2021;Hombres;Crecimiento vegetativo;-1341;
Córdoba;2021;Mujeres;Crecimiento vegetativo;-1216;
Córdoba;2022;Ambos sexos;Crecimiento vegetativo;-3038;
Córdoba;2022;Hombres;Crecimiento vegetativo;-1480;
Córdoba;2022;Mujeres;Crecimiento vegetativo;-1558;
Córdoba;2023;Ambos sexos;Crecimiento vegetativo;-2503;
Córdoba;2023;Hombres;Crecimiento vegetativo;-1216;
Córdoba;2023;Mujeres;Crecimiento vegetativo;-1287;
Adamuz;1996;Ambos sexos;Crecimiento vegetativo;-1;
