Lugar de residencia;Anual;Sexo;Medida;Valor;
Granada;2010;Ambos sexos;Crecimiento vegetativo;1782;
Granada;2010;Hombres;Crecimiento vegetativo;922;
Granada;2010;Mujeres;Crecimiento vegetativo;860;
Granada;2011;Ambos sexos;Crecimiento vegetativo;1592;
Granada;2011;Hombres;Crecimiento vegetativo;869;
Granada;2011;Mujeres;Crecimiento vegetativo;723;
Granada;2012;Ambos sexos;Crecimiento vegetativo;1122;
Granada;2012;Hombres;Crecimiento vegetativo;615;
Granada;2012;Mujeres;Crecimiento vegetativo;507;
Granada;2013;Ambos sexos;Crecimiento vegetativo;833;
Granada;2013;Hombres;Crecimiento vegetativo;426;
Granada;2013;Mujeres;Crecimiento vegetativo;407;
Granada;2014;Ambos sexos;Crecimiento vegetativo;827;
Granada;2014;Hombres;Crecimiento vegetativo;435;
Granada;2014;Mujeres;Crecimiento vegetativo;392;
Granada;2015;Ambos sexos;Crecimiento vegetativo;152;
Granada;2015;Hombres;Crecimiento vegetativo;236;
Granada;2015;Mujeres;Crecimiento vegetativo;-84;
Granada;2016;Ambos sexos;Crecimiento vegetativo;621;
Granada;2016;Hombres;Crecimiento vegetativo;427;
Granada;2016;Mujeres;Crecimiento vegetativo;194;
Granada;2017;Ambos sexos;Crecimiento vegetativo;-216;
Granada;2017;Hombres;Crecimiento vegetativo;-69;
Granada;2017;Mujeres;Crecimiento vegetativo;-147;
Granada;2018;Ambos sexos;Crecimiento vegetativo;-986;
Granada;2018;Hombres;Crecimiento vegetativo;-419;
Granada;2018;Mujeres;Crecimiento vegetativo;-567;
Granada;2019;Ambos sexos;Crecimiento vegetativo;-361;
Granada;2019;Hombres;Crecimiento vegetativo;-198;
Granada;2019;Mujeres;Crecimiento vegetativo;-163;
Granada;2020;Ambos sexos;Crecimiento vegetativo;-2549;
Granada;2020;Hombres;Crecimiento vegetativo;-1324;
Granada;2020;Mujeres;Crecimiento vegetativo;-1225;
Granada;2021;Ambos sexos;Crecimiento vegetativo;-1684;
Granada;2021;Hombres;Crecimiento vegetativo;-891;
Granada;2021;Mujeres;Crecimiento vegetativo;-793;
Granada;2022;Ambos sexos;Crecimiento vegetativo;-1463;
Granada;2022;Hombres;Crecimiento vegetativo;-577;
Granada;2022;Mujeres;Crecimiento vegetativo;-886;
Granada;2023;Ambos sexos;Crecimiento vegetativo;-1543;
Granada;2023;Hombres;Crecimiento vegetativo;-755;
Granada;2023;Mujeres;Crecimiento vegetativo;-788;
Agrón;2010;Ambos sexos;Crecimiento vegetativo;-5;
Agrón;2010;Hombres;Crecimiento vegetativo;-1;
Agrón;2010;Mujeres;Crecimiento vegetativo;-4;
Agrón;2011;Ambos sexos;Crecimiento vegetativo;1;
Agrón;2011;Hombres;Crecimiento vegetativo;1;
Agrón;2011;Mujeres;Crecimiento vegetativo;0;
Agrón;2012;Ambos sexos;Crecimiento vegetativo;-3;
Agrón;2012;Hombres;Crecimiento vegetativo;-2;
Agrón;2012;Mujeres;Crecimiento vegetativo;-1;
Agrón;2013;Ambos sexos;Crecimiento vegetativo;-2;
Agrón;2013;Hombres;Crecimiento vegetativo;-1;
Agrón;2013;Mujeres;Crecimiento vegetativo;-1;
Agrón;2014;Ambos sexos;Crecimiento vegetativo;-2;
Agrón;2014;Hombres;Crecimiento vegetativo;-4;
Agrón;2014;Mujeres;Crecimiento vegetativo;2;
Agrón;2015;Ambos sexos;Crecimiento vegetativo;0;
Agrón;2015;Hombres;Crecimiento vegetativo;1;
Agrón;2015;Mujeres;Crecimiento vegetativo;-1;
Agrón;2016;Ambos sexos;Crecimiento vegetativo;-3;
Agrón;2016;Hombres;Crecimiento vegetativo;-3;
Agrón;2016;Mujeres;Crecimiento vegetativo;0;
Agrón;2017;Ambos sexos;Crecimiento vegetativo;-1;
Agrón;2017;Hombres;Crecimiento vegetativo;-3;
Agrón;2017;Mujeres;Crecimiento vegetativo;2;
Agrón;2018;Ambos sexos;Crecimiento vegetativo;-5;
Agrón;2018;Hombres;Crecimiento vegetativo;-2;
Agrón;2018;Mujeres;Crecimiento vegetativo;-3;
Agrón;2019;Ambos sexos;Crecimiento vegetativo;-1;
Agrón;2019;Hombres;Crecimiento vegetativo;-;
Agrón;2019;Mujeres;Crecimiento vegetativo;-1;
Agrón;2020;Ambos sexos;Crecimiento vegetativo;-4;
Agrón;2020;Hombres;Crecimiento vegetativo;-2;
Agrón;2020;Mujeres;Crecimiento vegetativo;-2;
Agrón;2021;Ambos sexos;Crecimiento vegetativo;-2;
Agrón;2021;Hombres;Crecimiento vegetativo;0;
Agrón;2021;Mujeres;Crecimiento vegetativo;-2;
