Lugar de residencia;Anual;Sexo;Medida;Valor;
Huelva;1996;Ambos sexos;Crecimiento vegetativo;505;
Huelva;1996;Hombres;Crecimiento vegetativo;219;
Huelva;1996;Mujeres;Crecimiento vegetativo;286;
Huelva;1997;Ambos sexos;Crecimiento vegetativo;535;
Huelva;1997;Hombres;Crecimiento vegetativo;362;
Huelva;1997;Mujeres;Crecimiento vegetativo;173;
Huelva;1998;Ambos sexos;Crecimiento vegetativo;292;
Huelva;1998;Hombres;Crecimiento vegetativo;61;
Huelva;1998;Mujeres;Crecimiento vegetativo;231;
Huelva;1999;Ambos sexos;Crecimiento vegetativo;480;
Huelva;1999;Hombres;Crecimiento vegetativo;237;
Huelva;1999;Mujeres;Crecimiento vegetativo;243;
Huelva;2000;Ambos sexos;Crecimiento vegetativo;602;
Huelva;2000;Hombres;Crecimiento vegetativo;338;
Huelva;2000;Mujeres;Crecimiento vegetativo;264;
Huelva;2001;Ambos sexos;Crecimiento vegetativo;707;
Huelva;2001;Hombres;Crecimiento vegetativo;388;
Huelva;2001;Mujeres;Crecimiento vegetativo;319;
Huelva;2002;Ambos sexos;Crecimiento vegetativo;892;
Huelva;2002;Hombres;Crecimiento vegetativo;397;
Huelva;2002;Mujeres;Crecimiento vegetativo;495;
Huelva;2003;Ambos sexos;Crecimiento vegetativo;871;
Huelva;2003;Hombres;Crecimiento vegetativo;450;
Huelva;2003;Mujeres;Crecimiento vegetativo;421;
Huelva;2004;Ambos sexos;Crecimiento vegetativo;1111;
Huelva;2004;Hombres;Crecimiento vegetativo;644;
Huelva;2004;Mujeres;Crecimiento vegetativo;467;
Huelva;2005;Ambos sexos;Crecimiento vegetativo;1107;
Huelva;2005;Hombres;Crecimiento vegetativo;468;
Huelva;2005;Mujeres;Crecimiento vegetativo;639;
Huelva;2006;Ambos sexos;Crecimiento vegetativo;1479;
Huelva;2006;Hombres;Crecimiento vegetativo;738;
Huelva;2006;Mujeres;Crecimiento vegetativo;741;
Huelva;2007;Ambos sexos;Crecimiento vegetativo;1346;
Huelva;2007;Hombres;Crecimiento vegetativo;780;
Huelva;2007;Mujeres;Crecimiento vegetativo;566;
Huelva;2008;Ambos sexos;Crecimiento vegetativo;1840;
Huelva;2008;Hombres;Crecimiento vegetativo;1004;
Huelva;2008;Mujeres;Crecimiento vegetativo;836;
Huelva;2009;Ambos sexos;Crecimiento vegetativo;1613;
Huelva;2009;Hombres;Crecimiento vegetativo;929;
Huelva;2009;Mujeres;Crecimiento vegetativo;684;
Huelva;2010;Ambos sexos;Crecimiento vegetativo;1612;
Huelva;2010;Hombres;Crecimiento vegetativo;871;
Huelva;2010;Mujeres;Crecimiento vegetativo;741;
Huelva;2011;Ambos sexos;Crecimiento vegetativo;1273;
Huelva;2011;Hombres;Crecimiento vegetativo;625;
Huelva;2011;Mujeres;Crecimiento vegetativo;648;
Huelva;2012;Ambos sexos;Crecimiento vegetativo;624;
Huelva;2012;Hombres;Crecimiento vegetativo;346;
Huelva;2012;Mujeres;Crecimiento vegetativo;278;
