Lugar de residencia;Anual;Sexo;Medida;Valor;
Jaén;1996;Ambos sexos;Crecimiento vegetativo;1461;
Jaén;1996;Hombres;Crecimiento vegetativo;736;
Jaén;1996;Mujeres;Crecimiento vegetativo;725;
Jaén;1997;Ambos sexos;Crecimiento vegetativo;1313;
Jaén;1997;Hombres;Crecimiento vegetativo;627;
Jaén;1997;Mujeres;Crecimiento vegetativo;686;
Jaén;1998;Ambos sexos;Crecimiento vegetativo;719;
Jaén;1998;Hombres;Crecimiento vegetativo;286;
Jaén;1998;Mujeres;Crecimiento vegetativo;433;
Jaén;1999;Ambos sexos;Crecimiento vegetativo;1073;
Jaén;1999;Hombres;Crecimiento vegetativo;537;
Jaén;1999;Mujeres;Crecimiento vegetativo;536;
Jaén;2000;Ambos sexos;Crecimiento vegetativo;924;
Jaén;2000;Hombres;Crecimiento vegetativo;420;
Jaén;2000;Mujeres;Crecimiento vegetativo;504;
Jaén;2001;Ambos sexos;Crecimiento vegetativo;671;
Jaén;2001;Hombres;Crecimiento vegetativo;236;
Jaén;2001;Mujeres;Crecimiento vegetativo;435;
Jaén;2002;Ambos sexos;Crecimiento vegetativo;604;
Jaén;2002;Hombres;Crecimiento vegetativo;228;
Jaén;2002;Mujeres;Crecimiento vegetativo;376;
Jaén;2003;Ambos sexos;Crecimiento vegetativo;539;
Jaén;2003;Hombres;Crecimiento vegetativo;223;
Jaén;2003;Mujeres;Crecimiento vegetativo;316;
Jaén;2004;Ambos sexos;Crecimiento vegetativo;626;
Jaén;2004;Hombres;Crecimiento vegetativo;237;
Jaén;2004;Mujeres;Crecimiento vegetativo;389;
Jaén;2005;Ambos sexos;Crecimiento vegetativo;315;
Jaén;2005;Hombres;Crecimiento vegetativo;77;
Jaén;2005;Mujeres;Crecimiento vegetativo;238;
Jaén;2006;Ambos sexos;Crecimiento vegetativo;930;
Jaén;2006;Hombres;Crecimiento vegetativo;393;
Jaén;2006;Mujeres;Crecimiento vegetativo;537;
Jaén;2007;Ambos sexos;Crecimiento vegetativo;294;
Jaén;2007;Hombres;Crecimiento vegetativo;115;
Jaén;2007;Mujeres;Crecimiento vegetativo;179;
Jaén;2008;Ambos sexos;Crecimiento vegetativo;875;
Jaén;2008;Hombres;Crecimiento vegetativo;481;
Jaén;2008;Mujeres;Crecimiento vegetativo;394;
Jaén;2009;Ambos sexos;Crecimiento vegetativo;321;
Jaén;2009;Hombres;Crecimiento vegetativo;13;
Jaén;2009;Mujeres;Crecimiento vegetativo;308;
Jaén;2010;Ambos sexos;Crecimiento vegetativo;279;
Jaén;2010;Hombres;Crecimiento vegetativo;10;
Jaén;2010;Mujeres;Crecimiento vegetativo;269;
Jaén;2011;Ambos sexos;Crecimiento vegetativo;-112;
Jaén;2011;Hombres;Crecimiento vegetativo;-160;
Jaén;2011;Mujeres;Crecimiento vegetativo;48;
Jaén;2012;Ambos sexos;Crecimiento vegetativo;-493;
Jaén;2012;Hombres;Crecimiento vegetativo;-233;
Jaén;2012;Mujeres;Crecimiento vegetativo;-260;
Jaén;2013;Ambos sexos;Crecimiento vegetativo;-676;
Jaén;2013;Hombres;Crecimiento vegetativo;-435;
Jaén;2013;Mujeres;Crecimiento vegetativo;-241;
Jaén;2014;Ambos sexos;Crecimiento vegetativo;-550;
Jaén;2014;Hombres;Crecimiento vegetativo;-327;
Jaén;2014;Mujeres;Crecimiento vegetativo;-223;
Jaén;2015;Ambos sexos;Crecimiento vegetativo;-1317;
Jaén;2015;Hombres;Crecimiento vegetativo;-637;
Jaén;2015;Mujeres;Crecimiento vegetativo;-680;
Jaén;2016;Ambos sexos;Crecimiento vegetativo;-1131;
Jaén;2016;Hombres;Crecimiento vegetativo;-584;
Jaén;2016;Mujeres;Crecimiento vegetativo;-547;
Jaén;2017;Ambos sexos;Crecimiento vegetativo;-1705;
Jaén;2017;Hombres;Crecimiento vegetativo;-933;
Jaén;2017;Mujeres;Crecimiento vegetativo;-772;
Jaén;2018;Ambos sexos;Crecimiento vegetativo;-1990;
Jaén;2018;Hombres;Crecimiento vegetativo;-929;
Jaén;2018;Mujeres;Crecimiento vegetativo;-1061;
Jaén;2019;Ambos sexos;Crecimiento vegetativo;-1784;
Jaén;2019;Hombres;Crecimiento vegetativo;-856;
Jaén;2019;Mujeres;Crecimiento vegetativo;-928;
Jaén;2020;Ambos sexos;Crecimiento vegetativo;-2829;
Jaén;2020;Hombres;Crecimiento vegetativo;-1323;
Jaén;2020;Mujeres;Crecimiento vegetativo;-1506;
Jaén;2021;Ambos sexos;Crecimiento vegetativo;-2435;
Jaén;2021;Hombres;Crecimiento vegetativo;-1174;
Jaén;2021;Mujeres;Crecimiento vegetativo;-1261;
Jaén;2022;Ambos sexos;Crecimiento vegetativo;-3059;
Jaén;2022;Hombres;Crecimiento vegetativo;-1425;
Jaén;2022;Mujeres;Crecimiento vegetativo;-1634;
Jaén;2023;Ambos sexos;Crecimiento vegetativo;-2428;
Jaén;2023;Hombres;Crecimiento vegetativo;-1162;
Jaén;2023;Mujeres;Crecimiento vegetativo;-1266;
Albanchez de Mágina;1996;Ambos sexos;Crecimiento vegetativo;8;
Albanchez de Mágina;1996;Hombres;Crecimiento vegetativo;9;
Albanchez de Mágina;1996;Mujeres;Crecimiento vegetativo;-1;
Albanchez de Mágina;1997;Ambos sexos;Crecimiento vegetativo;-9;
Albanchez de Mágina;1997;Hombres;Crecimiento vegetativo;-4;
Albanchez de Mágina;1997;Mujeres;Crecimiento vegetativo;-5;
Albanchez de Mágina;1998;Ambos sexos;Crecimiento vegetativo;-11;
Albanchez de Mágina;1998;Hombres;Crecimiento vegetativo;-9;
Albanchez de Mágina;1998;Mujeres;Crecimiento vegetativo;-2;
Albanchez de Mágina;1999;Ambos sexos;Crecimiento vegetativo;-6;
Albanchez de Mágina;1999;Hombres;Crecimiento vegetativo;-4;
Albanchez de Mágina;1999;Mujeres;Crecimiento vegetativo;-2;
Albanchez de Mágina;2000;Ambos sexos;Crecimiento vegetativo;-1;
Albanchez de Mágina;2000;Hombres;Crecimiento vegetativo;1;
Albanchez de Mágina;2000;Mujeres;Crecimiento vegetativo;-2;
Albanchez de Mágina;2001;Ambos sexos;Crecimiento vegetativo;-10;
Albanchez de Mágina;2001;Hombres;Crecimiento vegetativo;-7;
Albanchez de Mágina;2001;Mujeres;Crecimiento vegetativo;-3;
Albanchez de Mágina;2002;Ambos sexos;Crecimiento vegetativo;-11;
Albanchez de Mágina;2002;Hombres;Crecimiento vegetativo;-9;
Albanchez de Mágina;2002;Mujeres;Crecimiento vegetativo;-2;
Albanchez de Mágina;2003;Ambos sexos;Crecimiento vegetativo;-1;
Albanchez de Mágina;2003;Hombres;Crecimiento vegetativo;-1;
Albanchez de Mágina;2003;Mujeres;Crecimiento vegetativo;0;
Albanchez de Mágina;2004;Ambos sexos;Crecimiento vegetativo;-5;
Albanchez de Mágina;2004;Hombres;Crecimiento vegetativo;-1;
Albanchez de Mágina;2004;Mujeres;Crecimiento vegetativo;-4;
Albanchez de Mágina;2005;Ambos sexos;Crecimiento vegetativo;-3;
Albanchez de Mágina;2005;Hombres;Crecimiento vegetativo;0;
Albanchez de Mágina;2005;Mujeres;Crecimiento vegetativo;-3;
Albanchez de Mágina;2006;Ambos sexos;Crecimiento vegetativo;-13;
Albanchez de Mágina;2006;Hombres;Crecimiento vegetativo;-2;
Albanchez de Mágina;2006;Mujeres;Crecimiento vegetativo;-11;
Albanchez de Mágina;2007;Ambos sexos;Crecimiento vegetativo;-17;
Albanchez de Mágina;2007;Hombres;Crecimiento vegetativo;-8;
Albanchez de Mágina;2007;Mujeres;Crecimiento vegetativo;-9;
Albanchez de Mágina;2008;Ambos sexos;Crecimiento vegetativo;-16;
Albanchez de Mágina;2008;Hombres;Crecimiento vegetativo;-6;
Albanchez de Mágina;2008;Mujeres;Crecimiento vegetativo;-10;
Albanchez de Mágina;2009;Ambos sexos;Crecimiento vegetativo;-15;
Albanchez de Mágina;2009;Hombres;Crecimiento vegetativo;-10;
Albanchez de Mágina;2009;Mujeres;Crecimiento vegetativo;-5;
Albanchez de Mágina;2010;Ambos sexos;Crecimiento vegetativo;-13;
Albanchez de Mágina;2010;Hombres;Crecimiento vegetativo;-7;
Albanchez de Mágina;2010;Mujeres;Crecimiento vegetativo;-6;
Albanchez de Mágina;2011;Ambos sexos;Crecimiento vegetativo;-7;
Albanchez de Mágina;2011;Hombres;Crecimiento vegetativo;-1;
Albanchez de Mágina;2011;Mujeres;Crecimiento vegetativo;-6;
Albanchez de Mágina;2012;Ambos sexos;Crecimiento vegetativo;-19;
Albanchez de Mágina;2012;Hombres;Crecimiento vegetativo;-9;
Albanchez de Mágina;2012;Mujeres;Crecimiento vegetativo;-10;
Albanchez de Mágina;2013;Ambos sexos;Crecimiento vegetativo;-16;
Albanchez de Mágina;2013;Hombres;Crecimiento vegetativo;-9;
Albanchez de Mágina;2013;Mujeres;Crecimiento vegetativo;-7;
Albanchez de Mágina;2014;Ambos sexos;Crecimiento vegetativo;-20;
Albanchez de Mágina;2014;Hombres;Crecimiento vegetativo;-9;
Albanchez de Mágina;2014;Mujeres;Crecimiento vegetativo;-11;
Albanchez de Mágina;2015;Ambos sexos;Crecimiento vegetativo;-12;
Albanchez de Mágina;2015;Hombres;Crecimiento vegetativo;-5;
Albanchez de Mágina;2015;Mujeres;Crecimiento vegetativo;-7;
Albanchez de Mágina;2016;Ambos sexos;Crecimiento vegetativo;-10;
Albanchez de Mágina;2016;Hombres;Crecimiento vegetativo;-5;
Albanchez de Mágina;2016;Mujeres;Crecimiento vegetativo;-5;
Albanchez de Mágina;2017;Ambos sexos;Crecimiento vegetativo;-17;
Albanchez de Mágina;2017;Hombres;Crecimiento vegetativo;-6;
Albanchez de Mágina;2017;Mujeres;Crecimiento vegetativo;-11;
Albanchez de Mágina;2018;Ambos sexos;Crecimiento vegetativo;-20;
Albanchez de Mágina;2018;Hombres;Crecimiento vegetativo;-13;
Albanchez de Mágina;2018;Mujeres;Crecimiento vegetativo;-7;
Albanchez de Mágina;2019;Ambos sexos;Crecimiento vegetativo;-14;
Albanchez de Mágina;2019;Hombres;Crecimiento vegetativo;-9;
Albanchez de Mágina;2019;Mujeres;Crecimiento vegetativo;-5;
Albanchez de Mágina;2020;Ambos sexos;Crecimiento vegetativo;-16;
Albanchez de Mágina;2020;Hombres;Crecimiento vegetativo;-7;
Albanchez de Mágina;2020;Mujeres;Crecimiento vegetativo;-9;
Albanchez de Mágina;2021;Ambos sexos;Crecimiento vegetativo;-15;
Albanchez de Mágina;2021;Hombres;Crecimiento vegetativo;-8;
Albanchez de Mágina;2021;Mujeres;Crecimiento vegetativo;-7;
Albanchez de Mágina;2022;Ambos sexos;Crecimiento vegetativo;-22;
Albanchez de Mágina;2022;Hombres;Crecimiento vegetativo;-11;
Albanchez de Mágina;2022;Mujeres;Crecimiento vegetativo;-11;
Albanchez de Mágina;2023;Ambos sexos;Crecimiento vegetativo;-6;
Albanchez de Mágina;2023;Hombres;Crecimiento vegetativo;-6;
Albanchez de Mágina;2023;Mujeres;Crecimiento vegetativo;0;
Alcalá la Real;1996;Ambos sexos;Crecimiento vegetativo;11;
Alcalá la Real;1996;Hombres;Crecimiento vegetativo;10;
Alcalá la Real;1996;Mujeres;Crecimiento vegetativo;1;
Alcalá la Real;1997;Ambos sexos;Crecimiento vegetativo;19;
Alcalá la Real;1997;Hombres;Crecimiento vegetativo;-24;
Alcalá la Real;1997;Mujeres;Crecimiento vegetativo;43;
Alcalá la Real;1998;Ambos sexos;Crecimiento vegetativo;5;
Alcalá la Real;1998;Hombres;Crecimiento vegetativo;-25;
Alcalá la Real;1998;Mujeres;Crecimiento vegetativo;30;
Alcalá la Real;1999;Ambos sexos;Crecimiento vegetativo;8;
Alcalá la Real;1999;Hombres;Crecimiento vegetativo;0;
Alcalá la Real;1999;Mujeres;Crecimiento vegetativo;8;
Alcalá la Real;2000;Ambos sexos;Crecimiento vegetativo;3;
Alcalá la Real;2000;Hombres;Crecimiento vegetativo;-3;
Alcalá la Real;2000;Mujeres;Crecimiento vegetativo;6;
Alcalá la Real;2001;Ambos sexos;Crecimiento vegetativo;-27;
Alcalá la Real;2001;Hombres;Crecimiento vegetativo;-23;
Alcalá la Real;2001;Mujeres;Crecimiento vegetativo;-4;
Alcalá la Real;2002;Ambos sexos;Crecimiento vegetativo;23;
Alcalá la Real;2002;Hombres;Crecimiento vegetativo;8;
Alcalá la Real;2002;Mujeres;Crecimiento vegetativo;15;
Alcalá la Real;2003;Ambos sexos;Crecimiento vegetativo;19;
Alcalá la Real;2003;Hombres;Crecimiento vegetativo;1;
Alcalá la Real;2003;Mujeres;Crecimiento vegetativo;18;
Alcalá la Real;2004;Ambos sexos;Crecimiento vegetativo;-28;
Alcalá la Real;2004;Hombres;Crecimiento vegetativo;-32;
Alcalá la Real;2004;Mujeres;Crecimiento vegetativo;4;
Alcalá la Real;2005;Ambos sexos;Crecimiento vegetativo;-24;
Alcalá la Real;2005;Hombres;Crecimiento vegetativo;-13;
Alcalá la Real;2005;Mujeres;Crecimiento vegetativo;-11;
Alcalá la Real;2006;Ambos sexos;Crecimiento vegetativo;47;
Alcalá la Real;2006;Hombres;Crecimiento vegetativo;28;
Alcalá la Real;2006;Mujeres;Crecimiento vegetativo;19;
Alcalá la Real;2007;Ambos sexos;Crecimiento vegetativo;-15;
Alcalá la Real;2007;Hombres;Crecimiento vegetativo;-7;
Alcalá la Real;2007;Mujeres;Crecimiento vegetativo;-8;
Alcalá la Real;2008;Ambos sexos;Crecimiento vegetativo;23;
Alcalá la Real;2008;Hombres;Crecimiento vegetativo;4;
Alcalá la Real;2008;Mujeres;Crecimiento vegetativo;19;
Alcalá la Real;2009;Ambos sexos;Crecimiento vegetativo;-47;
Alcalá la Real;2009;Hombres;Crecimiento vegetativo;-45;
Alcalá la Real;2009;Mujeres;Crecimiento vegetativo;-2;
Alcalá la Real;2010;Ambos sexos;Crecimiento vegetativo;16;
Alcalá la Real;2010;Hombres;Crecimiento vegetativo;-18;
Alcalá la Real;2010;Mujeres;Crecimiento vegetativo;34;
Alcalá la Real;2011;Ambos sexos;Crecimiento vegetativo;-38;
Alcalá la Real;2011;Hombres;Crecimiento vegetativo;-20;
Alcalá la Real;2011;Mujeres;Crecimiento vegetativo;-18;
Alcalá la Real;2012;Ambos sexos;Crecimiento vegetativo;-80;
Alcalá la Real;2012;Hombres;Crecimiento vegetativo;-46;
Alcalá la Real;2012;Mujeres;Crecimiento vegetativo;-34;
