Lugar de residencia;Anual;Sexo;Medida;Valor;
Málaga;1996;Ambos sexos;Crecimiento vegetativo;2784;
Málaga;1996;Hombres;Crecimiento vegetativo;1183;
Málaga;1996;Mujeres;Crecimiento vegetativo;1601;
Málaga;1997;Ambos sexos;Crecimiento vegetativo;3214;
Málaga;1997;Hombres;Crecimiento vegetativo;1450;
Málaga;1997;Mujeres;Crecimiento vegetativo;1764;
Málaga;1998;Ambos sexos;Crecimiento vegetativo;2526;
Málaga;1998;Hombres;Crecimiento vegetativo;1105;
Málaga;1998;Mujeres;Crecimiento vegetativo;1421;
Málaga;1999;Ambos sexos;Crecimiento vegetativo;3064;
Málaga;1999;Hombres;Crecimiento vegetativo;1524;
Málaga;1999;Mujeres;Crecimiento vegetativo;1540;
Málaga;2000;Ambos sexos;Crecimiento vegetativo;3620;
Málaga;2000;Hombres;Crecimiento vegetativo;1764;
Málaga;2000;Mujeres;Crecimiento vegetativo;1856;
Málaga;2001;Ambos sexos;Crecimiento vegetativo;4093;
Málaga;2001;Hombres;Crecimiento vegetativo;1897;
Málaga;2001;Mujeres;Crecimiento vegetativo;2196;
Málaga;2002;Ambos sexos;Crecimiento vegetativo;4257;
Málaga;2002;Hombres;Crecimiento vegetativo;1985;
Málaga;2002;Mujeres;Crecimiento vegetativo;2272;
Málaga;2003;Ambos sexos;Crecimiento vegetativo;4649;
Málaga;2003;Hombres;Crecimiento vegetativo;2169;
Málaga;2003;Mujeres;Crecimiento vegetativo;2480;
Málaga;2004;Ambos sexos;Crecimiento vegetativo;5736;
Málaga;2004;Hombres;Crecimiento vegetativo;2762;
Málaga;2004;Mujeres;Crecimiento vegetativo;2974;
Málaga;2005;Ambos sexos;Crecimiento vegetativo;5690;
Málaga;2005;Hombres;Crecimiento vegetativo;2740;
Málaga;2005;Mujeres;Crecimiento vegetativo;2950;
Málaga;2006;Ambos sexos;Crecimiento vegetativo;6813;
Málaga;2006;Hombres;Crecimiento vegetativo;3409;
Málaga;2006;Mujeres;Crecimiento vegetativo;3404;
Málaga;2007;Ambos sexos;Crecimiento vegetativo;6831;
Málaga;2007;Hombres;Crecimiento vegetativo;3271;
Málaga;2007;Mujeres;Crecimiento vegetativo;3560;
Málaga;2008;Ambos sexos;Crecimiento vegetativo;7194;
Málaga;2008;Hombres;Crecimiento vegetativo;3687;
Málaga;2008;Mujeres;Crecimiento vegetativo;3507;
Málaga;2009;Ambos sexos;Crecimiento vegetativo;6338;
Málaga;2009;Hombres;Crecimiento vegetativo;3055;
Málaga;2009;Mujeres;Crecimiento vegetativo;3283;
Málaga;2010;Ambos sexos;Crecimiento vegetativo;5992;
Málaga;2010;Hombres;Crecimiento vegetativo;2867;
Málaga;2010;Mujeres;Crecimiento vegetativo;3125;
Málaga;2011;Ambos sexos;Crecimiento vegetativo;5456;
Málaga;2011;Hombres;Crecimiento vegetativo;2596;
Málaga;2011;Mujeres;Crecimiento vegetativo;2860;
Málaga;2012;Ambos sexos;Crecimiento vegetativo;4579;
Málaga;2012;Hombres;Crecimiento vegetativo;2188;
Málaga;2012;Mujeres;Crecimiento vegetativo;2391;
Málaga;2013;Ambos sexos;Crecimiento vegetativo;3872;
Málaga;2013;Hombres;Crecimiento vegetativo;1909;
Málaga;2013;Mujeres;Crecimiento vegetativo;1963;
Málaga;2014;Ambos sexos;Crecimiento vegetativo;3444;
Málaga;2014;Hombres;Crecimiento vegetativo;1686;
Málaga;2014;Mujeres;Crecimiento vegetativo;1758;
Málaga;2015;Ambos sexos;Crecimiento vegetativo;2290;
Málaga;2015;Hombres;Crecimiento vegetativo;1080;
Málaga;2015;Mujeres;Crecimiento vegetativo;1210;
Málaga;2016;Ambos sexos;Crecimiento vegetativo;2432;
Málaga;2016;Hombres;Crecimiento vegetativo;1226;
Málaga;2016;Mujeres;Crecimiento vegetativo;1206;
Málaga;2017;Ambos sexos;Crecimiento vegetativo;1714;
Málaga;2017;Hombres;Crecimiento vegetativo;783;
Málaga;2017;Mujeres;Crecimiento vegetativo;931;
Málaga;2018;Ambos sexos;Crecimiento vegetativo;157;
Málaga;2018;Hombres;Crecimiento vegetativo;-44;
Málaga;2018;Mujeres;Crecimiento vegetativo;201;
Málaga;2019;Ambos sexos;Crecimiento vegetativo;484;
Málaga;2019;Hombres;Crecimiento vegetativo;135;
Málaga;2019;Mujeres;Crecimiento vegetativo;349;
