Lugar de residencia;Anual;Sexo;Medida;Valor;
Sevilla;1996;Ambos sexos;Crecimiento vegetativo;4984;
Sevilla;1996;Hombres;Crecimiento vegetativo;2434;
Sevilla;1996;Mujeres;Crecimiento vegetativo;2550;
Sevilla;1997;Ambos sexos;Crecimiento vegetativo;5469;
Sevilla;1997;Hombres;Crecimiento vegetativo;2599;
Sevilla;1997;Mujeres;Crecimiento vegetativo;2870;
Sevilla;1998;Ambos sexos;Crecimiento vegetativo;4148;
Sevilla;1998;Hombres;Crecimiento vegetativo;2012;
Sevilla;1998;Mujeres;Crecimiento vegetativo;2136;
Sevilla;1999;Ambos sexos;Crecimiento vegetativo;4200;
Sevilla;1999;Hombres;Crecimiento vegetativo;2140;
Sevilla;1999;Mujeres;Crecimiento vegetativo;2060;
Sevilla;2000;Ambos sexos;Crecimiento vegetativo;5715;
Sevilla;2000;Hombres;Crecimiento vegetativo;2984;
Sevilla;2000;Mujeres;Crecimiento vegetativo;2731;
Sevilla;2001;Ambos sexos;Crecimiento vegetativo;5652;
Sevilla;2001;Hombres;Crecimiento vegetativo;2778;
Sevilla;2001;Mujeres;Crecimiento vegetativo;2874;
Sevilla;2002;Ambos sexos;Crecimiento vegetativo;5649;
Sevilla;2002;Hombres;Crecimiento vegetativo;2817;
Sevilla;2002;Mujeres;Crecimiento vegetativo;2832;
Sevilla;2003;Ambos sexos;Crecimiento vegetativo;5524;
Sevilla;2003;Hombres;Crecimiento vegetativo;2984;
Sevilla;2003;Mujeres;Crecimiento vegetativo;2540;
Sevilla;2004;Ambos sexos;Crecimiento vegetativo;7066;
Sevilla;2004;Hombres;Crecimiento vegetativo;3521;
Sevilla;2004;Mujeres;Crecimiento vegetativo;3545;
Sevilla;2005;Ambos sexos;Crecimiento vegetativo;7297;
Sevilla;2005;Hombres;Crecimiento vegetativo;3691;
Sevilla;2005;Mujeres;Crecimiento vegetativo;3606;
Sevilla;2006;Ambos sexos;Crecimiento vegetativo;8850;
Sevilla;2006;Hombres;Crecimiento vegetativo;4589;
Sevilla;2006;Mujeres;Crecimiento vegetativo;4261;
Sevilla;2007;Ambos sexos;Crecimiento vegetativo;8740;
Sevilla;2007;Hombres;Crecimiento vegetativo;4450;
Sevilla;2007;Mujeres;Crecimiento vegetativo;4290;
Sevilla;2008;Ambos sexos;Crecimiento vegetativo;10270;
Sevilla;2008;Hombres;Crecimiento vegetativo;5278;
Sevilla;2008;Mujeres;Crecimiento vegetativo;4992;
Sevilla;2009;Ambos sexos;Crecimiento vegetativo;9226;
Sevilla;2009;Hombres;Crecimiento vegetativo;4724;
Sevilla;2009;Mujeres;Crecimiento vegetativo;4502;
Sevilla;2010;Ambos sexos;Crecimiento vegetativo;8390;
Sevilla;2010;Hombres;Crecimiento vegetativo;4202;
Sevilla;2010;Mujeres;Crecimiento vegetativo;4188;
Sevilla;2011;Ambos sexos;Crecimiento vegetativo;7327;
Sevilla;2011;Hombres;Crecimiento vegetativo;3796;
Sevilla;2011;Mujeres;Crecimiento vegetativo;3531;
Sevilla;2012;Ambos sexos;Crecimiento vegetativo;6046;
Sevilla;2012;Hombres;Crecimiento vegetativo;3110;
Sevilla;2012;Mujeres;Crecimiento vegetativo;2936;
Sevilla;2013;Ambos sexos;Crecimiento vegetativo;5406;
Sevilla;2013;Hombres;Crecimiento vegetativo;2939;
Sevilla;2013;Mujeres;Crecimiento vegetativo;2467;
Sevilla;2014;Ambos sexos;Crecimiento vegetativo;5383;
Sevilla;2014;Hombres;Crecimiento vegetativo;2914;
Sevilla;2014;Mujeres;Crecimiento vegetativo;2469;
Sevilla;2015;Ambos sexos;Crecimiento vegetativo;3373;
Sevilla;2015;Hombres;Crecimiento vegetativo;1976;
Sevilla;2015;Mujeres;Crecimiento vegetativo;1397;
Sevilla;2016;Ambos sexos;Crecimiento vegetativo;3694;
Sevilla;2016;Hombres;Crecimiento vegetativo;2095;
Sevilla;2016;Mujeres;Crecimiento vegetativo;1599;
Sevilla;2017;Ambos sexos;Crecimiento vegetativo;1657;
Sevilla;2017;Hombres;Crecimiento vegetativo;1102;
Sevilla;2017;Mujeres;Crecimiento vegetativo;555;
Sevilla;2018;Ambos sexos;Crecimiento vegetativo;1302;
Sevilla;2018;Hombres;Crecimiento vegetativo;743;
Sevilla;2018;Mujeres;Crecimiento vegetativo;559;
Sevilla;2019;Ambos sexos;Crecimiento vegetativo;421;
Sevilla;2019;Hombres;Crecimiento vegetativo;333;
Sevilla;2019;Mujeres;Crecimiento vegetativo;88;
Sevilla;2020;Ambos sexos;Crecimiento vegetativo;-1856;
Sevilla;2020;Hombres;Crecimiento vegetativo;-871;
Sevilla;2020;Mujeres;Crecimiento vegetativo;-985;
Sevilla;2021;Ambos sexos;Crecimiento vegetativo;-2048;
Sevilla;2021;Hombres;Crecimiento vegetativo;-950;
Sevilla;2021;Mujeres;Crecimiento vegetativo;-1098;
Sevilla;2022;Ambos sexos;Crecimiento vegetativo;-2911;
Sevilla;2022;Hombres;Crecimiento vegetativo;-1410;
Sevilla;2022;Mujeres;Crecimiento vegetativo;-1501;
Sevilla;2023;Ambos sexos;Crecimiento vegetativo;-2013;
Sevilla;2023;Hombres;Crecimiento vegetativo;-961;
Sevilla;2023;Mujeres;Crecimiento vegetativo;-1052;
Aguadulce;1996;Ambos sexos;Crecimiento vegetativo;-8;
Aguadulce;1996;Hombres;Crecimiento vegetativo;-2;
Aguadulce;1996;Mujeres;Crecimiento vegetativo;-6;
Aguadulce;1997;Ambos sexos;Crecimiento vegetativo;0;
Aguadulce;1997;Hombres;Crecimiento vegetativo;-1;
Aguadulce;1997;Mujeres;Crecimiento vegetativo;1;
Aguadulce;1998;Ambos sexos;Crecimiento vegetativo;-6;
Aguadulce;1998;Hombres;Crecimiento vegetativo;-7;
Aguadulce;1998;Mujeres;Crecimiento vegetativo;1;
Aguadulce;1999;Ambos sexos;Crecimiento vegetativo;1;
Aguadulce;1999;Hombres;Crecimiento vegetativo;-1;
Aguadulce;1999;Mujeres;Crecimiento vegetativo;2;
Aguadulce;2000;Ambos sexos;Crecimiento vegetativo;-12;
Aguadulce;2000;Hombres;Crecimiento vegetativo;-4;
