Lugar de residencia;Anual;Edad;Medida;Valor;
Almería;2010;Índice de dependencia global;Población municipal;43,833180310512255;
Almería;2010;Índice de dependencia jóvenes;Población municipal;25,578591693755843;
Almería;2010;Índice de dependencia mayores;Población municipal;18,25458861675641;
Almería;2011;Índice de dependencia global;Población municipal;44,37886718653706;
Almería;2011;Índice de dependencia jóvenes;Población municipal;25,70297542256588;
Almería;2011;Índice de dependencia mayores;Población municipal;18,675891763971176;
Almería;2012;Índice de dependencia global;Población municipal;45,32534292512501;
Almería;2012;Índice de dependencia jóvenes;Población municipal;26,056324948770175;
Almería;2012;Índice de dependencia mayores;Población municipal;19,26901797635483;
Almería;2013;Índice de dependencia global;Población municipal;46,11270248191165;
Almería;2013;Índice de dependencia jóvenes;Población municipal;26,42413757801025;
Almería;2013;Índice de dependencia mayores;Población municipal;19,6885649039014;
Almería;2014;Índice de dependencia global;Población municipal;46,779456800040165;
Almería;2014;Índice de dependencia jóvenes;Población municipal;26,68369396054019;
Almería;2014;Índice de dependencia mayores;Población municipal;20,095762839499976;
Almería;2015;Índice de dependencia global;Población municipal;47,45325393020263;
Almería;2015;Índice de dependencia jóvenes;Población municipal;26,86879137332088;
Almería;2015;Índice de dependencia mayores;Población municipal;20,584462556881743;
Almería;2016;Índice de dependencia global;Población municipal;47,68913642482983;
Almería;2016;Índice de dependencia jóvenes;Población municipal;26,948192200101495;
Almería;2016;Índice de dependencia mayores;Población municipal;20,740944224728334;
Almería;2017;Índice de dependencia global;Población municipal;48,10393464474186;
Almería;2017;Índice de dependencia jóvenes;Población municipal;26,96575052499654;
Almería;2017;Índice de dependencia mayores;Población municipal;21,13818411974532;
Almería;2018;Índice de dependencia global;Población municipal;48,53608178342135;
Almería;2018;Índice de dependencia jóvenes;Población municipal;26,947947247850507;
Almería;2018;Índice de dependencia mayores;Población municipal;21,588134535570845;
Almería;2019;Índice de dependencia global;Población municipal;48,75364195532535;
Almería;2019;Índice de dependencia jóvenes;Población municipal;26,84691751541865;
Almería;2019;Índice de dependencia mayores;Población municipal;21,9067244399067;
Almería;2020;Índice de dependencia global;Población municipal;48,93070720834075;
Almería;2020;Índice de dependencia jóvenes;Población municipal;26,6955957780683;
Almería;2020;Índice de dependencia mayores;Población municipal;22,235111430272454;
Almería;2021;Índice de dependencia global;Población municipal;49,069982990599;
Almería;2021;Índice de dependencia jóvenes;Población municipal;26,39492366140088;
Almería;2021;Índice de dependencia mayores;Población municipal;22,675059329198113;
Almería;2022;Índice de dependencia global;Población municipal;49,011898270092544;
Almería;2022;Índice de dependencia jóvenes;Población municipal;26,06773542497128;
Almería;2022;Índice de dependencia mayores;Población municipal;22,944162845121266;
Abla;2010;Índice de dependencia global;Población municipal;60,416666666666664;
Abla;2010;Índice de dependencia jóvenes;Población municipal;20,175438596491226;
Abla;2010;Índice de dependencia mayores;Población municipal;40,24122807017544;
Abla;2011;Índice de dependencia global;Población municipal;59,48275862068966;
Abla;2011;Índice de dependencia jóvenes;Población municipal;19,612068965517242;
Abla;2011;Índice de dependencia mayores;Población municipal;39,87068965517241;
Abla;2012;Índice de dependencia global;Población municipal;57,188841201716734;
Abla;2012;Índice de dependencia jóvenes;Población municipal;18,669527896995707;
Abla;2012;Índice de dependencia mayores;Población municipal;38,51931330472103;
Abla;2013;Índice de dependencia global;Población municipal;59,59595959595959;
Abla;2013;Índice de dependencia jóvenes;Población municipal;18,855218855218855;
Abla;2013;Índice de dependencia mayores;Población municipal;40,74074074074074;
Abla;2014;Índice de dependencia global;Población municipal;57,395143487858725;
Abla;2014;Índice de dependencia jóvenes;Población municipal;18,543046357615893;
Abla;2014;Índice de dependencia mayores;Población municipal;38,852097130242825;
Abla;2015;Índice de dependencia global;Población municipal;61,4921780986763;
Abla;2015;Índice de dependencia jóvenes;Población municipal;18,65222623345367;
Abla;2015;Índice de dependencia mayores;Población municipal;42,83995186522262;
Abla;2016;Índice de dependencia global;Población municipal;59,163591635916355;
Abla;2016;Índice de dependencia jóvenes;Población municipal;17,097170971709716;
Abla;2016;Índice de dependencia mayores;Población municipal;42,066420664206646;
Abla;2017;Índice de dependencia global;Población municipal;60,786802030456855;
Abla;2017;Índice de dependencia jóvenes;Población municipal;17,512690355329948;
Abla;2017;Índice de dependencia mayores;Población municipal;43,2741116751269;
Abla;2018;Índice de dependencia global;Población municipal;63,14398943196829;
Abla;2018;Índice de dependencia jóvenes;Población municipal;17,701453104359313;
Abla;2018;Índice de dependencia mayores;Población municipal;45,442536327608984;
Abla;2019;Índice de dependencia global;Población municipal;60,953608247422686;
Abla;2019;Índice de dependencia jóvenes;Población municipal;17,525773195876287;
Abla;2019;Índice de dependencia mayores;Población municipal;43,427835051546396;
Abla;2020;Índice de dependencia global;Población municipal;65,73705179282868;
Abla;2020;Índice de dependencia jóvenes;Población municipal;17,928286852589643;
Abla;2020;Índice de dependencia mayores;Población municipal;47,808764940239044;
