Lugar de residencia;Anual;Edad;Medida;Valor;
Cádiz;1996;Índice de dependencia global;Población municipal;49,20145004245333;
Cádiz;1996;Índice de dependencia jóvenes;Población municipal;33,190218650264526;
Cádiz;1996;Índice de dependencia mayores;Población municipal;16,011231392188805;
Cádiz;1998;Índice de dependencia global;Población municipal;47,093039484488756;
Cádiz;1998;Índice de dependencia jóvenes;Población municipal;30,35510432241565;
Cádiz;1998;Índice de dependencia mayores;Población municipal;16,737935162073107;
Cádiz;1999;Índice de dependencia global;Población municipal;47,25175557419053;
Cádiz;1999;Índice de dependencia jóvenes;Población municipal;30,002568460216928;
Cádiz;1999;Índice de dependencia mayores;Población municipal;17,24918711397361;
Cádiz;2000;Índice de dependencia global;Población municipal;46,22888298057307;
Cádiz;2000;Índice de dependencia jóvenes;Población municipal;28,725905359133087;
Cádiz;2000;Índice de dependencia mayores;Población municipal;17,502977621439992;
Cádiz;2001;Índice de dependencia global;Población municipal;45,72933396010255;
Cádiz;2001;Índice de dependencia jóvenes;Población municipal;27,87613012261343;
Cádiz;2001;Índice de dependencia mayores;Población municipal;17,853203837489126;
Cádiz;2002;Índice de dependencia global;Población municipal;45,21425216365217;
Cádiz;2002;Índice de dependencia jóvenes;Población municipal;27,162156485610232;
Cádiz;2002;Índice de dependencia mayores;Población municipal;18,052095678041937;
Cádiz;2003;Índice de dependencia global;Población municipal;45,004190567959974;
Cádiz;2003;Índice de dependencia jóvenes;Población municipal;26,822520664267756;
Cádiz;2003;Índice de dependencia mayores;Población municipal;18,181669903692217;
Cádiz;2004;Índice de dependencia global;Población municipal;44,57646122460636;
Cádiz;2004;Índice de dependencia jóvenes;Población municipal;26,35760750662119;
Cádiz;2004;Índice de dependencia mayores;Población municipal;18,218853717985173;
Cádiz;2005;Índice de dependencia global;Población municipal;44,293299280865654;
Cádiz;2005;Índice de dependencia jóvenes;Población municipal;26,083375593423312;
Cádiz;2005;Índice de dependencia mayores;Población municipal;18,209923687442338;
Cádiz;2006;Índice de dependencia global;Población municipal;44,46284751250071;
Cádiz;2006;Índice de dependencia jóvenes;Población municipal;25,935904896600704;
Cádiz;2006;Índice de dependencia mayores;Población municipal;18,52694261590001;
Cádiz;2007;Índice de dependencia global;Población municipal;44,37118323235005;
Cádiz;2007;Índice de dependencia jóvenes;Población municipal;25,8521996898157;
Cádiz;2007;Índice de dependencia mayores;Población municipal;18,51898354253435;
Cádiz;2008;Índice de dependencia global;Población municipal;44,47174941611948;
Cádiz;2008;Índice de dependencia jóvenes;Población municipal;25,785560483866192;
Cádiz;2008;Índice de dependencia mayores;Población municipal;18,686188932253287;
Cádiz;2009;Índice de dependencia global;Población municipal;45,12286445109302;
Cádiz;2009;Índice de dependencia jóvenes;Población municipal;25,942283131301103;
Cádiz;2009;Índice de dependencia mayores;Población municipal;19,180581319791926;
Alcalá de los Gazules;1996;Índice de dependencia global;Población municipal;58,56478452372473;
Alcalá de los Gazules;1996;Índice de dependencia jóvenes;Población municipal;35,480034832242104;
Alcalá de los Gazules;1996;Índice de dependencia mayores;Población municipal;23,084749691482614;
Alcalá de los Gazules;1998;Índice de dependencia global;Población municipal;57,171034094111015;
Alcalá de los Gazules;1998;Índice de dependencia jóvenes;Población municipal;31,896308819385744;
Alcalá de los Gazules;1998;Índice de dependencia mayores;Población municipal;25,274725274725274;
Alcalá de los Gazules;1999;Índice de dependencia global;Población municipal;58,45676570837636;
Alcalá de los Gazules;1999;Índice de dependencia jóvenes;Población municipal;31,817427022366463;
Alcalá de los Gazules;1999;Índice de dependencia mayores;Población municipal;26,6393386860099;
Alcalá de los Gazules;2000;Índice de dependencia global;Población municipal;56,48382559774965;
Alcalá de los Gazules;2000;Índice de dependencia jóvenes;Población municipal;30,042194092827003;
Alcalá de los Gazules;2000;Índice de dependencia mayores;Población municipal;26,441631504922647;
Alcalá de los Gazules;2001;Índice de dependencia global;Población municipal;58,079096045197744;
Alcalá de los Gazules;2001;Índice de dependencia jóvenes;Población municipal;30,7909604519774;
Alcalá de los Gazules;2001;Índice de dependencia mayores;Población municipal;27,288135593220336;
Alcalá de los Gazules;2002;Índice de dependencia global;Población municipal;58,54700854700855;
Alcalá de los Gazules;2002;Índice de dependencia jóvenes;Población municipal;31,25356125356125;
Alcalá de los Gazules;2002;Índice de dependencia mayores;Población municipal;27,293447293447294;
Alcalá de los Gazules;2003;Índice de dependencia global;Población municipal;57,74202815282965;
Alcalá de los Gazules;2003;Índice de dependencia jóvenes;Población municipal;30,4222924446998;
Alcalá de los Gazules;2003;Índice de dependencia mayores;Población municipal;27,31973570812985;
Alcalá de los Gazules;2004;Índice de dependencia global;Población municipal;58,44671201814059;
Alcalá de los Gazules;2004;Índice de dependencia jóvenes;Población municipal;31,746031746031743;
Alcalá de los Gazules;2004;Índice de dependencia mayores;Población municipal;26,700680272108844;
Alcalá de los Gazules;2005;Índice de dependencia global;Población municipal;57,47833379927313;
Alcalá de los Gazules;2005;Índice de dependencia jóvenes;Población municipal;31,81436958344982;
Alcalá de los Gazules;2005;Índice de dependencia mayores;Población municipal;25,663964215823317;
Alcalá de los Gazules;2006;Índice de dependencia global;Población municipal;56,77025527192009;
Alcalá de los Gazules;2006;Índice de dependencia jóvenes;Población municipal;31,35405105438402;
Alcalá de los Gazules;2006;Índice de dependencia mayores;Población municipal;25,41620421753607;
Alcalá de los Gazules;2007;Índice de dependencia global;Población municipal;54,70411780747205;
