Lugar de residencia;Anual;Edad;Medida;Valor;
Córdoba;2010;Índice de dependencia global;Población municipal;51,862184220900595;
Córdoba;2010;Índice de dependencia jóvenes;Población municipal;25,464720827981147;
Córdoba;2010;Índice de dependencia mayores;Población municipal;26,397463392919455;
Córdoba;2011;Índice de dependencia global;Población municipal;52,077184374410265;
Córdoba;2011;Índice de dependencia jóvenes;Población municipal;25,311756935270807;
Córdoba;2011;Índice de dependencia mayores;Población municipal;26,76542743913946;
Córdoba;2012;Índice de dependencia global;Población municipal;52,063494463703144;
Córdoba;2012;Índice de dependencia jóvenes;Población municipal;25,20857984251135;
Córdoba;2012;Índice de dependencia mayores;Población municipal;26,85491462119179;
Córdoba;2013;Índice de dependencia global;Población municipal;52,335371630023516;
Córdoba;2013;Índice de dependencia jóvenes;Población municipal;25,183816898814804;
Córdoba;2013;Índice de dependencia mayores;Población municipal;27,151554731208723;
Córdoba;2014;Índice de dependencia global;Población municipal;52,81777376755852;
Córdoba;2014;Índice de dependencia jóvenes;Población municipal;25,068628275614213;
Córdoba;2014;Índice de dependencia mayores;Población municipal;27,749145491944304;
Córdoba;2015;Índice de dependencia global;Población municipal;53,145247288812236;
Córdoba;2015;Índice de dependencia jóvenes;Población municipal;24,93927016403793;
Córdoba;2015;Índice de dependencia mayores;Población municipal;28,205977124774307;
Córdoba;2016;Índice de dependencia global;Población municipal;52,97166311102867;
Córdoba;2016;Índice de dependencia jóvenes;Población municipal;24,74492162137093;
Córdoba;2016;Índice de dependencia mayores;Población municipal;28,22674148965773;
Córdoba;2017;Índice de dependencia global;Población municipal;53,0495583572326;
Córdoba;2017;Índice de dependencia jóvenes;Población municipal;24,541124524037443;
Córdoba;2017;Índice de dependencia mayores;Población municipal;28,508433833195145;
Córdoba;2018;Índice de dependencia global;Población municipal;53,264811395513156;
Córdoba;2018;Índice de dependencia jóvenes;Población municipal;24,33686873221403;
Córdoba;2018;Índice de dependencia mayores;Población municipal;28,92794266329912;
Córdoba;2019;Índice de dependencia global;Población municipal;53,63344000973234;
Córdoba;2019;Índice de dependencia jóvenes;Población municipal;24,094215339817637;
Córdoba;2019;Índice de dependencia mayores;Población municipal;29,539224669914706;
Córdoba;2020;Índice de dependencia global;Población municipal;53,793516060277454;
Córdoba;2020;Índice de dependencia jóvenes;Población municipal;23,787434783721075;
Córdoba;2020;Índice de dependencia mayores;Población municipal;30,006081276556383;
Córdoba;2021;Índice de dependencia global;Población municipal;53,86286837090826;
Córdoba;2021;Índice de dependencia jóvenes;Población municipal;23,361222363516077;
Córdoba;2021;Índice de dependencia mayores;Población municipal;30,501646007392182;
