Lugar de residencia;Anual;Edad;Medida;Valor;
Granada;2010;Índice de dependencia global;Población municipal;48,87163180024875;
Granada;2010;Índice de dependencia jóvenes;Población municipal;24,843721369187286;
Granada;2010;Índice de dependencia mayores;Población municipal;24,02791043106146;
Granada;2011;Índice de dependencia global;Población municipal;49,17125289008714;
Granada;2011;Índice de dependencia jóvenes;Población municipal;24,834177972897315;
Granada;2011;Índice de dependencia mayores;Población municipal;24,337074917189828;
Granada;2012;Índice de dependencia global;Población municipal;49,5533305354038;
Granada;2012;Índice de dependencia jóvenes;Población municipal;24,89665755449076;
Granada;2012;Índice de dependencia mayores;Población municipal;24,656672980913044;
Granada;2013;Índice de dependencia global;Población municipal;50,0147678188829;
Granada;2013;Índice de dependencia jóvenes;Población municipal;25,143965836568384;
Granada;2013;Índice de dependencia mayores;Población municipal;24,870801982314518;
Granada;2014;Índice de dependencia global;Población municipal;50,52231097024931;
Granada;2014;Índice de dependencia jóvenes;Población municipal;25,053737212344252;
Granada;2014;Índice de dependencia mayores;Población municipal;25,468573757905062;
Granada;2015;Índice de dependencia global;Población municipal;50,899014292106436;
Granada;2015;Índice de dependencia jóvenes;Población municipal;24,974995393888346;
Granada;2015;Índice de dependencia mayores;Población municipal;25,924018898218094;
Granada;2016;Índice de dependencia global;Población municipal;51,00171061986464;
Granada;2016;Índice de dependencia jóvenes;Población municipal;24,891086136391007;
Granada;2016;Índice de dependencia mayores;Población municipal;26,110624483473632;
Granada;2017;Índice de dependencia global;Población municipal;51,225790634959544;
Granada;2017;Índice de dependencia jóvenes;Población municipal;24,770247079636636;
Granada;2017;Índice de dependencia mayores;Población municipal;26,45554355532291;
Granada;2018;Índice de dependencia global;Población municipal;51,33904126636468;
Granada;2018;Índice de dependencia jóvenes;Población municipal;24,548094313637645;
Granada;2018;Índice de dependencia mayores;Población municipal;26,79094695272703;
Granada;2019;Índice de dependencia global;Población municipal;51,46408871799713;
Granada;2019;Índice de dependencia jóvenes;Población municipal;24,301902164463453;
Granada;2019;Índice de dependencia mayores;Población municipal;27,16218655353367;
Granada;2020;Índice de dependencia global;Población municipal;51,47616952342343;
Granada;2020;Índice de dependencia jóvenes;Población municipal;24,032352955717386;
Granada;2020;Índice de dependencia mayores;Población municipal;27,44381656770604;
Granada;2021;Índice de dependencia global;Población municipal;51,16143237310216;
Granada;2021;Índice de dependencia jóvenes;Población municipal;23,548414617739613;
Granada;2021;Índice de dependencia mayores;Población municipal;27,61301775536254;
Granada;2022;Índice de dependencia global;Población municipal;51,44158986345426;
Granada;2022;Índice de dependencia jóvenes;Población municipal;23,231500294838924;
Granada;2022;Índice de dependencia mayores;Población municipal;28,21008956861534;
Agrón;2010;Índice de dependencia global;Población municipal;65,85365853658537;
Agrón;2010;Índice de dependencia jóvenes;Población municipal;19,51219512195122;
Agrón;2010;Índice de dependencia mayores;Población municipal;46,34146341463415;
Agrón;2011;Índice de dependencia global;Población municipal;65,82914572864321;
Agrón;2011;Índice de dependencia jóvenes;Población municipal;17,08542713567839;
Agrón;2011;Índice de dependencia mayores;Población municipal;48,743718592964825;
Agrón;2012;Índice de dependencia global;Población municipal;64,42307692307693;
Agrón;2012;Índice de dependencia jóvenes;Población municipal;18,269230769230766;
Agrón;2012;Índice de dependencia mayores;Población municipal;46,15384615384615;
Agrón;2013;Índice de dependencia global;Población municipal;67,0103092783505;
Agrón;2013;Índice de dependencia jóvenes;Población municipal;17,525773195876287;
Agrón;2013;Índice de dependencia mayores;Población municipal;49,48453608247423;
Agrón;2014;Índice de dependencia global;Población municipal;65,60846560846561;
Agrón;2014;Índice de dependencia jóvenes;Población municipal;16,402116402116402;
Agrón;2014;Índice de dependencia mayores;Población municipal;49,2063492063492;
Agrón;2015;Índice de dependencia global;Población municipal;70,32967032967034;
Agrón;2015;Índice de dependencia jóvenes;Población municipal;18,681318681318682;
Agrón;2015;Índice de dependencia mayores;Población municipal;51,64835164835166;
Agrón;2016;Índice de dependencia global;Población municipal;69,71428571428572;
Agrón;2016;Índice de dependencia jóvenes;Población municipal;18,857142857142858;
Agrón;2016;Índice de dependencia mayores;Población municipal;50,857142857142854;
Agrón;2017;Índice de dependencia global;Población municipal;67,63005780346822;
Agrón;2017;Índice de dependencia jóvenes;Población municipal;20,23121387283237;
Agrón;2017;Índice de dependencia mayores;Población municipal;47,398843930635834;
Agrón;2018;Índice de dependencia global;Población municipal;66,47398843930635;
Agrón;2018;Índice de dependencia jóvenes;Población municipal;20,809248554913296;
Agrón;2018;Índice de dependencia mayores;Población municipal;45,664739884393065;
Agrón;2019;Índice de dependencia global;Población municipal;64,07185628742515;
Agrón;2019;Índice de dependencia jóvenes;Población municipal;21,55688622754491;
Agrón;2019;Índice de dependencia mayores;Población municipal;42,51497005988024;
Agrón;2020;Índice de dependencia global;Población municipal;59,50920245398773;
Agrón;2020;Índice de dependencia jóvenes;Población municipal;21,472392638036812;
Agrón;2020;Índice de dependencia mayores;Población municipal;38,036809815950924;
Agrón;2021;Índice de dependencia global;Población municipal;55,487804878048784;
Agrón;2021;Índice de dependencia jóvenes;Población municipal;20,121951219512198;
Agrón;2021;Índice de dependencia mayores;Población municipal;35,36585365853659;
Agrón;2022;Índice de dependencia global;Población municipal;58,333333333333336;
Agrón;2022;Índice de dependencia jóvenes;Población municipal;22,435897435897438;
Agrón;2022;Índice de dependencia mayores;Población municipal;35,8974358974359;
Alamedilla;2010;Índice de dependencia global;Población municipal;52,95404814004377;
Alamedilla;2010;Índice de dependencia jóvenes;Población municipal;15,973741794310722;
Alamedilla;2010;Índice de dependencia mayores;Población municipal;36,98030634573304;
Alamedilla;2011;Índice de dependencia global;Población municipal;55,75221238938053;
Alamedilla;2011;Índice de dependencia jóvenes;Población municipal;15,486725663716813;
Alamedilla;2011;Índice de dependencia mayores;Población municipal;40,26548672566372;
Alamedilla;2012;Índice de dependencia global;Población municipal;53,30296127562642;
Alamedilla;2012;Índice de dependencia jóvenes;Población municipal;13,895216400911162;
Alamedilla;2012;Índice de dependencia mayores;Población municipal;39,40774487471526;
Alamedilla;2013;Índice de dependencia global;Población municipal;56,531531531531535;
Alamedilla;2013;Índice de dependencia jóvenes;Población municipal;18,693693693693696;
Alamedilla;2013;Índice de dependencia mayores;Población municipal;37,83783783783784;
Alamedilla;2014;Índice de dependencia global;Población municipal;55,188679245283026;
Alamedilla;2014;Índice de dependencia jóvenes;Población municipal;16,037735849056602;
Alamedilla;2014;Índice de dependencia mayores;Población municipal;39,15094339622642;
Alamedilla;2015;Índice de dependencia global;Población municipal;54,23728813559322;
Alamedilla;2015;Índice de dependencia jóvenes;Población municipal;15,012106537530268;
Alamedilla;2015;Índice de dependencia mayores;Población municipal;39,22518159806295;
Alamedilla;2016;Índice de dependencia global;Población municipal;49,754901960784316;
Alamedilla;2016;Índice de dependencia jóvenes;Población municipal;12,745098039215685;
Alamedilla;2016;Índice de dependencia mayores;Población municipal;37,00980392156863;
Alamedilla;2017;Índice de dependencia global;Población municipal;48,894348894348894;
Alamedilla;2017;Índice de dependencia jóvenes;Población municipal;12,039312039312039;
Alamedilla;2017;Índice de dependencia mayores;Población municipal;36,85503685503686;
Alamedilla;2018;Índice de dependencia global;Población municipal;50,88161209068011;
Alamedilla;2018;Índice de dependencia jóvenes;Población municipal;11,586901763224182;
Alamedilla;2018;Índice de dependencia mayores;Población municipal;39,29471032745592;
Alamedilla;2019;Índice de dependencia global;Población municipal;50,65616797900262;
Alamedilla;2019;Índice de dependencia jóvenes;Población municipal;10,236220472440944;
Alamedilla;2019;Índice de dependencia mayores;Población municipal;40,419947506561684;
Alamedilla;2020;Índice de dependencia global;Población municipal;51,329787234042556;
Alamedilla;2020;Índice de dependencia jóvenes;Población municipal;10,372340425531915;
Alamedilla;2020;Índice de dependencia mayores;Población municipal;40,95744680851064;
Alamedilla;2021;Índice de dependencia global;Población municipal;52,43243243243243;
Alamedilla;2021;Índice de dependencia jóvenes;Población municipal;10,54054054054054;
Alamedilla;2021;Índice de dependencia mayores;Población municipal;41,891891891891895;
Alamedilla;2022;Índice de dependencia global;Población municipal;54,495912806539515;
Alamedilla;2022;Índice de dependencia jóvenes;Población municipal;12,806539509536785;
Alamedilla;2022;Índice de dependencia mayores;Población municipal;41,689373297002724;
Albolote;2010;Índice de dependencia global;Población municipal;42,67108882057919;
Albolote;2010;Índice de dependencia jóvenes;Población municipal;28,2559456398641;
Albolote;2010;Índice de dependencia mayores;Población municipal;14,415143180715095;
Albolote;2011;Índice de dependencia global;Población municipal;43,136;
Albolote;2011;Índice de dependencia jóvenes;Población municipal;28,16;
Albolote;2011;Índice de dependencia mayores;Población municipal;14,976;
Albolote;2012;Índice de dependencia global;Población municipal;43,56694975791729;
Albolote;2012;Índice de dependencia jóvenes;Población municipal;28,303833637590287;
Albolote;2012;Índice de dependencia mayores;Población municipal;15,26311612032701;
Albolote;2013;Índice de dependencia global;Población municipal;44,11413086793656;
Albolote;2013;Índice de dependencia jóvenes;Población municipal;28,580537180202437;
Albolote;2013;Índice de dependencia mayores;Población municipal;15,53359368773412;
Albolote;2014;Índice de dependencia global;Población municipal;44,59715639810427;
Albolote;2014;Índice de dependencia jóvenes;Población municipal;28,68878357030016;
Albolote;2014;Índice de dependencia mayores;Población municipal;15,908372827804108;
Albolote;2015;Índice de dependencia global;Población municipal;44,48704906487206;
Albolote;2015;Índice de dependencia jóvenes;Población municipal;28,069489005399483;
Albolote;2015;Índice de dependencia mayores;Población municipal;16,41756005947257;
Albolote;2016;Índice de dependencia global;Población municipal;44,428827984695864;
Albolote;2016;Índice de dependencia jóvenes;Población municipal;27,727024283594908;
Albolote;2016;Índice de dependencia mayores;Población municipal;16,70180370110096;
Albolote;2017;Índice de dependencia global;Población municipal;44,57271248159913;
Albolote;2017;Índice de dependencia jóvenes;Población municipal;27,481211745564423;
Albolote;2017;Índice de dependencia mayores;Población municipal;17,09150073603471;
Albolote;2018;Índice de dependencia global;Población municipal;44,72323013973597;
Albolote;2018;Índice de dependencia jóvenes;Población municipal;27,08252914382768;
Albolote;2018;Índice de dependencia mayores;Población municipal;17,640700995908283;
Albolote;2019;Índice de dependencia global;Población municipal;44,676923076923075;
Albolote;2019;Índice de dependencia jóvenes;Población municipal;26,60769230769231;
Albolote;2019;Índice de dependencia mayores;Población municipal;18,069230769230767;
Albolote;2020;Índice de dependencia global;Población municipal;44,692865318580694;
Albolote;2020;Índice de dependencia jóvenes;Población municipal;26,089278901182755;
Albolote;2020;Índice de dependencia mayores;Población municipal;18,603586417397942;
Albolote;2021;Índice de dependencia global;Población municipal;44,98597741226408;
Albolote;2021;Índice de dependencia jóvenes;Población municipal;25,831880542712042;
Albolote;2021;Índice de dependencia mayores;Población municipal;19,154096869552035;
Albolote;2022;Índice de dependencia global;Población municipal;45,51311202061543;
Albolote;2022;Índice de dependencia jóvenes;Población municipal;25,4585417614067;
Albolote;2022;Índice de dependencia mayores;Población municipal;20,05457025920873;
Albondón;2010;Índice de dependencia global;Población municipal;53,565217391304344;
Albondón;2010;Índice de dependencia jóvenes;Población municipal;16,17391304347826;
Albondón;2010;Índice de dependencia mayores;Población municipal;37,391304347826086;
Albondón;2011;Índice de dependencia global;Población municipal;48,848684210526315;
Albondón;2011;Índice de dependencia jóvenes;Población municipal;13,651315789473683;
Albondón;2011;Índice de dependencia mayores;Población municipal;35,19736842105263;
Albondón;2012;Índice de dependencia global;Población municipal;45,49918166939443;
Albondón;2012;Índice de dependencia jóvenes;Población municipal;11,292962356792144;
Albondón;2012;Índice de dependencia mayores;Población municipal;34,20621931260229;
Albondón;2013;Índice de dependencia global;Población municipal;44,07079646017699;
Albondón;2013;Índice de dependencia jóvenes;Población municipal;10,08849557522124;
Albondón;2013;Índice de dependencia mayores;Población municipal;33,98230088495575;
Albondón;2014;Índice de dependencia global;Población municipal;44,12296564195298;
Albondón;2014;Índice de dependencia jóvenes;Población municipal;9,041591320072333;
Albondón;2014;Índice de dependencia mayores;Población municipal;35,081374321880645;
Albondón;2015;Índice de dependencia global;Población municipal;45,8955223880597;
Albondón;2015;Índice de dependencia jóvenes;Población municipal;10,261194029850747;
Albondón;2015;Índice de dependencia mayores;Población municipal;35,634328358208954;
Albondón;2016;Índice de dependencia global;Población municipal;47,10424710424711;
Albondón;2016;Índice de dependencia jóvenes;Población municipal;11,96911196911197;
Albondón;2016;Índice de dependencia mayores;Población municipal;35,13513513513514;
Albondón;2017;Índice de dependencia global;Población municipal;50,80971659919028;
Albondón;2017;Índice de dependencia jóvenes;Población municipal;13,360323886639677;
Albondón;2017;Índice de dependencia mayores;Población municipal;37,449392712550605;
Albondón;2018;Índice de dependencia global;Población municipal;48,170731707317074;
Albondón;2018;Índice de dependencia jóvenes;Población municipal;12,601626016260163;
Albondón;2018;Índice de dependencia mayores;Población municipal;35,56910569105691;
Albondón;2019;Índice de dependencia global;Población municipal;47,070707070707066;
