Lugar de residencia;Anual;Edad;Medida;Valor;
Huelva;2010;Índice de dependencia global;Población municipal;46,43495121482436;
Huelva;2010;Índice de dependencia jóvenes;Población municipal;24,825605716288482;
Huelva;2010;Índice de dependencia mayores;Población municipal;21,609345498535877;
Huelva;2011;Índice de dependencia global;Población municipal;46,70717756872753;
Huelva;2011;Índice de dependencia jóvenes;Población municipal;24,80487030234212;
Huelva;2011;Índice de dependencia mayores;Población municipal;21,902307266385414;
Huelva;2012;Índice de dependencia global;Población municipal;46,88413878736631;
Huelva;2012;Índice de dependencia jóvenes;Población municipal;24,778281254828368;
Huelva;2012;Índice de dependencia mayores;Población municipal;22,105857532537946;
Huelva;2013;Índice de dependencia global;Población municipal;47,61845358252626;
Huelva;2013;Índice de dependencia jóvenes;Población municipal;25,077400258567895;
Huelva;2013;Índice de dependencia mayores;Población municipal;22,54105332395836;
Huelva;2014;Índice de dependencia global;Población municipal;48,37785087029951;
Huelva;2014;Índice de dependencia jóvenes;Población municipal;25,217682039910038;
Huelva;2014;Índice de dependencia mayores;Población municipal;23,16016883038947;
Huelva;2015;Índice de dependencia global;Población municipal;48,93628599414585;
Huelva;2015;Índice de dependencia jóvenes;Población municipal;25,361588296281866;
Huelva;2015;Índice de dependencia mayores;Población municipal;23,574697697863982;
Huelva;2016;Índice de dependencia global;Población municipal;49,37443941031715;
Huelva;2016;Índice de dependencia jóvenes;Población municipal;25,45307145649824;
Huelva;2016;Índice de dependencia mayores;Población municipal;23,92136795381891;
Huelva;2017;Índice de dependencia global;Población municipal;49,63077446533663;
Huelva;2017;Índice de dependencia jóvenes;Población municipal;25,348969311461417;
Huelva;2017;Índice de dependencia mayores;Población municipal;24,28180515387521;
Huelva;2018;Índice de dependencia global;Población municipal;49,67929894865328;
Huelva;2018;Índice de dependencia jóvenes;Población municipal;25,0486521343605;
Huelva;2018;Índice de dependencia mayores;Población municipal;24,63064681429279;
Huelva;2019;Índice de dependencia global;Población municipal;49,5912447257384;
Huelva;2019;Índice de dependencia jóvenes;Población municipal;24,70188956154834;
Huelva;2019;Índice de dependencia mayores;Población municipal;24,889355164190057;
Huelva;2020;Índice de dependencia global;Población municipal;49,57362737685976;
Huelva;2020;Índice de dependencia jóvenes;Población municipal;24,367002838680225;
Huelva;2020;Índice de dependencia mayores;Población municipal;25,206624538179533;
Huelva;2021;Índice de dependencia global;Población municipal;49,675790456455154;
Huelva;2021;Índice de dependencia jóvenes;Población municipal;23,992644798415103;
Huelva;2021;Índice de dependencia mayores;Población municipal;25,683145658040058;
Huelva;2022;Índice de dependencia global;Población municipal;49,411551948730846;
Huelva;2022;Índice de dependencia jóvenes;Población municipal;23,458802985049324;
Huelva;2022;Índice de dependencia mayores;Población municipal;25,952748963681522;
Alájar;2010;Índice de dependencia global;Población municipal;49,53617810760667;
Alájar;2010;Índice de dependencia jóvenes;Población municipal;25,04638218923933;
Alájar;2010;Índice de dependencia mayores;Población municipal;24,489795918367346;
Alájar;2011;Índice de dependencia global;Población municipal;49,43820224719101;
Alájar;2011;Índice de dependencia jóvenes;Población municipal;23,970037453183522;
Alájar;2011;Índice de dependencia mayores;Población municipal;25,468164794007492;
Alájar;2012;Índice de dependencia global;Población municipal;48,7037037037037;
Alájar;2012;Índice de dependencia jóvenes;Población municipal;23,703703703703706;
Alájar;2012;Índice de dependencia mayores;Población municipal;25;
Alájar;2013;Índice de dependencia global;Población municipal;46,8978102189781;
Alájar;2013;Índice de dependencia jóvenes;Población municipal;22,26277372262774;
Alájar;2013;Índice de dependencia mayores;Población municipal;24,635036496350367;
Alájar;2014;Índice de dependencia global;Población municipal;48,05194805194805;
Alájar;2014;Índice de dependencia jóvenes;Población municipal;22,263450834879407;
Alájar;2014;Índice de dependencia mayores;Población municipal;25,788497217068645;
Alájar;2015;Índice de dependencia global;Población municipal;46,223021582733814;
Alájar;2015;Índice de dependencia jóvenes;Población municipal;21,762589928057555;
Alájar;2015;Índice de dependencia mayores;Población municipal;24,46043165467626;
Alájar;2016;Índice de dependencia global;Población municipal;48,26958105646631;
Alájar;2016;Índice de dependencia jóvenes;Población municipal;23,13296903460838;
Alájar;2016;Índice de dependencia mayores;Población municipal;25,136612021857925;
Alájar;2017;Índice de dependencia global;Población municipal;45,23364485981308;
Alájar;2017;Índice de dependencia jóvenes;Población municipal;20,373831775700936;
Alájar;2017;Índice de dependencia mayores;Población municipal;24,85981308411215;
Alájar;2018;Índice de dependencia global;Población municipal;45,61068702290076;
Alájar;2018;Índice de dependencia jóvenes;Población municipal;19,84732824427481;
Alájar;2018;Índice de dependencia mayores;Población municipal;25,763358778625957;
Alájar;2019;Índice de dependencia global;Población municipal;47,081712062256805;
Alájar;2019;Índice de dependencia jóvenes;Población municipal;19,06614785992218;
Alájar;2019;Índice de dependencia mayores;Población municipal;28,01556420233463;
Alájar;2020;Índice de dependencia global;Población municipal;45,96153846153846;
Alájar;2020;Índice de dependencia jóvenes;Población municipal;17,115384615384617;
Alájar;2020;Índice de dependencia mayores;Población municipal;28,846153846153843;
Alájar;2021;Índice de dependencia global;Población municipal;44,07079646017699;
Alájar;2021;Índice de dependencia jóvenes;Población municipal;16,10619469026549;
Alájar;2021;Índice de dependencia mayores;Población municipal;27,964601769911507;
Alájar;2022;Índice de dependencia global;Población municipal;43,214285714285715;
Alájar;2022;Índice de dependencia jóvenes;Población municipal;14,642857142857144;
Alájar;2022;Índice de dependencia mayores;Población municipal;28,57142857142857;
Aljaraque;2010;Índice de dependencia global;Población municipal;39,698530525677924;
Aljaraque;2010;Índice de dependencia jóvenes;Población municipal;29,669747008029084;
Aljaraque;2010;Índice de dependencia mayores;Población municipal;10,028783517648842;
Aljaraque;2011;Índice de dependencia global;Población municipal;39,6636920126853;
Aljaraque;2011;Índice de dependencia jóvenes;Población municipal;29,34582196327163;
Aljaraque;2011;Índice de dependencia mayores;Población municipal;10,317870049413672;
Aljaraque;2012;Índice de dependencia global;Población municipal;39,902587961616746;
Aljaraque;2012;Índice de dependencia jóvenes;Población municipal;29,27449840069788;
Aljaraque;2012;Índice de dependencia mayores;Población municipal;10,628089560918871;
Aljaraque;2013;Índice de dependencia global;Población municipal;41,43085183572776;
Aljaraque;2013;Índice de dependencia jóvenes;Población municipal;30,23508924684371;
Aljaraque;2013;Índice de dependencia mayores;Población municipal;11,195762588884053;
Aljaraque;2014;Índice de dependencia global;Población municipal;42,79447720408457;
Aljaraque;2014;Índice de dependencia jóvenes;Población municipal;31,022580181216743;
Aljaraque;2014;Índice de dependencia mayores;Población municipal;11,771897022867826;
Aljaraque;2015;Índice de dependencia global;Población municipal;43,561354019746126;
Aljaraque;2015;Índice de dependencia jóvenes;Población municipal;31,502115655853313;
Aljaraque;2015;Índice de dependencia mayores;Población municipal;12,059238363892808;
Aljaraque;2016;Índice de dependencia global;Población municipal;44,816753926701566;
Aljaraque;2016;Índice de dependencia jóvenes;Población municipal;31,888307155322863;
Aljaraque;2016;Índice de dependencia mayores;Población municipal;12,92844677137871;
Aljaraque;2017;Índice de dependencia global;Población municipal;45,48247451473258;
Aljaraque;2017;Índice de dependencia jóvenes;Población municipal;31,706465577433317;
Aljaraque;2017;Índice de dependencia mayores;Población municipal;13,776008937299261;
Aljaraque;2018;Índice de dependencia global;Población municipal;45,965058236272874;
Aljaraque;2018;Índice de dependencia jóvenes;Población municipal;31,558513588463672;
Aljaraque;2018;Índice de dependencia mayores;Población municipal;14,406544647809207;
Aljaraque;2019;Índice de dependencia global;Población municipal;46,09675645959319;
Aljaraque;2019;Índice de dependencia jóvenes;Población municipal;31,122869708631118;
Aljaraque;2019;Índice de dependencia mayores;Población municipal;14,973886750962068;
Aljaraque;2020;Índice de dependencia global;Población municipal;46,181075561606534;
Aljaraque;2020;Índice de dependencia jóvenes;Población municipal;30,612661674608578;
Aljaraque;2020;Índice de dependencia mayores;Población municipal;15,56841388699796;
Aljaraque;2021;Índice de dependencia global;Población municipal;45,22949284089389;
Aljaraque;2021;Índice de dependencia jóvenes;Población municipal;29,17837548507962;
Aljaraque;2021;Índice de dependencia mayores;Población municipal;16,051117355814267;
Aljaraque;2022;Índice de dependencia global;Población municipal;45,30735816769778;
Aljaraque;2022;Índice de dependencia jóvenes;Población municipal;28,58365144135843;
Aljaraque;2022;Índice de dependencia mayores;Población municipal;16,723706726339344;
Almonaster la Real;2010;Índice de dependencia global;Población municipal;56,80068434559452;
Almonaster la Real;2010;Índice de dependencia jóvenes;Población municipal;17,194183062446537;
Almonaster la Real;2010;Índice de dependencia mayores;Población municipal;39,606501283147985;
Almonaster la Real;2011;Índice de dependencia global;Población municipal;57,49574105621805;
Almonaster la Real;2011;Índice de dependencia jóvenes;Población municipal;18,654173764906304;
Almonaster la Real;2011;Índice de dependencia mayores;Población municipal;38,841567291311755;
Almonaster la Real;2012;Índice de dependencia global;Población municipal;55,76430401366353;
Almonaster la Real;2012;Índice de dependencia jóvenes;Población municipal;18,360375747224595;
Almonaster la Real;2012;Índice de dependencia mayores;Población municipal;37,40392826643894;
Almonaster la Real;2013;Índice de dependencia global;Población municipal;55,012853470437015;
Almonaster la Real;2013;Índice de dependencia jóvenes;Población municipal;17,566409597257927;
Almonaster la Real;2013;Índice de dependencia mayores;Población municipal;37,44644387317909;
Almonaster la Real;2014;Índice de dependencia global;Población municipal;51,217532467532465;
Almonaster la Real;2014;Índice de dependencia jóvenes;Población municipal;15,827922077922077;
Almonaster la Real;2014;Índice de dependencia mayores;Población municipal;35,38961038961039;
Almonaster la Real;2015;Índice de dependencia global;Población municipal;50,68825910931174;
Almonaster la Real;2015;Índice de dependencia jóvenes;Población municipal;15,708502024291498;
Almonaster la Real;2015;Índice de dependencia mayores;Población municipal;34,97975708502024;
Almonaster la Real;2016;Índice de dependencia global;Población municipal;50,79744816586922;
Almonaster la Real;2016;Índice de dependencia jóvenes;Población municipal;15,629984051036683;
Almonaster la Real;2016;Índice de dependencia mayores;Población municipal;35,16746411483253;
Almonaster la Real;2017;Índice de dependencia global;Población municipal;50,12185215272137;
Almonaster la Real;2017;Índice de dependencia jóvenes;Población municipal;14,78472786352559;
Almonaster la Real;2017;Índice de dependencia mayores;Población municipal;35,33712428919578;
Almonaster la Real;2018;Índice de dependencia global;Población municipal;49,349593495934954;
Almonaster la Real;2018;Índice de dependencia jóvenes;Población municipal;13,902439024390246;
Almonaster la Real;2018;Índice de dependencia mayores;Población municipal;35,44715447154472;
Almonaster la Real;2019;Índice de dependencia global;Población municipal;50,082508250825086;
Almonaster la Real;2019;Índice de dependencia jóvenes;Población municipal;14,76897689768977;
Almonaster la Real;2019;Índice de dependencia mayores;Población municipal;35,31353135313531;
Almonaster la Real;2020;Índice de dependencia global;Población municipal;49,248747913188645;
Almonaster la Real;2020;Índice de dependencia jóvenes;Población municipal;13,606010016694492;
Almonaster la Real;2020;Índice de dependencia mayores;Población municipal;35,64273789649416;
Almonaster la Real;2021;Índice de dependencia global;Población municipal;48,462177888611805;
Almonaster la Real;2021;Índice de dependencia jóvenes;Población municipal;12,718204488778055;
Almonaster la Real;2021;Índice de dependencia mayores;Población municipal;35,74397339983375;
Almonaster la Real;2022;Índice de dependencia global;Población municipal;50,12615643397813;
Almonaster la Real;2022;Índice de dependencia jóvenes;Población municipal;13,624894869638352;
Almonaster la Real;2022;Índice de dependencia mayores;Población municipal;36,501261564339785;
Almonte;2010;Índice de dependencia global;Población municipal;40,04415011037528;
Almonte;2010;Índice de dependencia jóvenes;Población municipal;23,77168085777357;
Almonte;2010;Índice de dependencia mayores;Población municipal;16,272469252601702;
Almonte;2011;Índice de dependencia global;Población municipal;40,229097926912786;
Almonte;2011;Índice de dependencia jóvenes;Población municipal;23,737782481479176;
Almonte;2011;Índice de dependencia mayores;Población municipal;16,491315445433603;
Almonte;2012;Índice de dependencia global;Población municipal;41,226809919420326;
Almonte;2012;Índice de dependencia jóvenes;Población municipal;24,180148666375164;
Almonte;2012;Índice de dependencia mayores;Población municipal;17,046661253045162;
Almonte;2013;Índice de dependencia global;Población municipal;41,30822718601932;
Almonte;2013;Índice de dependencia jóvenes;Población municipal;24,275429204356655;
Almonte;2013;Índice de dependencia mayores;Población municipal;17,032797981662668;
Almonte;2014;Índice de dependencia global;Población municipal;42,145192129772404;
Almonte;2014;Índice de dependencia jóvenes;Población municipal;24,75791031887991;
Almonte;2014;Índice de dependencia mayores;Población municipal;17,387281810892492;
Almonte;2015;Índice de dependencia global;Población municipal;42,25240105218083;
Almonte;2015;Índice de dependencia jóvenes;Población municipal;24,683428151954487;
Almonte;2015;Índice de dependencia mayores;Población municipal;17,56897290022634;
Almonte;2016;Índice de dependencia global;Población municipal;42,74386870735755;
Almonte;2016;Índice de dependencia jóvenes;Población municipal;24,90011678652652;
Almonte;2016;Índice de dependencia mayores;Población municipal;17,84375192083103;
Almonte;2017;Índice de dependencia global;Población municipal;43,1154295553779;
Almonte;2017;Índice de dependencia jóvenes;Población municipal;25,01076194575979;
Almonte;2017;Índice de dependencia mayores;Población municipal;18,104667609618105;
Almonte;2018;Índice de dependencia global;Población municipal;41,3860103626943;
Almonte;2018;Índice de dependencia jóvenes;Población municipal;23,62812058407913;
Almonte;2018;Índice de dependencia mayores;Población municipal;17,75788977861517;
Almonte;2019;Índice de dependencia global;Población municipal;41,05539358600583;
Almonte;2019;Índice de dependencia jóvenes;Población municipal;23,078717201166178;
Almonte;2019;Índice de dependencia mayores;Población municipal;17,97667638483965;
Almonte;2020;Índice de dependencia global;Población municipal;40,570150281059995;
Almonte;2020;Índice de dependencia jóvenes;Población municipal;22,553630836296893;
Almonte;2020;Índice de dependencia mayores;Población municipal;18,01651944476311;
Almonte;2021;Índice de dependencia global;Población municipal;41,621528177941684;
Almonte;2021;Índice de dependencia jóvenes;Población municipal;22,893857323959892;
Almonte;2021;Índice de dependencia mayores;Población municipal;18,727670853981788;
Almonte;2022;Índice de dependencia global;Población municipal;40,340815088512656;
Almonte;2022;Índice de dependencia jóvenes;Población municipal;21,904814426735786;
Almonte;2022;Índice de dependencia mayores;Población municipal;18,436000661776873;
Alosno;2010;Índice de dependencia global;Población municipal;59,143686502177076;
Alosno;2010;Índice de dependencia jóvenes;Población municipal;21,77068214804064;
Alosno;2010;Índice de dependencia mayores;Población municipal;37,37300435413643;
Alosno;2011;Índice de dependencia global;Población municipal;59,88805970149254;
Alosno;2011;Índice de dependencia jóvenes;Población municipal;21,417910447761194;
Alosno;2011;Índice de dependencia mayores;Población municipal;38,47014925373134;
Alosno;2012;Índice de dependencia global;Población municipal;59,66037735849057;
Alosno;2012;Índice de dependencia jóvenes;Población municipal;21,28301886792453;
Alosno;2012;Índice de dependencia mayores;Población municipal;38,37735849056604;
Alosno;2013;Índice de dependencia global;Población municipal;58,95865237366002;
Alosno;2013;Índice de dependencia jóvenes;Población municipal;20,941807044410414;
Alosno;2013;Índice de dependencia mayores;Población municipal;38,01684532924961;
Alosno;2014;Índice de dependencia global;Población municipal;58,66202629543697;
Alosno;2014;Índice de dependencia jóvenes;Población municipal;21,268368136117555;
