Lugar de residencia;Anual;Edad;Medida;Valor;
Jaén;2010;Índice de dependencia global;Población municipal;53,38516595968489;
Jaén;2010;Índice de dependencia jóvenes;Población municipal;26,03423240072718;
Jaén;2010;Índice de dependencia mayores;Población municipal;27,350933558957706;
Jaén;2011;Índice de dependencia global;Población municipal;52,960094887264354;
Jaén;2011;Índice de dependencia jóvenes;Población municipal;25,561625400590763;
Jaén;2011;Índice de dependencia mayores;Población municipal;27,398469486673587;
Jaén;2012;Índice de dependencia global;Población municipal;52,15931457682066;
Jaén;2012;Índice de dependencia jóvenes;Población municipal;25,04409891778872;
Jaén;2012;Índice de dependencia mayores;Población municipal;27,115215659031932;
Jaén;2013;Índice de dependencia global;Población municipal;52,139024585569;
Jaén;2013;Índice de dependencia jóvenes;Población municipal;24,839776224416248;
Jaén;2013;Índice de dependencia mayores;Población municipal;27,29924836115274;
Jaén;2014;Índice de dependencia global;Población municipal;52,479813053839564;
Jaén;2014;Índice de dependencia jóvenes;Población municipal;24,63247032692441;
Jaén;2014;Índice de dependencia mayores;Población municipal;27,84734272691516;
Jaén;2015;Índice de dependencia global;Población municipal;52,54762959680992;
Jaén;2015;Índice de dependencia jóvenes;Población municipal;24,378425016906466;
Jaén;2015;Índice de dependencia mayores;Población municipal;28,169204579903457;
Jaén;2016;Índice de dependencia global;Población municipal;52,050007036637425;
Jaén;2016;Índice de dependencia jóvenes;Población municipal;23,91448139982174;
Jaén;2016;Índice de dependencia mayores;Población municipal;28,13552563681569;
Jaén;2017;Índice de dependencia global;Población municipal;51,91342490072854;
Jaén;2017;Índice de dependencia jóvenes;Población municipal;23,61173409886068;
Jaén;2017;Índice de dependencia mayores;Población municipal;28,301690801867863;
Jaén;2018;Índice de dependencia global;Población municipal;52,133351135101115;
Jaén;2018;Índice de dependencia jóvenes;Población municipal;23,36410496049438;
Jaén;2018;Índice de dependencia mayores;Población municipal;28,76924617460673;
Jaén;2019;Índice de dependencia global;Población municipal;52,359469501124245;
Jaén;2019;Índice de dependencia jóvenes;Población municipal;23,0997871752017;
Jaén;2019;Índice de dependencia mayores;Población municipal;29,259682325922544;
Jaén;2020;Índice de dependencia global;Población municipal;52,49164941805561;
Jaén;2020;Índice de dependencia jóvenes;Población municipal;22,568187362182186;
Jaén;2020;Índice de dependencia mayores;Población municipal;29,923462055873422;
Jaén;2021;Índice de dependencia global;Población municipal;52,20915502186585;
Jaén;2021;Índice de dependencia jóvenes;Población municipal;22,306811177067306;
Jaén;2021;Índice de dependencia mayores;Población municipal;29,902343844798544;
Jaén;2022;Índice de dependencia global;Población municipal;52,51775165290873;
Jaén;2022;Índice de dependencia jóvenes;Población municipal;21,987353781150972;
Jaén;2022;Índice de dependencia mayores;Población municipal;30,53039787175776;
Albanchez de Mágina;2010;Índice de dependencia global;Población municipal;76,47058823529412;
Albanchez de Mágina;2010;Índice de dependencia jóvenes;Población municipal;21,52080344332855;
Albanchez de Mágina;2010;Índice de dependencia mayores;Población municipal;54,94978479196556;
Albanchez de Mágina;2011;Índice de dependencia global;Población municipal;72,12885154061624;
Albanchez de Mágina;2011;Índice de dependencia jóvenes;Población municipal;19,88795518207283;
Albanchez de Mágina;2011;Índice de dependencia mayores;Población municipal;52,240896358543424;
Albanchez de Mágina;2012;Índice de dependencia global;Población municipal;70,06896551724138;
Albanchez de Mágina;2012;Índice de dependencia jóvenes;Población municipal;17,93103448275862;
Albanchez de Mágina;2012;Índice de dependencia mayores;Población municipal;52,137931034482754;
Albanchez de Mágina;2013;Índice de dependencia global;Población municipal;67,4715909090909;
Albanchez de Mágina;2013;Índice de dependencia jóvenes;Población municipal;16,193181818181817;
Albanchez de Mágina;2013;Índice de dependencia mayores;Población municipal;51,27840909090909;
Albanchez de Mágina;2014;Índice de dependencia global;Población municipal;69,64285714285714;
Albanchez de Mágina;2014;Índice de dependencia jóvenes;Población municipal;15,178571428571427;
Albanchez de Mágina;2014;Índice de dependencia mayores;Población municipal;54,46428571428571;
Albanchez de Mágina;2015;Índice de dependencia global;Población municipal;66,33941093969145;
Albanchez de Mágina;2015;Índice de dependencia jóvenes;Población municipal;15,568022440392706;
Albanchez de Mágina;2015;Índice de dependencia mayores;Población municipal;50,771388499298745;
Albanchez de Mágina;2016;Índice de dependencia global;Población municipal;68,81889763779527;
