Lugar de residencia;Anual;Edad;Medida;Valor;
Málaga;2010;Índice de dependencia global;Población municipal;47,244579267746026;
Málaga;2010;Índice de dependencia jóvenes;Población municipal;25,201853779738325;
Málaga;2010;Índice de dependencia mayores;Población municipal;22,0427254880077;
Málaga;2011;Índice de dependencia global;Población municipal;48,07612614951087;
Málaga;2011;Índice de dependencia jóvenes;Población municipal;25,321708211631133;
Málaga;2011;Índice de dependencia mayores;Población municipal;22,754417937879737;
Málaga;2012;Índice de dependencia global;Población municipal;48,827318021630816;
Málaga;2012;Índice de dependencia jóvenes;Población municipal;25,42718416666213;
Málaga;2012;Índice de dependencia mayores;Población municipal;23,400133854968686;
Málaga;2013;Índice de dependencia global;Población municipal;49,71582958288764;
Málaga;2013;Índice de dependencia jóvenes;Población municipal;25,631673476189913;
Málaga;2013;Índice de dependencia mayores;Población municipal;24,084156106697726;
Málaga;2014;Índice de dependencia global;Población municipal;50,123423881202086;
Málaga;2014;Índice de dependencia jóvenes;Población municipal;25,932713390958913;
Málaga;2014;Índice de dependencia mayores;Población municipal;24,190710490243173;
Málaga;2015;Índice de dependencia global;Población municipal;50,85723334916944;
Málaga;2015;Índice de dependencia jóvenes;Población municipal;26,054096503925223;
Málaga;2015;Índice de dependencia mayores;Población municipal;24,803136845244214;
Málaga;2016;Índice de dependencia global;Población municipal;50,98031220984001;
Málaga;2016;Índice de dependencia jóvenes;Población municipal;25,987679146287896;
Málaga;2016;Índice de dependencia mayores;Población municipal;24,992633063552105;
Málaga;2017;Índice de dependencia global;Población municipal;51,19664562766059;
Málaga;2017;Índice de dependencia jóvenes;Población municipal;25,89105151450245;
Málaga;2017;Índice de dependencia mayores;Población municipal;25,305594113158143;
Málaga;2018;Índice de dependencia global;Población municipal;51,54269430616385;
Málaga;2018;Índice de dependencia jóvenes;Población municipal;25,79572516743725;
Málaga;2018;Índice de dependencia mayores;Población municipal;25,746969138726598;
Málaga;2019;Índice de dependencia global;Población municipal;51,58772655582242;
Málaga;2019;Índice de dependencia jóvenes;Población municipal;25,44859626381866;
Málaga;2019;Índice de dependencia mayores;Población municipal;26,13913029200376;
Málaga;2020;Índice de dependencia global;Población municipal;51,51640427141956;
Málaga;2020;Índice de dependencia jóvenes;Población municipal;25,005347362896313;
Málaga;2020;Índice de dependencia mayores;Población municipal;26,511056908523244;
