Lugar de residencia;Anual;Edad;Medida;Valor;
Sevilla;2010;Índice de dependencia global;Población municipal;47,48874080069179;
Sevilla;2010;Índice de dependencia jóvenes;Población municipal;26,60317611741879;
Sevilla;2010;Índice de dependencia mayores;Población municipal;20,885564683272992;
Sevilla;2011;Índice de dependencia global;Población municipal;48,195991330863095;
Sevilla;2011;Índice de dependencia jóvenes;Población municipal;26,8334525429289;
Sevilla;2011;Índice de dependencia mayores;Población municipal;21,362538787934195;
Sevilla;2012;Índice de dependencia global;Población municipal;48,64827154777201;
Sevilla;2012;Índice de dependencia jóvenes;Población municipal;26,932990085893632;
Sevilla;2012;Índice de dependencia mayores;Población municipal;21,715281461878373;
Sevilla;2013;Índice de dependencia global;Población municipal;49,31625226128413;
Sevilla;2013;Índice de dependencia jóvenes;Población municipal;27,19076435055305;
Sevilla;2013;Índice de dependencia mayores;Población municipal;22,125487910731074;
Sevilla;2014;Índice de dependencia global;Población municipal;50,10213738522108;
Sevilla;2014;Índice de dependencia jóvenes;Población municipal;27,339727035711746;
Sevilla;2014;Índice de dependencia mayores;Población municipal;22,762410349509338;
Sevilla;2015;Índice de dependencia global;Población municipal;50,75147452999842;
Sevilla;2015;Índice de dependencia jóvenes;Población municipal;27,4357309910643;
Sevilla;2015;Índice de dependencia mayores;Población municipal;23,315743538934115;
Sevilla;2016;Índice de dependencia global;Población municipal;50,9850974433857;
Sevilla;2016;Índice de dependencia jóvenes;Población municipal;27,413667760008593;
Sevilla;2016;Índice de dependencia mayores;Población municipal;23,571429683377104;
Sevilla;2017;Índice de dependencia global;Población municipal;51,358343205240466;
Sevilla;2017;Índice de dependencia jóvenes;Población municipal;27,297501041817867;
Sevilla;2017;Índice de dependencia mayores;Población municipal;24,060842163422596;
Sevilla;2018;Índice de dependencia global;Población municipal;51,703834967894004;
Sevilla;2018;Índice de dependencia jóvenes;Población municipal;27,15211072209758;
Sevilla;2018;Índice de dependencia mayores;Población municipal;24,551724245796425;
Sevilla;2019;Índice de dependencia global;Población municipal;51,92432836614721;
Sevilla;2019;Índice de dependencia jóvenes;Población municipal;26,84752104770814;
Sevilla;2019;Índice de dependencia mayores;Población municipal;25,076807318439077;
Sevilla;2020;Índice de dependencia global;Población municipal;51,82602846690837;
Sevilla;2020;Índice de dependencia jóvenes;Población municipal;26,407288699417443;
Sevilla;2020;Índice de dependencia mayores;Población municipal;25,418739767490923;
Sevilla;2021;Índice de dependencia global;Población municipal;51,71439386740649;
Sevilla;2021;Índice de dependencia jóvenes;Población municipal;25,8811085650373;
Sevilla;2021;Índice de dependencia mayores;Población municipal;25,833285302369198;
Sevilla;2022;Índice de dependencia global;Población municipal;51,48668810999385;
Sevilla;2022;Índice de dependencia jóvenes;Población municipal;25,284777181438695;
Sevilla;2022;Índice de dependencia mayores;Población municipal;26,201910928555154;
Aguadulce;2010;Índice de dependencia global;Población municipal;56,344086021505376;
Aguadulce;2010;Índice de dependencia jóvenes;Población municipal;24,802867383512545;
Aguadulce;2010;Índice de dependencia mayores;Población municipal;31,54121863799283;
Aguadulce;2011;Índice de dependencia global;Población municipal;56,99782451051486;
Aguadulce;2011;Índice de dependencia jóvenes;Población municipal;24,72806381435823;
Aguadulce;2011;Índice de dependencia mayores;Población municipal;32,26976069615664;
Aguadulce;2012;Índice de dependencia global;Población municipal;57,79883381924198;
Aguadulce;2012;Índice de dependencia jóvenes;Población municipal;25,291545189504372;
Aguadulce;2012;Índice de dependencia mayores;Población municipal;32,50728862973761;
Aguadulce;2013;Índice de dependencia global;Población municipal;57,64192139737992;
Aguadulce;2013;Índice de dependencia jóvenes;Población municipal;25,109170305676855;
Aguadulce;2013;Índice de dependencia mayores;Población municipal;32,532751091703055;
Aguadulce;2014;Índice de dependencia global;Población municipal;59,42136498516321;
Aguadulce;2014;Índice de dependencia jóvenes;Población municipal;25,741839762611274;
Aguadulce;2014;Índice de dependencia mayores;Población municipal;33,67952522255193;
Aguadulce;2015;Índice de dependencia global;Población municipal;57,17472118959108;
Aguadulce;2015;Índice de dependencia jóvenes;Población municipal;24,684014869888475;
Aguadulce;2015;Índice de dependencia mayores;Población municipal;32,4907063197026;
Aguadulce;2016;Índice de dependencia global;Población municipal;55,63063063063063;
Aguadulce;2016;Índice de dependencia jóvenes;Población municipal;24,0990990990991;
Aguadulce;2016;Índice de dependencia mayores;Población municipal;31,53153153153153;
Aguadulce;2017;Índice de dependencia global;Población municipal;56,73813169984686;
Aguadulce;2017;Índice de dependencia jóvenes;Población municipal;24,502297090352222;
Aguadulce;2017;Índice de dependencia mayores;Población municipal;32,23583460949464;
Aguadulce;2018;Índice de dependencia global;Población municipal;57,91114575214341;
Aguadulce;2018;Índice de dependencia jóvenes;Población municipal;25,4871395167576;
Aguadulce;2018;Índice de dependencia mayores;Población municipal;32,42400623538582;
Aguadulce;2019;Índice de dependencia global;Población municipal;58,680282796543594;
Aguadulce;2019;Índice de dependencia jóvenes;Población municipal;26,394344069128046;
Aguadulce;2019;Índice de dependencia mayores;Población municipal;32,285938727415555;
Aguadulce;2020;Índice de dependencia global;Población municipal;57,38592420726991;
Aguadulce;2020;Índice de dependencia jóvenes;Población municipal;26,604795050270692;
Aguadulce;2020;Índice de dependencia mayores;Población municipal;30,781129156999228;
Aguadulce;2021;Índice de dependencia global;Población municipal;57,10955710955711;
Aguadulce;2021;Índice de dependencia jóvenes;Población municipal;26,418026418026418;
Aguadulce;2021;Índice de dependencia mayores;Población municipal;30,691530691530694;
Aguadulce;2022;Índice de dependencia global;Población municipal;57,882534775888715;
Aguadulce;2022;Índice de dependencia jóvenes;Población municipal;27,43431221020093;
Aguadulce;2022;Índice de dependencia mayores;Población municipal;30,44822256568779;
Alanís;2010;Índice de dependencia global;Población municipal;55,89958158995816;
Alanís;2010;Índice de dependencia jóvenes;Población municipal;24,01673640167364;
Alanís;2010;Índice de dependencia mayores;Población municipal;31,88284518828452;
Alanís;2011;Índice de dependencia global;Población municipal;55,04587155963303;
Alanís;2011;Índice de dependencia jóvenes;Población municipal;23,352793994995828;
Alanís;2011;Índice de dependencia mayores;Población municipal;31,693077564637196;
Alanís;2012;Índice de dependencia global;Población municipal;53,807947019867555;
Alanís;2012;Índice de dependencia jóvenes;Población municipal;22,930463576158942;
Alanís;2012;Índice de dependencia mayores;Población municipal;30,87748344370861;
Alanís;2013;Índice de dependencia global;Población municipal;54,22594142259414;
Alanís;2013;Índice de dependencia jóvenes;Población municipal;23,347280334728033;
Alanís;2013;Índice de dependencia mayores;Población municipal;30,87866108786611;
Alanís;2014;Índice de dependencia global;Población municipal;56,04770017035775;
