Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Cádiz;2010;Hombres;Menores de 16 años;Emigraciones;2627;
Cádiz;2010;Hombres;De 16 a 39 años;Emigraciones;8767;
Cádiz;2010;Hombres;De 40 a 64 años;Emigraciones;3492;
Cádiz;2010;Hombres;De 65 y más años;Emigraciones;645;
Cádiz;2010;Hombres;TOTAL;Emigraciones;15531;
Cádiz;2010;Mujeres;Menores de 16 años;Emigraciones;2522;
Cádiz;2010;Mujeres;De 16 a 39 años;Emigraciones;8350;
Cádiz;2010;Mujeres;De 40 a 64 años;Emigraciones;2663;
Cádiz;2010;Mujeres;De 65 y más años;Emigraciones;914;
Cádiz;2010;Mujeres;TOTAL;Emigraciones;14449;
Cádiz;2010;Ambos sexos;Menores de 16 años;Emigraciones;5149;
Cádiz;2010;Ambos sexos;De 16 a 39 años;Emigraciones;17117;
Cádiz;2010;Ambos sexos;De 40 a 64 años;Emigraciones;6155;
Cádiz;2010;Ambos sexos;De 65 y más años;Emigraciones;1559;
Cádiz;2010;Ambos sexos;TOTAL;Emigraciones;29980;
Cádiz;2011;Hombres;Menores de 16 años;Emigraciones;2719;
Cádiz;2011;Hombres;De 16 a 39 años;Emigraciones;8454;
Cádiz;2011;Hombres;De 40 a 64 años;Emigraciones;3564;
Cádiz;2011;Hombres;De 65 y más años;Emigraciones;694;
Cádiz;2011;Hombres;TOTAL;Emigraciones;15431;
Cádiz;2011;Mujeres;Menores de 16 años;Emigraciones;2524;
Cádiz;2011;Mujeres;De 16 a 39 años;Emigraciones;8134;
Cádiz;2011;Mujeres;De 40 a 64 años;Emigraciones;2761;
Cádiz;2011;Mujeres;De 65 y más años;Emigraciones;981;
Cádiz;2011;Mujeres;TOTAL;Emigraciones;14400;
Cádiz;2011;Ambos sexos;Menores de 16 años;Emigraciones;5243;
Cádiz;2011;Ambos sexos;De 16 a 39 años;Emigraciones;16588;
Cádiz;2011;Ambos sexos;De 40 a 64 años;Emigraciones;6325;
Cádiz;2011;Ambos sexos;De 65 y más años;Emigraciones;1675;
Cádiz;2011;Ambos sexos;TOTAL;Emigraciones;29831;
Cádiz;2012;Hombres;Menores de 16 años;Emigraciones;2893;
Cádiz;2012;Hombres;De 16 a 39 años;Emigraciones;8393;
Cádiz;2012;Hombres;De 40 a 64 años;Emigraciones;3769;
Cádiz;2012;Hombres;De 65 y más años;Emigraciones;675;
