Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Agrón;2010;Hombres;Menores de 16 años;Emigraciones;-;
Agrón;2010;Hombres;De 16 a 39 años;Emigraciones;3;
Agrón;2010;Hombres;De 40 a 64 años;Emigraciones;3;
Agrón;2010;Hombres;De 65 y más años;Emigraciones;1;
Agrón;2010;Hombres;TOTAL;Emigraciones;7;
Agrón;2010;Mujeres;Menores de 16 años;Emigraciones;4;
Agrón;2010;Mujeres;De 16 a 39 años;Emigraciones;4;
Agrón;2010;Mujeres;De 40 a 64 años;Emigraciones;3;
Agrón;2010;Mujeres;De 65 y más años;Emigraciones;1;
Agrón;2010;Mujeres;TOTAL;Emigraciones;12;
Agrón;2010;Ambos sexos;Menores de 16 años;Emigraciones;4;
Agrón;2010;Ambos sexos;De 16 a 39 años;Emigraciones;7;
Agrón;2010;Ambos sexos;De 40 a 64 años;Emigraciones;6;
Agrón;2010;Ambos sexos;De 65 y más años;Emigraciones;2;
Agrón;2010;Ambos sexos;TOTAL;Emigraciones;19;
Agrón;2011;Hombres;Menores de 16 años;Emigraciones;-;
Agrón;2011;Hombres;De 16 a 39 años;Emigraciones;5;
Agrón;2011;Hombres;De 40 a 64 años;Emigraciones;5;
Agrón;2011;Hombres;De 65 y más años;Emigraciones;1;
Agrón;2011;Hombres;TOTAL;Emigraciones;11;
Agrón;2011;Mujeres;Menores de 16 años;Emigraciones;-;
Agrón;2011;Mujeres;De 16 a 39 años;Emigraciones;2;
Agrón;2011;Mujeres;De 40 a 64 años;Emigraciones;4;
Agrón;2011;Mujeres;De 65 y más años;Emigraciones;2;
Agrón;2011;Mujeres;TOTAL;Emigraciones;8;
Agrón;2011;Ambos sexos;Menores de 16 años;Emigraciones;-;
Agrón;2011;Ambos sexos;De 16 a 39 años;Emigraciones;7;
Agrón;2011;Ambos sexos;De 40 a 64 años;Emigraciones;9;
Agrón;2011;Ambos sexos;De 65 y más años;Emigraciones;3;
Agrón;2011;Ambos sexos;TOTAL;Emigraciones;19;
Agrón;2012;Hombres;Menores de 16 años;Emigraciones;3;
Agrón;2012;Hombres;De 16 a 39 años;Emigraciones;7;
Agrón;2012;Hombres;De 40 a 64 años;Emigraciones;6;
