Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Huelva;2010;Hombres;Menores de 16 años;Emigraciones;1310;
Huelva;2010;Hombres;De 16 a 39 años;Emigraciones;4764;
Huelva;2010;Hombres;De 40 a 64 años;Emigraciones;1826;
Huelva;2010;Hombres;De 65 y más años;Emigraciones;392;
Huelva;2010;Hombres;TOTAL;Emigraciones;8292;
Huelva;2010;Mujeres;Menores de 16 años;Emigraciones;1271;
Huelva;2010;Mujeres;De 16 a 39 años;Emigraciones;4331;
Huelva;2010;Mujeres;De 40 a 64 años;Emigraciones;1539;
Huelva;2010;Mujeres;De 65 y más años;Emigraciones;531;
Huelva;2010;Mujeres;TOTAL;Emigraciones;7672;
Huelva;2010;Ambos sexos;Menores de 16 años;Emigraciones;2581;
Huelva;2010;Ambos sexos;De 16 a 39 años;Emigraciones;9095;
Huelva;2010;Ambos sexos;De 40 a 64 años;Emigraciones;3365;
Huelva;2010;Ambos sexos;De 65 y más años;Emigraciones;923;
Huelva;2010;Ambos sexos;TOTAL;Emigraciones;15964;
Huelva;2011;Hombres;Menores de 16 años;Emigraciones;1299;
Huelva;2011;Hombres;De 16 a 39 años;Emigraciones;4804;
Huelva;2011;Hombres;De 40 a 64 años;Emigraciones;2006;
Huelva;2011;Hombres;De 65 y más años;Emigraciones;403;
Huelva;2011;Hombres;TOTAL;Emigraciones;8512;
Huelva;2011;Mujeres;Menores de 16 años;Emigraciones;1262;
Huelva;2011;Mujeres;De 16 a 39 años;Emigraciones;4325;
Huelva;2011;Mujeres;De 40 a 64 años;Emigraciones;1590;
Huelva;2011;Mujeres;De 65 y más años;Emigraciones;511;
Huelva;2011;Mujeres;TOTAL;Emigraciones;7688;
Huelva;2011;Ambos sexos;Menores de 16 años;Emigraciones;2561;
Huelva;2011;Ambos sexos;De 16 a 39 años;Emigraciones;9129;
Huelva;2011;Ambos sexos;De 40 a 64 años;Emigraciones;3596;
Huelva;2011;Ambos sexos;De 65 y más años;Emigraciones;914;
Huelva;2011;Ambos sexos;TOTAL;Emigraciones;16200;
Huelva;2012;Hombres;Menores de 16 años;Emigraciones;1352;
Huelva;2012;Hombres;De 16 a 39 años;Emigraciones;4007;
Huelva;2012;Hombres;De 40 a 64 años;Emigraciones;2022;
Huelva;2012;Hombres;De 65 y más años;Emigraciones;385;
Huelva;2012;Hombres;TOTAL;Emigraciones;7766;
Huelva;2012;Mujeres;Menores de 16 años;Emigraciones;1225;
Huelva;2012;Mujeres;De 16 a 39 años;Emigraciones;3981;
Huelva;2012;Mujeres;De 40 a 64 años;Emigraciones;1592;
Huelva;2012;Mujeres;De 65 y más años;Emigraciones;461;
Huelva;2012;Mujeres;TOTAL;Emigraciones;7259;
Huelva;2012;Ambos sexos;Menores de 16 años;Emigraciones;2577;
Huelva;2012;Ambos sexos;De 16 a 39 años;Emigraciones;7988;
Huelva;2012;Ambos sexos;De 40 a 64 años;Emigraciones;3614;
Huelva;2012;Ambos sexos;De 65 y más años;Emigraciones;846;
Huelva;2012;Ambos sexos;TOTAL;Emigraciones;15025;
Huelva;2013;Hombres;Menores de 16 años;Emigraciones;1312;
Huelva;2013;Hombres;De 16 a 39 años;Emigraciones;4118;
Huelva;2013;Hombres;De 40 a 64 años;Emigraciones;1968;
Huelva;2013;Hombres;De 65 y más años;Emigraciones;358;
Huelva;2013;Hombres;TOTAL;Emigraciones;7756;
Huelva;2013;Mujeres;Menores de 16 años;Emigraciones;1216;
Huelva;2013;Mujeres;De 16 a 39 años;Emigraciones;3895;
Huelva;2013;Mujeres;De 40 a 64 años;Emigraciones;1592;
Huelva;2013;Mujeres;De 65 y más años;Emigraciones;407;
Huelva;2013;Mujeres;TOTAL;Emigraciones;7110;
Huelva;2013;Ambos sexos;Menores de 16 años;Emigraciones;2528;
Huelva;2013;Ambos sexos;De 16 a 39 años;Emigraciones;8013;
Huelva;2013;Ambos sexos;De 40 a 64 años;Emigraciones;3560;
Huelva;2013;Ambos sexos;De 65 y más años;Emigraciones;765;
Huelva;2013;Ambos sexos;TOTAL;Emigraciones;14866;
Huelva;2014;Hombres;Menores de 16 años;Emigraciones;1354;
Huelva;2014;Hombres;De 16 a 39 años;Emigraciones;4101;
Huelva;2014;Hombres;De 40 a 64 años;Emigraciones;2136;
Huelva;2014;Hombres;De 65 y más años;Emigraciones;415;
Huelva;2014;Hombres;TOTAL;Emigraciones;8006;
Huelva;2014;Mujeres;Menores de 16 años;Emigraciones;1357;
Huelva;2014;Mujeres;De 16 a 39 años;Emigraciones;4049;
Huelva;2014;Mujeres;De 40 a 64 años;Emigraciones;1827;
Huelva;2014;Mujeres;De 65 y más años;Emigraciones;473;
Huelva;2014;Mujeres;TOTAL;Emigraciones;7706;
Huelva;2014;Ambos sexos;Menores de 16 años;Emigraciones;2711;
Huelva;2014;Ambos sexos;De 16 a 39 años;Emigraciones;8150;
Huelva;2014;Ambos sexos;De 40 a 64 años;Emigraciones;3963;
Huelva;2014;Ambos sexos;De 65 y más años;Emigraciones;888;
Huelva;2014;Ambos sexos;TOTAL;Emigraciones;15712;
Huelva;2015;Hombres;Menores de 16 años;Emigraciones;1396;
Huelva;2015;Hombres;De 16 a 39 años;Emigraciones;4197;
Huelva;2015;Hombres;De 40 a 64 años;Emigraciones;2380;
Huelva;2015;Hombres;De 65 y más años;Emigraciones;443;
Huelva;2015;Hombres;TOTAL;Emigraciones;8416;
Huelva;2015;Mujeres;Menores de 16 años;Emigraciones;1332;
Huelva;2015;Mujeres;De 16 a 39 años;Emigraciones;4129;
