Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Jaén;2010;Hombres;Menores de 16 años;Emigraciones;1345;
Jaén;2010;Hombres;De 16 a 39 años;Emigraciones;4857;
Jaén;2010;Hombres;De 40 a 64 años;Emigraciones;1927;
Jaén;2010;Hombres;De 65 y más años;Emigraciones;663;
Jaén;2010;Hombres;TOTAL;Emigraciones;8792;
Jaén;2010;Mujeres;Menores de 16 años;Emigraciones;1211;
Jaén;2010;Mujeres;De 16 a 39 años;Emigraciones;4618;
Jaén;2010;Mujeres;De 40 a 64 años;Emigraciones;1509;
Jaén;2010;Mujeres;De 65 y más años;Emigraciones;977;
Jaén;2010;Mujeres;TOTAL;Emigraciones;8315;
Jaén;2010;Ambos sexos;Menores de 16 años;Emigraciones;2556;
Jaén;2010;Ambos sexos;De 16 a 39 años;Emigraciones;9475;
Jaén;2010;Ambos sexos;De 40 a 64 años;Emigraciones;3436;
Jaén;2010;Ambos sexos;De 65 y más años;Emigraciones;1640;
Jaén;2010;Ambos sexos;TOTAL;Emigraciones;17107;
Jaén;2011;Hombres;Menores de 16 años;Emigraciones;1176;
Jaén;2011;Hombres;De 16 a 39 años;Emigraciones;5417;
Jaén;2011;Hombres;De 40 a 64 años;Emigraciones;1986;
Jaén;2011;Hombres;De 65 y más años;Emigraciones;604;
Jaén;2011;Hombres;TOTAL;Emigraciones;9183;
Jaén;2011;Mujeres;Menores de 16 años;Emigraciones;1264;
Jaén;2011;Mujeres;De 16 a 39 años;Emigraciones;4400;
Jaén;2011;Mujeres;De 40 a 64 años;Emigraciones;1527;
Jaén;2011;Mujeres;De 65 y más años;Emigraciones;895;
Jaén;2011;Mujeres;TOTAL;Emigraciones;8086;
Jaén;2011;Ambos sexos;Menores de 16 años;Emigraciones;2440;
Jaén;2011;Ambos sexos;De 16 a 39 años;Emigraciones;9817;
Jaén;2011;Ambos sexos;De 40 a 64 años;Emigraciones;3513;
Jaén;2011;Ambos sexos;De 65 y más años;Emigraciones;1499;
Jaén;2011;Ambos sexos;TOTAL;Emigraciones;17269;
Jaén;2012;Hombres;Menores de 16 años;Emigraciones;1301;
Jaén;2012;Hombres;De 16 a 39 años;Emigraciones;6447;
Jaén;2012;Hombres;De 40 a 64 años;Emigraciones;2157;
Jaén;2012;Hombres;De 65 y más años;Emigraciones;598;
Jaén;2012;Hombres;TOTAL;Emigraciones;10503;
Jaén;2012;Mujeres;Menores de 16 años;Emigraciones;1245;
Jaén;2012;Mujeres;De 16 a 39 años;Emigraciones;4420;
Jaén;2012;Mujeres;De 40 a 64 años;Emigraciones;1553;
Jaén;2012;Mujeres;De 65 y más años;Emigraciones;893;
Jaén;2012;Mujeres;TOTAL;Emigraciones;8111;
Jaén;2012;Ambos sexos;Menores de 16 años;Emigraciones;2546;
Jaén;2012;Ambos sexos;De 16 a 39 años;Emigraciones;10867;
Jaén;2012;Ambos sexos;De 40 a 64 años;Emigraciones;3710;
