Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Málaga;2010;Hombres;Menores de 16 años;Emigraciones;5402;
Málaga;2010;Hombres;De 16 a 39 años;Emigraciones;16372;
Málaga;2010;Hombres;De 40 a 64 años;Emigraciones;7884;
Málaga;2010;Hombres;De 65 y más años;Emigraciones;1692;
Málaga;2010;Hombres;TOTAL;Emigraciones;31350;
Málaga;2010;Mujeres;Menores de 16 años;Emigraciones;5052;
Málaga;2010;Mujeres;De 16 a 39 años;Emigraciones;15959;
Málaga;2010;Mujeres;De 40 a 64 años;Emigraciones;6638;
Málaga;2010;Mujeres;De 65 y más años;Emigraciones;1993;
Málaga;2010;Mujeres;TOTAL;Emigraciones;29642;
Málaga;2010;Ambos sexos;Menores de 16 años;Emigraciones;10454;
Málaga;2010;Ambos sexos;De 16 a 39 años;Emigraciones;32331;
Málaga;2010;Ambos sexos;De 40 a 64 años;Emigraciones;14522;
Málaga;2010;Ambos sexos;De 65 y más años;Emigraciones;3685;
Málaga;2010;Ambos sexos;TOTAL;Emigraciones;60992;
Málaga;2011;Hombres;Menores de 16 años;Emigraciones;5441;
Málaga;2011;Hombres;De 16 a 39 años;Emigraciones;17016;
Málaga;2011;Hombres;De 40 a 64 años;Emigraciones;8469;
Málaga;2011;Hombres;De 65 y más años;Emigraciones;1839;
Málaga;2011;Hombres;TOTAL;Emigraciones;32765;
Málaga;2011;Mujeres;Menores de 16 años;Emigraciones;5130;
Málaga;2011;Mujeres;De 16 a 39 años;Emigraciones;16352;
Málaga;2011;Mujeres;De 40 a 64 años;Emigraciones;7138;
Málaga;2011;Mujeres;De 65 y más años;Emigraciones;2182;
Málaga;2011;Mujeres;TOTAL;Emigraciones;30802;
Málaga;2011;Ambos sexos;Menores de 16 años;Emigraciones;10571;
Málaga;2011;Ambos sexos;De 16 a 39 años;Emigraciones;33368;
Málaga;2011;Ambos sexos;De 40 a 64 años;Emigraciones;15607;
Málaga;2011;Ambos sexos;De 65 y más años;Emigraciones;4021;
Málaga;2011;Ambos sexos;TOTAL;Emigraciones;63567;
Málaga;2012;Hombres;Menores de 16 años;Emigraciones;5376;
Málaga;2012;Hombres;De 16 a 39 años;Emigraciones;15322;
Málaga;2012;Hombres;De 40 a 64 años;Emigraciones;8058;
Málaga;2012;Hombres;De 65 y más años;Emigraciones;1747;
Málaga;2012;Hombres;TOTAL;Emigraciones;30503;
Málaga;2012;Mujeres;Menores de 16 años;Emigraciones;5142;
Málaga;2012;Mujeres;De 16 a 39 años;Emigraciones;15249;
Málaga;2012;Mujeres;De 40 a 64 años;Emigraciones;6815;
Málaga;2012;Mujeres;De 65 y más años;Emigraciones;2109;
Málaga;2012;Mujeres;TOTAL;Emigraciones;29315;
Málaga;2012;Ambos sexos;Menores de 16 años;Emigraciones;10518;
Málaga;2012;Ambos sexos;De 16 a 39 años;Emigraciones;30571;
Málaga;2012;Ambos sexos;De 40 a 64 años;Emigraciones;14873;
Málaga;2012;Ambos sexos;De 65 y más años;Emigraciones;3856;
Málaga;2012;Ambos sexos;TOTAL;Emigraciones;59818;
Málaga;2013;Hombres;Menores de 16 años;Emigraciones;6087;
Málaga;2013;Hombres;De 16 a 39 años;Emigraciones;16264;
Málaga;2013;Hombres;De 40 a 64 años;Emigraciones;10446;
Málaga;2013;Hombres;De 65 y más años;Emigraciones;4136;
Málaga;2013;Hombres;TOTAL;Emigraciones;36933;
Málaga;2013;Mujeres;Menores de 16 años;Emigraciones;5826;
Málaga;2013;Mujeres;De 16 a 39 años;Emigraciones;16432;
Málaga;2013;Mujeres;De 40 a 64 años;Emigraciones;9238;
Málaga;2013;Mujeres;De 65 y más años;Emigraciones;4204;
Málaga;2013;Mujeres;TOTAL;Emigraciones;35700;
Málaga;2013;Ambos sexos;Menores de 16 años;Emigraciones;11913;
Málaga;2013;Ambos sexos;De 16 a 39 años;Emigraciones;32696;
Málaga;2013;Ambos sexos;De 40 a 64 años;Emigraciones;19684;
Málaga;2013;Ambos sexos;De 65 y más años;Emigraciones;8340;
Málaga;2013;Ambos sexos;TOTAL;Emigraciones;72633;
Málaga;2014;Hombres;Menores de 16 años;Emigraciones;5493;
Málaga;2014;Hombres;De 16 a 39 años;Emigraciones;14870;
Málaga;2014;Hombres;De 40 a 64 años;Emigraciones;9704;
Málaga;2014;Hombres;De 65 y más años;Emigraciones;2744;
Málaga;2014;Hombres;TOTAL;Emigraciones;32811;
Málaga;2014;Mujeres;Menores de 16 años;Emigraciones;5327;
Málaga;2014;Mujeres;De 16 a 39 años;Emigraciones;15796;
Málaga;2014;Mujeres;De 40 a 64 años;Emigraciones;8179;
Málaga;2014;Mujeres;De 65 y más años;Emigraciones;2929;
Málaga;2014;Mujeres;TOTAL;Emigraciones;32231;
Málaga;2014;Ambos sexos;Menores de 16 años;Emigraciones;10820;
Málaga;2014;Ambos sexos;De 16 a 39 años;Emigraciones;30666;
Málaga;2014;Ambos sexos;De 40 a 64 años;Emigraciones;17883;
Málaga;2014;Ambos sexos;De 65 y más años;Emigraciones;5673;
Málaga;2014;Ambos sexos;TOTAL;Emigraciones;65042;
Málaga;2015;Hombres;Menores de 16 años;Emigraciones;6344;
Málaga;2015;Hombres;De 16 a 39 años;Emigraciones;16269;
Málaga;2015;Hombres;De 40 a 64 años;Emigraciones;11288;
Málaga;2015;Hombres;De 65 y más años;Emigraciones;3508;
Málaga;2015;Hombres;TOTAL;Emigraciones;37409;
Málaga;2015;Mujeres;Menores de 16 años;Emigraciones;6006;
Málaga;2015;Mujeres;De 16 a 39 años;Emigraciones;16646;
Málaga;2015;Mujeres;De 40 a 64 años;Emigraciones;9678;
Málaga;2015;Mujeres;De 65 y más años;Emigraciones;3718;
Málaga;2015;Mujeres;TOTAL;Emigraciones;36048;
Málaga;2015;Ambos sexos;Menores de 16 años;Emigraciones;12350;
Málaga;2015;Ambos sexos;De 16 a 39 años;Emigraciones;32915;
Málaga;2015;Ambos sexos;De 40 a 64 años;Emigraciones;20966;
Málaga;2015;Ambos sexos;De 65 y más años;Emigraciones;7226;
Málaga;2015;Ambos sexos;TOTAL;Emigraciones;73457;
Málaga;2016;Hombres;Menores de 16 años;Emigraciones;6035;
Málaga;2016;Hombres;De 16 a 39 años;Emigraciones;14786;
Málaga;2016;Hombres;De 40 a 64 años;Emigraciones;11503;
Málaga;2016;Hombres;De 65 y más años;Emigraciones;4240;
Málaga;2016;Hombres;TOTAL;Emigraciones;36564;
