Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Sevilla;2010;Hombres;Menores de 16 años;Emigraciones;4936;
Sevilla;2010;Hombres;De 16 a 39 años;Emigraciones;15461;
Sevilla;2010;Hombres;De 40 a 64 años;Emigraciones;5983;
Sevilla;2010;Hombres;De 65 y más años;Emigraciones;1238;
Sevilla;2010;Hombres;TOTAL;Emigraciones;27618;
Sevilla;2010;Mujeres;Menores de 16 años;Emigraciones;4762;
Sevilla;2010;Mujeres;De 16 a 39 años;Emigraciones;15728;
Sevilla;2010;Mujeres;De 40 a 64 años;Emigraciones;5252;
Sevilla;2010;Mujeres;De 65 y más años;Emigraciones;1877;
Sevilla;2010;Mujeres;TOTAL;Emigraciones;27619;
Sevilla;2010;Ambos sexos;Menores de 16 años;Emigraciones;9698;
Sevilla;2010;Ambos sexos;De 16 a 39 años;Emigraciones;31189;
Sevilla;2010;Ambos sexos;De 40 a 64 años;Emigraciones;11235;
Sevilla;2010;Ambos sexos;De 65 y más años;Emigraciones;3115;
Sevilla;2010;Ambos sexos;TOTAL;Emigraciones;55237;
Sevilla;2011;Hombres;Menores de 16 años;Emigraciones;4968;
Sevilla;2011;Hombres;De 16 a 39 años;Emigraciones;14783;
Sevilla;2011;Hombres;De 40 a 64 años;Emigraciones;6069;
Sevilla;2011;Hombres;De 65 y más años;Emigraciones;1290;
Sevilla;2011;Hombres;TOTAL;Emigraciones;27110;
Sevilla;2011;Mujeres;Menores de 16 años;Emigraciones;4937;
Sevilla;2011;Mujeres;De 16 a 39 años;Emigraciones;15398;
Sevilla;2011;Mujeres;De 40 a 64 años;Emigraciones;5186;
Sevilla;2011;Mujeres;De 65 y más años;Emigraciones;1832;
Sevilla;2011;Mujeres;TOTAL;Emigraciones;27353;
Sevilla;2011;Ambos sexos;Menores de 16 años;Emigraciones;9905;
Sevilla;2011;Ambos sexos;De 16 a 39 años;Emigraciones;30181;
Sevilla;2011;Ambos sexos;De 40 a 64 años;Emigraciones;11255;
Sevilla;2011;Ambos sexos;De 65 y más años;Emigraciones;3122;
Sevilla;2011;Ambos sexos;TOTAL;Emigraciones;54463;
Sevilla;2012;Hombres;Menores de 16 años;Emigraciones;5148;
Sevilla;2012;Hombres;De 16 a 39 años;Emigraciones;14473;
Sevilla;2012;Hombres;De 40 a 64 años;Emigraciones;6217;
Sevilla;2012;Hombres;De 65 y más años;Emigraciones;1155;
Sevilla;2012;Hombres;TOTAL;Emigraciones;26993;
Sevilla;2012;Mujeres;Menores de 16 años;Emigraciones;4790;
Sevilla;2012;Mujeres;De 16 a 39 años;Emigraciones;15011;
Sevilla;2012;Mujeres;De 40 a 64 años;Emigraciones;5248;
Sevilla;2012;Mujeres;De 65 y más años;Emigraciones;1535;
Sevilla;2012;Mujeres;TOTAL;Emigraciones;26584;
Sevilla;2012;Ambos sexos;Menores de 16 años;Emigraciones;9938;
Sevilla;2012;Ambos sexos;De 16 a 39 años;Emigraciones;29484;
Sevilla;2012;Ambos sexos;De 40 a 64 años;Emigraciones;11465;
Sevilla;2012;Ambos sexos;De 65 y más años;Emigraciones;2690;
Sevilla;2012;Ambos sexos;TOTAL;Emigraciones;53577;
Sevilla;2013;Hombres;Menores de 16 años;Emigraciones;5321;
Sevilla;2013;Hombres;De 16 a 39 años;Emigraciones;14488;
Sevilla;2013;Hombres;De 40 a 64 años;Emigraciones;6581;
Sevilla;2013;Hombres;De 65 y más años;Emigraciones;1146;
Sevilla;2013;Hombres;TOTAL;Emigraciones;27536;
Sevilla;2013;Mujeres;Menores de 16 años;Emigraciones;5297;
Sevilla;2013;Mujeres;De 16 a 39 años;Emigraciones;14809;
Sevilla;2013;Mujeres;De 40 a 64 años;Emigraciones;5418;
Sevilla;2013;Mujeres;De 65 y más años;Emigraciones;1542;
Sevilla;2013;Mujeres;TOTAL;Emigraciones;27066;
Sevilla;2013;Ambos sexos;Menores de 16 años;Emigraciones;10618;
Sevilla;2013;Ambos sexos;De 16 a 39 años;Emigraciones;29297;
Sevilla;2013;Ambos sexos;De 40 a 64 años;Emigraciones;11999;
Sevilla;2013;Ambos sexos;De 65 y más años;Emigraciones;2688;
Sevilla;2013;Ambos sexos;TOTAL;Emigraciones;54602;
Sevilla;2014;Hombres;Menores de 16 años;Emigraciones;5585;
Sevilla;2014;Hombres;De 16 a 39 años;Emigraciones;14402;
