Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Abla;2021;Ambos sexos;De 0 a 4 años;Emigraciones;7;
Abla;2021;Ambos sexos;De 5 a 9 años;Emigraciones;3;
Abla;2021;Ambos sexos;De 10 a 14 años;Emigraciones;2;
Abla;2021;Ambos sexos;De 15 a 19 años;Emigraciones;3;
Abla;2021;Ambos sexos;De 20 a 24 años;Emigraciones;7;
Abla;2021;Ambos sexos;De 25 a 29 años;Emigraciones;7;
Abla;2021;Ambos sexos;De 30 a 34 años;Emigraciones;10;
Abla;2021;Ambos sexos;De 35 a 39 años;Emigraciones;6;
Abla;2021;Ambos sexos;De 40 a 44 años;Emigraciones;7;
Abla;2021;Ambos sexos;De 45 a 49 años;Emigraciones;6;
Abla;2021;Ambos sexos;De 50 a 54 años;Emigraciones;4;
Abla;2021;Ambos sexos;De 55 a 59 años;Emigraciones;-;
Abla;2021;Ambos sexos;De 60 a 64 años;Emigraciones;1;
Abla;2021;Ambos sexos;De 65 y más años;Emigraciones;12;
Abla;2021;Ambos sexos;TOTAL;Emigraciones;75;
Abla;2021;Hombres;De 0 a 4 años;Emigraciones;4;
Abla;2021;Hombres;De 5 a 9 años;Emigraciones;1;
Abla;2021;Hombres;De 10 a 14 años;Emigraciones;2;
Abla;2021;Hombres;De 15 a 19 años;Emigraciones;1;
Abla;2021;Hombres;De 20 a 24 años;Emigraciones;4;
Abla;2021;Hombres;De 25 a 29 años;Emigraciones;4;
Abla;2021;Hombres;De 30 a 34 años;Emigraciones;2;
Abla;2021;Hombres;De 35 a 39 años;Emigraciones;2;
Abla;2021;Hombres;De 40 a 44 años;Emigraciones;6;
Abla;2021;Hombres;De 45 a 49 años;Emigraciones;4;
Abla;2021;Hombres;De 50 a 54 años;Emigraciones;2;
Abla;2021;Hombres;De 55 a 59 años;Emigraciones;-;
Abla;2021;Hombres;De 60 a 64 años;Emigraciones;-;
Abla;2021;Hombres;De 65 y más años;Emigraciones;8;
Abla;2021;Hombres;TOTAL;Emigraciones;40;
Abla;2021;Mujeres;De 0 a 4 años;Emigraciones;3;
Abla;2021;Mujeres;De 5 a 9 años;Emigraciones;2;
Abla;2021;Mujeres;De 10 a 14 años;Emigraciones;-;
Abla;2021;Mujeres;De 15 a 19 años;Emigraciones;2;
Abla;2021;Mujeres;De 20 a 24 años;Emigraciones;3;
Abla;2021;Mujeres;De 25 a 29 años;Emigraciones;3;
Abla;2021;Mujeres;De 30 a 34 años;Emigraciones;8;
Abla;2021;Mujeres;De 35 a 39 años;Emigraciones;4;
Abla;2021;Mujeres;De 40 a 44 años;Emigraciones;1;
Abla;2021;Mujeres;De 45 a 49 años;Emigraciones;2;
Abla;2021;Mujeres;De 50 a 54 años;Emigraciones;2;
Abla;2021;Mujeres;De 55 a 59 años;Emigraciones;-;
Abla;2021;Mujeres;De 60 a 64 años;Emigraciones;1;
Abla;2021;Mujeres;De 65 y más años;Emigraciones;4;
Abla;2021;Mujeres;TOTAL;Emigraciones;35;
Abla;2022;Ambos sexos;De 0 a 4 años;Emigraciones;7;
Abla;2022;Ambos sexos;De 5 a 9 años;Emigraciones;4;
Abla;2022;Ambos sexos;De 10 a 14 años;Emigraciones;2;
Abla;2022;Ambos sexos;De 15 a 19 años;Emigraciones;4;
Abla;2022;Ambos sexos;De 20 a 24 años;Emigraciones;7;
Abla;2022;Ambos sexos;De 25 a 29 años;Emigraciones;7;
Abla;2022;Ambos sexos;De 30 a 34 años;Emigraciones;9;
Abla;2022;Ambos sexos;De 35 a 39 años;Emigraciones;7;
Abla;2022;Ambos sexos;De 40 a 44 años;Emigraciones;4;
Abla;2022;Ambos sexos;De 45 a 49 años;Emigraciones;6;
Abla;2022;Ambos sexos;De 50 a 54 años;Emigraciones;4;
Abla;2022;Ambos sexos;De 55 a 59 años;Emigraciones;1;
Abla;2022;Ambos sexos;De 60 a 64 años;Emigraciones;3;
Abla;2022;Ambos sexos;De 65 y más años;Emigraciones;12;
Abla;2022;Ambos sexos;TOTAL;Emigraciones;77;
Abla;2022;Hombres;De 0 a 4 años;Emigraciones;6;
Abla;2022;Hombres;De 5 a 9 años;Emigraciones;1;
Abla;2022;Hombres;De 10 a 14 años;Emigraciones;-;
Abla;2022;Hombres;De 15 a 19 años;Emigraciones;2;
Abla;2022;Hombres;De 20 a 24 años;Emigraciones;3;
Abla;2022;Hombres;De 25 a 29 años;Emigraciones;1;
Abla;2022;Hombres;De 30 a 34 años;Emigraciones;7;
Abla;2022;Hombres;De 35 a 39 años;Emigraciones;4;
Abla;2022;Hombres;De 40 a 44 años;Emigraciones;3;
Abla;2022;Hombres;De 45 a 49 años;Emigraciones;3;
Abla;2022;Hombres;De 50 a 54 años;Emigraciones;3;
Abla;2022;Hombres;De 55 a 59 años;Emigraciones;1;
Abla;2022;Hombres;De 60 a 64 años;Emigraciones;2;
Abla;2022;Hombres;De 65 y más años;Emigraciones;4;
Abla;2022;Hombres;TOTAL;Emigraciones;40;
Abla;2022;Mujeres;De 0 a 4 años;Emigraciones;1;
Abla;2022;Mujeres;De 5 a 9 años;Emigraciones;3;
Abla;2022;Mujeres;De 10 a 14 años;Emigraciones;2;
Abla;2022;Mujeres;De 15 a 19 años;Emigraciones;2;
Abla;2022;Mujeres;De 20 a 24 años;Emigraciones;4;
Abla;2022;Mujeres;De 25 a 29 años;Emigraciones;6;
Abla;2022;Mujeres;De 30 a 34 años;Emigraciones;2;
Abla;2022;Mujeres;De 35 a 39 años;Emigraciones;3;
Abla;2022;Mujeres;De 40 a 44 años;Emigraciones;1;
Abla;2022;Mujeres;De 45 a 49 años;Emigraciones;3;
Abla;2022;Mujeres;De 50 a 54 años;Emigraciones;1;
Abla;2022;Mujeres;De 55 a 59 años;Emigraciones;-;
Abla;2022;Mujeres;De 60 a 64 años;Emigraciones;1;
Abla;2022;Mujeres;De 65 y más años;Emigraciones;8;
Abla;2022;Mujeres;TOTAL;Emigraciones;37;
Abla;2023;Ambos sexos;De 0 a 4 años;Emigraciones;3;
Abla;2023;Ambos sexos;De 5 a 9 años;Emigraciones;3;
Abla;2023;Ambos sexos;De 10 a 14 años;Emigraciones;3;
Abla;2023;Ambos sexos;De 15 a 19 años;Emigraciones;7;
Abla;2023;Ambos sexos;De 20 a 24 años;Emigraciones;4;
Abla;2023;Ambos sexos;De 25 a 29 años;Emigraciones;5;
Abla;2023;Ambos sexos;De 30 a 34 años;Emigraciones;12;
Abla;2023;Ambos sexos;De 35 a 39 años;Emigraciones;1;
Abla;2023;Ambos sexos;De 40 a 44 años;Emigraciones;11;
Abla;2023;Ambos sexos;De 45 a 49 años;Emigraciones;8;
Abla;2023;Ambos sexos;De 50 a 54 años;Emigraciones;5;
Abla;2023;Ambos sexos;De 55 a 59 años;Emigraciones;5;
Abla;2023;Ambos sexos;De 60 a 64 años;Emigraciones;4;
Abla;2023;Ambos sexos;De 65 y más años;Emigraciones;14;
Abla;2023;Ambos sexos;TOTAL;Emigraciones;85;
Abla;2023;Hombres;De 0 a 4 años;Emigraciones;-;
Abla;2023;Hombres;De 5 a 9 años;Emigraciones;2;
Abla;2023;Hombres;De 10 a 14 años;Emigraciones;1;
Abla;2023;Hombres;De 15 a 19 años;Emigraciones;2;
Abla;2023;Hombres;De 20 a 24 años;Emigraciones;4;
Abla;2023;Hombres;De 25 a 29 años;Emigraciones;2;
Abla;2023;Hombres;De 30 a 34 años;Emigraciones;3;
Abla;2023;Hombres;De 35 a 39 años;Emigraciones;-;
Abla;2023;Hombres;De 40 a 44 años;Emigraciones;7;
Abla;2023;Hombres;De 45 a 49 años;Emigraciones;3;
Abla;2023;Hombres;De 50 a 54 años;Emigraciones;2;
Abla;2023;Hombres;De 55 a 59 años;Emigraciones;4;
Abla;2023;Hombres;De 60 a 64 años;Emigraciones;3;
Abla;2023;Hombres;De 65 y más años;Emigraciones;7;
Abla;2023;Hombres;TOTAL;Emigraciones;40;
Abla;2023;Mujeres;De 0 a 4 años;Emigraciones;3;
Abla;2023;Mujeres;De 5 a 9 años;Emigraciones;1;
Abla;2023;Mujeres;De 10 a 14 años;Emigraciones;2;
Abla;2023;Mujeres;De 15 a 19 años;Emigraciones;5;
Abla;2023;Mujeres;De 20 a 24 años;Emigraciones;-;
Abla;2023;Mujeres;De 25 a 29 años;Emigraciones;3;
Abla;2023;Mujeres;De 30 a 34 años;Emigraciones;9;
Abla;2023;Mujeres;De 35 a 39 años;Emigraciones;1;
Abla;2023;Mujeres;De 40 a 44 años;Emigraciones;4;
Abla;2023;Mujeres;De 45 a 49 años;Emigraciones;5;
Abla;2023;Mujeres;De 50 a 54 años;Emigraciones;3;
Abla;2023;Mujeres;De 55 a 59 años;Emigraciones;1;
Abla;2023;Mujeres;De 60 a 64 años;Emigraciones;1;
Abla;2023;Mujeres;De 65 y más años;Emigraciones;7;
Abla;2023;Mujeres;TOTAL;Emigraciones;45;
Abrucena;2021;Ambos sexos;De 0 a 4 años;Emigraciones;5;
Abrucena;2021;Ambos sexos;De 5 a 9 años;Emigraciones;3;
Abrucena;2021;Ambos sexos;De 10 a 14 años;Emigraciones;2;
Abrucena;2021;Ambos sexos;De 15 a 19 años;Emigraciones;3;
Abrucena;2021;Ambos sexos;De 20 a 24 años;Emigraciones;9;
Abrucena;2021;Ambos sexos;De 25 a 29 años;Emigraciones;8;
Abrucena;2021;Ambos sexos;De 30 a 34 años;Emigraciones;7;
Abrucena;2021;Ambos sexos;De 35 a 39 años;Emigraciones;8;
Abrucena;2021;Ambos sexos;De 40 a 44 años;Emigraciones;12;
Abrucena;2021;Ambos sexos;De 45 a 49 años;Emigraciones;4;
Abrucena;2021;Ambos sexos;De 50 a 54 años;Emigraciones;1;
Abrucena;2021;Ambos sexos;De 55 a 59 años;Emigraciones;2;
Abrucena;2021;Ambos sexos;De 60 a 64 años;Emigraciones;2;
Abrucena;2021;Ambos sexos;De 65 y más años;Emigraciones;12;
Abrucena;2021;Ambos sexos;TOTAL;Emigraciones;78;
Abrucena;2021;Hombres;De 0 a 4 años;Emigraciones;4;
Abrucena;2021;Hombres;De 5 a 9 años;Emigraciones;3;
Abrucena;2021;Hombres;De 10 a 14 años;Emigraciones;-;
Abrucena;2021;Hombres;De 15 a 19 años;Emigraciones;1;
Abrucena;2021;Hombres;De 20 a 24 años;Emigraciones;5;
Abrucena;2021;Hombres;De 25 a 29 años;Emigraciones;6;
Abrucena;2021;Hombres;De 30 a 34 años;Emigraciones;4;
Abrucena;2021;Hombres;De 35 a 39 años;Emigraciones;3;
Abrucena;2021;Hombres;De 40 a 44 años;Emigraciones;8;
Abrucena;2021;Hombres;De 45 a 49 años;Emigraciones;2;
Abrucena;2021;Hombres;De 50 a 54 años;Emigraciones;1;
Abrucena;2021;Hombres;De 55 a 59 años;Emigraciones;2;
Abrucena;2021;Hombres;De 60 a 64 años;Emigraciones;1;
Abrucena;2021;Hombres;De 65 y más años;Emigraciones;5;
Abrucena;2021;Hombres;TOTAL;Emigraciones;45;
Abrucena;2021;Mujeres;De 0 a 4 años;Emigraciones;1;
Abrucena;2021;Mujeres;De 5 a 9 años;Emigraciones;-;
Abrucena;2021;Mujeres;De 10 a 14 años;Emigraciones;2;
Abrucena;2021;Mujeres;De 15 a 19 años;Emigraciones;2;
Abrucena;2021;Mujeres;De 20 a 24 años;Emigraciones;4;
Abrucena;2021;Mujeres;De 25 a 29 años;Emigraciones;2;
Abrucena;2021;Mujeres;De 30 a 34 años;Emigraciones;3;
Abrucena;2021;Mujeres;De 35 a 39 años;Emigraciones;5;
Abrucena;2021;Mujeres;De 40 a 44 años;Emigraciones;4;
Abrucena;2021;Mujeres;De 45 a 49 años;Emigraciones;2;
Abrucena;2021;Mujeres;De 50 a 54 años;Emigraciones;-;
Abrucena;2021;Mujeres;De 55 a 59 años;Emigraciones;-;
Abrucena;2021;Mujeres;De 60 a 64 años;Emigraciones;1;
Abrucena;2021;Mujeres;De 65 y más años;Emigraciones;7;
Abrucena;2021;Mujeres;TOTAL;Emigraciones;33;
Abrucena;2022;Ambos sexos;De 0 a 4 años;Emigraciones;2;
Abrucena;2022;Ambos sexos;De 5 a 9 años;Emigraciones;4;
Abrucena;2022;Ambos sexos;De 10 a 14 años;Emigraciones;5;
Abrucena;2022;Ambos sexos;De 15 a 19 años;Emigraciones;2;
Abrucena;2022;Ambos sexos;De 20 a 24 años;Emigraciones;7;
Abrucena;2022;Ambos sexos;De 25 a 29 años;Emigraciones;13;
Abrucena;2022;Ambos sexos;De 30 a 34 años;Emigraciones;12;
Abrucena;2022;Ambos sexos;De 35 a 39 años;Emigraciones;10;
Abrucena;2022;Ambos sexos;De 40 a 44 años;Emigraciones;11;
Abrucena;2022;Ambos sexos;De 45 a 49 años;Emigraciones;8;
Abrucena;2022;Ambos sexos;De 50 a 54 años;Emigraciones;6;
Abrucena;2022;Ambos sexos;De 55 a 59 años;Emigraciones;1;
Abrucena;2022;Ambos sexos;De 60 a 64 años;Emigraciones;1;
Abrucena;2022;Ambos sexos;De 65 y más años;Emigraciones;8;
Abrucena;2022;Ambos sexos;TOTAL;Emigraciones;90;
Abrucena;2022;Hombres;De 0 a 4 años;Emigraciones;-;
Abrucena;2022;Hombres;De 5 a 9 años;Emigraciones;1;
Abrucena;2022;Hombres;De 10 a 14 años;Emigraciones;3;
Abrucena;2022;Hombres;De 15 a 19 años;Emigraciones;2;
Abrucena;2022;Hombres;De 20 a 24 años;Emigraciones;2;
Abrucena;2022;Hombres;De 25 a 29 años;Emigraciones;6;
Abrucena;2022;Hombres;De 30 a 34 años;Emigraciones;3;
Abrucena;2022;Hombres;De 35 a 39 años;Emigraciones;5;
Abrucena;2022;Hombres;De 40 a 44 años;Emigraciones;8;
Abrucena;2022;Hombres;De 45 a 49 años;Emigraciones;2;
Abrucena;2022;Hombres;De 50 a 54 años;Emigraciones;1;
Abrucena;2022;Hombres;De 55 a 59 años;Emigraciones;-;
