Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Alcalá de los Gazules;2021;Ambos sexos;De 0 a 4 años;Emigraciones;6;
Alcalá de los Gazules;2021;Ambos sexos;De 5 a 9 años;Emigraciones;4;
Alcalá de los Gazules;2021;Ambos sexos;De 10 a 14 años;Emigraciones;1;
Alcalá de los Gazules;2021;Ambos sexos;De 15 a 19 años;Emigraciones;11;
Alcalá de los Gazules;2021;Ambos sexos;De 20 a 24 años;Emigraciones;2;
Alcalá de los Gazules;2021;Ambos sexos;De 25 a 29 años;Emigraciones;24;
Alcalá de los Gazules;2021;Ambos sexos;De 30 a 34 años;Emigraciones;18;
Alcalá de los Gazules;2021;Ambos sexos;De 35 a 39 años;Emigraciones;8;
Alcalá de los Gazules;2021;Ambos sexos;De 40 a 44 años;Emigraciones;13;
Alcalá de los Gazules;2021;Ambos sexos;De 45 a 49 años;Emigraciones;9;
Alcalá de los Gazules;2021;Ambos sexos;De 50 a 54 años;Emigraciones;8;
Alcalá de los Gazules;2021;Ambos sexos;De 55 a 59 años;Emigraciones;1;
Alcalá de los Gazules;2021;Ambos sexos;De 60 a 64 años;Emigraciones;5;
Alcalá de los Gazules;2021;Ambos sexos;De 65 y más años;Emigraciones;15;
Alcalá de los Gazules;2021;Ambos sexos;TOTAL;Emigraciones;125;
Alcalá de los Gazules;2021;Hombres;De 0 a 4 años;Emigraciones;4;
Alcalá de los Gazules;2021;Hombres;De 5 a 9 años;Emigraciones;1;
Alcalá de los Gazules;2021;Hombres;De 10 a 14 años;Emigraciones;-;
Alcalá de los Gazules;2021;Hombres;De 15 a 19 años;Emigraciones;4;
Alcalá de los Gazules;2021;Hombres;De 20 a 24 años;Emigraciones;1;
Alcalá de los Gazules;2021;Hombres;De 25 a 29 años;Emigraciones;14;
Alcalá de los Gazules;2021;Hombres;De 30 a 34 años;Emigraciones;10;
Alcalá de los Gazules;2021;Hombres;De 35 a 39 años;Emigraciones;5;
Alcalá de los Gazules;2021;Hombres;De 40 a 44 años;Emigraciones;6;
Alcalá de los Gazules;2021;Hombres;De 45 a 49 años;Emigraciones;3;
Alcalá de los Gazules;2021;Hombres;De 50 a 54 años;Emigraciones;4;
Alcalá de los Gazules;2021;Hombres;De 55 a 59 años;Emigraciones;-;
Alcalá de los Gazules;2021;Hombres;De 60 a 64 años;Emigraciones;2;
Alcalá de los Gazules;2021;Hombres;De 65 y más años;Emigraciones;8;
Alcalá de los Gazules;2021;Hombres;TOTAL;Emigraciones;62;
Alcalá de los Gazules;2021;Mujeres;De 0 a 4 años;Emigraciones;2;
Alcalá de los Gazules;2021;Mujeres;De 5 a 9 años;Emigraciones;3;
Alcalá de los Gazules;2021;Mujeres;De 10 a 14 años;Emigraciones;1;
Alcalá de los Gazules;2021;Mujeres;De 15 a 19 años;Emigraciones;7;
Alcalá de los Gazules;2021;Mujeres;De 20 a 24 años;Emigraciones;1;
Alcalá de los Gazules;2021;Mujeres;De 25 a 29 años;Emigraciones;10;
Alcalá de los Gazules;2021;Mujeres;De 30 a 34 años;Emigraciones;8;
Alcalá de los Gazules;2021;Mujeres;De 35 a 39 años;Emigraciones;3;
Alcalá de los Gazules;2021;Mujeres;De 40 a 44 años;Emigraciones;7;
Alcalá de los Gazules;2021;Mujeres;De 45 a 49 años;Emigraciones;6;
Alcalá de los Gazules;2021;Mujeres;De 50 a 54 años;Emigraciones;4;
Alcalá de los Gazules;2021;Mujeres;De 55 a 59 años;Emigraciones;1;
Alcalá de los Gazules;2021;Mujeres;De 60 a 64 años;Emigraciones;3;
Alcalá de los Gazules;2021;Mujeres;De 65 y más años;Emigraciones;7;
Alcalá de los Gazules;2021;Mujeres;TOTAL;Emigraciones;63;
Alcalá de los Gazules;2022;Ambos sexos;De 0 a 4 años;Emigraciones;8;
Alcalá de los Gazules;2022;Ambos sexos;De 5 a 9 años;Emigraciones;6;
Alcalá de los Gazules;2022;Ambos sexos;De 10 a 14 años;Emigraciones;4;
Alcalá de los Gazules;2022;Ambos sexos;De 15 a 19 años;Emigraciones;4;
Alcalá de los Gazules;2022;Ambos sexos;De 20 a 24 años;Emigraciones;18;
Alcalá de los Gazules;2022;Ambos sexos;De 25 a 29 años;Emigraciones;29;
Alcalá de los Gazules;2022;Ambos sexos;De 30 a 34 años;Emigraciones;19;
Alcalá de los Gazules;2022;Ambos sexos;De 35 a 39 años;Emigraciones;13;
Alcalá de los Gazules;2022;Ambos sexos;De 40 a 44 años;Emigraciones;10;
Alcalá de los Gazules;2022;Ambos sexos;De 45 a 49 años;Emigraciones;8;
Alcalá de los Gazules;2022;Ambos sexos;De 50 a 54 años;Emigraciones;2;
Alcalá de los Gazules;2022;Ambos sexos;De 55 a 59 años;Emigraciones;4;
Alcalá de los Gazules;2022;Ambos sexos;De 60 a 64 años;Emigraciones;7;
Alcalá de los Gazules;2022;Ambos sexos;De 65 y más años;Emigraciones;11;
Alcalá de los Gazules;2022;Ambos sexos;TOTAL;Emigraciones;143;
Alcalá de los Gazules;2022;Hombres;De 0 a 4 años;Emigraciones;4;
Alcalá de los Gazules;2022;Hombres;De 5 a 9 años;Emigraciones;1;
Alcalá de los Gazules;2022;Hombres;De 10 a 14 años;Emigraciones;3;
Alcalá de los Gazules;2022;Hombres;De 15 a 19 años;Emigraciones;2;
Alcalá de los Gazules;2022;Hombres;De 20 a 24 años;Emigraciones;6;
Alcalá de los Gazules;2022;Hombres;De 25 a 29 años;Emigraciones;14;
Alcalá de los Gazules;2022;Hombres;De 30 a 34 años;Emigraciones;9;
Alcalá de los Gazules;2022;Hombres;De 35 a 39 años;Emigraciones;10;
Alcalá de los Gazules;2022;Hombres;De 40 a 44 años;Emigraciones;5;
Alcalá de los Gazules;2022;Hombres;De 45 a 49 años;Emigraciones;3;
