Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Córdoba;2021;Ambos sexos;De 0 a 4 años;Emigraciones;983;
Córdoba;2021;Ambos sexos;De 5 a 9 años;Emigraciones;744;
Córdoba;2021;Ambos sexos;De 10 a 14 años;Emigraciones;731;
Córdoba;2021;Ambos sexos;De 15 a 19 años;Emigraciones;775;
Córdoba;2021;Ambos sexos;De 20 a 24 años;Emigraciones;1449;
Córdoba;2021;Ambos sexos;De 25 a 29 años;Emigraciones;2471;
Córdoba;2021;Ambos sexos;De 30 a 34 años;Emigraciones;2548;
Córdoba;2021;Ambos sexos;De 35 a 39 años;Emigraciones;1836;
Córdoba;2021;Ambos sexos;De 40 a 44 años;Emigraciones;1543;
Córdoba;2021;Ambos sexos;De 45 a 49 años;Emigraciones;1071;
Córdoba;2021;Ambos sexos;De 50 a 54 años;Emigraciones;871;
Córdoba;2021;Ambos sexos;De 55 a 59 años;Emigraciones;721;
Córdoba;2021;Ambos sexos;De 60 a 64 años;Emigraciones;513;
Córdoba;2021;Ambos sexos;De 65 y más años;Emigraciones;1670;
Córdoba;2021;Ambos sexos;TOTAL;Emigraciones;17926;
Córdoba;2021;Hombres;De 0 a 4 años;Emigraciones;499;
Córdoba;2021;Hombres;De 5 a 9 años;Emigraciones;380;
Córdoba;2021;Hombres;De 10 a 14 años;Emigraciones;387;
Córdoba;2021;Hombres;De 15 a 19 años;Emigraciones;392;
Córdoba;2021;Hombres;De 20 a 24 años;Emigraciones;679;
Córdoba;2021;Hombres;De 25 a 29 años;Emigraciones;1153;
Córdoba;2021;Hombres;De 30 a 34 años;Emigraciones;1248;
Córdoba;2021;Hombres;De 35 a 39 años;Emigraciones;961;
Córdoba;2021;Hombres;De 40 a 44 años;Emigraciones;808;
Córdoba;2021;Hombres;De 45 a 49 años;Emigraciones;570;
Córdoba;2021;Hombres;De 50 a 54 años;Emigraciones;478;
Córdoba;2021;Hombres;De 55 a 59 años;Emigraciones;360;
Córdoba;2021;Hombres;De 60 a 64 años;Emigraciones;242;
Córdoba;2021;Hombres;De 65 y más años;Emigraciones;737;
Córdoba;2021;Hombres;TOTAL;Emigraciones;8894;
Córdoba;2021;Mujeres;De 0 a 4 años;Emigraciones;484;
Córdoba;2021;Mujeres;De 5 a 9 años;Emigraciones;364;
Córdoba;2021;Mujeres;De 10 a 14 años;Emigraciones;344;
Córdoba;2021;Mujeres;De 15 a 19 años;Emigraciones;383;
Córdoba;2021;Mujeres;De 20 a 24 años;Emigraciones;770;
Córdoba;2021;Mujeres;De 25 a 29 años;Emigraciones;1318;
Córdoba;2021;Mujeres;De 30 a 34 años;Emigraciones;1300;
Córdoba;2021;Mujeres;De 35 a 39 años;Emigraciones;875;
Córdoba;2021;Mujeres;De 40 a 44 años;Emigraciones;735;
Córdoba;2021;Mujeres;De 45 a 49 años;Emigraciones;501;
Córdoba;2021;Mujeres;De 50 a 54 años;Emigraciones;393;
Córdoba;2021;Mujeres;De 55 a 59 años;Emigraciones;361;
Córdoba;2021;Mujeres;De 60 a 64 años;Emigraciones;271;
Córdoba;2021;Mujeres;De 65 y más años;Emigraciones;933;
Córdoba;2021;Mujeres;TOTAL;Emigraciones;9032;
Córdoba;2022;Ambos sexos;De 0 a 4 años;Emigraciones;938;
Córdoba;2022;Ambos sexos;De 5 a 9 años;Emigraciones;674;
Córdoba;2022;Ambos sexos;De 10 a 14 años;Emigraciones;710;
Córdoba;2022;Ambos sexos;De 15 a 19 años;Emigraciones;814;
Córdoba;2022;Ambos sexos;De 20 a 24 años;Emigraciones;1939;
Córdoba;2022;Ambos sexos;De 25 a 29 años;Emigraciones;3219;
Córdoba;2022;Ambos sexos;De 30 a 34 años;Emigraciones;2773;
Córdoba;2022;Ambos sexos;De 35 a 39 años;Emigraciones;1881;
Córdoba;2022;Ambos sexos;De 40 a 44 años;Emigraciones;1375;
Córdoba;2022;Ambos sexos;De 45 a 49 años;Emigraciones;1111;
Córdoba;2022;Ambos sexos;De 50 a 54 años;Emigraciones;867;
Córdoba;2022;Ambos sexos;De 55 a 59 años;Emigraciones;698;
Córdoba;2022;Ambos sexos;De 60 a 64 años;Emigraciones;531;
Córdoba;2022;Ambos sexos;De 65 y más años;Emigraciones;1868;
Córdoba;2022;Ambos sexos;TOTAL;Emigraciones;19398;
Córdoba;2022;Hombres;De 0 a 4 años;Emigraciones;486;
Córdoba;2022;Hombres;De 5 a 9 años;Emigraciones;331;
Córdoba;2022;Hombres;De 10 a 14 años;Emigraciones;380;
Córdoba;2022;Hombres;De 15 a 19 años;Emigraciones;395;
Córdoba;2022;Hombres;De 20 a 24 años;Emigraciones;935;
Córdoba;2022;Hombres;De 25 a 29 años;Emigraciones;1564;
Córdoba;2022;Hombres;De 30 a 34 años;Emigraciones;1433;
Córdoba;2022;Hombres;De 35 a 39 años;Emigraciones;948;
Córdoba;2022;Hombres;De 40 a 44 años;Emigraciones;727;
Córdoba;2022;Hombres;De 45 a 49 años;Emigraciones;602;
Córdoba;2022;Hombres;De 50 a 54 años;Emigraciones;433;
Córdoba;2022;Hombres;De 55 a 59 años;Emigraciones;358;
Córdoba;2022;Hombres;De 60 a 64 años;Emigraciones;277;
Córdoba;2022;Hombres;De 65 y más años;Emigraciones;779;
Córdoba;2022;Hombres;TOTAL;Emigraciones;9648;
Córdoba;2022;Mujeres;De 0 a 4 años;Emigraciones;452;
Córdoba;2022;Mujeres;De 5 a 9 años;Emigraciones;343;
Córdoba;2022;Mujeres;De 10 a 14 años;Emigraciones;330;
Córdoba;2022;Mujeres;De 15 a 19 años;Emigraciones;419;
Córdoba;2022;Mujeres;De 20 a 24 años;Emigraciones;1004;
Córdoba;2022;Mujeres;De 25 a 29 años;Emigraciones;1655;
Córdoba;2022;Mujeres;De 30 a 34 años;Emigraciones;1340;
Córdoba;2022;Mujeres;De 35 a 39 años;Emigraciones;933;
Córdoba;2022;Mujeres;De 40 a 44 años;Emigraciones;648;
Córdoba;2022;Mujeres;De 45 a 49 años;Emigraciones;509;
Córdoba;2022;Mujeres;De 50 a 54 años;Emigraciones;434;
Córdoba;2022;Mujeres;De 55 a 59 años;Emigraciones;340;
Córdoba;2022;Mujeres;De 60 a 64 años;Emigraciones;254;
Córdoba;2022;Mujeres;De 65 y más años;Emigraciones;1089;
Córdoba;2022;Mujeres;TOTAL;Emigraciones;9750;
Córdoba;2023;Ambos sexos;De 0 a 4 años;Emigraciones;932;
Córdoba;2023;Ambos sexos;De 5 a 9 años;Emigraciones;722;
Córdoba;2023;Ambos sexos;De 10 a 14 años;Emigraciones;661;
Córdoba;2023;Ambos sexos;De 15 a 19 años;Emigraciones;771;
Córdoba;2023;Ambos sexos;De 20 a 24 años;Emigraciones;1765;
Córdoba;2023;Ambos sexos;De 25 a 29 años;Emigraciones;2753;
Córdoba;2023;Ambos sexos;De 30 a 34 años;Emigraciones;2673;
Córdoba;2023;Ambos sexos;De 35 a 39 años;Emigraciones;1839;
Córdoba;2023;Ambos sexos;De 40 a 44 años;Emigraciones;1478;
Córdoba;2023;Ambos sexos;De 45 a 49 años;Emigraciones;1164;
Córdoba;2023;Ambos sexos;De 50 a 54 años;Emigraciones;884;
Córdoba;2023;Ambos sexos;De 55 a 59 años;Emigraciones;750;
Córdoba;2023;Ambos sexos;De 60 a 64 años;Emigraciones;551;
Córdoba;2023;Ambos sexos;De 65 y más años;Emigraciones;1933;
Córdoba;2023;Ambos sexos;TOTAL;Emigraciones;18876;
Córdoba;2023;Hombres;De 0 a 4 años;Emigraciones;474;
Córdoba;2023;Hombres;De 5 a 9 años;Emigraciones;375;
Córdoba;2023;Hombres;De 10 a 14 años;Emigraciones;322;
Córdoba;2023;Hombres;De 15 a 19 años;Emigraciones;391;
Córdoba;2023;Hombres;De 20 a 24 años;Emigraciones;844;
Córdoba;2023;Hombres;De 25 a 29 años;Emigraciones;1285;
Córdoba;2023;Hombres;De 30 a 34 años;Emigraciones;1338;
Córdoba;2023;Hombres;De 35 a 39 años;Emigraciones;945;
Córdoba;2023;Hombres;De 40 a 44 años;Emigraciones;792;
Córdoba;2023;Hombres;De 45 a 49 años;Emigraciones;618;
Córdoba;2023;Hombres;De 50 a 54 años;Emigraciones;448;
Córdoba;2023;Hombres;De 55 a 59 años;Emigraciones;379;
Córdoba;2023;Hombres;De 60 a 64 años;Emigraciones;281;
Córdoba;2023;Hombres;De 65 y más años;Emigraciones;792;
Córdoba;2023;Hombres;TOTAL;Emigraciones;9284;
Córdoba;2023;Mujeres;De 0 a 4 años;Emigraciones;458;
Córdoba;2023;Mujeres;De 5 a 9 años;Emigraciones;347;
Córdoba;2023;Mujeres;De 10 a 14 años;Emigraciones;339;
Córdoba;2023;Mujeres;De 15 a 19 años;Emigraciones;380;
Córdoba;2023;Mujeres;De 20 a 24 años;Emigraciones;921;
Córdoba;2023;Mujeres;De 25 a 29 años;Emigraciones;1468;
Córdoba;2023;Mujeres;De 30 a 34 años;Emigraciones;1335;
Córdoba;2023;Mujeres;De 35 a 39 años;Emigraciones;894;
Córdoba;2023;Mujeres;De 40 a 44 años;Emigraciones;686;
Córdoba;2023;Mujeres;De 45 a 49 años;Emigraciones;546;
Córdoba;2023;Mujeres;De 50 a 54 años;Emigraciones;436;
Córdoba;2023;Mujeres;De 55 a 59 años;Emigraciones;371;
Córdoba;2023;Mujeres;De 60 a 64 años;Emigraciones;270;
Córdoba;2023;Mujeres;De 65 y más años;Emigraciones;1141;
Córdoba;2023;Mujeres;TOTAL;Emigraciones;9592;
Adamuz;2021;Ambos sexos;De 0 a 4 años;Emigraciones;7;
Adamuz;2021;Ambos sexos;De 5 a 9 años;Emigraciones;3;
Adamuz;2021;Ambos sexos;De 10 a 14 años;Emigraciones;3;
Adamuz;2021;Ambos sexos;De 15 a 19 años;Emigraciones;4;
Adamuz;2021;Ambos sexos;De 20 a 24 años;Emigraciones;5;
Adamuz;2021;Ambos sexos;De 25 a 29 años;Emigraciones;10;
Adamuz;2021;Ambos sexos;De 30 a 34 años;Emigraciones;23;
Adamuz;2021;Ambos sexos;De 35 a 39 años;Emigraciones;5;
Adamuz;2021;Ambos sexos;De 40 a 44 años;Emigraciones;11;
Adamuz;2021;Ambos sexos;De 45 a 49 años;Emigraciones;5;
Adamuz;2021;Ambos sexos;De 50 a 54 años;Emigraciones;3;
Adamuz;2021;Ambos sexos;De 55 a 59 años;Emigraciones;3;
Adamuz;2021;Ambos sexos;De 60 a 64 años;Emigraciones;2;
Adamuz;2021;Ambos sexos;De 65 y más años;Emigraciones;7;
Adamuz;2021;Ambos sexos;TOTAL;Emigraciones;91;
Adamuz;2021;Hombres;De 0 a 4 años;Emigraciones;3;
Adamuz;2021;Hombres;De 5 a 9 años;Emigraciones;2;
Adamuz;2021;Hombres;De 10 a 14 años;Emigraciones;1;
Adamuz;2021;Hombres;De 15 a 19 años;Emigraciones;4;
Adamuz;2021;Hombres;De 20 a 24 años;Emigraciones;3;
Adamuz;2021;Hombres;De 25 a 29 años;Emigraciones;5;
Adamuz;2021;Hombres;De 30 a 34 años;Emigraciones;13;
Adamuz;2021;Hombres;De 35 a 39 años;Emigraciones;3;
Adamuz;2021;Hombres;De 40 a 44 años;Emigraciones;6;
Adamuz;2021;Hombres;De 45 a 49 años;Emigraciones;4;
Adamuz;2021;Hombres;De 50 a 54 años;Emigraciones;2;
Adamuz;2021;Hombres;De 55 a 59 años;Emigraciones;1;
