Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
La Nava;2021;Ambos sexos;De 0 a 4 años;Emigraciones;-;
La Nava;2021;Ambos sexos;De 5 a 9 años;Emigraciones;2;
La Nava;2021;Ambos sexos;De 10 a 14 años;Emigraciones;1;
La Nava;2021;Ambos sexos;De 15 a 19 años;Emigraciones;-;
La Nava;2021;Ambos sexos;De 20 a 24 años;Emigraciones;-;
La Nava;2021;Ambos sexos;De 25 a 29 años;Emigraciones;3;
La Nava;2021;Ambos sexos;De 30 a 34 años;Emigraciones;-;
La Nava;2021;Ambos sexos;De 35 a 39 años;Emigraciones;3;
La Nava;2021;Ambos sexos;De 40 a 44 años;Emigraciones;1;
La Nava;2021;Ambos sexos;De 45 a 49 años;Emigraciones;-;
La Nava;2021;Ambos sexos;De 50 a 54 años;Emigraciones;2;
La Nava;2021;Ambos sexos;De 55 a 59 años;Emigraciones;1;
La Nava;2021;Ambos sexos;De 60 a 64 años;Emigraciones;-;
La Nava;2021;Ambos sexos;De 65 y más años;Emigraciones;1;
La Nava;2021;Ambos sexos;TOTAL;Emigraciones;14;
La Nava;2021;Hombres;De 0 a 4 años;Emigraciones;-;
La Nava;2021;Hombres;De 5 a 9 años;Emigraciones;2;
La Nava;2021;Hombres;De 10 a 14 años;Emigraciones;-;
La Nava;2021;Hombres;De 15 a 19 años;Emigraciones;-;
La Nava;2021;Hombres;De 20 a 24 años;Emigraciones;-;
La Nava;2021;Hombres;De 25 a 29 años;Emigraciones;-;
La Nava;2021;Hombres;De 30 a 34 años;Emigraciones;-;
La Nava;2021;Hombres;De 35 a 39 años;Emigraciones;2;
La Nava;2021;Hombres;De 40 a 44 años;Emigraciones;-;
La Nava;2021;Hombres;De 45 a 49 años;Emigraciones;-;
La Nava;2021;Hombres;De 50 a 54 años;Emigraciones;1;
La Nava;2021;Hombres;De 55 a 59 años;Emigraciones;-;
La Nava;2021;Hombres;De 60 a 64 años;Emigraciones;-;
La Nava;2021;Hombres;De 65 y más años;Emigraciones;-;
La Nava;2021;Hombres;TOTAL;Emigraciones;5;
La Nava;2021;Mujeres;De 0 a 4 años;Emigraciones;-;
La Nava;2021;Mujeres;De 5 a 9 años;Emigraciones;-;
La Nava;2021;Mujeres;De 10 a 14 años;Emigraciones;1;
La Nava;2021;Mujeres;De 15 a 19 años;Emigraciones;-;
La Nava;2021;Mujeres;De 20 a 24 años;Emigraciones;-;
La Nava;2021;Mujeres;De 25 a 29 años;Emigraciones;3;
La Nava;2021;Mujeres;De 30 a 34 años;Emigraciones;-;
La Nava;2021;Mujeres;De 35 a 39 años;Emigraciones;1;
La Nava;2021;Mujeres;De 40 a 44 años;Emigraciones;1;
La Nava;2021;Mujeres;De 45 a 49 años;Emigraciones;-;
La Nava;2021;Mujeres;De 50 a 54 años;Emigraciones;1;
La Nava;2021;Mujeres;De 55 a 59 años;Emigraciones;1;
La Nava;2021;Mujeres;De 60 a 64 años;Emigraciones;-;
La Nava;2021;Mujeres;De 65 y más años;Emigraciones;1;
La Nava;2021;Mujeres;TOTAL;Emigraciones;9;
La Nava;2022;Ambos sexos;De 0 a 4 años;Emigraciones;1;
La Nava;2022;Ambos sexos;De 5 a 9 años;Emigraciones;-;
La Nava;2022;Ambos sexos;De 10 a 14 años;Emigraciones;-;
La Nava;2022;Ambos sexos;De 15 a 19 años;Emigraciones;-;
La Nava;2022;Ambos sexos;De 20 a 24 años;Emigraciones;-;
La Nava;2022;Ambos sexos;De 25 a 29 años;Emigraciones;1;
La Nava;2022;Ambos sexos;De 30 a 34 años;Emigraciones;1;
La Nava;2022;Ambos sexos;De 35 a 39 años;Emigraciones;1;
La Nava;2022;Ambos sexos;De 40 a 44 años;Emigraciones;-;
La Nava;2022;Ambos sexos;De 45 a 49 años;Emigraciones;-;
La Nava;2022;Ambos sexos;De 50 a 54 años;Emigraciones;-;
La Nava;2022;Ambos sexos;De 55 a 59 años;Emigraciones;-;
La Nava;2022;Ambos sexos;De 60 a 64 años;Emigraciones;1;
La Nava;2022;Ambos sexos;De 65 y más años;Emigraciones;2;
La Nava;2022;Ambos sexos;TOTAL;Emigraciones;7;
La Nava;2022;Hombres;De 0 a 4 años;Emigraciones;-;
La Nava;2022;Hombres;De 5 a 9 años;Emigraciones;-;
La Nava;2022;Hombres;De 10 a 14 años;Emigraciones;-;
La Nava;2022;Hombres;De 15 a 19 años;Emigraciones;-;
La Nava;2022;Hombres;De 20 a 24 años;Emigraciones;-;
La Nava;2022;Hombres;De 25 a 29 años;Emigraciones;-;
La Nava;2022;Hombres;De 30 a 34 años;Emigraciones;1;
La Nava;2022;Hombres;De 35 a 39 años;Emigraciones;-;
La Nava;2022;Hombres;De 40 a 44 años;Emigraciones;-;
La Nava;2022;Hombres;De 45 a 49 años;Emigraciones;-;
La Nava;2022;Hombres;De 50 a 54 años;Emigraciones;-;
La Nava;2022;Hombres;De 55 a 59 años;Emigraciones;-;
La Nava;2022;Hombres;De 60 a 64 años;Emigraciones;-;
La Nava;2022;Hombres;De 65 y más años;Emigraciones;1;
La Nava;2022;Hombres;TOTAL;Emigraciones;2;
