Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Huelma;2021;Ambos sexos;De 0 a 4 años;Emigraciones;2;
Huelma;2021;Ambos sexos;De 5 a 9 años;Emigraciones;8;
Huelma;2021;Ambos sexos;De 10 a 14 años;Emigraciones;6;
Huelma;2021;Ambos sexos;De 15 a 19 años;Emigraciones;7;
Huelma;2021;Ambos sexos;De 20 a 24 años;Emigraciones;15;
Huelma;2021;Ambos sexos;De 25 a 29 años;Emigraciones;14;
Huelma;2021;Ambos sexos;De 30 a 34 años;Emigraciones;25;
Huelma;2021;Ambos sexos;De 35 a 39 años;Emigraciones;7;
Huelma;2021;Ambos sexos;De 40 a 44 años;Emigraciones;13;
Huelma;2021;Ambos sexos;De 45 a 49 años;Emigraciones;8;
Huelma;2021;Ambos sexos;De 50 a 54 años;Emigraciones;4;
Huelma;2021;Ambos sexos;De 55 a 59 años;Emigraciones;-;
Huelma;2021;Ambos sexos;De 60 a 64 años;Emigraciones;4;
Huelma;2021;Ambos sexos;De 65 y más años;Emigraciones;19;
Huelma;2021;Ambos sexos;TOTAL;Emigraciones;132;
Huelma;2021;Hombres;De 0 a 4 años;Emigraciones;2;
Huelma;2021;Hombres;De 5 a 9 años;Emigraciones;5;
Huelma;2021;Hombres;De 10 a 14 años;Emigraciones;4;
Huelma;2021;Hombres;De 15 a 19 años;Emigraciones;3;
Huelma;2021;Hombres;De 20 a 24 años;Emigraciones;7;
Huelma;2021;Hombres;De 25 a 29 años;Emigraciones;5;
Huelma;2021;Hombres;De 30 a 34 años;Emigraciones;13;
Huelma;2021;Hombres;De 35 a 39 años;Emigraciones;3;
Huelma;2021;Hombres;De 40 a 44 años;Emigraciones;6;
Huelma;2021;Hombres;De 45 a 49 años;Emigraciones;5;
Huelma;2021;Hombres;De 50 a 54 años;Emigraciones;2;
Huelma;2021;Hombres;De 55 a 59 años;Emigraciones;-;
Huelma;2021;Hombres;De 60 a 64 años;Emigraciones;2;
Huelma;2021;Hombres;De 65 y más años;Emigraciones;8;
Huelma;2021;Hombres;TOTAL;Emigraciones;65;
Huelma;2021;Mujeres;De 0 a 4 años;Emigraciones;-;
Huelma;2021;Mujeres;De 5 a 9 años;Emigraciones;3;
Huelma;2021;Mujeres;De 10 a 14 años;Emigraciones;2;
Huelma;2021;Mujeres;De 15 a 19 años;Emigraciones;4;
Huelma;2021;Mujeres;De 20 a 24 años;Emigraciones;8;
Huelma;2021;Mujeres;De 25 a 29 años;Emigraciones;9;
Huelma;2021;Mujeres;De 30 a 34 años;Emigraciones;12;
Huelma;2021;Mujeres;De 35 a 39 años;Emigraciones;4;
