Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Sorihuela del Guadalimar;2021;Ambos sexos;De 0 a 4 años;Emigraciones;4;
Sorihuela del Guadalimar;2021;Ambos sexos;De 5 a 9 años;Emigraciones;2;
Sorihuela del Guadalimar;2021;Ambos sexos;De 10 a 14 años;Emigraciones;5;
Sorihuela del Guadalimar;2021;Ambos sexos;De 15 a 19 años;Emigraciones;2;
Sorihuela del Guadalimar;2021;Ambos sexos;De 20 a 24 años;Emigraciones;7;
Sorihuela del Guadalimar;2021;Ambos sexos;De 25 a 29 años;Emigraciones;9;
Sorihuela del Guadalimar;2021;Ambos sexos;De 30 a 34 años;Emigraciones;7;
Sorihuela del Guadalimar;2021;Ambos sexos;De 35 a 39 años;Emigraciones;6;
Sorihuela del Guadalimar;2021;Ambos sexos;De 40 a 44 años;Emigraciones;4;
Sorihuela del Guadalimar;2021;Ambos sexos;De 45 a 49 años;Emigraciones;1;
Sorihuela del Guadalimar;2021;Ambos sexos;De 50 a 54 años;Emigraciones;5;
Sorihuela del Guadalimar;2021;Ambos sexos;De 55 a 59 años;Emigraciones;3;
Sorihuela del Guadalimar;2021;Ambos sexos;De 60 a 64 años;Emigraciones;1;
Sorihuela del Guadalimar;2021;Ambos sexos;De 65 y más años;Emigraciones;9;
Sorihuela del Guadalimar;2021;Ambos sexos;TOTAL;Emigraciones;65;
Sorihuela del Guadalimar;2021;Hombres;De 0 a 4 años;Emigraciones;2;
Sorihuela del Guadalimar;2021;Hombres;De 5 a 9 años;Emigraciones;1;
Sorihuela del Guadalimar;2021;Hombres;De 10 a 14 años;Emigraciones;1;
Sorihuela del Guadalimar;2021;Hombres;De 15 a 19 años;Emigraciones;-;
Sorihuela del Guadalimar;2021;Hombres;De 20 a 24 años;Emigraciones;5;
Sorihuela del Guadalimar;2021;Hombres;De 25 a 29 años;Emigraciones;5;
Sorihuela del Guadalimar;2021;Hombres;De 30 a 34 años;Emigraciones;4;
Sorihuela del Guadalimar;2021;Hombres;De 35 a 39 años;Emigraciones;5;
Sorihuela del Guadalimar;2021;Hombres;De 40 a 44 años;Emigraciones;2;
Sorihuela del Guadalimar;2021;Hombres;De 45 a 49 años;Emigraciones;1;
Sorihuela del Guadalimar;2021;Hombres;De 50 a 54 años;Emigraciones;3;
Sorihuela del Guadalimar;2021;Hombres;De 55 a 59 años;Emigraciones;3;
Sorihuela del Guadalimar;2021;Hombres;De 60 a 64 años;Emigraciones;-;
Sorihuela del Guadalimar;2021;Hombres;De 65 y más años;Emigraciones;3;
Sorihuela del Guadalimar;2021;Hombres;TOTAL;Emigraciones;35;
Sorihuela del Guadalimar;2021;Mujeres;De 0 a 4 años;Emigraciones;2;
Sorihuela del Guadalimar;2021;Mujeres;De 5 a 9 años;Emigraciones;1;
Sorihuela del Guadalimar;2021;Mujeres;De 10 a 14 años;Emigraciones;4;
Sorihuela del Guadalimar;2021;Mujeres;De 15 a 19 años;Emigraciones;2;
Sorihuela del Guadalimar;2021;Mujeres;De 20 a 24 años;Emigraciones;2;
Sorihuela del Guadalimar;2021;Mujeres;De 25 a 29 años;Emigraciones;4;
Sorihuela del Guadalimar;2021;Mujeres;De 30 a 34 años;Emigraciones;3;
Sorihuela del Guadalimar;2021;Mujeres;De 35 a 39 años;Emigraciones;1;
Sorihuela del Guadalimar;2021;Mujeres;De 40 a 44 años;Emigraciones;2;
Sorihuela del Guadalimar;2021;Mujeres;De 45 a 49 años;Emigraciones;-;
Sorihuela del Guadalimar;2021;Mujeres;De 50 a 54 años;Emigraciones;2;
Sorihuela del Guadalimar;2021;Mujeres;De 55 a 59 años;Emigraciones;-;
Sorihuela del Guadalimar;2021;Mujeres;De 60 a 64 años;Emigraciones;1;
Sorihuela del Guadalimar;2021;Mujeres;De 65 y más años;Emigraciones;6;
Sorihuela del Guadalimar;2021;Mujeres;TOTAL;Emigraciones;30;
Sorihuela del Guadalimar;2022;Ambos sexos;De 0 a 4 años;Emigraciones;-;
Sorihuela del Guadalimar;2022;Ambos sexos;De 5 a 9 años;Emigraciones;1;
Sorihuela del Guadalimar;2022;Ambos sexos;De 10 a 14 años;Emigraciones;2;
Sorihuela del Guadalimar;2022;Ambos sexos;De 15 a 19 años;Emigraciones;1;
Sorihuela del Guadalimar;2022;Ambos sexos;De 20 a 24 años;Emigraciones;-;
Sorihuela del Guadalimar;2022;Ambos sexos;De 25 a 29 años;Emigraciones;6;
Sorihuela del Guadalimar;2022;Ambos sexos;De 30 a 34 años;Emigraciones;7;
Sorihuela del Guadalimar;2022;Ambos sexos;De 35 a 39 años;Emigraciones;4;
Sorihuela del Guadalimar;2022;Ambos sexos;De 40 a 44 años;Emigraciones;5;
Sorihuela del Guadalimar;2022;Ambos sexos;De 45 a 49 años;Emigraciones;2;
Sorihuela del Guadalimar;2022;Ambos sexos;De 50 a 54 años;Emigraciones;3;
Sorihuela del Guadalimar;2022;Ambos sexos;De 55 a 59 años;Emigraciones;3;
Sorihuela del Guadalimar;2022;Ambos sexos;De 60 a 64 años;Emigraciones;1;
Sorihuela del Guadalimar;2022;Ambos sexos;De 65 y más años;Emigraciones;2;
Sorihuela del Guadalimar;2022;Ambos sexos;TOTAL;Emigraciones;37;
Sorihuela del Guadalimar;2022;Hombres;De 0 a 4 años;Emigraciones;-;
Sorihuela del Guadalimar;2022;Hombres;De 5 a 9 años;Emigraciones;-;
Sorihuela del Guadalimar;2022;Hombres;De 10 a 14 años;Emigraciones;-;
Sorihuela del Guadalimar;2022;Hombres;De 15 a 19 años;Emigraciones;-;
Sorihuela del Guadalimar;2022;Hombres;De 20 a 24 años;Emigraciones;-;
Sorihuela del Guadalimar;2022;Hombres;De 25 a 29 años;Emigraciones;3;
Sorihuela del Guadalimar;2022;Hombres;De 30 a 34 años;Emigraciones;4;
Sorihuela del Guadalimar;2022;Hombres;De 35 a 39 años;Emigraciones;2;
Sorihuela del Guadalimar;2022;Hombres;De 40 a 44 años;Emigraciones;3;
Sorihuela del Guadalimar;2022;Hombres;De 45 a 49 años;Emigraciones;1;
Sorihuela del Guadalimar;2022;Hombres;De 50 a 54 años;Emigraciones;2;
Sorihuela del Guadalimar;2022;Hombres;De 55 a 59 años;Emigraciones;2;
Sorihuela del Guadalimar;2022;Hombres;De 60 a 64 años;Emigraciones;-;
Sorihuela del Guadalimar;2022;Hombres;De 65 y más años;Emigraciones;1;
Sorihuela del Guadalimar;2022;Hombres;TOTAL;Emigraciones;18;
Sorihuela del Guadalimar;2022;Mujeres;De 0 a 4 años;Emigraciones;-;
Sorihuela del Guadalimar;2022;Mujeres;De 5 a 9 años;Emigraciones;1;
Sorihuela del Guadalimar;2022;Mujeres;De 10 a 14 años;Emigraciones;2;
Sorihuela del Guadalimar;2022;Mujeres;De 15 a 19 años;Emigraciones;1;
Sorihuela del Guadalimar;2022;Mujeres;De 20 a 24 años;Emigraciones;-;
Sorihuela del Guadalimar;2022;Mujeres;De 25 a 29 años;Emigraciones;3;
Sorihuela del Guadalimar;2022;Mujeres;De 30 a 34 años;Emigraciones;3;
Sorihuela del Guadalimar;2022;Mujeres;De 35 a 39 años;Emigraciones;2;
Sorihuela del Guadalimar;2022;Mujeres;De 40 a 44 años;Emigraciones;2;
Sorihuela del Guadalimar;2022;Mujeres;De 45 a 49 años;Emigraciones;1;
Sorihuela del Guadalimar;2022;Mujeres;De 50 a 54 años;Emigraciones;1;
Sorihuela del Guadalimar;2022;Mujeres;De 55 a 59 años;Emigraciones;1;
Sorihuela del Guadalimar;2022;Mujeres;De 60 a 64 años;Emigraciones;1;
Sorihuela del Guadalimar;2022;Mujeres;De 65 y más años;Emigraciones;1;
Sorihuela del Guadalimar;2022;Mujeres;TOTAL;Emigraciones;19;
Sorihuela del Guadalimar;2023;Ambos sexos;De 0 a 4 años;Emigraciones;1;
Sorihuela del Guadalimar;2023;Ambos sexos;De 5 a 9 años;Emigraciones;4;
Sorihuela del Guadalimar;2023;Ambos sexos;De 10 a 14 años;Emigraciones;2;
Sorihuela del Guadalimar;2023;Ambos sexos;De 15 a 19 años;Emigraciones;3;
Sorihuela del Guadalimar;2023;Ambos sexos;De 20 a 24 años;Emigraciones;5;
Sorihuela del Guadalimar;2023;Ambos sexos;De 25 a 29 años;Emigraciones;4;
Sorihuela del Guadalimar;2023;Ambos sexos;De 30 a 34 años;Emigraciones;2;
Sorihuela del Guadalimar;2023;Ambos sexos;De 35 a 39 años;Emigraciones;5;
Sorihuela del Guadalimar;2023;Ambos sexos;De 40 a 44 años;Emigraciones;3;
Sorihuela del Guadalimar;2023;Ambos sexos;De 45 a 49 años;Emigraciones;3;
Sorihuela del Guadalimar;2023;Ambos sexos;De 50 a 54 años;Emigraciones;2;
Sorihuela del Guadalimar;2023;Ambos sexos;De 55 a 59 años;Emigraciones;4;
Sorihuela del Guadalimar;2023;Ambos sexos;De 60 a 64 años;Emigraciones;1;
Sorihuela del Guadalimar;2023;Ambos sexos;De 65 y más años;Emigraciones;5;
Sorihuela del Guadalimar;2023;Ambos sexos;TOTAL;Emigraciones;44;
Sorihuela del Guadalimar;2023;Hombres;De 0 a 4 años;Emigraciones;1;
Sorihuela del Guadalimar;2023;Hombres;De 5 a 9 años;Emigraciones;1;
Sorihuela del Guadalimar;2023;Hombres;De 10 a 14 años;Emigraciones;-;
Sorihuela del Guadalimar;2023;Hombres;De 15 a 19 años;Emigraciones;1;
Sorihuela del Guadalimar;2023;Hombres;De 20 a 24 años;Emigraciones;2;
Sorihuela del Guadalimar;2023;Hombres;De 25 a 29 años;Emigraciones;3;
Sorihuela del Guadalimar;2023;Hombres;De 30 a 34 años;Emigraciones;1;
Sorihuela del Guadalimar;2023;Hombres;De 35 a 39 años;Emigraciones;3;
Sorihuela del Guadalimar;2023;Hombres;De 40 a 44 años;Emigraciones;1;
Sorihuela del Guadalimar;2023;Hombres;De 45 a 49 años;Emigraciones;2;
Sorihuela del Guadalimar;2023;Hombres;De 50 a 54 años;Emigraciones;2;
Sorihuela del Guadalimar;2023;Hombres;De 55 a 59 años;Emigraciones;3;
Sorihuela del Guadalimar;2023;Hombres;De 60 a 64 años;Emigraciones;-;
Sorihuela del Guadalimar;2023;Hombres;De 65 y más años;Emigraciones;3;
Sorihuela del Guadalimar;2023;Hombres;TOTAL;Emigraciones;23;
Sorihuela del Guadalimar;2023;Mujeres;De 0 a 4 años;Emigraciones;-;
Sorihuela del Guadalimar;2023;Mujeres;De 5 a 9 años;Emigraciones;3;
Sorihuela del Guadalimar;2023;Mujeres;De 10 a 14 años;Emigraciones;2;
Sorihuela del Guadalimar;2023;Mujeres;De 15 a 19 años;Emigraciones;2;
Sorihuela del Guadalimar;2023;Mujeres;De 20 a 24 años;Emigraciones;3;
Sorihuela del Guadalimar;2023;Mujeres;De 25 a 29 años;Emigraciones;1;
Sorihuela del Guadalimar;2023;Mujeres;De 30 a 34 años;Emigraciones;1;
Sorihuela del Guadalimar;2023;Mujeres;De 35 a 39 años;Emigraciones;2;
Sorihuela del Guadalimar;2023;Mujeres;De 40 a 44 años;Emigraciones;2;
Sorihuela del Guadalimar;2023;Mujeres;De 45 a 49 años;Emigraciones;1;
Sorihuela del Guadalimar;2023;Mujeres;De 50 a 54 años;Emigraciones;-;
Sorihuela del Guadalimar;2023;Mujeres;De 55 a 59 años;Emigraciones;1;
Sorihuela del Guadalimar;2023;Mujeres;De 60 a 64 años;Emigraciones;1;
Sorihuela del Guadalimar;2023;Mujeres;De 65 y más años;Emigraciones;2;
Sorihuela del Guadalimar;2023;Mujeres;TOTAL;Emigraciones;21;
Torreblascopedro;2021;Ambos sexos;De 0 a 4 años;Emigraciones;7;
Torreblascopedro;2021;Ambos sexos;De 5 a 9 años;Emigraciones;3;
Torreblascopedro;2021;Ambos sexos;De 10 a 14 años;Emigraciones;4;
Torreblascopedro;2021;Ambos sexos;De 15 a 19 años;Emigraciones;2;
Torreblascopedro;2021;Ambos sexos;De 20 a 24 años;Emigraciones;2;
Torreblascopedro;2021;Ambos sexos;De 25 a 29 años;Emigraciones;11;
Torreblascopedro;2021;Ambos sexos;De 30 a 34 años;Emigraciones;8;
Torreblascopedro;2021;Ambos sexos;De 35 a 39 años;Emigraciones;5;
Torreblascopedro;2021;Ambos sexos;De 40 a 44 años;Emigraciones;1;
Torreblascopedro;2021;Ambos sexos;De 45 a 49 años;Emigraciones;5;
Torreblascopedro;2021;Ambos sexos;De 50 a 54 años;Emigraciones;2;
Torreblascopedro;2021;Ambos sexos;De 55 a 59 años;Emigraciones;2;
Torreblascopedro;2021;Ambos sexos;De 60 a 64 años;Emigraciones;-;
Torreblascopedro;2021;Ambos sexos;De 65 y más años;Emigraciones;3;
Torreblascopedro;2021;Ambos sexos;TOTAL;Emigraciones;55;
Torreblascopedro;2021;Hombres;De 0 a 4 años;Emigraciones;5;
Torreblascopedro;2021;Hombres;De 5 a 9 años;Emigraciones;1;
Torreblascopedro;2021;Hombres;De 10 a 14 años;Emigraciones;3;
Torreblascopedro;2021;Hombres;De 15 a 19 años;Emigraciones;1;
Torreblascopedro;2021;Hombres;De 20 a 24 años;Emigraciones;-;
Torreblascopedro;2021;Hombres;De 25 a 29 años;Emigraciones;8;
Torreblascopedro;2021;Hombres;De 30 a 34 años;Emigraciones;3;
Torreblascopedro;2021;Hombres;De 35 a 39 años;Emigraciones;3;
Torreblascopedro;2021;Hombres;De 40 a 44 años;Emigraciones;-;
Torreblascopedro;2021;Hombres;De 45 a 49 años;Emigraciones;3;
Torreblascopedro;2021;Hombres;De 50 a 54 años;Emigraciones;1;
Torreblascopedro;2021;Hombres;De 55 a 59 años;Emigraciones;1;
Torreblascopedro;2021;Hombres;De 60 a 64 años;Emigraciones;-;
Torreblascopedro;2021;Hombres;De 65 y más años;Emigraciones;-;
Torreblascopedro;2021;Hombres;TOTAL;Emigraciones;29;
Torreblascopedro;2021;Mujeres;De 0 a 4 años;Emigraciones;2;
Torreblascopedro;2021;Mujeres;De 5 a 9 años;Emigraciones;2;
Torreblascopedro;2021;Mujeres;De 10 a 14 años;Emigraciones;1;
Torreblascopedro;2021;Mujeres;De 15 a 19 años;Emigraciones;1;
Torreblascopedro;2021;Mujeres;De 20 a 24 años;Emigraciones;2;
Torreblascopedro;2021;Mujeres;De 25 a 29 años;Emigraciones;3;
Torreblascopedro;2021;Mujeres;De 30 a 34 años;Emigraciones;5;
