Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Málaga;2021;Ambos sexos;De 0 a 4 años;Emigraciones;4587;
Málaga;2021;Ambos sexos;De 5 a 9 años;Emigraciones;4168;
Málaga;2021;Ambos sexos;De 10 a 14 años;Emigraciones;4004;
Málaga;2021;Ambos sexos;De 15 a 19 años;Emigraciones;4085;
Málaga;2021;Ambos sexos;De 20 a 24 años;Emigraciones;5758;
Málaga;2021;Ambos sexos;De 25 a 29 años;Emigraciones;8437;
Málaga;2021;Ambos sexos;De 30 a 34 años;Emigraciones;9590;
Málaga;2021;Ambos sexos;De 35 a 39 años;Emigraciones;9176;
Málaga;2021;Ambos sexos;De 40 a 44 años;Emigraciones;8824;
Málaga;2021;Ambos sexos;De 45 a 49 años;Emigraciones;7288;
Málaga;2021;Ambos sexos;De 50 a 54 años;Emigraciones;5956;
Málaga;2021;Ambos sexos;De 55 a 59 años;Emigraciones;5005;
Málaga;2021;Ambos sexos;De 60 a 64 años;Emigraciones;4059;
Málaga;2021;Ambos sexos;De 65 y más años;Emigraciones;10354;
Málaga;2021;Ambos sexos;TOTAL;Emigraciones;91291;
Málaga;2021;Hombres;De 0 a 4 años;Emigraciones;2351;
Málaga;2021;Hombres;De 5 a 9 años;Emigraciones;2112;
Málaga;2021;Hombres;De 10 a 14 años;Emigraciones;2019;
Málaga;2021;Hombres;De 15 a 19 años;Emigraciones;2086;
Málaga;2021;Hombres;De 20 a 24 años;Emigraciones;2850;
Málaga;2021;Hombres;De 25 a 29 años;Emigraciones;4030;
Málaga;2021;Hombres;De 30 a 34 años;Emigraciones;4708;
Málaga;2021;Hombres;De 35 a 39 años;Emigraciones;4593;
Málaga;2021;Hombres;De 40 a 44 años;Emigraciones;4714;
Málaga;2021;Hombres;De 45 a 49 años;Emigraciones;3890;
Málaga;2021;Hombres;De 50 a 54 años;Emigraciones;3154;
Málaga;2021;Hombres;De 55 a 59 años;Emigraciones;2579;
Málaga;2021;Hombres;De 60 a 64 años;Emigraciones;2020;
Málaga;2021;Hombres;De 65 y más años;Emigraciones;5059;
Málaga;2021;Hombres;TOTAL;Emigraciones;46165;
Málaga;2021;Mujeres;De 0 a 4 años;Emigraciones;2236;
Málaga;2021;Mujeres;De 5 a 9 años;Emigraciones;2056;
Málaga;2021;Mujeres;De 10 a 14 años;Emigraciones;1985;
Málaga;2021;Mujeres;De 15 a 19 años;Emigraciones;1999;
Málaga;2021;Mujeres;De 20 a 24 años;Emigraciones;2908;
Málaga;2021;Mujeres;De 25 a 29 años;Emigraciones;4407;
Málaga;2021;Mujeres;De 30 a 34 años;Emigraciones;4882;
Málaga;2021;Mujeres;De 35 a 39 años;Emigraciones;4583;
Málaga;2021;Mujeres;De 40 a 44 años;Emigraciones;4110;
Málaga;2021;Mujeres;De 45 a 49 años;Emigraciones;3398;
Málaga;2021;Mujeres;De 50 a 54 años;Emigraciones;2802;
Málaga;2021;Mujeres;De 55 a 59 años;Emigraciones;2426;
Málaga;2021;Mujeres;De 60 a 64 años;Emigraciones;2039;
Málaga;2021;Mujeres;De 65 y más años;Emigraciones;5295;
Málaga;2021;Mujeres;TOTAL;Emigraciones;45126;
Málaga;2022;Ambos sexos;De 0 a 4 años;Emigraciones;4085;
Málaga;2022;Ambos sexos;De 5 a 9 años;Emigraciones;3751;
Málaga;2022;Ambos sexos;De 10 a 14 años;Emigraciones;3910;
Málaga;2022;Ambos sexos;De 15 a 19 años;Emigraciones;3675;
Málaga;2022;Ambos sexos;De 20 a 24 años;Emigraciones;5481;
Málaga;2022;Ambos sexos;De 25 a 29 años;Emigraciones;8458;
Málaga;2022;Ambos sexos;De 30 a 34 años;Emigraciones;9104;
Málaga;2022;Ambos sexos;De 35 a 39 años;Emigraciones;8318;
Málaga;2022;Ambos sexos;De 40 a 44 años;Emigraciones;7816;
Málaga;2022;Ambos sexos;De 45 a 49 años;Emigraciones;6621;
Málaga;2022;Ambos sexos;De 50 a 54 años;Emigraciones;5515;
Málaga;2022;Ambos sexos;De 55 a 59 años;Emigraciones;4490;
Málaga;2022;Ambos sexos;De 60 a 64 años;Emigraciones;3598;
Málaga;2022;Ambos sexos;De 65 y más años;Emigraciones;9486;
Málaga;2022;Ambos sexos;TOTAL;Emigraciones;84308;
Málaga;2022;Hombres;De 0 a 4 años;Emigraciones;2138;
Málaga;2022;Hombres;De 5 a 9 años;Emigraciones;1907;
Málaga;2022;Hombres;De 10 a 14 años;Emigraciones;2055;
Málaga;2022;Hombres;De 15 a 19 años;Emigraciones;1849;
Málaga;2022;Hombres;De 20 a 24 años;Emigraciones;2606;
Málaga;2022;Hombres;De 25 a 29 años;Emigraciones;3931;
Málaga;2022;Hombres;De 30 a 34 años;Emigraciones;4390;
Málaga;2022;Hombres;De 35 a 39 años;Emigraciones;4154;
Málaga;2022;Hombres;De 40 a 44 años;Emigraciones;4138;
Málaga;2022;Hombres;De 45 a 49 años;Emigraciones;3533;
Málaga;2022;Hombres;De 50 a 54 años;Emigraciones;2948;
Málaga;2022;Hombres;De 55 a 59 años;Emigraciones;2322;
Málaga;2022;Hombres;De 60 a 64 años;Emigraciones;1870;
Málaga;2022;Hombres;De 65 y más años;Emigraciones;4596;
Málaga;2022;Hombres;TOTAL;Emigraciones;42437;
Málaga;2022;Mujeres;De 0 a 4 años;Emigraciones;1947;
Málaga;2022;Mujeres;De 5 a 9 años;Emigraciones;1844;
Málaga;2022;Mujeres;De 10 a 14 años;Emigraciones;1855;
Málaga;2022;Mujeres;De 15 a 19 años;Emigraciones;1826;
Málaga;2022;Mujeres;De 20 a 24 años;Emigraciones;2875;
Málaga;2022;Mujeres;De 25 a 29 años;Emigraciones;4527;
Málaga;2022;Mujeres;De 30 a 34 años;Emigraciones;4714;
Málaga;2022;Mujeres;De 35 a 39 años;Emigraciones;4164;
Málaga;2022;Mujeres;De 40 a 44 años;Emigraciones;3678;
Málaga;2022;Mujeres;De 45 a 49 años;Emigraciones;3088;
Málaga;2022;Mujeres;De 50 a 54 años;Emigraciones;2567;
Málaga;2022;Mujeres;De 55 a 59 años;Emigraciones;2168;
Málaga;2022;Mujeres;De 60 a 64 años;Emigraciones;1728;
Málaga;2022;Mujeres;De 65 y más años;Emigraciones;4890;
Málaga;2022;Mujeres;TOTAL;Emigraciones;41871;
Málaga;2023;Ambos sexos;De 0 a 4 años;Emigraciones;4109;
Málaga;2023;Ambos sexos;De 5 a 9 años;Emigraciones;4040;
Málaga;2023;Ambos sexos;De 10 a 14 años;Emigraciones;4019;
Málaga;2023;Ambos sexos;De 15 a 19 años;Emigraciones;4090;
Málaga;2023;Ambos sexos;De 20 a 24 años;Emigraciones;6088;
Málaga;2023;Ambos sexos;De 25 a 29 años;Emigraciones;8518;
Málaga;2023;Ambos sexos;De 30 a 34 años;Emigraciones;9422;
Málaga;2023;Ambos sexos;De 35 a 39 años;Emigraciones;8806;
Málaga;2023;Ambos sexos;De 40 a 44 años;Emigraciones;8151;
Málaga;2023;Ambos sexos;De 45 a 49 años;Emigraciones;7066;
Málaga;2023;Ambos sexos;De 50 a 54 años;Emigraciones;6007;
Málaga;2023;Ambos sexos;De 55 a 59 años;Emigraciones;5113;
Málaga;2023;Ambos sexos;De 60 a 64 años;Emigraciones;4239;
