Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Cómpeta;2021;Ambos sexos;De 0 a 4 años;Emigraciones;9;
Cómpeta;2021;Ambos sexos;De 5 a 9 años;Emigraciones;6;
Cómpeta;2021;Ambos sexos;De 10 a 14 años;Emigraciones;7;
Cómpeta;2021;Ambos sexos;De 15 a 19 años;Emigraciones;10;
Cómpeta;2021;Ambos sexos;De 20 a 24 años;Emigraciones;8;
Cómpeta;2021;Ambos sexos;De 25 a 29 años;Emigraciones;17;
Cómpeta;2021;Ambos sexos;De 30 a 34 años;Emigraciones;20;
Cómpeta;2021;Ambos sexos;De 35 a 39 años;Emigraciones;15;
Cómpeta;2021;Ambos sexos;De 40 a 44 años;Emigraciones;17;
Cómpeta;2021;Ambos sexos;De 45 a 49 años;Emigraciones;17;
Cómpeta;2021;Ambos sexos;De 50 a 54 años;Emigraciones;26;
Cómpeta;2021;Ambos sexos;De 55 a 59 años;Emigraciones;54;
Cómpeta;2021;Ambos sexos;De 60 a 64 años;Emigraciones;38;
Cómpeta;2021;Ambos sexos;De 65 y más años;Emigraciones;164;
Cómpeta;2021;Ambos sexos;TOTAL;Emigraciones;408;
Cómpeta;2021;Hombres;De 0 a 4 años;Emigraciones;5;
Cómpeta;2021;Hombres;De 5 a 9 años;Emigraciones;1;
Cómpeta;2021;Hombres;De 10 a 14 años;Emigraciones;4;
Cómpeta;2021;Hombres;De 15 a 19 años;Emigraciones;5;
Cómpeta;2021;Hombres;De 20 a 24 años;Emigraciones;7;
Cómpeta;2021;Hombres;De 25 a 29 años;Emigraciones;5;
Cómpeta;2021;Hombres;De 30 a 34 años;Emigraciones;8;
Cómpeta;2021;Hombres;De 35 a 39 años;Emigraciones;9;
Cómpeta;2021;Hombres;De 40 a 44 años;Emigraciones;8;
Cómpeta;2021;Hombres;De 45 a 49 años;Emigraciones;10;
Cómpeta;2021;Hombres;De 50 a 54 años;Emigraciones;10;
Cómpeta;2021;Hombres;De 55 a 59 años;Emigraciones;25;
Cómpeta;2021;Hombres;De 60 a 64 años;Emigraciones;17;
Cómpeta;2021;Hombres;De 65 y más años;Emigraciones;93;
Cómpeta;2021;Hombres;TOTAL;Emigraciones;207;
Cómpeta;2021;Mujeres;De 0 a 4 años;Emigraciones;4;
Cómpeta;2021;Mujeres;De 5 a 9 años;Emigraciones;5;
Cómpeta;2021;Mujeres;De 10 a 14 años;Emigraciones;3;
Cómpeta;2021;Mujeres;De 15 a 19 años;Emigraciones;5;
Cómpeta;2021;Mujeres;De 20 a 24 años;Emigraciones;1;
Cómpeta;2021;Mujeres;De 25 a 29 años;Emigraciones;12;
Cómpeta;2021;Mujeres;De 30 a 34 años;Emigraciones;12;
Cómpeta;2021;Mujeres;De 35 a 39 años;Emigraciones;6;
Cómpeta;2021;Mujeres;De 40 a 44 años;Emigraciones;9;
Cómpeta;2021;Mujeres;De 45 a 49 años;Emigraciones;7;
Cómpeta;2021;Mujeres;De 50 a 54 años;Emigraciones;16;
Cómpeta;2021;Mujeres;De 55 a 59 años;Emigraciones;29;
Cómpeta;2021;Mujeres;De 60 a 64 años;Emigraciones;21;
Cómpeta;2021;Mujeres;De 65 y más años;Emigraciones;71;
