Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
El Rubio;2021;Ambos sexos;De 0 a 4 años;Emigraciones;4;
El Rubio;2021;Ambos sexos;De 5 a 9 años;Emigraciones;1;
El Rubio;2021;Ambos sexos;De 10 a 14 años;Emigraciones;3;
El Rubio;2021;Ambos sexos;De 15 a 19 años;Emigraciones;5;
El Rubio;2021;Ambos sexos;De 20 a 24 años;Emigraciones;9;
El Rubio;2021;Ambos sexos;De 25 a 29 años;Emigraciones;11;
El Rubio;2021;Ambos sexos;De 30 a 34 años;Emigraciones;10;
El Rubio;2021;Ambos sexos;De 35 a 39 años;Emigraciones;10;
El Rubio;2021;Ambos sexos;De 40 a 44 años;Emigraciones;10;
El Rubio;2021;Ambos sexos;De 45 a 49 años;Emigraciones;2;
El Rubio;2021;Ambos sexos;De 50 a 54 años;Emigraciones;9;
El Rubio;2021;Ambos sexos;De 55 a 59 años;Emigraciones;2;
El Rubio;2021;Ambos sexos;De 60 a 64 años;Emigraciones;-;
El Rubio;2021;Ambos sexos;De 65 y más años;Emigraciones;13;
El Rubio;2021;Ambos sexos;TOTAL;Emigraciones;89;
El Rubio;2021;Hombres;De 0 a 4 años;Emigraciones;1;
El Rubio;2021;Hombres;De 5 a 9 años;Emigraciones;1;
El Rubio;2021;Hombres;De 10 a 14 años;Emigraciones;1;
El Rubio;2021;Hombres;De 15 a 19 años;Emigraciones;3;
El Rubio;2021;Hombres;De 20 a 24 años;Emigraciones;4;
El Rubio;2021;Hombres;De 25 a 29 años;Emigraciones;4;
El Rubio;2021;Hombres;De 30 a 34 años;Emigraciones;5;
El Rubio;2021;Hombres;De 35 a 39 años;Emigraciones;4;
El Rubio;2021;Hombres;De 40 a 44 años;Emigraciones;2;
El Rubio;2021;Hombres;De 45 a 49 años;Emigraciones;2;
El Rubio;2021;Hombres;De 50 a 54 años;Emigraciones;4;
El Rubio;2021;Hombres;De 55 a 59 años;Emigraciones;1;
El Rubio;2021;Hombres;De 60 a 64 años;Emigraciones;-;
El Rubio;2021;Hombres;De 65 y más años;Emigraciones;4;
El Rubio;2021;Hombres;TOTAL;Emigraciones;36;
El Rubio;2021;Mujeres;De 0 a 4 años;Emigraciones;3;
El Rubio;2021;Mujeres;De 5 a 9 años;Emigraciones;-;
El Rubio;2021;Mujeres;De 10 a 14 años;Emigraciones;2;
El Rubio;2021;Mujeres;De 15 a 19 años;Emigraciones;2;
El Rubio;2021;Mujeres;De 20 a 24 años;Emigraciones;5;
El Rubio;2021;Mujeres;De 25 a 29 años;Emigraciones;7;
El Rubio;2021;Mujeres;De 30 a 34 años;Emigraciones;5;
El Rubio;2021;Mujeres;De 35 a 39 años;Emigraciones;6;
El Rubio;2021;Mujeres;De 40 a 44 años;Emigraciones;8;
El Rubio;2021;Mujeres;De 45 a 49 años;Emigraciones;-;
El Rubio;2021;Mujeres;De 50 a 54 años;Emigraciones;5;
El Rubio;2021;Mujeres;De 55 a 59 años;Emigraciones;1;
El Rubio;2021;Mujeres;De 60 a 64 años;Emigraciones;-;
El Rubio;2021;Mujeres;De 65 y más años;Emigraciones;9;
El Rubio;2021;Mujeres;TOTAL;Emigraciones;53;
El Rubio;2022;Ambos sexos;De 0 a 4 años;Emigraciones;7;
El Rubio;2022;Ambos sexos;De 5 a 9 años;Emigraciones;4;
El Rubio;2022;Ambos sexos;De 10 a 14 años;Emigraciones;2;
El Rubio;2022;Ambos sexos;De 15 a 19 años;Emigraciones;6;
El Rubio;2022;Ambos sexos;De 20 a 24 años;Emigraciones;8;
El Rubio;2022;Ambos sexos;De 25 a 29 años;Emigraciones;11;
El Rubio;2022;Ambos sexos;De 30 a 34 años;Emigraciones;21;
El Rubio;2022;Ambos sexos;De 35 a 39 años;Emigraciones;11;
El Rubio;2022;Ambos sexos;De 40 a 44 años;Emigraciones;8;
El Rubio;2022;Ambos sexos;De 45 a 49 años;Emigraciones;6;
El Rubio;2022;Ambos sexos;De 50 a 54 años;Emigraciones;9;
El Rubio;2022;Ambos sexos;De 55 a 59 años;Emigraciones;3;
El Rubio;2022;Ambos sexos;De 60 a 64 años;Emigraciones;4;
El Rubio;2022;Ambos sexos;De 65 y más años;Emigraciones;7;
El Rubio;2022;Ambos sexos;TOTAL;Emigraciones;107;
El Rubio;2022;Hombres;De 0 a 4 años;Emigraciones;3;
El Rubio;2022;Hombres;De 5 a 9 años;Emigraciones;2;
El Rubio;2022;Hombres;De 10 a 14 años;Emigraciones;2;
El Rubio;2022;Hombres;De 15 a 19 años;Emigraciones;2;
El Rubio;2022;Hombres;De 20 a 24 años;Emigraciones;3;
El Rubio;2022;Hombres;De 25 a 29 años;Emigraciones;6;
El Rubio;2022;Hombres;De 30 a 34 años;Emigraciones;9;
El Rubio;2022;Hombres;De 35 a 39 años;Emigraciones;6;
El Rubio;2022;Hombres;De 40 a 44 años;Emigraciones;4;
El Rubio;2022;Hombres;De 45 a 49 años;Emigraciones;2;
El Rubio;2022;Hombres;De 50 a 54 años;Emigraciones;1;
El Rubio;2022;Hombres;De 55 a 59 años;Emigraciones;3;
El Rubio;2022;Hombres;De 60 a 64 años;Emigraciones;2;
El Rubio;2022;Hombres;De 65 y más años;Emigraciones;3;
El Rubio;2022;Hombres;TOTAL;Emigraciones;48;
El Rubio;2022;Mujeres;De 0 a 4 años;Emigraciones;4;
El Rubio;2022;Mujeres;De 5 a 9 años;Emigraciones;2;
El Rubio;2022;Mujeres;De 10 a 14 años;Emigraciones;-;
El Rubio;2022;Mujeres;De 15 a 19 años;Emigraciones;4;
El Rubio;2022;Mujeres;De 20 a 24 años;Emigraciones;5;
El Rubio;2022;Mujeres;De 25 a 29 años;Emigraciones;5;
El Rubio;2022;Mujeres;De 30 a 34 años;Emigraciones;12;
El Rubio;2022;Mujeres;De 35 a 39 años;Emigraciones;5;
El Rubio;2022;Mujeres;De 40 a 44 años;Emigraciones;4;
El Rubio;2022;Mujeres;De 45 a 49 años;Emigraciones;4;
El Rubio;2022;Mujeres;De 50 a 54 años;Emigraciones;8;
El Rubio;2022;Mujeres;De 55 a 59 años;Emigraciones;-;
El Rubio;2022;Mujeres;De 60 a 64 años;Emigraciones;2;
El Rubio;2022;Mujeres;De 65 y más años;Emigraciones;4;
El Rubio;2022;Mujeres;TOTAL;Emigraciones;59;
El Rubio;2023;Ambos sexos;De 0 a 4 años;Emigraciones;6;
El Rubio;2023;Ambos sexos;De 5 a 9 años;Emigraciones;3;
El Rubio;2023;Ambos sexos;De 10 a 14 años;Emigraciones;3;
El Rubio;2023;Ambos sexos;De 15 a 19 años;Emigraciones;3;
El Rubio;2023;Ambos sexos;De 20 a 24 años;Emigraciones;11;
El Rubio;2023;Ambos sexos;De 25 a 29 años;Emigraciones;12;
El Rubio;2023;Ambos sexos;De 30 a 34 años;Emigraciones;11;
El Rubio;2023;Ambos sexos;De 35 a 39 años;Emigraciones;6;
El Rubio;2023;Ambos sexos;De 40 a 44 años;Emigraciones;9;
El Rubio;2023;Ambos sexos;De 45 a 49 años;Emigraciones;4;
El Rubio;2023;Ambos sexos;De 50 a 54 años;Emigraciones;8;
El Rubio;2023;Ambos sexos;De 55 a 59 años;Emigraciones;-;
El Rubio;2023;Ambos sexos;De 60 a 64 años;Emigraciones;4;
El Rubio;2023;Ambos sexos;De 65 y más años;Emigraciones;13;
El Rubio;2023;Ambos sexos;TOTAL;Emigraciones;93;
El Rubio;2023;Hombres;De 0 a 4 años;Emigraciones;4;
El Rubio;2023;Hombres;De 5 a 9 años;Emigraciones;1;
El Rubio;2023;Hombres;De 10 a 14 años;Emigraciones;2;
El Rubio;2023;Hombres;De 15 a 19 años;Emigraciones;-;
El Rubio;2023;Hombres;De 20 a 24 años;Emigraciones;5;
El Rubio;2023;Hombres;De 25 a 29 años;Emigraciones;5;
El Rubio;2023;Hombres;De 30 a 34 años;Emigraciones;3;
El Rubio;2023;Hombres;De 35 a 39 años;Emigraciones;5;
El Rubio;2023;Hombres;De 40 a 44 años;Emigraciones;7;
El Rubio;2023;Hombres;De 45 a 49 años;Emigraciones;2;
El Rubio;2023;Hombres;De 50 a 54 años;Emigraciones;5;
El Rubio;2023;Hombres;De 55 a 59 años;Emigraciones;-;
El Rubio;2023;Hombres;De 60 a 64 años;Emigraciones;2;
El Rubio;2023;Hombres;De 65 y más años;Emigraciones;9;
El Rubio;2023;Hombres;TOTAL;Emigraciones;50;
El Rubio;2023;Mujeres;De 0 a 4 años;Emigraciones;2;
El Rubio;2023;Mujeres;De 5 a 9 años;Emigraciones;2;
El Rubio;2023;Mujeres;De 10 a 14 años;Emigraciones;1;
El Rubio;2023;Mujeres;De 15 a 19 años;Emigraciones;3;
El Rubio;2023;Mujeres;De 20 a 24 años;Emigraciones;6;
El Rubio;2023;Mujeres;De 25 a 29 años;Emigraciones;7;
El Rubio;2023;Mujeres;De 30 a 34 años;Emigraciones;8;
El Rubio;2023;Mujeres;De 35 a 39 años;Emigraciones;1;
El Rubio;2023;Mujeres;De 40 a 44 años;Emigraciones;2;
El Rubio;2023;Mujeres;De 45 a 49 años;Emigraciones;2;
El Rubio;2023;Mujeres;De 50 a 54 años;Emigraciones;3;
El Rubio;2023;Mujeres;De 55 a 59 años;Emigraciones;-;
El Rubio;2023;Mujeres;De 60 a 64 años;Emigraciones;2;
El Rubio;2023;Mujeres;De 65 y más años;Emigraciones;4;
El Rubio;2023;Mujeres;TOTAL;Emigraciones;43;
El Saucejo;2021;Ambos sexos;De 0 a 4 años;Emigraciones;4;
El Saucejo;2021;Ambos sexos;De 5 a 9 años;Emigraciones;8;
El Saucejo;2021;Ambos sexos;De 10 a 14 años;Emigraciones;7;
El Saucejo;2021;Ambos sexos;De 15 a 19 años;Emigraciones;2;
El Saucejo;2021;Ambos sexos;De 20 a 24 años;Emigraciones;9;
El Saucejo;2021;Ambos sexos;De 25 a 29 años;Emigraciones;13;
El Saucejo;2021;Ambos sexos;De 30 a 34 años;Emigraciones;7;
El Saucejo;2021;Ambos sexos;De 35 a 39 años;Emigraciones;11;
El Saucejo;2021;Ambos sexos;De 40 a 44 años;Emigraciones;5;
El Saucejo;2021;Ambos sexos;De 45 a 49 años;Emigraciones;7;
El Saucejo;2021;Ambos sexos;De 50 a 54 años;Emigraciones;9;
El Saucejo;2021;Ambos sexos;De 55 a 59 años;Emigraciones;1;
El Saucejo;2021;Ambos sexos;De 60 a 64 años;Emigraciones;-;
El Saucejo;2021;Ambos sexos;De 65 y más años;Emigraciones;9;
El Saucejo;2021;Ambos sexos;TOTAL;Emigraciones;92;
El Saucejo;2021;Hombres;De 0 a 4 años;Emigraciones;-;
El Saucejo;2021;Hombres;De 5 a 9 años;Emigraciones;4;
El Saucejo;2021;Hombres;De 10 a 14 años;Emigraciones;3;
El Saucejo;2021;Hombres;De 15 a 19 años;Emigraciones;1;
El Saucejo;2021;Hombres;De 20 a 24 años;Emigraciones;3;
El Saucejo;2021;Hombres;De 25 a 29 años;Emigraciones;6;
El Saucejo;2021;Hombres;De 30 a 34 años;Emigraciones;1;
El Saucejo;2021;Hombres;De 35 a 39 años;Emigraciones;3;
El Saucejo;2021;Hombres;De 40 a 44 años;Emigraciones;1;
El Saucejo;2021;Hombres;De 45 a 49 años;Emigraciones;5;
El Saucejo;2021;Hombres;De 50 a 54 años;Emigraciones;4;
El Saucejo;2021;Hombres;De 55 a 59 años;Emigraciones;1;
El Saucejo;2021;Hombres;De 60 a 64 años;Emigraciones;-;
El Saucejo;2021;Hombres;De 65 y más años;Emigraciones;3;
El Saucejo;2021;Hombres;TOTAL;Emigraciones;35;
El Saucejo;2021;Mujeres;De 0 a 4 años;Emigraciones;4;
El Saucejo;2021;Mujeres;De 5 a 9 años;Emigraciones;4;
El Saucejo;2021;Mujeres;De 10 a 14 años;Emigraciones;4;
El Saucejo;2021;Mujeres;De 15 a 19 años;Emigraciones;1;
El Saucejo;2021;Mujeres;De 20 a 24 años;Emigraciones;6;
El Saucejo;2021;Mujeres;De 25 a 29 años;Emigraciones;7;
El Saucejo;2021;Mujeres;De 30 a 34 años;Emigraciones;6;
El Saucejo;2021;Mujeres;De 35 a 39 años;Emigraciones;8;
El Saucejo;2021;Mujeres;De 40 a 44 años;Emigraciones;4;
El Saucejo;2021;Mujeres;De 45 a 49 años;Emigraciones;2;
El Saucejo;2021;Mujeres;De 50 a 54 años;Emigraciones;5;
El Saucejo;2021;Mujeres;De 55 a 59 años;Emigraciones;-;
El Saucejo;2021;Mujeres;De 60 a 64 años;Emigraciones;-;
El Saucejo;2021;Mujeres;De 65 y más años;Emigraciones;6;
El Saucejo;2021;Mujeres;TOTAL;Emigraciones;57;
El Saucejo;2022;Ambos sexos;De 0 a 4 años;Emigraciones;5;
El Saucejo;2022;Ambos sexos;De 5 a 9 años;Emigraciones;5;
El Saucejo;2022;Ambos sexos;De 10 a 14 años;Emigraciones;4;
El Saucejo;2022;Ambos sexos;De 15 a 19 años;Emigraciones;4;
El Saucejo;2022;Ambos sexos;De 20 a 24 años;Emigraciones;12;
El Saucejo;2022;Ambos sexos;De 25 a 29 años;Emigraciones;21;
El Saucejo;2022;Ambos sexos;De 30 a 34 años;Emigraciones;10;
El Saucejo;2022;Ambos sexos;De 35 a 39 años;Emigraciones;6;
El Saucejo;2022;Ambos sexos;De 40 a 44 años;Emigraciones;8;
El Saucejo;2022;Ambos sexos;De 45 a 49 años;Emigraciones;7;
El Saucejo;2022;Ambos sexos;De 50 a 54 años;Emigraciones;2;
El Saucejo;2022;Ambos sexos;De 55 a 59 años;Emigraciones;4;
El Saucejo;2022;Ambos sexos;De 60 a 64 años;Emigraciones;-;
El Saucejo;2022;Ambos sexos;De 65 y más años;Emigraciones;11;
El Saucejo;2022;Ambos sexos;TOTAL;Emigraciones;99;
El Saucejo;2022;Hombres;De 0 a 4 años;Emigraciones;3;
El Saucejo;2022;Hombres;De 5 a 9 años;Emigraciones;1;
El Saucejo;2022;Hombres;De 10 a 14 años;Emigraciones;2;
El Saucejo;2022;Hombres;De 15 a 19 años;Emigraciones;-;
