Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Almería;1988;Hombres;Menores de 16 años;Emigraciones;1058;
Almería;1988;Hombres;De 16 a 39 años;Emigraciones;2039;
Almería;1988;Hombres;De 40 a 64 años;Emigraciones;587;
Almería;1988;Hombres;De 65 y más años;Emigraciones;124;
Almería;1988;Hombres;TOTAL;Emigraciones;3808;
Almería;1988;Mujeres;Menores de 16 años;Emigraciones;991;
Almería;1988;Mujeres;De 16 a 39 años;Emigraciones;1959;
Almería;1988;Mujeres;De 40 a 64 años;Emigraciones;513;
Almería;1988;Mujeres;De 65 y más años;Emigraciones;162;
Almería;1988;Mujeres;TOTAL;Emigraciones;3625;
Almería;1988;Ambos sexos;Menores de 16 años;Emigraciones;2049;
Almería;1988;Ambos sexos;De 16 a 39 años;Emigraciones;3998;
Almería;1988;Ambos sexos;De 40 a 64 años;Emigraciones;1100;
Almería;1988;Ambos sexos;De 65 y más años;Emigraciones;286;
Almería;1988;Ambos sexos;TOTAL;Emigraciones;7433;
Almería;1989;Hombres;Menores de 16 años;Emigraciones;1208;
Almería;1989;Hombres;De 16 a 39 años;Emigraciones;2391;
Almería;1989;Hombres;De 40 a 64 años;Emigraciones;717;
Almería;1989;Hombres;De 65 y más años;Emigraciones;175;
Almería;1989;Hombres;TOTAL;Emigraciones;4491;
Almería;1989;Mujeres;Menores de 16 años;Emigraciones;1250;
Almería;1989;Mujeres;De 16 a 39 años;Emigraciones;2504;
Almería;1989;Mujeres;De 40 a 64 años;Emigraciones;607;
Almería;1989;Mujeres;De 65 y más años;Emigraciones;212;
Almería;1989;Mujeres;TOTAL;Emigraciones;4573;
Almería;1989;Ambos sexos;Menores de 16 años;Emigraciones;2458;
Almería;1989;Ambos sexos;De 16 a 39 años;Emigraciones;4895;
Almería;1989;Ambos sexos;De 40 a 64 años;Emigraciones;1324;
Almería;1989;Ambos sexos;De 65 y más años;Emigraciones;387;
Almería;1989;Ambos sexos;TOTAL;Emigraciones;9064;
Almería;1990;Hombres;Menores de 16 años;Emigraciones;1204;
Almería;1990;Hombres;De 16 a 39 años;Emigraciones;2544;
Almería;1990;Hombres;De 40 a 64 años;Emigraciones;697;
Almería;1990;Hombres;De 65 y más años;Emigraciones;167;
Almería;1990;Hombres;TOTAL;Emigraciones;4612;
Almería;1990;Mujeres;Menores de 16 años;Emigraciones;1090;
Almería;1990;Mujeres;De 16 a 39 años;Emigraciones;2699;
Almería;1990;Mujeres;De 40 a 64 años;Emigraciones;650;
Almería;1990;Mujeres;De 65 y más años;Emigraciones;262;
Almería;1990;Mujeres;TOTAL;Emigraciones;4701;
Almería;1990;Ambos sexos;Menores de 16 años;Emigraciones;2294;
Almería;1990;Ambos sexos;De 16 a 39 años;Emigraciones;5243;
Almería;1990;Ambos sexos;De 40 a 64 años;Emigraciones;1347;
Almería;1990;Ambos sexos;De 65 y más años;Emigraciones;429;
Almería;1990;Ambos sexos;TOTAL;Emigraciones;9313;
Almería;1991;Hombres;Menores de 16 años;Emigraciones;697;
Almería;1991;Hombres;De 16 a 39 años;Emigraciones;1416;
Almería;1991;Hombres;De 40 a 64 años;Emigraciones;423;
Almería;1991;Hombres;De 65 y más años;Emigraciones;97;
Almería;1991;Hombres;TOTAL;Emigraciones;2633;
Almería;1991;Mujeres;Menores de 16 años;Emigraciones;663;
Almería;1991;Mujeres;De 16 a 39 años;Emigraciones;1589;
Almería;1991;Mujeres;De 40 a 64 años;Emigraciones;379;
Almería;1991;Mujeres;De 65 y más años;Emigraciones;157;
Almería;1991;Mujeres;TOTAL;Emigraciones;2788;
Almería;1991;Ambos sexos;Menores de 16 años;Emigraciones;1360;
Almería;1991;Ambos sexos;De 16 a 39 años;Emigraciones;3005;
Almería;1991;Ambos sexos;De 40 a 64 años;Emigraciones;802;
Almería;1991;Ambos sexos;De 65 y más años;Emigraciones;254;
Almería;1991;Ambos sexos;TOTAL;Emigraciones;5421;
Almería;1992;Hombres;Menores de 16 años;Emigraciones;1057;
Almería;1992;Hombres;De 16 a 39 años;Emigraciones;2397;
Almería;1992;Hombres;De 40 a 64 años;Emigraciones;595;
Almería;1992;Hombres;De 65 y más años;Emigraciones;172;
Almería;1992;Hombres;TOTAL;Emigraciones;4221;
Almería;1992;Mujeres;Menores de 16 años;Emigraciones;966;
Almería;1992;Mujeres;De 16 a 39 años;Emigraciones;2445;
Almería;1992;Mujeres;De 40 a 64 años;Emigraciones;556;
Almería;1992;Mujeres;De 65 y más años;Emigraciones;191;
Almería;1992;Mujeres;TOTAL;Emigraciones;4158;
Almería;1992;Ambos sexos;Menores de 16 años;Emigraciones;2023;
Almería;1992;Ambos sexos;De 16 a 39 años;Emigraciones;4842;
Almería;1992;Ambos sexos;De 40 a 64 años;Emigraciones;1151;
Almería;1992;Ambos sexos;De 65 y más años;Emigraciones;363;
Almería;1992;Ambos sexos;TOTAL;Emigraciones;8379;
Almería;1993;Hombres;Menores de 16 años;Emigraciones;1205;
Almería;1993;Hombres;De 16 a 39 años;Emigraciones;2792;
Almería;1993;Hombres;De 40 a 64 años;Emigraciones;688;
Almería;1993;Hombres;De 65 y más años;Emigraciones;203;
Almería;1993;Hombres;TOTAL;Emigraciones;4888;
Almería;1993;Mujeres;Menores de 16 años;Emigraciones;1101;
Almería;1993;Mujeres;De 16 a 39 años;Emigraciones;2943;
