Lugar de origen;Anual;Sexo;Edad;Medida;Valor;
Córdoba;1988;Hombres;Menores de 16 años;Emigraciones;1112;
Córdoba;1988;Hombres;De 16 a 39 años;Emigraciones;2879;
Córdoba;1988;Hombres;De 40 a 64 años;Emigraciones;682;
Córdoba;1988;Hombres;De 65 y más años;Emigraciones;214;
Córdoba;1988;Hombres;TOTAL;Emigraciones;4887;
Córdoba;1988;Mujeres;Menores de 16 años;Emigraciones;1077;
Córdoba;1988;Mujeres;De 16 a 39 años;Emigraciones;2896;
Córdoba;1988;Mujeres;De 40 a 64 años;Emigraciones;637;
Córdoba;1988;Mujeres;De 65 y más años;Emigraciones;280;
Córdoba;1988;Mujeres;TOTAL;Emigraciones;4890;
Córdoba;1988;Ambos sexos;Menores de 16 años;Emigraciones;2189;
Córdoba;1988;Ambos sexos;De 16 a 39 años;Emigraciones;5775;
Córdoba;1988;Ambos sexos;De 40 a 64 años;Emigraciones;1319;
Córdoba;1988;Ambos sexos;De 65 y más años;Emigraciones;494;
Córdoba;1988;Ambos sexos;TOTAL;Emigraciones;9777;
Córdoba;1989;Hombres;Menores de 16 años;Emigraciones;1237;
Córdoba;1989;Hombres;De 16 a 39 años;Emigraciones;3352;
Córdoba;1989;Hombres;De 40 a 64 años;Emigraciones;699;
Córdoba;1989;Hombres;De 65 y más años;Emigraciones;198;
Córdoba;1989;Hombres;TOTAL;Emigraciones;5486;
Córdoba;1989;Mujeres;Menores de 16 años;Emigraciones;1098;
Córdoba;1989;Mujeres;De 16 a 39 años;Emigraciones;3415;
Córdoba;1989;Mujeres;De 40 a 64 años;Emigraciones;686;
Córdoba;1989;Mujeres;De 65 y más años;Emigraciones;285;
Córdoba;1989;Mujeres;TOTAL;Emigraciones;5484;
Córdoba;1989;Ambos sexos;Menores de 16 años;Emigraciones;2335;
Córdoba;1989;Ambos sexos;De 16 a 39 años;Emigraciones;6767;
Córdoba;1989;Ambos sexos;De 40 a 64 años;Emigraciones;1385;
Córdoba;1989;Ambos sexos;De 65 y más años;Emigraciones;483;
Córdoba;1989;Ambos sexos;TOTAL;Emigraciones;10970;
Córdoba;1990;Hombres;Menores de 16 años;Emigraciones;1166;
Córdoba;1990;Hombres;De 16 a 39 años;Emigraciones;3275;
Córdoba;1990;Hombres;De 40 a 64 años;Emigraciones;710;
Córdoba;1990;Hombres;De 65 y más años;Emigraciones;232;
Córdoba;1990;Hombres;TOTAL;Emigraciones;5383;
Córdoba;1990;Mujeres;Menores de 16 años;Emigraciones;1139;
Córdoba;1990;Mujeres;De 16 a 39 años;Emigraciones;3482;
Córdoba;1990;Mujeres;De 40 a 64 años;Emigraciones;690;
Córdoba;1990;Mujeres;De 65 y más años;Emigraciones;357;
Córdoba;1990;Mujeres;TOTAL;Emigraciones;5668;
Córdoba;1990;Ambos sexos;Menores de 16 años;Emigraciones;2305;
Córdoba;1990;Ambos sexos;De 16 a 39 años;Emigraciones;6757;
Córdoba;1990;Ambos sexos;De 40 a 64 años;Emigraciones;1400;
Córdoba;1990;Ambos sexos;De 65 y más años;Emigraciones;589;
Córdoba;1990;Ambos sexos;TOTAL;Emigraciones;11051;
Córdoba;1991;Hombres;Menores de 16 años;Emigraciones;752;
Córdoba;1991;Hombres;De 16 a 39 años;Emigraciones;2312;
Córdoba;1991;Hombres;De 40 a 64 años;Emigraciones;412;
Córdoba;1991;Hombres;De 65 y más años;Emigraciones;156;
Córdoba;1991;Hombres;TOTAL;Emigraciones;3632;
Córdoba;1991;Mujeres;Menores de 16 años;Emigraciones;684;
Córdoba;1991;Mujeres;De 16 a 39 años;Emigraciones;2372;
Córdoba;1991;Mujeres;De 40 a 64 años;Emigraciones;391;
Córdoba;1991;Mujeres;De 65 y más años;Emigraciones;216;
Córdoba;1991;Mujeres;TOTAL;Emigraciones;3663;
Córdoba;1991;Ambos sexos;Menores de 16 años;Emigraciones;1436;
Córdoba;1991;Ambos sexos;De 16 a 39 años;Emigraciones;4684;
Córdoba;1991;Ambos sexos;De 40 a 64 años;Emigraciones;803;
Córdoba;1991;Ambos sexos;De 65 y más años;Emigraciones;372;
Córdoba;1991;Ambos sexos;TOTAL;Emigraciones;7295;
Córdoba;1992;Hombres;Menores de 16 años;Emigraciones;891;
Córdoba;1992;Hombres;De 16 a 39 años;Emigraciones;2771;
Córdoba;1992;Hombres;De 40 a 64 años;Emigraciones;600;
Córdoba;1992;Hombres;De 65 y más años;Emigraciones;158;
Córdoba;1992;Hombres;TOTAL;Emigraciones;4420;
Córdoba;1992;Mujeres;Menores de 16 años;Emigraciones;848;
Córdoba;1992;Mujeres;De 16 a 39 años;Emigraciones;2766;
Córdoba;1992;Mujeres;De 40 a 64 años;Emigraciones;553;
Córdoba;1992;Mujeres;De 65 y más años;Emigraciones;242;
Córdoba;1992;Mujeres;TOTAL;Emigraciones;4409;
Córdoba;1992;Ambos sexos;Menores de 16 años;Emigraciones;1739;
Córdoba;1992;Ambos sexos;De 16 a 39 años;Emigraciones;5537;
Córdoba;1992;Ambos sexos;De 40 a 64 años;Emigraciones;1153;
Córdoba;1992;Ambos sexos;De 65 y más años;Emigraciones;400;
Córdoba;1992;Ambos sexos;TOTAL;Emigraciones;8829;
Córdoba;1993;Hombres;Menores de 16 años;Emigraciones;818;
Córdoba;1993;Hombres;De 16 a 39 años;Emigraciones;2746;
Córdoba;1993;Hombres;De 40 a 64 años;Emigraciones;592;
Córdoba;1993;Hombres;De 65 y más años;Emigraciones;220;
Córdoba;1993;Hombres;TOTAL;Emigraciones;4376;
Córdoba;1993;Mujeres;Menores de 16 años;Emigraciones;834;
Córdoba;1993;Mujeres;De 16 a 39 años;Emigraciones;2887;
Córdoba;1993;Mujeres;De 40 a 64 años;Emigraciones;590;
Córdoba;1993;Mujeres;De 65 y más años;Emigraciones;327;
Córdoba;1993;Mujeres;TOTAL;Emigraciones;4638;
Córdoba;1993;Ambos sexos;Menores de 16 años;Emigraciones;1652;
Córdoba;1993;Ambos sexos;De 16 a 39 años;Emigraciones;5633;
Córdoba;1993;Ambos sexos;De 40 a 64 años;Emigraciones;1182;
