Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Andalucía;2019;Hombres;Menores de 16 años;Inmigraciones;30988;
Andalucía;2019;Hombres;De 16 a 39 años;Inmigraciones;79513;
Andalucía;2019;Hombres;De 40 a 64 años;Inmigraciones;51148;
Andalucía;2019;Hombres;De 65 y más años;Inmigraciones;12758;
Andalucía;2019;Hombres;TOTAL;Inmigraciones;174407;
Andalucía;2019;Mujeres;Menores de 16 años;Inmigraciones;28940;
Andalucía;2019;Mujeres;De 16 a 39 años;Inmigraciones;80650;
Andalucía;2019;Mujeres;De 40 a 64 años;Inmigraciones;46962;
Andalucía;2019;Mujeres;De 65 y más años;Inmigraciones;14552;
Andalucía;2019;Mujeres;TOTAL;Inmigraciones;171104;
Andalucía;2019;Ambos sexos;Menores de 16 años;Inmigraciones;59928;
Andalucía;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;160163;
Andalucía;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;98110;
Andalucía;2019;Ambos sexos;De 65 y más años;Inmigraciones;27310;
Andalucía;2019;Ambos sexos;TOTAL;Inmigraciones;345511;
Andalucía;2020;Hombres;Menores de 16 años;Inmigraciones;26219;
Andalucía;2020;Hombres;De 16 a 39 años;Inmigraciones;68839;
Andalucía;2020;Hombres;De 40 a 64 años;Inmigraciones;48523;
Andalucía;2020;Hombres;De 65 y más años;Inmigraciones;11572;
Andalucía;2020;Hombres;TOTAL;Inmigraciones;155153;
Andalucía;2020;Mujeres;Menores de 16 años;Inmigraciones;24857;
Andalucía;2020;Mujeres;De 16 a 39 años;Inmigraciones;69679;
Andalucía;2020;Mujeres;De 40 a 64 años;Inmigraciones;43307;
Andalucía;2020;Mujeres;De 65 y más años;Inmigraciones;12055;
Andalucía;2020;Mujeres;TOTAL;Inmigraciones;149898;
Andalucía;2020;Ambos sexos;Menores de 16 años;Inmigraciones;51076;
Andalucía;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;138518;
Andalucía;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;91830;
Andalucía;2020;Ambos sexos;De 65 y más años;Inmigraciones;23627;
Andalucía;2020;Ambos sexos;TOTAL;Inmigraciones;305051;
Andalucía;2021;Hombres;Menores de 16 años;Inmigraciones;29551;
Andalucía;2021;Hombres;De 16 a 39 años;Inmigraciones;78328;
Andalucía;2021;Hombres;De 40 a 64 años;Inmigraciones;53387;
Andalucía;2021;Hombres;De 65 y más años;Inmigraciones;14324;
Andalucía;2021;Hombres;TOTAL;Inmigraciones;175590;
Andalucía;2021;Mujeres;Menores de 16 años;Inmigraciones;27820;
Andalucía;2021;Mujeres;De 16 a 39 años;Inmigraciones;74050;
Andalucía;2021;Mujeres;De 40 a 64 años;Inmigraciones;47648;
Andalucía;2021;Mujeres;De 65 y más años;Inmigraciones;15658;
Andalucía;2021;Mujeres;TOTAL;Inmigraciones;165176;
Andalucía;2021;Ambos sexos;Menores de 16 años;Inmigraciones;57371;
Andalucía;2021;Ambos sexos;De 16 a 39 años;Inmigraciones;152378;
Andalucía;2021;Ambos sexos;De 40 a 64 años;Inmigraciones;101035;
Andalucía;2021;Ambos sexos;De 65 y más años;Inmigraciones;29982;
Andalucía;2021;Ambos sexos;TOTAL;Inmigraciones;340766;
Almería;2019;Hombres;Menores de 16 años;Inmigraciones;3825;
Almería;2019;Hombres;De 16 a 39 años;Inmigraciones;12430;
Almería;2019;Hombres;De 40 a 64 años;Inmigraciones;6660;
Almería;2019;Hombres;De 65 y más años;Inmigraciones;1621;
Almería;2019;Hombres;TOTAL;Inmigraciones;24536;
Almería;2019;Mujeres;Menores de 16 años;Inmigraciones;3397;
Almería;2019;Mujeres;De 16 a 39 años;Inmigraciones;9040;
Almería;2019;Mujeres;De 40 a 64 años;Inmigraciones;5369;
Almería;2019;Mujeres;De 65 y más años;Inmigraciones;1679;
Almería;2019;Mujeres;TOTAL;Inmigraciones;19485;
Almería;2019;Ambos sexos;Menores de 16 años;Inmigraciones;7222;
Almería;2019;Ambos sexos;De 16 a 39 años;Inmigraciones;21470;
Almería;2019;Ambos sexos;De 40 a 64 años;Inmigraciones;12029;
Almería;2019;Ambos sexos;De 65 y más años;Inmigraciones;3300;
Almería;2019;Ambos sexos;TOTAL;Inmigraciones;44021;
Almería;2020;Hombres;Menores de 16 años;Inmigraciones;3055;
Almería;2020;Hombres;De 16 a 39 años;Inmigraciones;9939;
Almería;2020;Hombres;De 40 a 64 años;Inmigraciones;6013;
Almería;2020;Hombres;De 65 y más años;Inmigraciones;1508;
Almería;2020;Hombres;TOTAL;Inmigraciones;20515;
Almería;2020;Mujeres;Menores de 16 años;Inmigraciones;2767;
Almería;2020;Mujeres;De 16 a 39 años;Inmigraciones;7295;
Almería;2020;Mujeres;De 40 a 64 años;Inmigraciones;4880;
Almería;2020;Mujeres;De 65 y más años;Inmigraciones;1408;
Almería;2020;Mujeres;TOTAL;Inmigraciones;16350;
Almería;2020;Ambos sexos;Menores de 16 años;Inmigraciones;5822;
Almería;2020;Ambos sexos;De 16 a 39 años;Inmigraciones;17234;
Almería;2020;Ambos sexos;De 40 a 64 años;Inmigraciones;10893;
Almería;2020;Ambos sexos;De 65 y más años;Inmigraciones;2916;
Almería;2020;Ambos sexos;TOTAL;Inmigraciones;36865;
Almería;2021;Hombres;Menores de 16 años;Inmigraciones;3651;
Almería;2021;Hombres;De 16 a 39 años;Inmigraciones;12682;
Almería;2021;Hombres;De 40 a 64 años;Inmigraciones;6855;
Almería;2021;Hombres;De 65 y más años;Inmigraciones;1587;
Almería;2021;Hombres;TOTAL;Inmigraciones;24775;
Almería;2021;Mujeres;Menores de 16 años;Inmigraciones;3355;
