Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Andalucía;1988;Hombres;Menores de 16 años;Inmigraciones;12551;
Andalucía;1988;Hombres;De 16 a 39 años;Inmigraciones;22964;
Andalucía;1988;Hombres;De 40 a 64 años;Inmigraciones;8448;
Andalucía;1988;Hombres;De 65 y más años;Inmigraciones;1881;
Andalucía;1988;Hombres;TOTAL;Inmigraciones;45844;
Andalucía;1988;Mujeres;Menores de 16 años;Inmigraciones;11786;
Andalucía;1988;Mujeres;De 16 a 39 años;Inmigraciones;24230;
Andalucía;1988;Mujeres;De 40 a 64 años;Inmigraciones;7896;
Andalucía;1988;Mujeres;De 65 y más años;Inmigraciones;2309;
Andalucía;1988;Mujeres;TOTAL;Inmigraciones;46221;
Andalucía;1988;Ambos sexos;Menores de 16 años;Inmigraciones;24337;
Andalucía;1988;Ambos sexos;De 16 a 39 años;Inmigraciones;47194;
Andalucía;1988;Ambos sexos;De 40 a 64 años;Inmigraciones;16344;
Andalucía;1988;Ambos sexos;De 65 y más años;Inmigraciones;4190;
Andalucía;1988;Ambos sexos;TOTAL;Inmigraciones;92065;
Almería;1988;Hombres;Menores de 16 años;Inmigraciones;1353;
Almería;1988;Hombres;De 16 a 39 años;Inmigraciones;2256;
Almería;1988;Hombres;De 40 a 64 años;Inmigraciones;810;
Almería;1988;Hombres;De 65 y más años;Inmigraciones;166;
Almería;1988;Hombres;TOTAL;Inmigraciones;4585;
Almería;1988;Mujeres;Menores de 16 años;Inmigraciones;1187;
Almería;1988;Mujeres;De 16 a 39 años;Inmigraciones;2253;
Almería;1988;Mujeres;De 40 a 64 años;Inmigraciones;647;
Almería;1988;Mujeres;De 65 y más años;Inmigraciones;171;
Almería;1988;Mujeres;TOTAL;Inmigraciones;4258;
Almería;1988;Ambos sexos;Menores de 16 años;Inmigraciones;2540;
Almería;1988;Ambos sexos;De 16 a 39 años;Inmigraciones;4509;
Almería;1988;Ambos sexos;De 40 a 64 años;Inmigraciones;1457;
Almería;1988;Ambos sexos;De 65 y más años;Inmigraciones;337;
Almería;1988;Ambos sexos;TOTAL;Inmigraciones;8843;
Abla;1988;Hombres;Menores de 16 años;Inmigraciones;3;
Abla;1988;Hombres;De 16 a 39 años;Inmigraciones;7;
Abla;1988;Hombres;De 40 a 64 años;Inmigraciones;3;
Abla;1988;Hombres;De 65 y más años;Inmigraciones;-;
Abla;1988;Hombres;TOTAL;Inmigraciones;13;
Abla;1988;Mujeres;Menores de 16 años;Inmigraciones;2;
Abla;1988;Mujeres;De 16 a 39 años;Inmigraciones;8;
Abla;1988;Mujeres;De 40 a 64 años;Inmigraciones;3;
Abla;1988;Mujeres;De 65 y más años;Inmigraciones;-;
Abla;1988;Mujeres;TOTAL;Inmigraciones;13;
Abla;1988;Ambos sexos;Menores de 16 años;Inmigraciones;5;
Abla;1988;Ambos sexos;De 16 a 39 años;Inmigraciones;15;
Abla;1988;Ambos sexos;De 40 a 64 años;Inmigraciones;6;
Abla;1988;Ambos sexos;De 65 y más años;Inmigraciones;-;
Abla;1988;Ambos sexos;TOTAL;Inmigraciones;26;
Adra;1988;Hombres;Menores de 16 años;Inmigraciones;45;
Adra;1988;Hombres;De 16 a 39 años;Inmigraciones;61;
Adra;1988;Hombres;De 40 a 64 años;Inmigraciones;22;
Adra;1988;Hombres;De 65 y más años;Inmigraciones;5;
Adra;1988;Hombres;TOTAL;Inmigraciones;133;
Adra;1988;Mujeres;Menores de 16 años;Inmigraciones;37;
Adra;1988;Mujeres;De 16 a 39 años;Inmigraciones;65;
Adra;1988;Mujeres;De 40 a 64 años;Inmigraciones;16;
Adra;1988;Mujeres;De 65 y más años;Inmigraciones;4;
Adra;1988;Mujeres;TOTAL;Inmigraciones;122;
Adra;1988;Ambos sexos;Menores de 16 años;Inmigraciones;82;
Adra;1988;Ambos sexos;De 16 a 39 años;Inmigraciones;126;
Adra;1988;Ambos sexos;De 40 a 64 años;Inmigraciones;38;
Adra;1988;Ambos sexos;De 65 y más años;Inmigraciones;9;
Adra;1988;Ambos sexos;TOTAL;Inmigraciones;255;
Albanchez;1988;Hombres;Menores de 16 años;Inmigraciones;-;
Albanchez;1988;Hombres;De 16 a 39 años;Inmigraciones;2;
Albanchez;1988;Hombres;De 40 a 64 años;Inmigraciones;2;
Albanchez;1988;Hombres;De 65 y más años;Inmigraciones;-;
Albanchez;1988;Hombres;TOTAL;Inmigraciones;4;
Albanchez;1988;Mujeres;Menores de 16 años;Inmigraciones;-;
Albanchez;1988;Mujeres;De 16 a 39 años;Inmigraciones;-;
Albanchez;1988;Mujeres;De 40 a 64 años;Inmigraciones;2;
Albanchez;1988;Mujeres;De 65 y más años;Inmigraciones;-;
Albanchez;1988;Mujeres;TOTAL;Inmigraciones;2;
Albanchez;1988;Ambos sexos;Menores de 16 años;Inmigraciones;-;
Albanchez;1988;Ambos sexos;De 16 a 39 años;Inmigraciones;2;
