Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Andalucía;1989;Hombres;Menores de 16 años;Inmigraciones;14024;
Andalucía;1989;Hombres;De 16 a 39 años;Inmigraciones;27765;
Andalucía;1989;Hombres;De 40 a 64 años;Inmigraciones;9988;
Andalucía;1989;Hombres;De 65 y más años;Inmigraciones;2318;
Andalucía;1989;Hombres;TOTAL;Inmigraciones;54095;
Andalucía;1989;Mujeres;Menores de 16 años;Inmigraciones;13625;
Andalucía;1989;Mujeres;De 16 a 39 años;Inmigraciones;29487;
Andalucía;1989;Mujeres;De 40 a 64 años;Inmigraciones;9421;
Andalucía;1989;Mujeres;De 65 y más años;Inmigraciones;2807;
Andalucía;1989;Mujeres;TOTAL;Inmigraciones;55340;
Andalucía;1989;Ambos sexos;Menores de 16 años;Inmigraciones;27649;
Andalucía;1989;Ambos sexos;De 16 a 39 años;Inmigraciones;57252;
Andalucía;1989;Ambos sexos;De 40 a 64 años;Inmigraciones;19409;
Andalucía;1989;Ambos sexos;De 65 y más años;Inmigraciones;5125;
Andalucía;1989;Ambos sexos;TOTAL;Inmigraciones;109435;
Andalucía;1990;Hombres;Menores de 16 años;Inmigraciones;13950;
Andalucía;1990;Hombres;De 16 a 39 años;Inmigraciones;29780;
Andalucía;1990;Hombres;De 40 a 64 años;Inmigraciones;9839;
Andalucía;1990;Hombres;De 65 y más años;Inmigraciones;2284;
Andalucía;1990;Hombres;TOTAL;Inmigraciones;55853;
Andalucía;1990;Mujeres;Menores de 16 años;Inmigraciones;13392;
Andalucía;1990;Mujeres;De 16 a 39 años;Inmigraciones;31918;
Andalucía;1990;Mujeres;De 40 a 64 años;Inmigraciones;9237;
Andalucía;1990;Mujeres;De 65 y más años;Inmigraciones;2894;
Andalucía;1990;Mujeres;TOTAL;Inmigraciones;57441;
Andalucía;1990;Ambos sexos;Menores de 16 años;Inmigraciones;27342;
Andalucía;1990;Ambos sexos;De 16 a 39 años;Inmigraciones;61698;
Andalucía;1990;Ambos sexos;De 40 a 64 años;Inmigraciones;19076;
Andalucía;1990;Ambos sexos;De 65 y más años;Inmigraciones;5178;
Andalucía;1990;Ambos sexos;TOTAL;Inmigraciones;113294;
Andalucía;1991;Hombres;Menores de 16 años;Inmigraciones;8776;
Andalucía;1991;Hombres;De 16 a 39 años;Inmigraciones;20061;
Andalucía;1991;Hombres;De 40 a 64 años;Inmigraciones;6289;
Andalucía;1991;Hombres;De 65 y más años;Inmigraciones;1471;
Andalucía;1991;Hombres;TOTAL;Inmigraciones;36597;
