Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Almería;2021;Ambos sexos;De 0 a 4 años;Inmigraciones ;2583;
Almería;2021;Ambos sexos;De 5 a 9 años;Inmigraciones ;2191;
Almería;2021;Ambos sexos;De 10 a 14 años;Inmigraciones ;2039;
Almería;2021;Ambos sexos;De 15 a 19 años;Inmigraciones ;2515;
Almería;2021;Ambos sexos;De 20 a 24 años;Inmigraciones ;4545;
Almería;2021;Ambos sexos;De 25 a 29 años;Inmigraciones ;5855;
Almería;2021;Ambos sexos;De 30 a 34 años;Inmigraciones ;6101;
Almería;2021;Ambos sexos;De 35 a 39 años;Inmigraciones ;5208;
Almería;2021;Ambos sexos;De 40 a 44 años;Inmigraciones ;4541;
Almería;2021;Ambos sexos;De 45 a 49 años;Inmigraciones ;3373;
Almería;2021;Ambos sexos;De 50 a 54 años;Inmigraciones ;2633;
Almería;2021;Ambos sexos;De 55 a 59 años;Inmigraciones ;2166;
Almería;2021;Ambos sexos;De 60 a 64 años;Inmigraciones ;1793;
Almería;2021;Ambos sexos;De 65 y más años;Inmigraciones ;3721;
Almería;2021;Ambos sexos;TOTAL;Inmigraciones ;49264;
Almería;2021;Hombres;De 0 a 4 años;Inmigraciones ;1337;
Almería;2021;Hombres;De 5 a 9 años;Inmigraciones ;1139;
Almería;2021;Hombres;De 10 a 14 años;Inmigraciones ;1075;
Almería;2021;Hombres;De 15 a 19 años;Inmigraciones ;1399;
Almería;2021;Hombres;De 20 a 24 años;Inmigraciones ;2848;
Almería;2021;Hombres;De 25 a 29 años;Inmigraciones ;3687;
Almería;2021;Hombres;De 30 a 34 años;Inmigraciones ;3668;
Almería;2021;Hombres;De 35 a 39 años;Inmigraciones ;3124;
Almería;2021;Hombres;De 40 a 44 años;Inmigraciones ;2716;
Almería;2021;Hombres;De 45 a 49 años;Inmigraciones ;1997;
Almería;2021;Hombres;De 50 a 54 años;Inmigraciones ;1489;
Almería;2021;Hombres;De 55 a 59 años;Inmigraciones ;1204;
Almería;2021;Hombres;De 60 a 64 años;Inmigraciones ;927;
Almería;2021;Hombres;De 65 y más años;Inmigraciones ;1889;
Almería;2021;Hombres;TOTAL;Inmigraciones ;28499;
Almería;2021;Mujeres;De 0 a 4 años;Inmigraciones ;1246;
Almería;2021;Mujeres;De 5 a 9 años;Inmigraciones ;1052;
Almería;2021;Mujeres;De 10 a 14 años;Inmigraciones ;964;
Almería;2021;Mujeres;De 15 a 19 años;Inmigraciones ;1116;
Almería;2021;Mujeres;De 20 a 24 años;Inmigraciones ;1697;
Almería;2021;Mujeres;De 25 a 29 años;Inmigraciones ;2168;
Almería;2021;Mujeres;De 30 a 34 años;Inmigraciones ;2433;
Almería;2021;Mujeres;De 35 a 39 años;Inmigraciones ;2084;
Almería;2021;Mujeres;De 40 a 44 años;Inmigraciones ;1825;
Almería;2021;Mujeres;De 45 a 49 años;Inmigraciones ;1376;
Almería;2021;Mujeres;De 50 a 54 años;Inmigraciones ;1144;
Almería;2021;Mujeres;De 55 a 59 años;Inmigraciones ;962;
Almería;2021;Mujeres;De 60 a 64 años;Inmigraciones ;866;
Almería;2021;Mujeres;De 65 y más años;Inmigraciones ;1832;
Almería;2021;Mujeres;TOTAL;Inmigraciones ;20765;
Almería;2022;Ambos sexos;De 0 a 4 años;Inmigraciones ;2624;
Almería;2022;Ambos sexos;De 5 a 9 años;Inmigraciones ;2543;
Almería;2022;Ambos sexos;De 10 a 14 años;Inmigraciones ;2499;
Almería;2022;Ambos sexos;De 15 a 19 años;Inmigraciones ;2867;
Almería;2022;Ambos sexos;De 20 a 24 años;Inmigraciones ;4723;
Almería;2022;Ambos sexos;De 25 a 29 años;Inmigraciones ;6297;
Almería;2022;Ambos sexos;De 30 a 34 años;Inmigraciones ;6314;
Almería;2022;Ambos sexos;De 35 a 39 años;Inmigraciones ;5186;
Almería;2022;Ambos sexos;De 40 a 44 años;Inmigraciones ;5000;
Almería;2022;Ambos sexos;De 45 a 49 años;Inmigraciones ;3876;
Almería;2022;Ambos sexos;De 50 a 54 años;Inmigraciones ;2945;
Almería;2022;Ambos sexos;De 55 a 59 años;Inmigraciones ;2254;
Almería;2022;Ambos sexos;De 60 a 64 años;Inmigraciones ;1845;
Almería;2022;Ambos sexos;De 65 y más años;Inmigraciones ;3726;
Almería;2022;Ambos sexos;TOTAL;Inmigraciones ;52699;
Almería;2022;Hombres;De 0 a 4 años;Inmigraciones ;1390;
Almería;2022;Hombres;De 5 a 9 años;Inmigraciones ;1319;
Almería;2022;Hombres;De 10 a 14 años;Inmigraciones ;1321;
Almería;2022;Hombres;De 15 a 19 años;Inmigraciones ;1606;
Almería;2022;Hombres;De 20 a 24 años;Inmigraciones ;2775;
Almería;2022;Hombres;De 25 a 29 años;Inmigraciones ;3676;
Almería;2022;Hombres;De 30 a 34 años;Inmigraciones ;3615;
Almería;2022;Hombres;De 35 a 39 años;Inmigraciones ;2915;
Almería;2022;Hombres;De 40 a 44 años;Inmigraciones ;2884;
Almería;2022;Hombres;De 45 a 49 años;Inmigraciones ;2234;
Almería;2022;Hombres;De 50 a 54 años;Inmigraciones ;1591;
Almería;2022;Hombres;De 55 a 59 años;Inmigraciones ;1169;
Almería;2022;Hombres;De 60 a 64 años;Inmigraciones ;935;
Almería;2022;Hombres;De 65 y más años;Inmigraciones ;1848;
Almería;2022;Hombres;TOTAL;Inmigraciones ;29278;
Almería;2022;Mujeres;De 0 a 4 años;Inmigraciones ;1234;
Almería;2022;Mujeres;De 5 a 9 años;Inmigraciones ;1224;
Almería;2022;Mujeres;De 10 a 14 años;Inmigraciones ;1178;
Almería;2022;Mujeres;De 15 a 19 años;Inmigraciones ;1261;
Almería;2022;Mujeres;De 20 a 24 años;Inmigraciones ;1948;
Almería;2022;Mujeres;De 25 a 29 años;Inmigraciones ;2621;
Almería;2022;Mujeres;De 30 a 34 años;Inmigraciones ;2699;
Almería;2022;Mujeres;De 35 a 39 años;Inmigraciones ;2271;
Almería;2022;Mujeres;De 40 a 44 años;Inmigraciones ;2116;
Almería;2022;Mujeres;De 45 a 49 años;Inmigraciones ;1642;
Almería;2022;Mujeres;De 50 a 54 años;Inmigraciones ;1354;
Almería;2022;Mujeres;De 55 a 59 años;Inmigraciones ;1085;
Almería;2022;Mujeres;De 60 a 64 años;Inmigraciones ;910;
Almería;2022;Mujeres;De 65 y más años;Inmigraciones ;1878;
Almería;2022;Mujeres;TOTAL;Inmigraciones ;23421;
Almería;2023;Ambos sexos;De 0 a 4 años;Inmigraciones ;2353;
Almería;2023;Ambos sexos;De 5 a 9 años;Inmigraciones ;2376;
Almería;2023;Ambos sexos;De 10 a 14 años;Inmigraciones ;2431;
Almería;2023;Ambos sexos;De 15 a 19 años;Inmigraciones ;2795;
Almería;2023;Ambos sexos;De 20 a 24 años;Inmigraciones ;4289;
Almería;2023;Ambos sexos;De 25 a 29 años;Inmigraciones ;5550;
Almería;2023;Ambos sexos;De 30 a 34 años;Inmigraciones ;5707;
Almería;2023;Ambos sexos;De 35 a 39 años;Inmigraciones ;5043;
Almería;2023;Ambos sexos;De 40 a 44 años;Inmigraciones ;4543;
Almería;2023;Ambos sexos;De 45 a 49 años;Inmigraciones ;3803;
Almería;2023;Ambos sexos;De 50 a 54 años;Inmigraciones ;2977;
Almería;2023;Ambos sexos;De 55 a 59 años;Inmigraciones ;2228;
Almería;2023;Ambos sexos;De 60 a 64 años;Inmigraciones ;1823;
Almería;2023;Ambos sexos;De 65 y más años;Inmigraciones ;3765;
Almería;2023;Ambos sexos;TOTAL;Inmigraciones ;49683;
Almería;2023;Hombres;De 0 a 4 años;Inmigraciones ;1221;
Almería;2023;Hombres;De 5 a 9 años;Inmigraciones ;1203;
Almería;2023;Hombres;De 10 a 14 años;Inmigraciones ;1254;
Almería;2023;Hombres;De 15 a 19 años;Inmigraciones ;1561;
Almería;2023;Hombres;De 20 a 24 años;Inmigraciones ;2487;
Almería;2023;Hombres;De 25 a 29 años;Inmigraciones ;3253;
Almería;2023;Hombres;De 30 a 34 años;Inmigraciones ;3218;
Almería;2023;Hombres;De 35 a 39 años;Inmigraciones ;2808;
Almería;2023;Hombres;De 40 a 44 años;Inmigraciones ;2572;
Almería;2023;Hombres;De 45 a 49 años;Inmigraciones ;2205;
Almería;2023;Hombres;De 50 a 54 años;Inmigraciones ;1659;
Almería;2023;Hombres;De 55 a 59 años;Inmigraciones ;1173;
Almería;2023;Hombres;De 60 a 64 años;Inmigraciones ;971;
Almería;2023;Hombres;De 65 y más años;Inmigraciones ;1884;
Almería;2023;Hombres;TOTAL;Inmigraciones ;27469;
Almería;2023;Mujeres;De 0 a 4 años;Inmigraciones ;1132;
Almería;2023;Mujeres;De 5 a 9 años;Inmigraciones ;1173;
Almería;2023;Mujeres;De 10 a 14 años;Inmigraciones ;1177;
Almería;2023;Mujeres;De 15 a 19 años;Inmigraciones ;1234;
Almería;2023;Mujeres;De 20 a 24 años;Inmigraciones ;1802;
Almería;2023;Mujeres;De 25 a 29 años;Inmigraciones ;2297;
Almería;2023;Mujeres;De 30 a 34 años;Inmigraciones ;2489;
Almería;2023;Mujeres;De 35 a 39 años;Inmigraciones ;2235;
Almería;2023;Mujeres;De 40 a 44 años;Inmigraciones ;1971;
Almería;2023;Mujeres;De 45 a 49 años;Inmigraciones ;1598;
Almería;2023;Mujeres;De 50 a 54 años;Inmigraciones ;1318;
Almería;2023;Mujeres;De 55 a 59 años;Inmigraciones ;1055;
Almería;2023;Mujeres;De 60 a 64 años;Inmigraciones ;852;
Almería;2023;Mujeres;De 65 y más años;Inmigraciones ;1881;
Almería;2023;Mujeres;TOTAL;Inmigraciones ;22214;
Abla;2021;Ambos sexos;De 0 a 4 años;Inmigraciones ;4;
Abla;2021;Ambos sexos;De 5 a 9 años;Inmigraciones ;3;
Abla;2021;Ambos sexos;De 10 a 14 años;Inmigraciones ;2;
Abla;2021;Ambos sexos;De 15 a 19 años;Inmigraciones ;9;
Abla;2021;Ambos sexos;De 20 a 24 años;Inmigraciones ;10;
Abla;2021;Ambos sexos;De 25 a 29 años;Inmigraciones ;4;
Abla;2021;Ambos sexos;De 30 a 34 años;Inmigraciones ;4;
Abla;2021;Ambos sexos;De 35 a 39 años;Inmigraciones ;8;
Abla;2021;Ambos sexos;De 40 a 44 años;Inmigraciones ;9;
Abla;2021;Ambos sexos;De 45 a 49 años;Inmigraciones ;6;
Abla;2021;Ambos sexos;De 50 a 54 años;Inmigraciones ;10;
Abla;2021;Ambos sexos;De 55 a 59 años;Inmigraciones ;2;
Abla;2021;Ambos sexos;De 60 a 64 años;Inmigraciones ;6;
Abla;2021;Ambos sexos;De 65 y más años;Inmigraciones ;11;
Abla;2021;Ambos sexos;TOTAL;Inmigraciones ;88;
Abla;2021;Hombres;De 0 a 4 años;Inmigraciones ;4;
Abla;2021;Hombres;De 5 a 9 años;Inmigraciones ;1;
Abla;2021;Hombres;De 10 a 14 años;Inmigraciones ;2;
Abla;2021;Hombres;De 15 a 19 años;Inmigraciones ;6;
Abla;2021;Hombres;De 20 a 24 años;Inmigraciones ;5;
Abla;2021;Hombres;De 25 a 29 años;Inmigraciones ;3;
Abla;2021;Hombres;De 30 a 34 años;Inmigraciones ;2;
Abla;2021;Hombres;De 35 a 39 años;Inmigraciones ;5;
Abla;2021;Hombres;De 40 a 44 años;Inmigraciones ;4;
Abla;2021;Hombres;De 45 a 49 años;Inmigraciones ;4;
Abla;2021;Hombres;De 50 a 54 años;Inmigraciones ;4;
Abla;2021;Hombres;De 55 a 59 años;Inmigraciones ;1;
Abla;2021;Hombres;De 60 a 64 años;Inmigraciones ;2;
Abla;2021;Hombres;De 65 y más años;Inmigraciones ;5;
Abla;2021;Hombres;TOTAL;Inmigraciones ;48;
Abla;2021;Mujeres;De 0 a 4 años;Inmigraciones ;-;
Abla;2021;Mujeres;De 5 a 9 años;Inmigraciones ;2;
Abla;2021;Mujeres;De 10 a 14 años;Inmigraciones ;-;
Abla;2021;Mujeres;De 15 a 19 años;Inmigraciones ;3;
Abla;2021;Mujeres;De 20 a 24 años;Inmigraciones ;5;
Abla;2021;Mujeres;De 25 a 29 años;Inmigraciones ;1;
Abla;2021;Mujeres;De 30 a 34 años;Inmigraciones ;2;
Abla;2021;Mujeres;De 35 a 39 años;Inmigraciones ;3;
Abla;2021;Mujeres;De 40 a 44 años;Inmigraciones ;5;
Abla;2021;Mujeres;De 45 a 49 años;Inmigraciones ;2;
Abla;2021;Mujeres;De 50 a 54 años;Inmigraciones ;6;
Abla;2021;Mujeres;De 55 a 59 años;Inmigraciones ;1;
Abla;2021;Mujeres;De 60 a 64 años;Inmigraciones ;4;
Abla;2021;Mujeres;De 65 y más años;Inmigraciones ;6;
Abla;2021;Mujeres;TOTAL;Inmigraciones ;40;
Abla;2022;Ambos sexos;De 0 a 4 años;Inmigraciones ;4;
Abla;2022;Ambos sexos;De 5 a 9 años;Inmigraciones ;6;
Abla;2022;Ambos sexos;De 10 a 14 años;Inmigraciones ;9;
Abla;2022;Ambos sexos;De 15 a 19 años;Inmigraciones ;3;
Abla;2022;Ambos sexos;De 20 a 24 años;Inmigraciones ;3;
Abla;2022;Ambos sexos;De 25 a 29 años;Inmigraciones ;8;
Abla;2022;Ambos sexos;De 30 a 34 años;Inmigraciones ;15;
Abla;2022;Ambos sexos;De 35 a 39 años;Inmigraciones ;4;
Abla;2022;Ambos sexos;De 40 a 44 años;Inmigraciones ;6;
Abla;2022;Ambos sexos;De 45 a 49 años;Inmigraciones ;6;
Abla;2022;Ambos sexos;De 50 a 54 años;Inmigraciones ;7;
Abla;2022;Ambos sexos;De 55 a 59 años;Inmigraciones ;5;
Abla;2022;Ambos sexos;De 60 a 64 años;Inmigraciones ;6;
Abla;2022;Ambos sexos;De 65 y más años;Inmigraciones ;7;
Abla;2022;Ambos sexos;TOTAL;Inmigraciones ;89;
Abla;2022;Hombres;De 0 a 4 años;Inmigraciones ;2;
Abla;2022;Hombres;De 5 a 9 años;Inmigraciones ;3;
Abla;2022;Hombres;De 10 a 14 años;Inmigraciones ;4;
Abla;2022;Hombres;De 15 a 19 años;Inmigraciones ;3;
Abla;2022;Hombres;De 20 a 24 años;Inmigraciones ;2;
Abla;2022;Hombres;De 25 a 29 años;Inmigraciones ;3;
Abla;2022;Hombres;De 30 a 34 años;Inmigraciones ;10;
Abla;2022;Hombres;De 35 a 39 años;Inmigraciones ;2;
Abla;2022;Hombres;De 40 a 44 años;Inmigraciones ;5;
Abla;2022;Hombres;De 45 a 49 años;Inmigraciones ;2;
Abla;2022;Hombres;De 50 a 54 años;Inmigraciones ;2;
Abla;2022;Hombres;De 55 a 59 años;Inmigraciones ;3;
Abla;2022;Hombres;De 60 a 64 años;Inmigraciones ;4;
Abla;2022;Hombres;De 65 y más años;Inmigraciones ;3;
Abla;2022;Hombres;TOTAL;Inmigraciones ;48;
Abla;2022;Mujeres;De 0 a 4 años;Inmigraciones ;2;
Abla;2022;Mujeres;De 5 a 9 años;Inmigraciones ;3;
Abla;2022;Mujeres;De 10 a 14 años;Inmigraciones ;5;
Abla;2022;Mujeres;De 15 a 19 años;Inmigraciones ;-;
Abla;2022;Mujeres;De 20 a 24 años;Inmigraciones ;1;
Abla;2022;Mujeres;De 25 a 29 años;Inmigraciones ;5;
Abla;2022;Mujeres;De 30 a 34 años;Inmigraciones ;5;
Abla;2022;Mujeres;De 35 a 39 años;Inmigraciones ;2;
Abla;2022;Mujeres;De 40 a 44 años;Inmigraciones ;1;
Abla;2022;Mujeres;De 45 a 49 años;Inmigraciones ;4;
Abla;2022;Mujeres;De 50 a 54 años;Inmigraciones ;5;
Abla;2022;Mujeres;De 55 a 59 años;Inmigraciones ;2;
Abla;2022;Mujeres;De 60 a 64 años;Inmigraciones ;2;
Abla;2022;Mujeres;De 65 y más años;Inmigraciones ;4;
Abla;2022;Mujeres;TOTAL;Inmigraciones ;41;
Abla;2023;Ambos sexos;De 0 a 4 años;Inmigraciones ;4;
Abla;2023;Ambos sexos;De 5 a 9 años;Inmigraciones ;11;
Abla;2023;Ambos sexos;De 10 a 14 años;Inmigraciones ;6;
Abla;2023;Ambos sexos;De 15 a 19 años;Inmigraciones ;5;
Abla;2023;Ambos sexos;De 20 a 24 años;Inmigraciones ;7;
Abla;2023;Ambos sexos;De 25 a 29 años;Inmigraciones ;8;
Abla;2023;Ambos sexos;De 30 a 34 años;Inmigraciones ;8;
Abla;2023;Ambos sexos;De 35 a 39 años;Inmigraciones ;8;
Abla;2023;Ambos sexos;De 40 a 44 años;Inmigraciones ;8;
Abla;2023;Ambos sexos;De 45 a 49 años;Inmigraciones ;11;
Abla;2023;Ambos sexos;De 50 a 54 años;Inmigraciones ;8;
Abla;2023;Ambos sexos;De 55 a 59 años;Inmigraciones ;2;
Abla;2023;Ambos sexos;De 60 a 64 años;Inmigraciones ;11;
Abla;2023;Ambos sexos;De 65 y más años;Inmigraciones ;18;
Abla;2023;Ambos sexos;TOTAL;Inmigraciones ;115;
Abla;2023;Hombres;De 0 a 4 años;Inmigraciones ;2;
