Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Cádiz;2021;Ambos sexos;De 0 a 4 años;Inmigraciones ;2624;
Cádiz;2021;Ambos sexos;De 5 a 9 años;Inmigraciones ;1913;
Cádiz;2021;Ambos sexos;De 10 a 14 años;Inmigraciones ;1775;
Cádiz;2021;Ambos sexos;De 15 a 19 años;Inmigraciones ;1964;
Cádiz;2021;Ambos sexos;De 20 a 24 años;Inmigraciones ;2671;
Cádiz;2021;Ambos sexos;De 25 a 29 años;Inmigraciones ;4081;
Cádiz;2021;Ambos sexos;De 30 a 34 años;Inmigraciones ;4968;
Cádiz;2021;Ambos sexos;De 35 a 39 años;Inmigraciones ;4277;
Cádiz;2021;Ambos sexos;De 40 a 44 años;Inmigraciones ;3651;
Cádiz;2021;Ambos sexos;De 45 a 49 años;Inmigraciones ;2910;
Cádiz;2021;Ambos sexos;De 50 a 54 años;Inmigraciones ;2340;
Cádiz;2021;Ambos sexos;De 55 a 59 años;Inmigraciones ;1848;
Cádiz;2021;Ambos sexos;De 60 a 64 años;Inmigraciones ;1511;
Cádiz;2021;Ambos sexos;De 65 y más años;Inmigraciones ;3127;
Cádiz;2021;Ambos sexos;TOTAL;Inmigraciones ;39660;
Cádiz;2021;Hombres;De 0 a 4 años;Inmigraciones ;1386;
Cádiz;2021;Hombres;De 5 a 9 años;Inmigraciones ;1004;
Cádiz;2021;Hombres;De 10 a 14 años;Inmigraciones ;877;
Cádiz;2021;Hombres;De 15 a 19 años;Inmigraciones ;1057;
Cádiz;2021;Hombres;De 20 a 24 años;Inmigraciones ;1287;
Cádiz;2021;Hombres;De 25 a 29 años;Inmigraciones ;1966;
Cádiz;2021;Hombres;De 30 a 34 años;Inmigraciones ;2493;
Cádiz;2021;Hombres;De 35 a 39 años;Inmigraciones ;2213;
Cádiz;2021;Hombres;De 40 a 44 años;Inmigraciones ;1979;
Cádiz;2021;Hombres;De 45 a 49 años;Inmigraciones ;1578;
Cádiz;2021;Hombres;De 50 a 54 años;Inmigraciones ;1317;
Cádiz;2021;Hombres;De 55 a 59 años;Inmigraciones ;966;
Cádiz;2021;Hombres;De 60 a 64 años;Inmigraciones ;820;
Cádiz;2021;Hombres;De 65 y más años;Inmigraciones ;1505;
Cádiz;2021;Hombres;TOTAL;Inmigraciones ;20448;
Cádiz;2021;Mujeres;De 0 a 4 años;Inmigraciones ;1238;
Cádiz;2021;Mujeres;De 5 a 9 años;Inmigraciones ;909;
Cádiz;2021;Mujeres;De 10 a 14 años;Inmigraciones ;898;
Cádiz;2021;Mujeres;De 15 a 19 años;Inmigraciones ;907;
Cádiz;2021;Mujeres;De 20 a 24 años;Inmigraciones ;1384;
Cádiz;2021;Mujeres;De 25 a 29 años;Inmigraciones ;2115;
Cádiz;2021;Mujeres;De 30 a 34 años;Inmigraciones ;2475;
Cádiz;2021;Mujeres;De 35 a 39 años;Inmigraciones ;2064;
Cádiz;2021;Mujeres;De 40 a 44 años;Inmigraciones ;1672;
Cádiz;2021;Mujeres;De 45 a 49 años;Inmigraciones ;1332;
Cádiz;2021;Mujeres;De 50 a 54 años;Inmigraciones ;1023;
Cádiz;2021;Mujeres;De 55 a 59 años;Inmigraciones ;882;
Cádiz;2021;Mujeres;De 60 a 64 años;Inmigraciones ;691;
Cádiz;2021;Mujeres;De 65 y más años;Inmigraciones ;1622;
Cádiz;2021;Mujeres;TOTAL;Inmigraciones ;19212;
Cádiz;2022;Ambos sexos;De 0 a 4 años;Inmigraciones ;2765;
Cádiz;2022;Ambos sexos;De 5 a 9 años;Inmigraciones ;2180;
Cádiz;2022;Ambos sexos;De 10 a 14 años;Inmigraciones ;2103;
Cádiz;2022;Ambos sexos;De 15 a 19 años;Inmigraciones ;2239;
Cádiz;2022;Ambos sexos;De 20 a 24 años;Inmigraciones ;3119;
Cádiz;2022;Ambos sexos;De 25 a 29 años;Inmigraciones ;4911;
Cádiz;2022;Ambos sexos;De 30 a 34 años;Inmigraciones ;5401;
Cádiz;2022;Ambos sexos;De 35 a 39 años;Inmigraciones ;4784;
Cádiz;2022;Ambos sexos;De 40 a 44 años;Inmigraciones ;4135;
Cádiz;2022;Ambos sexos;De 45 a 49 años;Inmigraciones ;3100;
Cádiz;2022;Ambos sexos;De 50 a 54 años;Inmigraciones ;2493;
Cádiz;2022;Ambos sexos;De 55 a 59 años;Inmigraciones ;1965;
Cádiz;2022;Ambos sexos;De 60 a 64 años;Inmigraciones ;1560;
Cádiz;2022;Ambos sexos;De 65 y más años;Inmigraciones ;3282;
Cádiz;2022;Ambos sexos;TOTAL;Inmigraciones ;44037;
Cádiz;2022;Hombres;De 0 a 4 años;Inmigraciones ;1458;
Cádiz;2022;Hombres;De 5 a 9 años;Inmigraciones ;1120;
Cádiz;2022;Hombres;De 10 a 14 años;Inmigraciones ;1060;
Cádiz;2022;Hombres;De 15 a 19 años;Inmigraciones ;1210;
Cádiz;2022;Hombres;De 20 a 24 años;Inmigraciones ;1574;
Cádiz;2022;Hombres;De 25 a 29 años;Inmigraciones ;2354;
Cádiz;2022;Hombres;De 30 a 34 años;Inmigraciones ;2615;
Cádiz;2022;Hombres;De 35 a 39 años;Inmigraciones ;2337;
Cádiz;2022;Hombres;De 40 a 44 años;Inmigraciones ;2134;
Cádiz;2022;Hombres;De 45 a 49 años;Inmigraciones ;1635;
Cádiz;2022;Hombres;De 50 a 54 años;Inmigraciones ;1332;
Cádiz;2022;Hombres;De 55 a 59 años;Inmigraciones ;988;
Cádiz;2022;Hombres;De 60 a 64 años;Inmigraciones ;766;
Cádiz;2022;Hombres;De 65 y más años;Inmigraciones ;1590;
Cádiz;2022;Hombres;TOTAL;Inmigraciones ;22173;
Cádiz;2022;Mujeres;De 0 a 4 años;Inmigraciones ;1307;
Cádiz;2022;Mujeres;De 5 a 9 años;Inmigraciones ;1060;
Cádiz;2022;Mujeres;De 10 a 14 años;Inmigraciones ;1043;
Cádiz;2022;Mujeres;De 15 a 19 años;Inmigraciones ;1029;
Cádiz;2022;Mujeres;De 20 a 24 años;Inmigraciones ;1545;
Cádiz;2022;Mujeres;De 25 a 29 años;Inmigraciones ;2557;
Cádiz;2022;Mujeres;De 30 a 34 años;Inmigraciones ;2786;
Cádiz;2022;Mujeres;De 35 a 39 años;Inmigraciones ;2447;
Cádiz;2022;Mujeres;De 40 a 44 años;Inmigraciones ;2001;
Cádiz;2022;Mujeres;De 45 a 49 años;Inmigraciones ;1465;
Cádiz;2022;Mujeres;De 50 a 54 años;Inmigraciones ;1161;
Cádiz;2022;Mujeres;De 55 a 59 años;Inmigraciones ;977;
Cádiz;2022;Mujeres;De 60 a 64 años;Inmigraciones ;794;
Cádiz;2022;Mujeres;De 65 y más años;Inmigraciones ;1692;
Cádiz;2022;Mujeres;TOTAL;Inmigraciones ;21864;
Cádiz;2023;Ambos sexos;De 0 a 4 años;Inmigraciones ;2482;
Cádiz;2023;Ambos sexos;De 5 a 9 años;Inmigraciones ;2101;
Cádiz;2023;Ambos sexos;De 10 a 14 años;Inmigraciones ;2072;
Cádiz;2023;Ambos sexos;De 15 a 19 años;Inmigraciones ;2129;
Cádiz;2023;Ambos sexos;De 20 a 24 años;Inmigraciones ;3109;
Cádiz;2023;Ambos sexos;De 25 a 29 años;Inmigraciones ;4524;
Cádiz;2023;Ambos sexos;De 30 a 34 años;Inmigraciones ;5254;
Cádiz;2023;Ambos sexos;De 35 a 39 años;Inmigraciones ;4601;
Cádiz;2023;Ambos sexos;De 40 a 44 años;Inmigraciones ;3931;
Cádiz;2023;Ambos sexos;De 45 a 49 años;Inmigraciones ;3143;
Cádiz;2023;Ambos sexos;De 50 a 54 años;Inmigraciones ;2410;
Cádiz;2023;Ambos sexos;De 55 a 59 años;Inmigraciones ;1980;
Cádiz;2023;Ambos sexos;De 60 a 64 años;Inmigraciones ;1614;
Cádiz;2023;Ambos sexos;De 65 y más años;Inmigraciones ;3422;
Cádiz;2023;Ambos sexos;TOTAL;Inmigraciones ;42772;
Cádiz;2023;Hombres;De 0 a 4 años;Inmigraciones ;1297;
Cádiz;2023;Hombres;De 5 a 9 años;Inmigraciones ;1111;
Cádiz;2023;Hombres;De 10 a 14 años;Inmigraciones ;1026;
Cádiz;2023;Hombres;De 15 a 19 años;Inmigraciones ;1096;
Cádiz;2023;Hombres;De 20 a 24 años;Inmigraciones ;1549;
Cádiz;2023;Hombres;De 25 a 29 años;Inmigraciones ;2161;
Cádiz;2023;Hombres;De 30 a 34 años;Inmigraciones ;2569;
Cádiz;2023;Hombres;De 35 a 39 años;Inmigraciones ;2375;
