Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Córdoba;2021;Ambos sexos;De 0 a 4 años;Inmigraciones ;1050;
Córdoba;2021;Ambos sexos;De 5 a 9 años;Inmigraciones ;790;
Córdoba;2021;Ambos sexos;De 10 a 14 años;Inmigraciones ;713;
Córdoba;2021;Ambos sexos;De 15 a 19 años;Inmigraciones ;892;
Córdoba;2021;Ambos sexos;De 20 a 24 años;Inmigraciones ;1357;
Córdoba;2021;Ambos sexos;De 25 a 29 años;Inmigraciones ;2029;
Córdoba;2021;Ambos sexos;De 30 a 34 años;Inmigraciones ;2253;
Córdoba;2021;Ambos sexos;De 35 a 39 años;Inmigraciones ;1819;
Córdoba;2021;Ambos sexos;De 40 a 44 años;Inmigraciones ;1464;
Córdoba;2021;Ambos sexos;De 45 a 49 años;Inmigraciones ;1034;
Córdoba;2021;Ambos sexos;De 50 a 54 años;Inmigraciones ;824;
Córdoba;2021;Ambos sexos;De 55 a 59 años;Inmigraciones ;669;
Córdoba;2021;Ambos sexos;De 60 a 64 años;Inmigraciones ;530;
Córdoba;2021;Ambos sexos;De 65 y más años;Inmigraciones ;1707;
Córdoba;2021;Ambos sexos;TOTAL;Inmigraciones ;17131;
Córdoba;2021;Hombres;De 0 a 4 años;Inmigraciones ;515;
Córdoba;2021;Hombres;De 5 a 9 años;Inmigraciones ;390;
Córdoba;2021;Hombres;De 10 a 14 años;Inmigraciones ;375;
Córdoba;2021;Hombres;De 15 a 19 años;Inmigraciones ;474;
Córdoba;2021;Hombres;De 20 a 24 años;Inmigraciones ;644;
Córdoba;2021;Hombres;De 25 a 29 años;Inmigraciones ;979;
Córdoba;2021;Hombres;De 30 a 34 años;Inmigraciones ;1096;
Córdoba;2021;Hombres;De 35 a 39 años;Inmigraciones ;924;
Córdoba;2021;Hombres;De 40 a 44 años;Inmigraciones ;736;
Córdoba;2021;Hombres;De 45 a 49 años;Inmigraciones ;550;
Córdoba;2021;Hombres;De 50 a 54 años;Inmigraciones ;421;
Córdoba;2021;Hombres;De 55 a 59 años;Inmigraciones ;312;
Córdoba;2021;Hombres;De 60 a 64 años;Inmigraciones ;267;
Córdoba;2021;Hombres;De 65 y más años;Inmigraciones ;817;
Córdoba;2021;Hombres;TOTAL;Inmigraciones ;8500;
Córdoba;2021;Mujeres;De 0 a 4 años;Inmigraciones ;535;
Córdoba;2021;Mujeres;De 5 a 9 años;Inmigraciones ;400;
Córdoba;2021;Mujeres;De 10 a 14 años;Inmigraciones ;338;
