Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Granada;2021;Ambos sexos;De 0 a 4 años;Inmigraciones ;3153;
Granada;2021;Ambos sexos;De 5 a 9 años;Inmigraciones ;2536;
Granada;2021;Ambos sexos;De 10 a 14 años;Inmigraciones ;2405;
Granada;2021;Ambos sexos;De 15 a 19 años;Inmigraciones ;3059;
Granada;2021;Ambos sexos;De 20 a 24 años;Inmigraciones ;4173;
Granada;2021;Ambos sexos;De 25 a 29 años;Inmigraciones ;5621;
Granada;2021;Ambos sexos;De 30 a 34 años;Inmigraciones ;6065;
Granada;2021;Ambos sexos;De 35 a 39 años;Inmigraciones ;5164;
Granada;2021;Ambos sexos;De 40 a 44 años;Inmigraciones ;4616;
Granada;2021;Ambos sexos;De 45 a 49 años;Inmigraciones ;3492;
Granada;2021;Ambos sexos;De 50 a 54 años;Inmigraciones ;2762;
Granada;2021;Ambos sexos;De 55 a 59 años;Inmigraciones ;2234;
Granada;2021;Ambos sexos;De 60 a 64 años;Inmigraciones ;1897;
Granada;2021;Ambos sexos;De 65 y más años;Inmigraciones ;4501;
Granada;2021;Ambos sexos;TOTAL;Inmigraciones ;51678;
Granada;2021;Hombres;De 0 a 4 años;Inmigraciones ;1618;
Granada;2021;Hombres;De 5 a 9 años;Inmigraciones ;1259;
Granada;2021;Hombres;De 10 a 14 años;Inmigraciones ;1231;
Granada;2021;Hombres;De 15 a 19 años;Inmigraciones ;1733;
Granada;2021;Hombres;De 20 a 24 años;Inmigraciones ;2098;
Granada;2021;Hombres;De 25 a 29 años;Inmigraciones ;2797;
Granada;2021;Hombres;De 30 a 34 años;Inmigraciones ;3078;
Granada;2021;Hombres;De 35 a 39 años;Inmigraciones ;2691;
Granada;2021;Hombres;De 40 a 44 años;Inmigraciones ;2495;
Granada;2021;Hombres;De 45 a 49 años;Inmigraciones ;1845;
Granada;2021;Hombres;De 50 a 54 años;Inmigraciones ;1431;
Granada;2021;Hombres;De 55 a 59 años;Inmigraciones ;1167;
Granada;2021;Hombres;De 60 a 64 años;Inmigraciones ;979;
Granada;2021;Hombres;De 65 y más años;Inmigraciones ;2077;
Granada;2021;Hombres;TOTAL;Inmigraciones ;26499;
Granada;2021;Mujeres;De 0 a 4 años;Inmigraciones ;1535;
Granada;2021;Mujeres;De 5 a 9 años;Inmigraciones ;1277;
Granada;2021;Mujeres;De 10 a 14 años;Inmigraciones ;1174;
Granada;2021;Mujeres;De 15 a 19 años;Inmigraciones ;1326;
Granada;2021;Mujeres;De 20 a 24 años;Inmigraciones ;2075;
Granada;2021;Mujeres;De 25 a 29 años;Inmigraciones ;2824;
Granada;2021;Mujeres;De 30 a 34 años;Inmigraciones ;2987;
Granada;2021;Mujeres;De 35 a 39 años;Inmigraciones ;2473;
Granada;2021;Mujeres;De 40 a 44 años;Inmigraciones ;2121;
Granada;2021;Mujeres;De 45 a 49 años;Inmigraciones ;1647;
Granada;2021;Mujeres;De 50 a 54 años;Inmigraciones ;1331;
Granada;2021;Mujeres;De 55 a 59 años;Inmigraciones ;1067;
Granada;2021;Mujeres;De 60 a 64 años;Inmigraciones ;918;
Granada;2021;Mujeres;De 65 y más años;Inmigraciones ;2424;
Granada;2021;Mujeres;TOTAL;Inmigraciones ;25179;
Granada;2022;Ambos sexos;De 0 a 4 años;Inmigraciones ;3404;
Granada;2022;Ambos sexos;De 5 a 9 años;Inmigraciones ;2864;
Granada;2022;Ambos sexos;De 10 a 14 años;Inmigraciones ;2813;
Granada;2022;Ambos sexos;De 15 a 19 años;Inmigraciones ;3287;
Granada;2022;Ambos sexos;De 20 a 24 años;Inmigraciones ;5211;
Granada;2022;Ambos sexos;De 25 a 29 años;Inmigraciones ;7798;
