Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Huelva;2021;Ambos sexos;De 0 a 4 años;Inmigraciones ;1219;
Huelva;2021;Ambos sexos;De 5 a 9 años;Inmigraciones ;1013;
Huelva;2021;Ambos sexos;De 10 a 14 años;Inmigraciones ;1014;
Huelva;2021;Ambos sexos;De 15 a 19 años;Inmigraciones ;1247;
Huelva;2021;Ambos sexos;De 20 a 24 años;Inmigraciones ;1963;
Huelva;2021;Ambos sexos;De 25 a 29 años;Inmigraciones ;2769;
Huelva;2021;Ambos sexos;De 30 a 34 años;Inmigraciones ;3053;
Huelva;2021;Ambos sexos;De 35 a 39 años;Inmigraciones ;2763;
Huelva;2021;Ambos sexos;De 40 a 44 años;Inmigraciones ;2639;
Huelva;2021;Ambos sexos;De 45 a 49 años;Inmigraciones ;2076;
Huelva;2021;Ambos sexos;De 50 a 54 años;Inmigraciones ;1566;
Huelva;2021;Ambos sexos;De 55 a 59 años;Inmigraciones ;952;
Huelva;2021;Ambos sexos;De 60 a 64 años;Inmigraciones ;758;
Huelva;2021;Ambos sexos;De 65 y más años;Inmigraciones ;1623;
Huelva;2021;Ambos sexos;TOTAL;Inmigraciones ;24655;
Huelva;2021;Hombres;De 0 a 4 años;Inmigraciones ;624;
Huelva;2021;Hombres;De 5 a 9 años;Inmigraciones ;551;
Huelva;2021;Hombres;De 10 a 14 años;Inmigraciones ;509;
Huelva;2021;Hombres;De 15 a 19 años;Inmigraciones ;728;
Huelva;2021;Hombres;De 20 a 24 años;Inmigraciones ;1165;
Huelva;2021;Hombres;De 25 a 29 años;Inmigraciones ;1521;
Huelva;2021;Hombres;De 30 a 34 años;Inmigraciones ;1528;
Huelva;2021;Hombres;De 35 a 39 años;Inmigraciones ;1358;
Huelva;2021;Hombres;De 40 a 44 años;Inmigraciones ;1251;
Huelva;2021;Hombres;De 45 a 49 años;Inmigraciones ;1013;
Huelva;2021;Hombres;De 50 a 54 años;Inmigraciones ;725;
Huelva;2021;Hombres;De 55 a 59 años;Inmigraciones ;495;
Huelva;2021;Hombres;De 60 a 64 años;Inmigraciones ;400;
Huelva;2021;Hombres;De 65 y más años;Inmigraciones ;796;
Huelva;2021;Hombres;TOTAL;Inmigraciones ;12664;
Huelva;2021;Mujeres;De 0 a 4 años;Inmigraciones ;595;
Huelva;2021;Mujeres;De 5 a 9 años;Inmigraciones ;462;
Huelva;2021;Mujeres;De 10 a 14 años;Inmigraciones ;505;
Huelva;2021;Mujeres;De 15 a 19 años;Inmigraciones ;519;
Huelva;2021;Mujeres;De 20 a 24 años;Inmigraciones ;798;
Huelva;2021;Mujeres;De 25 a 29 años;Inmigraciones ;1248;
Huelva;2021;Mujeres;De 30 a 34 años;Inmigraciones ;1525;
Huelva;2021;Mujeres;De 35 a 39 años;Inmigraciones ;1405;
Huelva;2021;Mujeres;De 40 a 44 años;Inmigraciones ;1388;
Huelva;2021;Mujeres;De 45 a 49 años;Inmigraciones ;1063;
Huelva;2021;Mujeres;De 50 a 54 años;Inmigraciones ;841;
Huelva;2021;Mujeres;De 55 a 59 años;Inmigraciones ;457;
Huelva;2021;Mujeres;De 60 a 64 años;Inmigraciones ;358;
Huelva;2021;Mujeres;De 65 y más años;Inmigraciones ;827;
Huelva;2021;Mujeres;TOTAL;Inmigraciones ;11991;
Huelva;2022;Ambos sexos;De 0 a 4 años;Inmigraciones ;1251;
Huelva;2022;Ambos sexos;De 5 a 9 años;Inmigraciones ;1064;
Huelva;2022;Ambos sexos;De 10 a 14 años;Inmigraciones ;1064;
Huelva;2022;Ambos sexos;De 15 a 19 años;Inmigraciones ;1353;
Huelva;2022;Ambos sexos;De 20 a 24 años;Inmigraciones ;2049;
Huelva;2022;Ambos sexos;De 25 a 29 años;Inmigraciones ;2907;
Huelva;2022;Ambos sexos;De 30 a 34 años;Inmigraciones ;3146;
Huelva;2022;Ambos sexos;De 35 a 39 años;Inmigraciones ;2865;
Huelva;2022;Ambos sexos;De 40 a 44 años;Inmigraciones ;2619;
Huelva;2022;Ambos sexos;De 45 a 49 años;Inmigraciones ;2106;
Huelva;2022;Ambos sexos;De 50 a 54 años;Inmigraciones ;1532;
Huelva;2022;Ambos sexos;De 55 a 59 años;Inmigraciones ;991;
Huelva;2022;Ambos sexos;De 60 a 64 años;Inmigraciones ;718;
Huelva;2022;Ambos sexos;De 65 y más años;Inmigraciones ;1580;
Huelva;2022;Ambos sexos;TOTAL;Inmigraciones ;25245;
Huelva;2022;Hombres;De 0 a 4 años;Inmigraciones ;651;
Huelva;2022;Hombres;De 5 a 9 años;Inmigraciones ;527;
Huelva;2022;Hombres;De 10 a 14 años;Inmigraciones ;569;
Huelva;2022;Hombres;De 15 a 19 años;Inmigraciones ;748;
Huelva;2022;Hombres;De 20 a 24 años;Inmigraciones ;1151;
Huelva;2022;Hombres;De 25 a 29 años;Inmigraciones ;1552;
Huelva;2022;Hombres;De 30 a 34 años;Inmigraciones ;1561;
Huelva;2022;Hombres;De 35 a 39 años;Inmigraciones ;1426;
Huelva;2022;Hombres;De 40 a 44 años;Inmigraciones ;1195;
Huelva;2022;Hombres;De 45 a 49 años;Inmigraciones ;973;
Huelva;2022;Hombres;De 50 a 54 años;Inmigraciones ;669;
Huelva;2022;Hombres;De 55 a 59 años;Inmigraciones ;476;
Huelva;2022;Hombres;De 60 a 64 años;Inmigraciones ;369;
Huelva;2022;Hombres;De 65 y más años;Inmigraciones ;751;
Huelva;2022;Hombres;TOTAL;Inmigraciones ;12618;
Huelva;2022;Mujeres;De 0 a 4 años;Inmigraciones ;600;
Huelva;2022;Mujeres;De 5 a 9 años;Inmigraciones ;537;
Huelva;2022;Mujeres;De 10 a 14 años;Inmigraciones ;495;
Huelva;2022;Mujeres;De 15 a 19 años;Inmigraciones ;605;
Huelva;2022;Mujeres;De 20 a 24 años;Inmigraciones ;898;
Huelva;2022;Mujeres;De 25 a 29 años;Inmigraciones ;1355;
Huelva;2022;Mujeres;De 30 a 34 años;Inmigraciones ;1585;
Huelva;2022;Mujeres;De 35 a 39 años;Inmigraciones ;1439;
Huelva;2022;Mujeres;De 40 a 44 años;Inmigraciones ;1424;
Huelva;2022;Mujeres;De 45 a 49 años;Inmigraciones ;1133;
Huelva;2022;Mujeres;De 50 a 54 años;Inmigraciones ;863;
Huelva;2022;Mujeres;De 55 a 59 años;Inmigraciones ;515;
Huelva;2022;Mujeres;De 60 a 64 años;Inmigraciones ;349;
Huelva;2022;Mujeres;De 65 y más años;Inmigraciones ;829;
Huelva;2022;Mujeres;TOTAL;Inmigraciones ;12627;
Huelva;2023;Ambos sexos;De 0 a 4 años;Inmigraciones ;1117;
Huelva;2023;Ambos sexos;De 5 a 9 años;Inmigraciones ;1108;
Huelva;2023;Ambos sexos;De 10 a 14 años;Inmigraciones ;1136;
Huelva;2023;Ambos sexos;De 15 a 19 años;Inmigraciones ;1395;
Huelva;2023;Ambos sexos;De 20 a 24 años;Inmigraciones ;1991;
Huelva;2023;Ambos sexos;De 25 a 29 años;Inmigraciones ;2745;
Huelva;2023;Ambos sexos;De 30 a 34 años;Inmigraciones ;2876;
Huelva;2023;Ambos sexos;De 35 a 39 años;Inmigraciones ;2747;
Huelva;2023;Ambos sexos;De 40 a 44 años;Inmigraciones ;2678;
Huelva;2023;Ambos sexos;De 45 a 49 años;Inmigraciones ;2317;
Huelva;2023;Ambos sexos;De 50 a 54 años;Inmigraciones ;1794;
Huelva;2023;Ambos sexos;De 55 a 59 años;Inmigraciones ;1125;
Huelva;2023;Ambos sexos;De 60 a 64 años;Inmigraciones ;789;
Huelva;2023;Ambos sexos;De 65 y más años;Inmigraciones ;1611;
Huelva;2023;Ambos sexos;TOTAL;Inmigraciones ;25429;
Huelva;2023;Hombres;De 0 a 4 años;Inmigraciones ;566;
Huelva;2023;Hombres;De 5 a 9 años;Inmigraciones ;595;
Huelva;2023;Hombres;De 10 a 14 años;Inmigraciones ;606;
Huelva;2023;Hombres;De 15 a 19 años;Inmigraciones ;747;
Huelva;2023;Hombres;De 20 a 24 años;Inmigraciones ;1106;
Huelva;2023;Hombres;De 25 a 29 años;Inmigraciones ;1478;
Huelva;2023;Hombres;De 30 a 34 años;Inmigraciones ;1433;
Huelva;2023;Hombres;De 35 a 39 años;Inmigraciones ;1366;
Huelva;2023;Hombres;De 40 a 44 años;Inmigraciones ;1236;
Huelva;2023;Hombres;De 45 a 49 años;Inmigraciones ;1067;
Huelva;2023;Hombres;De 50 a 54 años;Inmigraciones ;773;
Huelva;2023;Hombres;De 55 a 59 años;Inmigraciones ;501;
Huelva;2023;Hombres;De 60 a 64 años;Inmigraciones ;384;
Huelva;2023;Hombres;De 65 y más años;Inmigraciones ;752;
Huelva;2023;Hombres;TOTAL;Inmigraciones ;12610;
Huelva;2023;Mujeres;De 0 a 4 años;Inmigraciones ;551;
Huelva;2023;Mujeres;De 5 a 9 años;Inmigraciones ;513;
Huelva;2023;Mujeres;De 10 a 14 años;Inmigraciones ;530;
Huelva;2023;Mujeres;De 15 a 19 años;Inmigraciones ;648;
Huelva;2023;Mujeres;De 20 a 24 años;Inmigraciones ;885;
Huelva;2023;Mujeres;De 25 a 29 años;Inmigraciones ;1267;
Huelva;2023;Mujeres;De 30 a 34 años;Inmigraciones ;1443;
Huelva;2023;Mujeres;De 35 a 39 años;Inmigraciones ;1381;
