Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Jaén;2021;Ambos sexos;De 0 a 4 años;Inmigraciones ;923;
Jaén;2021;Ambos sexos;De 5 a 9 años;Inmigraciones ;811;
Jaén;2021;Ambos sexos;De 10 a 14 años;Inmigraciones ;759;
Jaén;2021;Ambos sexos;De 15 a 19 años;Inmigraciones ;870;
Jaén;2021;Ambos sexos;De 20 a 24 años;Inmigraciones ;1254;
Jaén;2021;Ambos sexos;De 25 a 29 años;Inmigraciones ;1904;
Jaén;2021;Ambos sexos;De 30 a 34 años;Inmigraciones ;1913;
Jaén;2021;Ambos sexos;De 35 a 39 años;Inmigraciones ;1612;
Jaén;2021;Ambos sexos;De 40 a 44 años;Inmigraciones ;1298;
Jaén;2021;Ambos sexos;De 45 a 49 años;Inmigraciones ;1027;
Jaén;2021;Ambos sexos;De 50 a 54 años;Inmigraciones ;821;
Jaén;2021;Ambos sexos;De 55 a 59 años;Inmigraciones ;646;
Jaén;2021;Ambos sexos;De 60 a 64 años;Inmigraciones ;541;
Jaén;2021;Ambos sexos;De 65 y más años;Inmigraciones ;1417;
Jaén;2021;Ambos sexos;TOTAL;Inmigraciones ;15796;
Jaén;2021;Hombres;De 0 a 4 años;Inmigraciones ;496;
Jaén;2021;Hombres;De 5 a 9 años;Inmigraciones ;428;
Jaén;2021;Hombres;De 10 a 14 años;Inmigraciones ;420;
Jaén;2021;Hombres;De 15 a 19 años;Inmigraciones ;426;
Jaén;2021;Hombres;De 20 a 24 años;Inmigraciones ;578;
Jaén;2021;Hombres;De 25 a 29 años;Inmigraciones ;960;
Jaén;2021;Hombres;De 30 a 34 años;Inmigraciones ;978;
Jaén;2021;Hombres;De 35 a 39 años;Inmigraciones ;864;
Jaén;2021;Hombres;De 40 a 44 años;Inmigraciones ;731;
Jaén;2021;Hombres;De 45 a 49 años;Inmigraciones ;547;
Jaén;2021;Hombres;De 50 a 54 años;Inmigraciones ;452;
Jaén;2021;Hombres;De 55 a 59 años;Inmigraciones ;347;
Jaén;2021;Hombres;De 60 a 64 años;Inmigraciones ;274;
Jaén;2021;Hombres;De 65 y más años;Inmigraciones ;636;
Jaén;2021;Hombres;TOTAL;Inmigraciones ;8137;
Jaén;2021;Mujeres;De 0 a 4 años;Inmigraciones ;427;
Jaén;2021;Mujeres;De 5 a 9 años;Inmigraciones ;383;
Jaén;2021;Mujeres;De 10 a 14 años;Inmigraciones ;339;
Jaén;2021;Mujeres;De 15 a 19 años;Inmigraciones ;444;
Jaén;2021;Mujeres;De 20 a 24 años;Inmigraciones ;676;
Jaén;2021;Mujeres;De 25 a 29 años;Inmigraciones ;944;
Jaén;2021;Mujeres;De 30 a 34 años;Inmigraciones ;935;
Jaén;2021;Mujeres;De 35 a 39 años;Inmigraciones ;748;
Jaén;2021;Mujeres;De 40 a 44 años;Inmigraciones ;567;
Jaén;2021;Mujeres;De 45 a 49 años;Inmigraciones ;480;
Jaén;2021;Mujeres;De 50 a 54 años;Inmigraciones ;369;
Jaén;2021;Mujeres;De 55 a 59 años;Inmigraciones ;299;
Jaén;2021;Mujeres;De 60 a 64 años;Inmigraciones ;267;
Jaén;2021;Mujeres;De 65 y más años;Inmigraciones ;781;
Jaén;2021;Mujeres;TOTAL;Inmigraciones ;7659;
Jaén;2022;Ambos sexos;De 0 a 4 años;Inmigraciones ;1023;
Jaén;2022;Ambos sexos;De 5 a 9 años;Inmigraciones ;898;
Jaén;2022;Ambos sexos;De 10 a 14 años;Inmigraciones ;900;
Jaén;2022;Ambos sexos;De 15 a 19 años;Inmigraciones ;1027;
Jaén;2022;Ambos sexos;De 20 a 24 años;Inmigraciones ;1548;
Jaén;2022;Ambos sexos;De 25 a 29 años;Inmigraciones ;2257;
Jaén;2022;Ambos sexos;De 30 a 34 años;Inmigraciones ;2346;
