Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Málaga;2021;Ambos sexos;De 0 a 4 años;Inmigraciones ;5968;
Málaga;2021;Ambos sexos;De 5 a 9 años;Inmigraciones ;5397;
Málaga;2021;Ambos sexos;De 10 a 14 años;Inmigraciones ;5034;
Málaga;2021;Ambos sexos;De 15 a 19 años;Inmigraciones ;5178;
Málaga;2021;Ambos sexos;De 20 a 24 años;Inmigraciones ;6784;
Málaga;2021;Ambos sexos;De 25 a 29 años;Inmigraciones ;9959;
Málaga;2021;Ambos sexos;De 30 a 34 años;Inmigraciones ;11464;
Málaga;2021;Ambos sexos;De 35 a 39 años;Inmigraciones ;11095;
Málaga;2021;Ambos sexos;De 40 a 44 años;Inmigraciones ;10004;
Málaga;2021;Ambos sexos;De 45 a 49 años;Inmigraciones ;8144;
Málaga;2021;Ambos sexos;De 50 a 54 años;Inmigraciones ;6989;
Málaga;2021;Ambos sexos;De 55 a 59 años;Inmigraciones ;6281;
Málaga;2021;Ambos sexos;De 60 a 64 años;Inmigraciones ;5428;
Málaga;2021;Ambos sexos;De 65 y más años;Inmigraciones ;12725;
Málaga;2021;Ambos sexos;TOTAL;Inmigraciones ;110450;
Málaga;2021;Hombres;De 0 a 4 años;Inmigraciones ;3031;
Málaga;2021;Hombres;De 5 a 9 años;Inmigraciones ;2740;
Málaga;2021;Hombres;De 10 a 14 años;Inmigraciones ;2600;
Málaga;2021;Hombres;De 15 a 19 años;Inmigraciones ;2761;
Málaga;2021;Hombres;De 20 a 24 años;Inmigraciones ;3338;
Málaga;2021;Hombres;De 25 a 29 años;Inmigraciones ;4647;
Málaga;2021;Hombres;De 30 a 34 años;Inmigraciones ;5515;
Málaga;2021;Hombres;De 35 a 39 años;Inmigraciones ;5498;
Málaga;2021;Hombres;De 40 a 44 años;Inmigraciones ;5207;
Málaga;2021;Hombres;De 45 a 49 años;Inmigraciones ;4296;
Málaga;2021;Hombres;De 50 a 54 años;Inmigraciones ;3629;
Málaga;2021;Hombres;De 55 a 59 años;Inmigraciones ;3223;
Málaga;2021;Hombres;De 60 a 64 años;Inmigraciones ;2740;
Málaga;2021;Hombres;De 65 y más años;Inmigraciones ;6352;
Málaga;2021;Hombres;TOTAL;Inmigraciones ;55577;
Málaga;2021;Mujeres;De 0 a 4 años;Inmigraciones ;2937;
Málaga;2021;Mujeres;De 5 a 9 años;Inmigraciones ;2657;
Málaga;2021;Mujeres;De 10 a 14 años;Inmigraciones ;2434;
Málaga;2021;Mujeres;De 15 a 19 años;Inmigraciones ;2417;
Málaga;2021;Mujeres;De 20 a 24 años;Inmigraciones ;3446;
Málaga;2021;Mujeres;De 25 a 29 años;Inmigraciones ;5312;
Málaga;2021;Mujeres;De 30 a 34 años;Inmigraciones ;5949;
Málaga;2021;Mujeres;De 35 a 39 años;Inmigraciones ;5597;
Málaga;2021;Mujeres;De 40 a 44 años;Inmigraciones ;4797;
Málaga;2021;Mujeres;De 45 a 49 años;Inmigraciones ;3848;
Málaga;2021;Mujeres;De 50 a 54 años;Inmigraciones ;3360;
Málaga;2021;Mujeres;De 55 a 59 años;Inmigraciones ;3058;
Málaga;2021;Mujeres;De 60 a 64 años;Inmigraciones ;2688;
Málaga;2021;Mujeres;De 65 y más años;Inmigraciones ;6373;
Málaga;2021;Mujeres;TOTAL;Inmigraciones ;54873;
Málaga;2022;Ambos sexos;De 0 a 4 años;Inmigraciones ;6693;
Málaga;2022;Ambos sexos;De 5 a 9 años;Inmigraciones ;6742;
Málaga;2022;Ambos sexos;De 10 a 14 años;Inmigraciones ;6269;
Málaga;2022;Ambos sexos;De 15 a 19 años;Inmigraciones ;5852;
Málaga;2022;Ambos sexos;De 20 a 24 años;Inmigraciones ;8650;
Málaga;2022;Ambos sexos;De 25 a 29 años;Inmigraciones ;12837;
Málaga;2022;Ambos sexos;De 30 a 34 años;Inmigraciones ;14087;
Málaga;2022;Ambos sexos;De 35 a 39 años;Inmigraciones ;12939;
Málaga;2022;Ambos sexos;De 40 a 44 años;Inmigraciones ;11172;
Málaga;2022;Ambos sexos;De 45 a 49 años;Inmigraciones ;9161;
Málaga;2022;Ambos sexos;De 50 a 54 años;Inmigraciones ;7600;
Málaga;2022;Ambos sexos;De 55 a 59 años;Inmigraciones ;6014;
Málaga;2022;Ambos sexos;De 60 a 64 años;Inmigraciones ;5154;
Málaga;2022;Ambos sexos;De 65 y más años;Inmigraciones ;11072;
Málaga;2022;Ambos sexos;TOTAL;Inmigraciones ;124242;
Málaga;2022;Hombres;De 0 a 4 años;Inmigraciones ;3497;
Málaga;2022;Hombres;De 5 a 9 años;Inmigraciones ;3401;
Málaga;2022;Hombres;De 10 a 14 años;Inmigraciones ;3225;
Málaga;2022;Hombres;De 15 a 19 años;Inmigraciones ;3025;
Málaga;2022;Hombres;De 20 a 24 años;Inmigraciones ;4117;
Málaga;2022;Hombres;De 25 a 29 años;Inmigraciones ;5908;
Málaga;2022;Hombres;De 30 a 34 años;Inmigraciones ;6721;
Málaga;2022;Hombres;De 35 a 39 años;Inmigraciones ;6200;
Málaga;2022;Hombres;De 40 a 44 años;Inmigraciones ;5651;
Málaga;2022;Hombres;De 45 a 49 años;Inmigraciones ;4615;
Málaga;2022;Hombres;De 50 a 54 años;Inmigraciones ;3806;
Málaga;2022;Hombres;De 55 a 59 años;Inmigraciones ;2908;
Málaga;2022;Hombres;De 60 a 64 años;Inmigraciones ;2559;
Málaga;2022;Hombres;De 65 y más años;Inmigraciones ;5293;
Málaga;2022;Hombres;TOTAL;Inmigraciones ;60926;
Málaga;2022;Mujeres;De 0 a 4 años;Inmigraciones ;3196;
Málaga;2022;Mujeres;De 5 a 9 años;Inmigraciones ;3341;
Málaga;2022;Mujeres;De 10 a 14 años;Inmigraciones ;3044;
Málaga;2022;Mujeres;De 15 a 19 años;Inmigraciones ;2827;
Málaga;2022;Mujeres;De 20 a 24 años;Inmigraciones ;4533;
Málaga;2022;Mujeres;De 25 a 29 años;Inmigraciones ;6929;
Málaga;2022;Mujeres;De 30 a 34 años;Inmigraciones ;7366;
Málaga;2022;Mujeres;De 35 a 39 años;Inmigraciones ;6739;
Málaga;2022;Mujeres;De 40 a 44 años;Inmigraciones ;5521;
Málaga;2022;Mujeres;De 45 a 49 años;Inmigraciones ;4546;
Málaga;2022;Mujeres;De 50 a 54 años;Inmigraciones ;3794;
Málaga;2022;Mujeres;De 55 a 59 años;Inmigraciones ;3106;
Málaga;2022;Mujeres;De 60 a 64 años;Inmigraciones ;2595;
Málaga;2022;Mujeres;De 65 y más años;Inmigraciones ;5779;
Málaga;2022;Mujeres;TOTAL;Inmigraciones ;63316;
Málaga;2023;Ambos sexos;De 0 a 4 años;Inmigraciones ;5888;
Málaga;2023;Ambos sexos;De 5 a 9 años;Inmigraciones ;5907;
Málaga;2023;Ambos sexos;De 10 a 14 años;Inmigraciones ;5613;
Málaga;2023;Ambos sexos;De 15 a 19 años;Inmigraciones ;5532;
Málaga;2023;Ambos sexos;De 20 a 24 años;Inmigraciones ;8067;
Málaga;2023;Ambos sexos;De 25 a 29 años;Inmigraciones ;11754;
Málaga;2023;Ambos sexos;De 30 a 34 años;Inmigraciones ;12879;
Málaga;2023;Ambos sexos;De 35 a 39 años;Inmigraciones ;11980;
Málaga;2023;Ambos sexos;De 40 a 44 años;Inmigraciones ;10458;
Málaga;2023;Ambos sexos;De 45 a 49 años;Inmigraciones ;8532;
Málaga;2023;Ambos sexos;De 50 a 54 años;Inmigraciones ;7373;
Málaga;2023;Ambos sexos;De 55 a 59 años;Inmigraciones ;5932;
Málaga;2023;Ambos sexos;De 60 a 64 años;Inmigraciones ;4868;
Málaga;2023;Ambos sexos;De 65 y más años;Inmigraciones ;10279;
Málaga;2023;Ambos sexos;TOTAL;Inmigraciones ;115062;
Málaga;2023;Hombres;De 0 a 4 años;Inmigraciones ;2984;
Málaga;2023;Hombres;De 5 a 9 años;Inmigraciones ;3120;
Málaga;2023;Hombres;De 10 a 14 años;Inmigraciones ;2935;
Málaga;2023;Hombres;De 15 a 19 años;Inmigraciones ;2855;
Málaga;2023;Hombres;De 20 a 24 años;Inmigraciones ;3914;
Málaga;2023;Hombres;De 25 a 29 años;Inmigraciones ;5542;
Málaga;2023;Hombres;De 30 a 34 años;Inmigraciones ;6222;
Málaga;2023;Hombres;De 35 a 39 años;Inmigraciones ;5888;
Málaga;2023;Hombres;De 40 a 44 años;Inmigraciones ;5308;
Málaga;2023;Hombres;De 45 a 49 años;Inmigraciones ;4393;
Málaga;2023;Hombres;De 50 a 54 años;Inmigraciones ;3678;
Málaga;2023;Hombres;De 55 a 59 años;Inmigraciones ;2941;
Málaga;2023;Hombres;De 60 a 64 años;Inmigraciones ;2413;
Málaga;2023;Hombres;De 65 y más años;Inmigraciones ;4850;
Málaga;2023;Hombres;TOTAL;Inmigraciones ;57043;
Málaga;2023;Mujeres;De 0 a 4 años;Inmigraciones ;2904;
Málaga;2023;Mujeres;De 5 a 9 años;Inmigraciones ;2787;
Málaga;2023;Mujeres;De 10 a 14 años;Inmigraciones ;2678;
Málaga;2023;Mujeres;De 15 a 19 años;Inmigraciones ;2677;
Málaga;2023;Mujeres;De 20 a 24 años;Inmigraciones ;4153;
Málaga;2023;Mujeres;De 25 a 29 años;Inmigraciones ;6212;
Málaga;2023;Mujeres;De 30 a 34 años;Inmigraciones ;6657;
Málaga;2023;Mujeres;De 35 a 39 años;Inmigraciones ;6092;
Málaga;2023;Mujeres;De 40 a 44 años;Inmigraciones ;5150;
Málaga;2023;Mujeres;De 45 a 49 años;Inmigraciones ;4139;
Málaga;2023;Mujeres;De 50 a 54 años;Inmigraciones ;3695;
Málaga;2023;Mujeres;De 55 a 59 años;Inmigraciones ;2991;
Málaga;2023;Mujeres;De 60 a 64 años;Inmigraciones ;2455;
Málaga;2023;Mujeres;De 65 y más años;Inmigraciones ;5429;
Málaga;2023;Mujeres;TOTAL;Inmigraciones ;58019;
Alameda;2021;Ambos sexos;De 0 a 4 años;Inmigraciones ;16;
Alameda;2021;Ambos sexos;De 5 a 9 años;Inmigraciones ;15;
Alameda;2021;Ambos sexos;De 10 a 14 años;Inmigraciones ;10;
Alameda;2021;Ambos sexos;De 15 a 19 años;Inmigraciones ;12;
Alameda;2021;Ambos sexos;De 20 a 24 años;Inmigraciones ;12;
Alameda;2021;Ambos sexos;De 25 a 29 años;Inmigraciones ;24;
Alameda;2021;Ambos sexos;De 30 a 34 años;Inmigraciones ;20;
Alameda;2021;Ambos sexos;De 35 a 39 años;Inmigraciones ;11;
Alameda;2021;Ambos sexos;De 40 a 44 años;Inmigraciones ;16;
Alameda;2021;Ambos sexos;De 45 a 49 años;Inmigraciones ;10;
Alameda;2021;Ambos sexos;De 50 a 54 años;Inmigraciones ;7;
Alameda;2021;Ambos sexos;De 55 a 59 años;Inmigraciones ;5;
Alameda;2021;Ambos sexos;De 60 a 64 años;Inmigraciones ;7;
Alameda;2021;Ambos sexos;De 65 y más años;Inmigraciones ;24;
Alameda;2021;Ambos sexos;TOTAL;Inmigraciones ;189;
Alameda;2021;Hombres;De 0 a 4 años;Inmigraciones ;5;
Alameda;2021;Hombres;De 5 a 9 años;Inmigraciones ;10;
Alameda;2021;Hombres;De 10 a 14 años;Inmigraciones ;8;
Alameda;2021;Hombres;De 15 a 19 años;Inmigraciones ;5;
Alameda;2021;Hombres;De 20 a 24 años;Inmigraciones ;6;
Alameda;2021;Hombres;De 25 a 29 años;Inmigraciones ;10;
Alameda;2021;Hombres;De 30 a 34 años;Inmigraciones ;9;
