Lugar de destino;Anual;Sexo;Edad;Medida;Valor;
Sevilla;2021;Ambos sexos;De 0 a 4 años;Inmigraciones ;4251;
Sevilla;2021;Ambos sexos;De 5 a 9 años;Inmigraciones ;3258;
Sevilla;2021;Ambos sexos;De 10 a 14 años;Inmigraciones ;3225;
Sevilla;2021;Ambos sexos;De 15 a 19 años;Inmigraciones ;3605;
Sevilla;2021;Ambos sexos;De 20 a 24 años;Inmigraciones ;5151;
Sevilla;2021;Ambos sexos;De 25 a 29 años;Inmigraciones ;8041;
Sevilla;2021;Ambos sexos;De 30 a 34 años;Inmigraciones ;8653;
Sevilla;2021;Ambos sexos;De 35 a 39 años;Inmigraciones ;7262;
Sevilla;2021;Ambos sexos;De 40 a 44 años;Inmigraciones ;6358;
Sevilla;2021;Ambos sexos;De 45 a 49 años;Inmigraciones ;4765;
Sevilla;2021;Ambos sexos;De 50 a 54 años;Inmigraciones ;3397;
Sevilla;2021;Ambos sexos;De 55 a 59 años;Inmigraciones ;2495;
Sevilla;2021;Ambos sexos;De 60 a 64 años;Inmigraciones ;1890;
Sevilla;2021;Ambos sexos;De 65 y más años;Inmigraciones ;4778;
Sevilla;2021;Ambos sexos;TOTAL;Inmigraciones ;67129;
Sevilla;2021;Hombres;De 0 a 4 años;Inmigraciones ;2244;
Sevilla;2021;Hombres;De 5 a 9 años;Inmigraciones ;1628;
Sevilla;2021;Hombres;De 10 a 14 años;Inmigraciones ;1629;
Sevilla;2021;Hombres;De 15 a 19 años;Inmigraciones ;1964;
Sevilla;2021;Hombres;De 20 a 24 años;Inmigraciones ;2459;
Sevilla;2021;Hombres;De 25 a 29 años;Inmigraciones ;3778;
Sevilla;2021;Hombres;De 30 a 34 años;Inmigraciones ;4289;
Sevilla;2021;Hombres;De 35 a 39 años;Inmigraciones ;3718;
Sevilla;2021;Hombres;De 40 a 44 años;Inmigraciones ;3404;
Sevilla;2021;Hombres;De 45 a 49 años;Inmigraciones ;2570;
Sevilla;2021;Hombres;De 50 a 54 años;Inmigraciones ;1747;
Sevilla;2021;Hombres;De 55 a 59 años;Inmigraciones ;1267;
Sevilla;2021;Hombres;De 60 a 64 años;Inmigraciones ;924;
Sevilla;2021;Hombres;De 65 y más años;Inmigraciones ;2060;
Sevilla;2021;Hombres;TOTAL;Inmigraciones ;33681;
Sevilla;2021;Mujeres;De 0 a 4 años;Inmigraciones ;2007;
Sevilla;2021;Mujeres;De 5 a 9 años;Inmigraciones ;1630;
Sevilla;2021;Mujeres;De 10 a 14 años;Inmigraciones ;1596;
Sevilla;2021;Mujeres;De 15 a 19 años;Inmigraciones ;1641;
Sevilla;2021;Mujeres;De 20 a 24 años;Inmigraciones ;2692;
Sevilla;2021;Mujeres;De 25 a 29 años;Inmigraciones ;4263;
Sevilla;2021;Mujeres;De 30 a 34 años;Inmigraciones ;4364;
Sevilla;2021;Mujeres;De 35 a 39 años;Inmigraciones ;3544;
Sevilla;2021;Mujeres;De 40 a 44 años;Inmigraciones ;2954;
Sevilla;2021;Mujeres;De 45 a 49 años;Inmigraciones ;2195;
Sevilla;2021;Mujeres;De 50 a 54 años;Inmigraciones ;1650;
Sevilla;2021;Mujeres;De 55 a 59 años;Inmigraciones ;1228;
Sevilla;2021;Mujeres;De 60 a 64 años;Inmigraciones ;966;
Sevilla;2021;Mujeres;De 65 y más años;Inmigraciones ;2718;
Sevilla;2021;Mujeres;TOTAL;Inmigraciones ;33448;
Sevilla;2022;Ambos sexos;De 0 a 4 años;Inmigraciones ;4490;
Sevilla;2022;Ambos sexos;De 5 a 9 años;Inmigraciones ;3722;
Sevilla;2022;Ambos sexos;De 10 a 14 años;Inmigraciones ;3759;
Sevilla;2022;Ambos sexos;De 15 a 19 años;Inmigraciones ;4191;
Sevilla;2022;Ambos sexos;De 20 a 24 años;Inmigraciones ;6517;
Sevilla;2022;Ambos sexos;De 25 a 29 años;Inmigraciones ;10239;
Sevilla;2022;Ambos sexos;De 30 a 34 años;Inmigraciones ;10250;
Sevilla;2022;Ambos sexos;De 35 a 39 años;Inmigraciones ;8087;
Sevilla;2022;Ambos sexos;De 40 a 44 años;Inmigraciones ;6984;
Sevilla;2022;Ambos sexos;De 45 a 49 años;Inmigraciones ;5278;
Sevilla;2022;Ambos sexos;De 50 a 54 años;Inmigraciones ;3958;
Sevilla;2022;Ambos sexos;De 55 a 59 años;Inmigraciones ;2875;
Sevilla;2022;Ambos sexos;De 60 a 64 años;Inmigraciones ;2055;
Sevilla;2022;Ambos sexos;De 65 y más años;Inmigraciones ;4937;
Sevilla;2022;Ambos sexos;TOTAL;Inmigraciones ;77342;
Sevilla;2022;Hombres;De 0 a 4 años;Inmigraciones ;2299;
Sevilla;2022;Hombres;De 5 a 9 años;Inmigraciones ;1895;
Sevilla;2022;Hombres;De 10 a 14 años;Inmigraciones ;1898;
Sevilla;2022;Hombres;De 15 a 19 años;Inmigraciones ;2149;
Sevilla;2022;Hombres;De 20 a 24 años;Inmigraciones ;3072;
Sevilla;2022;Hombres;De 25 a 29 años;Inmigraciones ;4768;
Sevilla;2022;Hombres;De 30 a 34 años;Inmigraciones ;4924;
Sevilla;2022;Hombres;De 35 a 39 años;Inmigraciones ;3936;
Sevilla;2022;Hombres;De 40 a 44 años;Inmigraciones ;3562;
Sevilla;2022;Hombres;De 45 a 49 años;Inmigraciones ;2792;
Sevilla;2022;Hombres;De 50 a 54 años;Inmigraciones ;1977;
Sevilla;2022;Hombres;De 55 a 59 años;Inmigraciones ;1398;
Sevilla;2022;Hombres;De 60 a 64 años;Inmigraciones ;993;
Sevilla;2022;Hombres;De 65 y más años;Inmigraciones ;2153;
Sevilla;2022;Hombres;TOTAL;Inmigraciones ;37816;
Sevilla;2022;Mujeres;De 0 a 4 años;Inmigraciones ;2191;
Sevilla;2022;Mujeres;De 5 a 9 años;Inmigraciones ;1827;
Sevilla;2022;Mujeres;De 10 a 14 años;Inmigraciones ;1861;
Sevilla;2022;Mujeres;De 15 a 19 años;Inmigraciones ;2042;
Sevilla;2022;Mujeres;De 20 a 24 años;Inmigraciones ;3445;
Sevilla;2022;Mujeres;De 25 a 29 años;Inmigraciones ;5471;
Sevilla;2022;Mujeres;De 30 a 34 años;Inmigraciones ;5326;
Sevilla;2022;Mujeres;De 35 a 39 años;Inmigraciones ;4151;
Sevilla;2022;Mujeres;De 40 a 44 años;Inmigraciones ;3422;
Sevilla;2022;Mujeres;De 45 a 49 años;Inmigraciones ;2486;
Sevilla;2022;Mujeres;De 50 a 54 años;Inmigraciones ;1981;
Sevilla;2022;Mujeres;De 55 a 59 años;Inmigraciones ;1477;
Sevilla;2022;Mujeres;De 60 a 64 años;Inmigraciones ;1062;
Sevilla;2022;Mujeres;De 65 y más años;Inmigraciones ;2784;
Sevilla;2022;Mujeres;TOTAL;Inmigraciones ;39526;
Sevilla;2023;Ambos sexos;De 0 a 4 años;Inmigraciones ;4077;
Sevilla;2023;Ambos sexos;De 5 a 9 años;Inmigraciones ;3434;
Sevilla;2023;Ambos sexos;De 10 a 14 años;Inmigraciones ;3653;
Sevilla;2023;Ambos sexos;De 15 a 19 años;Inmigraciones ;4071;
Sevilla;2023;Ambos sexos;De 20 a 24 años;Inmigraciones ;6597;
Sevilla;2023;Ambos sexos;De 25 a 29 años;Inmigraciones ;9136;
Sevilla;2023;Ambos sexos;De 30 a 34 años;Inmigraciones ;9732;
Sevilla;2023;Ambos sexos;De 35 a 39 años;Inmigraciones ;7752;
Sevilla;2023;Ambos sexos;De 40 a 44 años;Inmigraciones ;6621;
Sevilla;2023;Ambos sexos;De 45 a 49 años;Inmigraciones ;5479;
Sevilla;2023;Ambos sexos;De 50 a 54 años;Inmigraciones ;4088;
Sevilla;2023;Ambos sexos;De 55 a 59 años;Inmigraciones ;2928;
Sevilla;2023;Ambos sexos;De 60 a 64 años;Inmigraciones ;2111;
Sevilla;2023;Ambos sexos;De 65 y más años;Inmigraciones ;4820;
Sevilla;2023;Ambos sexos;TOTAL;Inmigraciones ;74499;
Sevilla;2023;Hombres;De 0 a 4 años;Inmigraciones ;2108;
Sevilla;2023;Hombres;De 5 a 9 años;Inmigraciones ;1727;
Sevilla;2023;Hombres;De 10 a 14 años;Inmigraciones ;1849;
Sevilla;2023;Hombres;De 15 a 19 años;Inmigraciones ;2054;
Sevilla;2023;Hombres;De 20 a 24 años;Inmigraciones ;3129;
Sevilla;2023;Hombres;De 25 a 29 años;Inmigraciones ;4348;
Sevilla;2023;Hombres;De 30 a 34 años;Inmigraciones ;4819;
Sevilla;2023;Hombres;De 35 a 39 años;Inmigraciones ;3950;
Sevilla;2023;Hombres;De 40 a 44 años;Inmigraciones ;3397;
Sevilla;2023;Hombres;De 45 a 49 años;Inmigraciones ;2836;
Sevilla;2023;Hombres;De 50 a 54 años;Inmigraciones ;2060;
Sevilla;2023;Hombres;De 55 a 59 años;Inmigraciones ;1421;
Sevilla;2023;Hombres;De 60 a 64 años;Inmigraciones ;1027;
Sevilla;2023;Hombres;De 65 y más años;Inmigraciones ;2093;
Sevilla;2023;Hombres;TOTAL;Inmigraciones ;36818;
Sevilla;2023;Mujeres;De 0 a 4 años;Inmigraciones ;1969;
Sevilla;2023;Mujeres;De 5 a 9 años;Inmigraciones ;1707;
Sevilla;2023;Mujeres;De 10 a 14 años;Inmigraciones ;1804;
Sevilla;2023;Mujeres;De 15 a 19 años;Inmigraciones ;2017;
Sevilla;2023;Mujeres;De 20 a 24 años;Inmigraciones ;3468;
Sevilla;2023;Mujeres;De 25 a 29 años;Inmigraciones ;4788;
Sevilla;2023;Mujeres;De 30 a 34 años;Inmigraciones ;4913;
Sevilla;2023;Mujeres;De 35 a 39 años;Inmigraciones ;3802;
Sevilla;2023;Mujeres;De 40 a 44 años;Inmigraciones ;3224;
Sevilla;2023;Mujeres;De 45 a 49 años;Inmigraciones ;2643;
Sevilla;2023;Mujeres;De 50 a 54 años;Inmigraciones ;2028;
Sevilla;2023;Mujeres;De 55 a 59 años;Inmigraciones ;1507;
Sevilla;2023;Mujeres;De 60 a 64 años;Inmigraciones ;1084;
Sevilla;2023;Mujeres;De 65 y más años;Inmigraciones ;2727;
Sevilla;2023;Mujeres;TOTAL;Inmigraciones ;37681;
Aguadulce;2021;Ambos sexos;De 0 a 4 años;Inmigraciones ;3;
Aguadulce;2021;Ambos sexos;De 5 a 9 años;Inmigraciones ;7;
Aguadulce;2021;Ambos sexos;De 10 a 14 años;Inmigraciones ;6;
Aguadulce;2021;Ambos sexos;De 15 a 19 años;Inmigraciones ;1;
Aguadulce;2021;Ambos sexos;De 20 a 24 años;Inmigraciones ;5;
Aguadulce;2021;Ambos sexos;De 25 a 29 años;Inmigraciones ;14;
Aguadulce;2021;Ambos sexos;De 30 a 34 años;Inmigraciones ;10;
Aguadulce;2021;Ambos sexos;De 35 a 39 años;Inmigraciones ;7;
Aguadulce;2021;Ambos sexos;De 40 a 44 años;Inmigraciones ;6;
Aguadulce;2021;Ambos sexos;De 45 a 49 años;Inmigraciones ;6;
Aguadulce;2021;Ambos sexos;De 50 a 54 años;Inmigraciones ;-;
Aguadulce;2021;Ambos sexos;De 55 a 59 años;Inmigraciones ;1;
Aguadulce;2021;Ambos sexos;De 60 a 64 años;Inmigraciones ;-;
Aguadulce;2021;Ambos sexos;De 65 y más años;Inmigraciones ;9;
Aguadulce;2021;Ambos sexos;TOTAL;Inmigraciones ;75;
Aguadulce;2021;Hombres;De 0 a 4 años;Inmigraciones ;1;
Aguadulce;2021;Hombres;De 5 a 9 años;Inmigraciones ;5;
Aguadulce;2021;Hombres;De 10 a 14 años;Inmigraciones ;2;
Aguadulce;2021;Hombres;De 15 a 19 años;Inmigraciones ;-;
Aguadulce;2021;Hombres;De 20 a 24 años;Inmigraciones ;4;
Aguadulce;2021;Hombres;De 25 a 29 años;Inmigraciones ;6;
Aguadulce;2021;Hombres;De 30 a 34 años;Inmigraciones ;4;
Aguadulce;2021;Hombres;De 35 a 39 años;Inmigraciones ;4;
Aguadulce;2021;Hombres;De 40 a 44 años;Inmigraciones ;2;
Aguadulce;2021;Hombres;De 45 a 49 años;Inmigraciones ;3;
Aguadulce;2021;Hombres;De 50 a 54 años;Inmigraciones ;-;
Aguadulce;2021;Hombres;De 55 a 59 años;Inmigraciones ;1;
Aguadulce;2021;Hombres;De 60 a 64 años;Inmigraciones ;-;
Aguadulce;2021;Hombres;De 65 y más años;Inmigraciones ;3;
Aguadulce;2021;Hombres;TOTAL;Inmigraciones ;35;
Aguadulce;2021;Mujeres;De 0 a 4 años;Inmigraciones ;2;
Aguadulce;2021;Mujeres;De 5 a 9 años;Inmigraciones ;2;
Aguadulce;2021;Mujeres;De 10 a 14 años;Inmigraciones ;4;
Aguadulce;2021;Mujeres;De 15 a 19 años;Inmigraciones ;1;
Aguadulce;2021;Mujeres;De 20 a 24 años;Inmigraciones ;1;
Aguadulce;2021;Mujeres;De 25 a 29 años;Inmigraciones ;8;
Aguadulce;2021;Mujeres;De 30 a 34 años;Inmigraciones ;6;
Aguadulce;2021;Mujeres;De 35 a 39 años;Inmigraciones ;3;
Aguadulce;2021;Mujeres;De 40 a 44 años;Inmigraciones ;4;
Aguadulce;2021;Mujeres;De 45 a 49 años;Inmigraciones ;3;
Aguadulce;2021;Mujeres;De 50 a 54 años;Inmigraciones ;-;
Aguadulce;2021;Mujeres;De 55 a 59 años;Inmigraciones ;-;
Aguadulce;2021;Mujeres;De 60 a 64 años;Inmigraciones ;-;
Aguadulce;2021;Mujeres;De 65 y más años;Inmigraciones ;6;
Aguadulce;2021;Mujeres;TOTAL;Inmigraciones ;40;
Aguadulce;2022;Ambos sexos;De 0 a 4 años;Inmigraciones ;10;
Aguadulce;2022;Ambos sexos;De 5 a 9 años;Inmigraciones ;6;
Aguadulce;2022;Ambos sexos;De 10 a 14 años;Inmigraciones ;2;
Aguadulce;2022;Ambos sexos;De 15 a 19 años;Inmigraciones ;4;
Aguadulce;2022;Ambos sexos;De 20 a 24 años;Inmigraciones ;5;
Aguadulce;2022;Ambos sexos;De 25 a 29 años;Inmigraciones ;7;
