Territorio;Anual;Medida;Sexo;Edad;Valor;
Andalucía;2019;Demandantes;Hombres;De 16 a 29 años;64228,41666514;
Andalucía;2019;Demandantes;Hombres;De 30 a 44 años;95185,91666599;
Andalucía;2019;Demandantes;Hombres;De 45 a 64 años;156727,83333204;
Andalucía;2019;Demandantes;Hombres;TOTAL;316142,16666317;
Andalucía;2019;Demandantes;Mujeres;De 16 a 29 años;80078,99999903;
Andalucía;2019;Demandantes;Mujeres;De 30 a 44 años;163686,16666555;
Andalucía;2019;Demandantes;Mujeres;De 45 a 64 años;220080,41666549;
Andalucía;2019;Demandantes;Mujeres;TOTAL;463845,58333007;
Andalucía;2019;Demandantes;Ambos sexos;De 16 a 29 años;144307,41666417;
Andalucía;2019;Demandantes;Ambos sexos;De 30 a 44 años;258872,08333154;
Andalucía;2019;Demandantes;Ambos sexos;De 45 a 64 años;376808,24999753;
Andalucía;2019;Demandantes;Ambos sexos;TOTAL;779987,74999324;
Andalucía;2020;Demandantes;Hombres;De 16 a 29 años;88172,91666476;
Andalucía;2020;Demandantes;Hombres;De 30 a 44 años;124529,49999764;
Andalucía;2020;Demandantes;Hombres;De 45 a 64 años;182176,99999865;
Andalucía;2020;Demandantes;Hombres;TOTAL;394879,41666105;
Andalucía;2020;Demandantes;Mujeres;De 16 a 29 años;102932,4166661;
Andalucía;2020;Demandantes;Mujeres;De 30 a 44 años;193441,08333188;
Andalucía;2020;Demandantes;Mujeres;De 45 a 64 años;246983,58333246;
Andalucía;2020;Demandantes;Mujeres;TOTAL;543357,08333044;
Andalucía;2020;Demandantes;Ambos sexos;De 16 a 29 años;191105,33333086;
Andalucía;2020;Demandantes;Ambos sexos;De 30 a 44 años;317970,58332952;
Andalucía;2020;Demandantes;Ambos sexos;De 45 a 64 años;429160,58333111;
Andalucía;2020;Demandantes;Ambos sexos;TOTAL;938236,49999149;
Andalucía;2021;Demandantes;Hombres;De 16 a 29 años;77249,16666528;
Andalucía;2021;Demandantes;Hombres;De 30 a 44 años;109665,66666489;
Andalucía;2021;Demandantes;Hombres;De 45 a 64 años;176959,16666533;
Andalucía;2021;Demandantes;Hombres;TOTAL;363873,9999955;
Andalucía;2021;Demandantes;Mujeres;De 16 a 29 años;91699,74999946;
Andalucía;2021;Demandantes;Mujeres;De 30 a 44 años;179506,08333236;
Andalucía;2021;Demandantes;Mujeres;De 45 a 64 años;251091,49999983;
Andalucía;2021;Demandantes;Mujeres;TOTAL;522297,33333165;
Andalucía;2021;Demandantes;Ambos sexos;De 16 a 29 años;168948,91666474;
Andalucía;2021;Demandantes;Ambos sexos;De 30 a 44 años;289171,74999725;
Andalucía;2021;Demandantes;Ambos sexos;De 45 a 64 años;428050,66666516;
Andalucía;2021;Demandantes;Ambos sexos;TOTAL;886171,33332715;
Almería;2019;Demandantes;Hombres;De 16 a 29 años;4598,08333302;
Almería;2019;Demandantes;Hombres;De 30 a 44 años;7815,50000005;
Almería;2019;Demandantes;Hombres;De 45 a 64 años;12107,08333327;
Almería;2019;Demandantes;Hombres;TOTAL;24520,66666634;
Almería;2019;Demandantes;Mujeres;De 16 a 29 años;6055,91666661;
Almería;2019;Demandantes;Mujeres;De 30 a 44 años;12625,08333322;
Almería;2019;Demandantes;Mujeres;De 45 a 64 años;14858,33333337;
Almería;2019;Demandantes;Mujeres;TOTAL;33539,3333332;
Almería;2019;Demandantes;Ambos sexos;De 16 a 29 años;10653,99999963;
Almería;2019;Demandantes;Ambos sexos;De 30 a 44 años;20440,58333327;
Almería;2019;Demandantes;Ambos sexos;De 45 a 64 años;26965,41666664;
Almería;2019;Demandantes;Ambos sexos;TOTAL;58059,99999954;
Almería;2020;Demandantes;Hombres;De 16 a 29 años;6094,83333308;
Almería;2020;Demandantes;Hombres;De 30 a 44 años;10010,66666644;
Almería;2020;Demandantes;Hombres;De 45 a 64 años;14040,08333335;
Almería;2020;Demandantes;Hombres;TOTAL;30145,58333287;
Almería;2020;Demandantes;Mujeres;De 16 a 29 años;7548,58333336;
Almería;2020;Demandantes;Mujeres;De 30 a 44 años;15192,99999982;
Almería;2020;Demandantes;Mujeres;De 45 a 64 años;16884,91666666;
Almería;2020;Demandantes;Mujeres;TOTAL;39626,49999984;
Almería;2020;Demandantes;Ambos sexos;De 16 a 29 años;13643,41666644;
Almería;2020;Demandantes;Ambos sexos;De 30 a 44 años;25203,66666626;
Almería;2020;Demandantes;Ambos sexos;De 45 a 64 años;30925,00000001;
Almería;2020;Demandantes;Ambos sexos;TOTAL;69772,08333271;
Almería;2021;Demandantes;Hombres;De 16 a 29 años;5405,49999974;
Almería;2021;Demandantes;Hombres;De 30 a 44 años;8948,08333308;
Almería;2021;Demandantes;Hombres;De 45 a 64 años;13616,83333316;
Almería;2021;Demandantes;Hombres;TOTAL;27970,41666598;
Almería;2021;Demandantes;Mujeres;De 16 a 29 años;6901,41666672;
