Territorio;Medida;Valor;
Andalucía;Renta media (€/m2 mes);4,621848739;
Andalucía;Cuantía media arrendamiento (€/mes);500;
Andalucía;Superficie construida media (m2);139;
Andalucía;Nº de bienes inmuebles;43614;
Almería;Renta media (€/m2 mes);3,760269684;
Almería;Cuantía media arrendamiento (€/mes);400;
Almería;Superficie construida media (m2);136;
Almería;Nº de bienes inmuebles;3680;
Abla;Renta media (€/m2 mes);*;
Abla;Cuantía media arrendamiento (€/mes);*;
Abla;Superficie construida media (m2);*;
Abla;Nº de bienes inmuebles;9;
Abrucena;Renta media (€/m2 mes);*;
Abrucena;Cuantía media arrendamiento (€/mes);*;
Abrucena;Superficie construida media (m2);*;
Abrucena;Nº de bienes inmuebles;7;
Adra;Renta media (€/m2 mes);2,535426507;
Adra;Cuantía media arrendamiento (€/mes);316,666666667;
Adra;Superficie construida media (m2);162;
Adra;Nº de bienes inmuebles;37;
Albanchez;Renta media (€/m2 mes);*;
Albanchez;Cuantía media arrendamiento (€/mes);*;
Albanchez;Superficie construida media (m2);*;
Albanchez;Nº de bienes inmuebles;5;
Alboloduy;Renta media (€/m2 mes);*;
Alboloduy;Cuantía media arrendamiento (€/mes);*;
Alboloduy;Superficie construida media (m2);*;
Alboloduy;Nº de bienes inmuebles;1;
Albox;Renta media (€/m2 mes);2,886609391;
Albox;Cuantía media arrendamiento (€/mes);350;
Albox;Superficie construida media (m2);179;
Albox;Nº de bienes inmuebles;73;
Alcolea;Renta media (€/m2 mes);*;
Alcolea;Cuantía media arrendamiento (€/mes);*;
Alcolea;Superficie construida media (m2);*;
Alcolea;Nº de bienes inmuebles;1;
Alcóntar;Renta media (€/m2 mes);*;
Alcóntar;Cuantía media arrendamiento (€/mes);*;
Alcóntar;Superficie construida media (m2);*;
Alcóntar;Nº de bienes inmuebles;2;
Alhabia;Renta media (€/m2 mes);*;
Alhabia;Cuantía media arrendamiento (€/mes);*;
Alhabia;Superficie construida media (m2);*;
Alhabia;Nº de bienes inmuebles;1;
Alhama de Almería;Renta media (€/m2 mes);2,920875421;
Alhama de Almería;Cuantía media arrendamiento (€/mes);342,850299401;
Alhama de Almería;Superficie construida media (m2);142;
Alhama de Almería;Nº de bienes inmuebles;14;
Almería (capital);Renta media (€/m2 mes);4,92350081;
Almería (capital);Cuantía media arrendamiento (€/mes);481,333333333;
Almería (capital);Superficie construida media (m2);123;
Almería (capital);Nº de bienes inmuebles;681;
Antas;Renta media (€/m2 mes);2,592592593;
Antas;Cuantía media arrendamiento (€/mes);381,25;
Antas;Superficie construida media (m2);157;
Antas;Nº de bienes inmuebles;26;
Arboleas;Renta media (€/m2 mes);4,128440367;
Arboleas;Cuantía media arrendamiento (€/mes);400;
Arboleas;Superficie construida media (m2);155;
Arboleas;Nº de bienes inmuebles;22;
Armuña de Almanzora;Renta media (€/m2 mes);*;
Armuña de Almanzora;Cuantía media arrendamiento (€/mes);*;
Armuña de Almanzora;Superficie construida media (m2);*;
Armuña de Almanzora;Nº de bienes inmuebles;3;
Balanegra;Renta media (€/m2 mes);3,076266667;
Balanegra;Cuantía media arrendamiento (€/mes);330;
Balanegra;Superficie construida media (m2);124;
Balanegra;Nº de bienes inmuebles;27;
Bédar;Renta media (€/m2 mes);2,954492316;
Bédar;Cuantía media arrendamiento (€/mes);450;
Bédar;Superficie construida media (m2);179;
Bédar;Nº de bienes inmuebles;12;
Beires;Renta media (€/m2 mes);*;
Beires;Cuantía media arrendamiento (€/mes);*;
Beires;Superficie construida media (m2);*;
Beires;Nº de bienes inmuebles;1;
Benahadux;Renta media (€/m2 mes);3,599972722;
Benahadux;Cuantía media arrendamiento (€/mes);453,125;
