Territorio;Tipo de centro de AP;Medida;Valor;
Andalucía;Centro de salud;Número de centros;410;
Andalucía;Consultorio local;Número de centros;695;
Andalucía;Consultorio auxiliar;Número de centros;411;
Andalucía;TOTAL;Número de centros;1516;
Almería;Centro de salud;Número de centros;41;
Almería;Consultorio local;Número de centros;92;
Almería;Consultorio auxiliar;Número de centros;87;
Almería;TOTAL;Número de centros;220;
Abla;Centro de salud;Número de centros;1;
Abla;Consultorio local;Número de centros;-;
Abla;Consultorio auxiliar;Número de centros;-;
Abla;TOTAL;Número de centros;1;
Abrucena;Centro de salud;Número de centros;-;
Abrucena;Consultorio local;Número de centros;1;
Abrucena;Consultorio auxiliar;Número de centros;-;
Abrucena;TOTAL;Número de centros;1;
Adra;Centro de salud;Número de centros;1;
Adra;Consultorio local;Número de centros;2;
Adra;Consultorio auxiliar;Número de centros;-;
Adra;TOTAL;Número de centros;3;
Albanchez;Centro de salud;Número de centros;-;
Albanchez;Consultorio local;Número de centros;1;
Albanchez;Consultorio auxiliar;Número de centros;-;
Albanchez;TOTAL;Número de centros;1;
Alboloduy;Centro de salud;Número de centros;-;
Alboloduy;Consultorio local;Número de centros;1;
Alboloduy;Consultorio auxiliar;Número de centros;-;
Alboloduy;TOTAL;Número de centros;1;
Albox;Centro de salud;Número de centros;1;
Albox;Consultorio local;Número de centros;-;
Albox;Consultorio auxiliar;Número de centros;3;
Albox;TOTAL;Número de centros;4;
Alcolea;Centro de salud;Número de centros;-;
Alcolea;Consultorio local;Número de centros;1;
Alcolea;Consultorio auxiliar;Número de centros;-;
Alcolea;TOTAL;Número de centros;1;
Alcóntar;Centro de salud;Número de centros;-;
Alcóntar;Consultorio local;Número de centros;1;
Alcóntar;Consultorio auxiliar;Número de centros;1;
Alcóntar;TOTAL;Número de centros;2;
Alcudia de Monteagud;Centro de salud;Número de centros;-;
Alcudia de Monteagud;Consultorio local;Número de centros;-;
Alcudia de Monteagud;Consultorio auxiliar;Número de centros;1;
Alcudia de Monteagud;TOTAL;Número de centros;1;
Alhabia;Centro de salud;Número de centros;-;
Alhabia;Consultorio local;Número de centros;1;
Alhabia;Consultorio auxiliar;Número de centros;-;
Alhabia;TOTAL;Número de centros;1;
Alhama de Almería;Centro de salud;Número de centros;1;
Alhama de Almería;Consultorio local;Número de centros;-;
Alhama de Almería;Consultorio auxiliar;Número de centros;-;
Alhama de Almería;TOTAL;Número de centros;1;
Alicún;Centro de salud;Número de centros;-;
Alicún;Consultorio local;Número de centros;-;
Alicún;Consultorio auxiliar;Número de centros;1;
Alicún;TOTAL;Número de centros;1;
Almería (capital);Centro de salud;Número de centros;13;
Almería (capital);Consultorio local;Número de centros;6;
Almería (capital);Consultorio auxiliar;Número de centros;2;
Almería (capital);TOTAL;Número de centros;21;
Almócita;Centro de salud;Número de centros;-;
Almócita;Consultorio local;Número de centros;-;
Almócita;Consultorio auxiliar;Número de centros;1;
Almócita;TOTAL;Número de centros;1;
Alsodux;Centro de salud;Número de centros;-;
Alsodux;Consultorio local;Número de centros;-;
Alsodux;Consultorio auxiliar;Número de centros;1;
Alsodux;TOTAL;Número de centros;1;
Antas;Centro de salud;Número de centros;-;
Antas;Consultorio local;Número de centros;1;
Antas;Consultorio auxiliar;Número de centros;1;
Antas;TOTAL;Número de centros;2;
Arboleas;Centro de salud;Número de centros;-;
Arboleas;Consultorio local;Número de centros;1;
Arboleas;Consultorio auxiliar;Número de centros;-;
Arboleas;TOTAL;Número de centros;1;
Armuña de Almanzora;Centro de salud;Número de centros;-;
Armuña de Almanzora;Consultorio local;Número de centros;1;
Armuña de Almanzora;Consultorio auxiliar;Número de centros;-;
Armuña de Almanzora;TOTAL;Número de centros;1;
