Territorio;Tipo de entidad de credito;Medida;Valor;
Andalucía;Bancos;Nº de oficinas;2112;
Andalucía;Cooperativas de credito;Nº de oficinas;928;
Andalucía;Sucursales comunitarias;Nº de oficinas;12;
Andalucía;Establecimientos financieros de credito;Nº de oficinas;12;
Andalucía;TOTAL;Nº de oficinas;3064;
Almería;Bancos;Nº de oficinas;158;
Almería;Cooperativas de credito;Nº de oficinas;137;
Almería;Sucursales comunitarias;Nº de oficinas;1;
Almería;Establecimientos financieros de credito;Nº de oficinas;1;
Almería;TOTAL;Nº de oficinas;297;
Abla;Bancos;Nº de oficinas;-;
Abla;Cooperativas de credito;Nº de oficinas;1;
Abla;Sucursales comunitarias;Nº de oficinas;-;
Abla;Establecimientos financieros de credito;Nº de oficinas;-;
Abla;TOTAL;Nº de oficinas;1;
Abrucena;Bancos;Nº de oficinas;-;
Abrucena;Cooperativas de credito;Nº de oficinas;1;
Abrucena;Sucursales comunitarias;Nº de oficinas;-;
Abrucena;Establecimientos financieros de credito;Nº de oficinas;-;
Abrucena;TOTAL;Nº de oficinas;1;
Adra;Bancos;Nº de oficinas;6;
Adra;Cooperativas de credito;Nº de oficinas;4;
Adra;Sucursales comunitarias;Nº de oficinas;-;
Adra;Establecimientos financieros de credito;Nº de oficinas;-;
Adra;TOTAL;Nº de oficinas;10;
Albanchez;Bancos;Nº de oficinas;-;
Albanchez;Cooperativas de credito;Nº de oficinas;1;
Albanchez;Sucursales comunitarias;Nº de oficinas;-;
Albanchez;Establecimientos financieros de credito;Nº de oficinas;-;
Albanchez;TOTAL;Nº de oficinas;1;
Alboloduy;Bancos;Nº de oficinas;-;
Alboloduy;Cooperativas de credito;Nº de oficinas;1;
Alboloduy;Sucursales comunitarias;Nº de oficinas;-;
Alboloduy;Establecimientos financieros de credito;Nº de oficinas;-;
Alboloduy;TOTAL;Nº de oficinas;1;
Albox;Bancos;Nº de oficinas;3;
Albox;Cooperativas de credito;Nº de oficinas;1;
Albox;Sucursales comunitarias;Nº de oficinas;-;
Albox;Establecimientos financieros de credito;Nº de oficinas;-;
Albox;TOTAL;Nº de oficinas;4;
Alcolea;Bancos;Nº de oficinas;-;
Alcolea;Cooperativas de credito;Nº de oficinas;1;
Alcolea;Sucursales comunitarias;Nº de oficinas;-;
Alcolea;Establecimientos financieros de credito;Nº de oficinas;-;
Alcolea;TOTAL;Nº de oficinas;1;
Alcóntar;Bancos;Nº de oficinas;-;
Alcóntar;Cooperativas de credito;Nº de oficinas;-;
Alcóntar;Sucursales comunitarias;Nº de oficinas;-;
Alcóntar;Establecimientos financieros de credito;Nº de oficinas;-;
Alcóntar;TOTAL;Nº de oficinas;-;
Alcudia de Monteagud;Bancos;Nº de oficinas;-;
Alcudia de Monteagud;Cooperativas de credito;Nº de oficinas;-;
Alcudia de Monteagud;Sucursales comunitarias;Nº de oficinas;-;
Alcudia de Monteagud;Establecimientos financieros de credito;Nº de oficinas;-;
Alcudia de Monteagud;TOTAL;Nº de oficinas;-;
Alhabia;Bancos;Nº de oficinas;-;
Alhabia;Cooperativas de credito;Nº de oficinas;-;
Alhabia;Sucursales comunitarias;Nº de oficinas;-;
Alhabia;Establecimientos financieros de credito;Nº de oficinas;-;
Alhabia;TOTAL;Nº de oficinas;-;
Alhama de Almería;Bancos;Nº de oficinas;2;
Alhama de Almería;Cooperativas de credito;Nº de oficinas;1;
Alhama de Almería;Sucursales comunitarias;Nº de oficinas;-;
Alhama de Almería;Establecimientos financieros de credito;Nº de oficinas;-;
Alhama de Almería;TOTAL;Nº de oficinas;3;
Alicún;Bancos;Nº de oficinas;-;
Alicún;Cooperativas de credito;Nº de oficinas;-;
Alicún;Sucursales comunitarias;Nº de oficinas;-;
Alicún;Establecimientos financieros de credito;Nº de oficinas;-;
Alicún;TOTAL;Nº de oficinas;-;
Almería (capital);Bancos;Nº de oficinas;47;
Almería (capital);Cooperativas de credito;Nº de oficinas;27;
Almería (capital);Sucursales comunitarias;Nº de oficinas;1;
Almería (capital);Establecimientos financieros de credito;Nº de oficinas;1;
Almería (capital);TOTAL;Nº de oficinas;76;
Almócita;Bancos;Nº de oficinas;-;
Almócita;Cooperativas de credito;Nº de oficinas;-;
Almócita;Sucursales comunitarias;Nº de oficinas;-;
Almócita;Establecimientos financieros de credito;Nº de oficinas;-;
Almócita;TOTAL;Nº de oficinas;-;
Alsodux;Bancos;Nº de oficinas;-;
Alsodux;Cooperativas de credito;Nº de oficinas;-;
Alsodux;Sucursales comunitarias;Nº de oficinas;-;
Alsodux;Establecimientos financieros de credito;Nº de oficinas;-;
Alsodux;TOTAL;Nº de oficinas;-;
Antas;Bancos;Nº de oficinas;2;
Antas;Cooperativas de credito;Nº de oficinas;1;
Antas;Sucursales comunitarias;Nº de oficinas;-;
Antas;Establecimientos financieros de credito;Nº de oficinas;-;
Antas;TOTAL;Nº de oficinas;3;
Arboleas;Bancos;Nº de oficinas;-;
Arboleas;Cooperativas de credito;Nº de oficinas;1;
Arboleas;Sucursales comunitarias;Nº de oficinas;-;
Arboleas;Establecimientos financieros de credito;Nº de oficinas;-;
Arboleas;TOTAL;Nº de oficinas;1;
Armuña de Almanzora;Bancos;Nº de oficinas;-;
Armuña de Almanzora;Cooperativas de credito;Nº de oficinas;-;
Armuña de Almanzora;Sucursales comunitarias;Nº de oficinas;-;
Armuña de Almanzora;Establecimientos financieros de credito;Nº de oficinas;-;
Armuña de Almanzora;TOTAL;Nº de oficinas;-;
Bacares;Bancos;Nº de oficinas;-;
Bacares;Cooperativas de credito;Nº de oficinas;-;
Bacares;Sucursales comunitarias;Nº de oficinas;-;
Bacares;Establecimientos financieros de credito;Nº de oficinas;-;
Bacares;TOTAL;Nº de oficinas;-;
Balanegra;Bancos;Nº de oficinas;-;
Balanegra;Cooperativas de credito;Nº de oficinas;-;
Balanegra;Sucursales comunitarias;Nº de oficinas;-;
Balanegra;Establecimientos financieros de credito;Nº de oficinas;-;
Balanegra;TOTAL;Nº de oficinas;-;
Bayárcal;Bancos;Nº de oficinas;-;
Bayárcal;Cooperativas de credito;Nº de oficinas;1;
Bayárcal;Sucursales comunitarias;Nº de oficinas;-;
Bayárcal;Establecimientos financieros de credito;Nº de oficinas;-;
Bayárcal;TOTAL;Nº de oficinas;1;
Bayarque;Bancos;Nº de oficinas;-;
Bayarque;Cooperativas de credito;Nº de oficinas;-;
Bayarque;Sucursales comunitarias;Nº de oficinas;-;
Bayarque;Establecimientos financieros de credito;Nº de oficinas;-;
Bayarque;TOTAL;Nº de oficinas;-;
Bedar;Bancos;Nº de oficinas;-;
Bedar;Cooperativas de credito;Nº de oficinas;1;
Bedar;Sucursales comunitarias;Nº de oficinas;-;
Bedar;Establecimientos financieros de credito;Nº de oficinas;-;
Bedar;TOTAL;Nº de oficinas;1;
Beires;Bancos;Nº de oficinas;-;
Beires;Cooperativas de credito;Nº de oficinas;-;
Beires;Sucursales comunitarias;Nº de oficinas;-;
Beires;Establecimientos financieros de credito;Nº de oficinas;-;
Beires;TOTAL;Nº de oficinas;-;
Benahadux;Bancos;Nº de oficinas;1;
