Territorio;Nivel educativo;Medida;Valor;
Abla;Infantil 1º ciclo;Número de centros;1;
Abla;Infantil 2º ciclo;Número de centros;1;
Abla;Primaria;Número de centros;1;
Abla;Educación especial;Número de centros;-;
Abla;E.S.O.;Número de centros;1;
Abla;Bachillerato;Número de centros;-;
Abla;Cursos acceso a otros niveles;Número de centros;-;
Abla;Formación Profesional Básica;Número de centros;-;
Abla;C. F. Grado Medio;Número de centros;-;
Abla;C. F. Grado Superior;Número de centros;-;
Abla;Enseñanzas de Régimen Especial;Número de centros;-;
Abrucena;Infantil 1º ciclo;Número de centros;-;
Abrucena;Infantil 2º ciclo;Número de centros;1;
Abrucena;Primaria;Número de centros;1;
Abrucena;Educación especial;Número de centros;1;
Abrucena;E.S.O.;Número de centros;1;
Abrucena;Bachillerato;Número de centros;-;
Abrucena;Cursos acceso a otros niveles;Número de centros;-;
Abrucena;Formación Profesional Básica;Número de centros;-;
Abrucena;C. F. Grado Medio;Número de centros;-;
Abrucena;C. F. Grado Superior;Número de centros;-;
Abrucena;Enseñanzas de Régimen Especial;Número de centros;-;
Adra;Infantil 1º ciclo;Número de centros;1;
Adra;Infantil 2º ciclo;Número de centros;8;
Adra;Primaria;Número de centros;8;
Adra;Educación especial;Número de centros;4;
Adra;E.S.O.;Número de centros;5;
Adra;Bachillerato;Número de centros;2;
Adra;Cursos acceso a otros niveles;Número de centros;1;
Adra;Formación Profesional Básica;Número de centros;1;
Adra;C. F. Grado Medio;Número de centros;3;
Adra;C. F. Grado Superior;Número de centros;2;
Adra;Enseñanzas de Régimen Especial;Número de centros;-;
Albanchez;Infantil 1º ciclo;Número de centros;-;
Albanchez;Infantil 2º ciclo;Número de centros;1;
Albanchez;Primaria;Número de centros;1;
Albanchez;Educación especial;Número de centros;-;
Albanchez;E.S.O.;Número de centros;1;
Albanchez;Bachillerato;Número de centros;-;
Albanchez;Cursos acceso a otros niveles;Número de centros;-;
Albanchez;Formación Profesional Básica;Número de centros;-;
Albanchez;C. F. Grado Medio;Número de centros;-;
Albanchez;C. F. Grado Superior;Número de centros;-;
Albanchez;Enseñanzas de Régimen Especial;Número de centros;-;
Alboloduy;Infantil 1º ciclo;Número de centros;1;
Alboloduy;Infantil 2º ciclo;Número de centros;1;
Alboloduy;Primaria;Número de centros;1;
Alboloduy;Educación especial;Número de centros;-;
Alboloduy;E.S.O.;Número de centros;-;
Alboloduy;Bachillerato;Número de centros;-;
Alboloduy;Cursos acceso a otros niveles;Número de centros;-;
Alboloduy;Formación Profesional Básica;Número de centros;-;
Alboloduy;C. F. Grado Medio;Número de centros;-;
Alboloduy;C. F. Grado Superior;Número de centros;-;
Alboloduy;Enseñanzas de Régimen Especial;Número de centros;-;
Albox;Infantil 1º ciclo;Número de centros;1;
Albox;Infantil 2º ciclo;Número de centros;3;
Albox;Primaria;Número de centros;3;
Albox;Educación especial;Número de centros;2;
Albox;E.S.O.;Número de centros;2;
Albox;Bachillerato;Número de centros;2;
Albox;Cursos acceso a otros niveles;Número de centros;-;
Albox;Formación Profesional Básica;Número de centros;2;
Albox;C. F. Grado Medio;Número de centros;2;
Albox;C. F. Grado Superior;Número de centros;2;
Albox;Enseñanzas de Régimen Especial;Número de centros;2;
Alcolea;Infantil 1º ciclo;Número de centros;1;
Alcolea;Infantil 2º ciclo;Número de centros;1;
Alcolea;Primaria;Número de centros;1;
