Territorio;Tipo de centros asistenciales;Medida;Valor;
Abla;Centro de asistencia social;Nº centros;-;
Abla;Centro de asistencia social;Plazas;-;
Abla;Centro de asistencia social;Superficie cubierta;-;
Abla;Centro de asistencia social;Superficie aire libre;-;
Abla;Centro de asistencia social;Superficie solar;-;
Abla;Residencia de ancianos;Nº centros;1;
Abla;Residencia de ancianos;Plazas;42;
Abla;Residencia de ancianos;Superficie cubierta;2874;
Abla;Residencia de ancianos;Superficie aire libre;0;
Abla;Residencia de ancianos;Superficie solar;726;
Abla;Guarderías infantiles;Nº centros;1;
Abla;Guarderías infantiles;Plazas;15;
Abla;Guarderías infantiles;Superficie cubierta;168;
Abla;Guarderías infantiles;Superficie aire libre;36;
Abla;Guarderías infantiles;Superficie solar;204;
Abla;Albergues municipales;Nº centros;-;
Abla;Albergues municipales;Plazas;-;
Abla;Albergues municipales;Superficie cubierta;-;
Abla;Albergues municipales;Superficie aire libre;-;
Abla;Albergues municipales;Superficie solar;-;
Abla;Rehabilitación toxicómanos;Nº centros;-;
Abla;Rehabilitación toxicómanos;Plazas;-;
Abla;Rehabilitación toxicómanos;Superficie cubierta;-;
Abla;Rehabilitación toxicómanos;Superficie aire libre;-;
Abla;Rehabilitación toxicómanos;Superficie solar;-;
Abla;Otros;Nº centros;-;
Abla;Otros;Plazas;-;
Abla;Otros;Superficie cubierta;-;
Abla;Otros;Superficie aire libre;-;
Abla;Otros;Superficie solar;-;
Abla;TOTAL;Nº centros;2;
Abla;TOTAL;Plazas;57;
Abla;TOTAL;Superficie cubierta;3042;
Abla;TOTAL;Superficie aire libre;36;
Abla;TOTAL;Superficie solar;930;
Adra;Centro de asistencia social;Nº centros;-;
Adra;Centro de asistencia social;Plazas;-;
Adra;Centro de asistencia social;Superficie cubierta;-;
Adra;Centro de asistencia social;Superficie aire libre;-;
Adra;Centro de asistencia social;Superficie solar;-;
Adra;Residencia de ancianos;Nº centros;1;
Adra;Residencia de ancianos;Plazas;50;
Adra;Residencia de ancianos;Superficie cubierta;2418;
Adra;Residencia de ancianos;Superficie aire libre;1226;
Adra;Residencia de ancianos;Superficie solar;2169;
Adra;Guarderías infantiles;Nº centros;10;
Adra;Guarderías infantiles;Plazas;342;
Adra;Guarderías infantiles;Superficie cubierta;2569;
Adra;Guarderías infantiles;Superficie aire libre;805;
Adra;Guarderías infantiles;Superficie solar;3274;
Adra;Albergues municipales;Nº centros;-;
Adra;Albergues municipales;Plazas;-;
Adra;Albergues municipales;Superficie cubierta;-;
Adra;Albergues municipales;Superficie aire libre;-;
Adra;Albergues municipales;Superficie solar;-;
Adra;Rehabilitación toxicómanos;Nº centros;-;
Adra;Rehabilitación toxicómanos;Plazas;-;
Adra;Rehabilitación toxicómanos;Superficie cubierta;-;
Adra;Rehabilitación toxicómanos;Superficie aire libre;-;
Adra;Rehabilitación toxicómanos;Superficie solar;-;
Adra;Otros;Nº centros;1;
Adra;Otros;Plazas;20;
Adra;Otros;Superficie cubierta;850;
Adra;Otros;Superficie aire libre;142;
Adra;Otros;Superficie solar;573;
Adra;TOTAL;Nº centros;12;
Adra;TOTAL;Plazas;412;
Adra;TOTAL;Superficie cubierta;5837;
Adra;TOTAL;Superficie aire libre;2173;
Adra;TOTAL;Superficie solar;6016;
Albanchez;Centro de asistencia social;Nº centros;-;
Albanchez;Centro de asistencia social;Plazas;-;
Albanchez;Centro de asistencia social;Superficie cubierta;-;
Albanchez;Centro de asistencia social;Superficie aire libre;-;
Albanchez;Centro de asistencia social;Superficie solar;-;
Albanchez;Residencia de ancianos;Nº centros;1;
Albanchez;Residencia de ancianos;Plazas;20;
Albanchez;Residencia de ancianos;Superficie cubierta;1135;
Albanchez;Residencia de ancianos;Superficie aire libre;425;
Albanchez;Residencia de ancianos;Superficie solar;1590;
Albanchez;Guarderías infantiles;Nº centros;-;
Albanchez;Guarderías infantiles;Plazas;-;
Albanchez;Guarderías infantiles;Superficie cubierta;-;
Albanchez;Guarderías infantiles;Superficie aire libre;-;
Albanchez;Guarderías infantiles;Superficie solar;-;
Albanchez;Albergues municipales;Nº centros;-;
Albanchez;Albergues municipales;Plazas;-;
Albanchez;Albergues municipales;Superficie cubierta;-;
Albanchez;Albergues municipales;Superficie aire libre;-;
Albanchez;Albergues municipales;Superficie solar;-;
Albanchez;Rehabilitación toxicómanos;Nº centros;-;
Albanchez;Rehabilitación toxicómanos;Plazas;-;
Albanchez;Rehabilitación toxicómanos;Superficie cubierta;-;
Albanchez;Rehabilitación toxicómanos;Superficie aire libre;-;
Albanchez;Rehabilitación toxicómanos;Superficie solar;-;
Albanchez;Otros;Nº centros;-;
Albanchez;Otros;Plazas;-;
Albanchez;Otros;Superficie cubierta;-;
Albanchez;Otros;Superficie aire libre;-;
Albanchez;Otros;Superficie solar;-;
Albanchez;TOTAL;Nº centros;1;
Albanchez;TOTAL;Plazas;20;
Albanchez;TOTAL;Superficie cubierta;1135;
Albanchez;TOTAL;Superficie aire libre;425;
Albanchez;TOTAL;Superficie solar;1590;
Alboloduy;Centro de asistencia social;Nº centros;-;
Alboloduy;Centro de asistencia social;Plazas;-;
Alboloduy;Centro de asistencia social;Superficie cubierta;-;
Alboloduy;Centro de asistencia social;Superficie aire libre;-;
Alboloduy;Centro de asistencia social;Superficie solar;-;
Alboloduy;Residencia de ancianos;Nº centros;-;
Alboloduy;Residencia de ancianos;Plazas;-;
Alboloduy;Residencia de ancianos;Superficie cubierta;-;
Alboloduy;Residencia de ancianos;Superficie aire libre;-;
Alboloduy;Residencia de ancianos;Superficie solar;-;
Alboloduy;Guarderías infantiles;Nº centros;1;
Alboloduy;Guarderías infantiles;Plazas;30;
Alboloduy;Guarderías infantiles;Superficie cubierta;145;
Alboloduy;Guarderías infantiles;Superficie aire libre;35;
Alboloduy;Guarderías infantiles;Superficie solar;180;
Alboloduy;Albergues municipales;Nº centros;-;
Alboloduy;Albergues municipales;Plazas;-;
Alboloduy;Albergues municipales;Superficie cubierta;-;
Alboloduy;Albergues municipales;Superficie aire libre;-;
Alboloduy;Albergues municipales;Superficie solar;-;
Alboloduy;Rehabilitación toxicómanos;Nº centros;-;
Alboloduy;Rehabilitación toxicómanos;Plazas;-;
Alboloduy;Rehabilitación toxicómanos;Superficie cubierta;-;
Alboloduy;Rehabilitación toxicómanos;Superficie aire libre;-;
Alboloduy;Rehabilitación toxicómanos;Superficie solar;-;
Alboloduy;Otros;Nº centros;-;
Alboloduy;Otros;Plazas;-;
Alboloduy;Otros;Superficie cubierta;-;
Alboloduy;Otros;Superficie aire libre;-;
Alboloduy;Otros;Superficie solar;-;
Alboloduy;TOTAL;Nº centros;1;
Alboloduy;TOTAL;Plazas;30;
Alboloduy;TOTAL;Superficie cubierta;145;
Alboloduy;TOTAL;Superficie aire libre;35;
Alboloduy;TOTAL;Superficie solar;180;
Albox;Centro de asistencia social;Nº centros;2;
Albox;Centro de asistencia social;Plazas;48;
Albox;Centro de asistencia social;Superficie cubierta;4373;
Albox;Centro de asistencia social;Superficie aire libre;8983;
Albox;Centro de asistencia social;Superficie solar;10999;
Albox;Residencia de ancianos;Nº centros;1;
Albox;Residencia de ancianos;Plazas;50;
Albox;Residencia de ancianos;Superficie cubierta;1296;
Albox;Residencia de ancianos;Superficie aire libre;60;
Albox;Residencia de ancianos;Superficie solar;767;
Albox;Guarderías infantiles;Nº centros;2;
Albox;Guarderías infantiles;Plazas;222;
Albox;Guarderías infantiles;Superficie cubierta;1667;
Albox;Guarderías infantiles;Superficie aire libre;1749;
Albox;Guarderías infantiles;Superficie solar;3416;
Albox;Albergues municipales;Nº centros;-;
Albox;Albergues municipales;Plazas;-;
Albox;Albergues municipales;Superficie cubierta;-;
Albox;Albergues municipales;Superficie aire libre;-;
Albox;Albergues municipales;Superficie solar;-;
Albox;Rehabilitación toxicómanos;Nº centros;-;
Albox;Rehabilitación toxicómanos;Plazas;-;
Albox;Rehabilitación toxicómanos;Superficie cubierta;-;
Albox;Rehabilitación toxicómanos;Superficie aire libre;-;
Albox;Rehabilitación toxicómanos;Superficie solar;-;
Albox;Otros;Nº centros;2;
Albox;Otros;Plazas;140;
Albox;Otros;Superficie cubierta;2267;
Albox;Otros;Superficie aire libre;1496;
Albox;Otros;Superficie solar;2505;
Albox;TOTAL;Nº centros;7;
Albox;TOTAL;Plazas;460;
Albox;TOTAL;Superficie cubierta;9603;
Albox;TOTAL;Superficie aire libre;12288;
Albox;TOTAL;Superficie solar;17687;
Alcolea;Centro de asistencia social;Nº centros;-;
Alcolea;Centro de asistencia social;Plazas;-;
