Territorio;Tipología de servicios sociales;Medida;Valor;
Andalucía;Población general;Nº de centros;311;
Andalucía;Personas mayores;Nº de centros;1651;
Andalucía;Mujeres;Nº de centros;207;
Andalucía;Personas con discapacidad;Nº de centros;595;
Andalucía;Personas con enfermedad mental;Nº de centros;154;
Andalucía;Personas con adicciones;Nº de centros;184;
Andalucía;Personas en situación o riesgo de exclusión social;Nº de centros;163;
Andalucía;Personas de etnia gitana;Nº de centros;1;
Andalucía;Menores del sistema de protección;Nº de centros;27;
Andalucía;TOTAL;Nº de centros;3293;
Almería;Población general;Nº de centros;23;
Almería;Personas mayores;Nº de centros;120;
Almería;Mujeres;Nº de centros;17;
Almería;Personas con discapacidad;Nº de centros;49;
Almería;Personas con enfermedad mental;Nº de centros;11;
Almería;Personas con adicciones;Nº de centros;15;
Almería;Personas en situación o riesgo de exclusión social;Nº de centros;13;
Almería;Personas de etnia gitana;Nº de centros;-;
Almería;Menores del sistema de protección;Nº de centros;2;
Almería;TOTAL;Nº de centros;250;
Abla;Población general;Nº de centros;-;
Abla;Personas mayores;Nº de centros;2;
Abla;Mujeres;Nº de centros;-;
Abla;Personas con discapacidad;Nº de centros;-;
Abla;Personas con enfermedad mental;Nº de centros;-;
Abla;Personas con adicciones;Nº de centros;-;
Abla;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Abla;Personas de etnia gitana;Nº de centros;-;
Abla;Menores del sistema de protección;Nº de centros;-;
Abla;TOTAL;Nº de centros;2;
Abrucena;Población general;Nº de centros;1;
Abrucena;Personas mayores;Nº de centros;1;
Abrucena;Mujeres;Nº de centros;-;
Abrucena;Personas con discapacidad;Nº de centros;-;
Abrucena;Personas con enfermedad mental;Nº de centros;-;
Abrucena;Personas con adicciones;Nº de centros;-;
Abrucena;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Abrucena;Personas de etnia gitana;Nº de centros;-;
Abrucena;Menores del sistema de protección;Nº de centros;-;
Abrucena;TOTAL;Nº de centros;2;
Adra;Población general;Nº de centros;1;
Adra;Personas mayores;Nº de centros;5;
Adra;Mujeres;Nº de centros;1;
Adra;Personas con discapacidad;Nº de centros;1;
Adra;Personas con enfermedad mental;Nº de centros;-;
Adra;Personas con adicciones;Nº de centros;-;
Adra;Personas en situación o riesgo de exclusión social;Nº de centros;1;
Adra;Personas de etnia gitana;Nº de centros;-;
Adra;Menores del sistema de protección;Nº de centros;-;
Adra;TOTAL;Nº de centros;9;
Albanchez;Población general;Nº de centros;-;
Albanchez;Personas mayores;Nº de centros;1;
Albanchez;Mujeres;Nº de centros;-;
Albanchez;Personas con discapacidad;Nº de centros;-;
Albanchez;Personas con enfermedad mental;Nº de centros;-;
Albanchez;Personas con adicciones;Nº de centros;-;
Albanchez;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Albanchez;Personas de etnia gitana;Nº de centros;-;
Albanchez;Menores del sistema de protección;Nº de centros;-;
Albanchez;TOTAL;Nº de centros;1;
Albox;Población general;Nº de centros;1;
Albox;Personas mayores;Nº de centros;3;
Albox;Mujeres;Nº de centros;1;
Albox;Personas con discapacidad;Nº de centros;3;
Albox;Personas con enfermedad mental;Nº de centros;1;
Albox;Personas con adicciones;Nº de centros;-;
Albox;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Albox;Personas de etnia gitana;Nº de centros;-;
Albox;Menores del sistema de protección;Nº de centros;-;
Albox;TOTAL;Nº de centros;9;
Alhabia;Población general;Nº de centros;-;
Alhabia;Personas mayores;Nº de centros;1;
Alhabia;Mujeres;Nº de centros;-;
Alhabia;Personas con discapacidad;Nº de centros;-;
Alhabia;Personas con enfermedad mental;Nº de centros;-;
Alhabia;Personas con adicciones;Nº de centros;-;
Alhabia;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Alhabia;Personas de etnia gitana;Nº de centros;-;
Alhabia;Menores del sistema de protección;Nº de centros;-;
Alhabia;TOTAL;Nº de centros;1;
Alhama de Almería;Población general;Nº de centros;1;
Alhama de Almería;Personas mayores;Nº de centros;4;
Alhama de Almería;Mujeres;Nº de centros;-;
Alhama de Almería;Personas con discapacidad;Nº de centros;-;
Alhama de Almería;Personas con enfermedad mental;Nº de centros;-;
Alhama de Almería;Personas con adicciones;Nº de centros;-;
Alhama de Almería;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Alhama de Almería;Personas de etnia gitana;Nº de centros;-;
Alhama de Almería;Menores del sistema de protección;Nº de centros;-;
Alhama de Almería;TOTAL;Nº de centros;5;
Almería (capital);Población general;Nº de centros;5;
Almería (capital);Personas mayores;Nº de centros;19;
Almería (capital);Mujeres;Nº de centros;1;
Almería (capital);Personas con discapacidad;Nº de centros;14;
Almería (capital);Personas con enfermedad mental;Nº de centros;3;
Almería (capital);Personas con adicciones;Nº de centros;5;
Almería (capital);Personas en situación o riesgo de exclusión social;Nº de centros;4;
Almería (capital);Personas de etnia gitana;Nº de centros;-;
Almería (capital);Menores del sistema de protección;Nº de centros;-;
Almería (capital);TOTAL;Nº de centros;51;
Antas;Población general;Nº de centros;-;
Antas;Personas mayores;Nº de centros;2;
Antas;Mujeres;Nº de centros;-;
Antas;Personas con discapacidad;Nº de centros;-;
Antas;Personas con enfermedad mental;Nº de centros;-;
Antas;Personas con adicciones;Nº de centros;-;
Antas;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Antas;Personas de etnia gitana;Nº de centros;-;
Antas;Menores del sistema de protección;Nº de centros;-;
Antas;TOTAL;Nº de centros;2;
Armuña de Almanzora;Población general;Nº de centros;-;
Armuña de Almanzora;Personas mayores;Nº de centros;1;
Armuña de Almanzora;Mujeres;Nº de centros;-;
Armuña de Almanzora;Personas con discapacidad;Nº de centros;-;
Armuña de Almanzora;Personas con enfermedad mental;Nº de centros;-;
Armuña de Almanzora;Personas con adicciones;Nº de centros;-;
Armuña de Almanzora;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Armuña de Almanzora;Personas de etnia gitana;Nº de centros;-;
Armuña de Almanzora;Menores del sistema de protección;Nº de centros;-;
Armuña de Almanzora;TOTAL;Nº de centros;1;
Bacares;Población general;Nº de centros;-;
Bacares;Personas mayores;Nº de centros;1;
Bacares;Mujeres;Nº de centros;-;
Bacares;Personas con discapacidad;Nº de centros;-;
Bacares;Personas con enfermedad mental;Nº de centros;-;
Bacares;Personas con adicciones;Nº de centros;-;
Bacares;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Bacares;Personas de etnia gitana;Nº de centros;-;
Bacares;Menores del sistema de protección;Nº de centros;-;
Bacares;TOTAL;Nº de centros;1;
Benahadux;Población general;Nº de centros;-;
Benahadux;Personas mayores;Nº de centros;2;
Benahadux;Mujeres;Nº de centros;-;
Benahadux;Personas con discapacidad;Nº de centros;-;
Benahadux;Personas con enfermedad mental;Nº de centros;-;
Benahadux;Personas con adicciones;Nº de centros;-;
Benahadux;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Benahadux;Personas de etnia gitana;Nº de centros;-;
Benahadux;Menores del sistema de protección;Nº de centros;-;
Benahadux;TOTAL;Nº de centros;2;
Berja;Población general;Nº de centros;1;
Berja;Personas mayores;Nº de centros;3;
Berja;Mujeres;Nº de centros;1;
Berja;Personas con discapacidad;Nº de centros;-;
Berja;Personas con enfermedad mental;Nº de centros;-;
Berja;Personas con adicciones;Nº de centros;1;
Berja;Personas en situación o riesgo de exclusión social;Nº de centros;-;
Berja;Personas de etnia gitana;Nº de centros;-;
Berja;Menores del sistema de protección;Nº de centros;-;
Berja;TOTAL;Nº de centros;6;
Canjáyar;Población general;Nº de centros;-;
Canjáyar;Personas mayores;Nº de centros;1;
Canjáyar;Mujeres;Nº de centros;-;
