Territorio;Medida;Contratos según tipo de jornada;Sexo;Valor;
Andalucía;Contratos;Contratos Indefinidos;Hombres;836370;
Andalucía;Contratos;Contratos Indefinidos;Mujeres;514067;
Andalucía;Contratos;Contratos Indefinidos;Ambos sexos;1350437;
Andalucía;Contratos;Indefinidos jornada completa;Hombres;298389;
Andalucía;Contratos;Indefinidos jornada completa;Mujeres;108826;
Andalucía;Contratos;Indefinidos jornada completa;Ambos sexos;407215;
Andalucía;Contratos;Indefinidos jornada parcial;Hombres;113993;
Andalucía;Contratos;Indefinidos jornada parcial;Mujeres;160758;
Andalucía;Contratos;Indefinidos jornada parcial;Ambos sexos;274751;
Andalucía;Contratos;Indefinidos fijo discontinuo;Hombres;423988;
Andalucía;Contratos;Indefinidos fijo discontinuo;Mujeres;244483;
Andalucía;Contratos;Indefinidos fijo discontinuo;Ambos sexos;668471;
Andalucía;Contratos;Contratos Temporales;Hombres;964214;
Andalucía;Contratos;Contratos Temporales;Mujeres;885054;
Andalucía;Contratos;Contratos Temporales;Ambos sexos;1849268;
Andalucía;Contratos;Temporales jornada completa;Hombres;760361;
Andalucía;Contratos;Temporales jornada completa;Mujeres;512954;
Andalucía;Contratos;Temporales jornada completa;Ambos sexos;1273315;
Andalucía;Contratos;Temporales jornada parcial;Hombres;203853;
Andalucía;Contratos;Temporales jornada parcial;Mujeres;372100;
Andalucía;Contratos;Temporales jornada parcial;Ambos sexos;575953;
Andalucía;Contratos;No especificado;Hombres;10299;
Andalucía;Contratos;No especificado;Mujeres;3483;
Andalucía;Contratos;No especificado;Ambos sexos;13782;
Andalucía;Contratos;TOTAL;Hombres;1810883;
Andalucía;Contratos;TOTAL;Mujeres;1402604;
Andalucía;Contratos;TOTAL;Ambos sexos;3213487;
Almería;Contratos;Contratos Indefinidos;Hombres;89106;
Almería;Contratos;Contratos Indefinidos;Mujeres;48019;
Almería;Contratos;Contratos Indefinidos;Ambos sexos;137125;
Almería;Contratos;Indefinidos jornada completa;Hombres;28194;
Almería;Contratos;Indefinidos jornada completa;Mujeres;10233;
Almería;Contratos;Indefinidos jornada completa;Ambos sexos;38427;
Almería;Contratos;Indefinidos jornada parcial;Hombres;8833;
Almería;Contratos;Indefinidos jornada parcial;Mujeres;11705;
Almería;Contratos;Indefinidos jornada parcial;Ambos sexos;20538;
Almería;Contratos;Indefinidos fijo discontinuo;Hombres;52079;
Almería;Contratos;Indefinidos fijo discontinuo;Mujeres;26081;
Almería;Contratos;Indefinidos fijo discontinuo;Ambos sexos;78160;
Almería;Contratos;Contratos Temporales;Hombres;57089;
Almería;Contratos;Contratos Temporales;Mujeres;58365;
Almería;Contratos;Contratos Temporales;Ambos sexos;115454;
Almería;Contratos;Temporales jornada completa;Hombres;45294;
Almería;Contratos;Temporales jornada completa;Mujeres;36541;
Almería;Contratos;Temporales jornada completa;Ambos sexos;81835;
Almería;Contratos;Temporales jornada parcial;Hombres;11795;
Almería;Contratos;Temporales jornada parcial;Mujeres;21824;
Almería;Contratos;Temporales jornada parcial;Ambos sexos;33619;
Almería;Contratos;No especificado;Hombres;236;
Almería;Contratos;No especificado;Mujeres;190;
