Territorio; Tipo de tecnología ;Medida;Valor;
Andalucía;HFC;Cobertura (%);20,717505312;
Andalucía;FTTH;Cobertura (%);93,072857038;
Andalucía;Inalámbrico fijo;Cobertura (%);97,910908025;
Andalucía;4G (LTE);Cobertura (%);99,91223271;
Andalucía;5G (NR+DSS);Cobertura (%);96,307004956;
Andalucía;5G-Banda 3,5GHz;Cobertura (%);70,327892924;
Almería;HFC;Cobertura (%);14,004269742;
Almería;FTTH;Cobertura (%);91,921986757;
Almería;Inalámbrico fijo;Cobertura (%);98,637059909;
Almería;4G (LTE);Cobertura (%);99,925210322;
Almería;5G (NR+DSS);Cobertura (%);95,887152269;
Almería;5G-Banda 3,5GHz;Cobertura (%);68,090974017;
Abla;HFC;Cobertura (%);0;
Abla;FTTH;Cobertura (%);81,424446583;
Abla;Inalámbrico fijo;Cobertura (%);98,941289702;
Abla;4G (LTE);Cobertura (%);99,999999961;
Abla;5G (NR+DSS);Cobertura (%);99,551814553;
Abla;5G-Banda 3,5GHz;Cobertura (%);0;
Abrucena;HFC;Cobertura (%);0;
Abrucena;FTTH;Cobertura (%);67,591564928;
Abrucena;Inalámbrico fijo;Cobertura (%);94,672586016;
Abrucena;4G (LTE);Cobertura (%);99,732361267;
Abrucena;5G (NR+DSS);Cobertura (%);14,597905839;
Abrucena;5G-Banda 3,5GHz;Cobertura (%);0;
Adra;HFC;Cobertura (%);0;
Adra;FTTH;Cobertura (%);97,370844846;
Adra;Inalámbrico fijo;Cobertura (%);99,857657205;
Adra;4G (LTE);Cobertura (%);99,940450513;
Adra;5G (NR+DSS);Cobertura (%);99,248007808;
Adra;5G-Banda 3,5GHz;Cobertura (%);81,414299641;
Albanchez;HFC;Cobertura (%);0;
Albanchez;FTTH;Cobertura (%);65,377855888;
Albanchez;Inalámbrico fijo;Cobertura (%);84,358523726;
Albanchez;4G (LTE);Cobertura (%);97,869701249;
Albanchez;5G (NR+DSS);Cobertura (%);88,336671167;
Albanchez;5G-Banda 3,5GHz;Cobertura (%);0;
Alboloduy;HFC;Cobertura (%);0;
Alboloduy;FTTH;Cobertura (%);74,701195219;
Alboloduy;Inalámbrico fijo;Cobertura (%);98,207171315;
Alboloduy;4G (LTE);Cobertura (%);100;
Alboloduy;5G (NR+DSS);Cobertura (%);0;
Alboloduy;5G-Banda 3,5GHz;Cobertura (%);0;
Albox;HFC;Cobertura (%);0;
Albox;FTTH;Cobertura (%);87,518507551;
Albox;Inalámbrico fijo;Cobertura (%);95,469351495;
Albox;4G (LTE);Cobertura (%);99,683840423;
Albox;5G (NR+DSS);Cobertura (%);91,339047342;
Albox;5G-Banda 3,5GHz;Cobertura (%);0;
Alcolea;HFC;Cobertura (%);0;
Alcolea;FTTH;Cobertura (%);71,521035599;
Alcolea;Inalámbrico fijo;Cobertura (%);100;
Alcolea;4G (LTE);Cobertura (%);98,746467463;
Alcolea;5G (NR+DSS);Cobertura (%);93,489760629;
Alcolea;5G-Banda 3,5GHz;Cobertura (%);0;
Alcóntar;HFC;Cobertura (%);0;
Alcóntar;FTTH;Cobertura (%);52,409638554;
Alcóntar;Inalámbrico fijo;Cobertura (%);90,060240964;
Alcóntar;4G (LTE);Cobertura (%);97,726246794;
Alcóntar;5G (NR+DSS);Cobertura (%);0;
Alcóntar;5G-Banda 3,5GHz;Cobertura (%);0;
Alcudia de Monteagud;HFC;Cobertura (%);0;
Alcudia de Monteagud;FTTH;Cobertura (%);80,536912752;
Alcudia de Monteagud;Inalámbrico fijo;Cobertura (%);100;
Alcudia de Monteagud;4G (LTE);Cobertura (%);99,999998707;
Alcudia de Monteagud;5G (NR+DSS);Cobertura (%);0;
Alcudia de Monteagud;5G-Banda 3,5GHz;Cobertura (%);0;
Alhabia;HFC;Cobertura (%);0;
Alhabia;FTTH;Cobertura (%);84,210526316;
Alhabia;Inalámbrico fijo;Cobertura (%);99,749373434;
Alhabia;4G (LTE);Cobertura (%);100;
Alhabia;5G (NR+DSS);Cobertura (%);100;
Alhabia;5G-Banda 3,5GHz;Cobertura (%);0;
Alhama de Almería;HFC;Cobertura (%);0;
Alhama de Almería;FTTH;Cobertura (%);78,105994787;
Alhama de Almería;Inalámbrico fijo;Cobertura (%);99,174630756;
Alhama de Almería;4G (LTE);Cobertura (%);99,999999971;
Alhama de Almería;5G (NR+DSS);Cobertura (%);99,609532048;
Alhama de Almería;5G-Banda 3,5GHz;Cobertura (%);0;
Alicún;HFC;Cobertura (%);0;
Alicún;FTTH;Cobertura (%);79,365079365;
Alicún;Inalámbrico fijo;Cobertura (%);100;
Alicún;4G (LTE);Cobertura (%);99,99999947;
Alicún;5G (NR+DSS);Cobertura (%);6,329245981;
Alicún;5G-Banda 3,5GHz;Cobertura (%);0;
Almería (capital);HFC;Cobertura (%);53,450877611;
Almería (capital);FTTH;Cobertura (%);98,45524581;
Almería (capital);Inalámbrico fijo;Cobertura (%);99,88980224;
Almería (capital);4G (LTE);Cobertura (%);100;
