Lugar de residencia;Edad;Medida;Valor;
Abla;Índice de dependencia global;Población municipal;63,433813892529486;
Abla;Índice de dependencia jóvenes;Población municipal;16,51376146788991;
Abla;Índice de dependencia mayores;Población municipal;46,92005242463958;
Abrucena;Índice de dependencia global;Población municipal;60,026212319790304;
Abrucena;Índice de dependencia jóvenes;Población municipal;14,02359108781127;
Abrucena;Índice de dependencia mayores;Población municipal;46,00262123197903;
Adra;Índice de dependencia global;Población municipal;46,2850534836658;
Adra;Índice de dependencia jóvenes;Población municipal;24,63717837525296;
Adra;Índice de dependencia mayores;Población municipal;21,647875108412837;
Albanchez;Índice de dependencia global;Población municipal;98,64864864864865;
Albanchez;Índice de dependencia jóvenes;Población municipal;18,37837837837838;
Albanchez;Índice de dependencia mayores;Población municipal;80,27027027027027;
Alboloduy;Índice de dependencia global;Población municipal;72,75280898876404;
Alboloduy;Índice de dependencia jóvenes;Población municipal;18,53932584269663;
Alboloduy;Índice de dependencia mayores;Población municipal;54,21348314606742;
Albox;Índice de dependencia global;Población municipal;57,3828125;
Albox;Índice de dependencia jóvenes;Población municipal;25,494791666666668;
Albox;Índice de dependencia mayores;Población municipal;31,888020833333336;
Alcolea;Índice de dependencia global;Población municipal;55,32710280373831;
Alcolea;Índice de dependencia jóvenes;Población municipal;16,448598130841123;
Alcolea;Índice de dependencia mayores;Población municipal;38,87850467289719;
Alcóntar;Índice de dependencia global;Población municipal;77,55775577557755;
Alcóntar;Índice de dependencia jóvenes;Población municipal;13,861386138613863;
Alcóntar;Índice de dependencia mayores;Población municipal;63,6963696369637;
Alcudia de Monteagud;Índice de dependencia global;Población municipal;56,470588235294116;
Alcudia de Monteagud;Índice de dependencia jóvenes;Población municipal;8,235294117647058;
Alcudia de Monteagud;Índice de dependencia mayores;Población municipal;48,23529411764706;
Alhabia;Índice de dependencia global;Población municipal;48,590021691973966;
Alhabia;Índice de dependencia jóvenes;Población municipal;18,43817787418655;
Alhabia;Índice de dependencia mayores;Población municipal;30,151843817787416;
Alhama de Almería;Índice de dependencia global;Población municipal;55,312112443158334;
Alhama de Almería;Índice de dependencia jóvenes;Población municipal;25,630425795783378;
Alhama de Almería;Índice de dependencia mayores;Población municipal;29,68168664737495;
Alicún;Índice de dependencia global;Población municipal;55,072463768115945;
Alicún;Índice de dependencia jóvenes;Población municipal;13,768115942028986;
Alicún;Índice de dependencia mayores;Población municipal;41,30434782608695;
Almería (capital);Índice de dependencia global;Población municipal;51,794992914501655;
Almería (capital);Índice de dependencia jóvenes;Población municipal;25,864354610145213;
Almería (capital);Índice de dependencia mayores;Población municipal;25,93063830435644;
Almócita;Índice de dependencia global;Población municipal;38,62068965517241;
Almócita;Índice de dependencia jóvenes;Población municipal;8,96551724137931;
Almócita;Índice de dependencia mayores;Población municipal;29,655172413793103;
Alsodux;Índice de dependencia global;Población municipal;53,57142857142857;
Alsodux;Índice de dependencia jóvenes;Población municipal;4,761904761904762;
Alsodux;Índice de dependencia mayores;Población municipal;48,80952380952381;
Antas;Índice de dependencia global;Población municipal;52,25718194254446;
Antas;Índice de dependencia jóvenes;Población municipal;23,575011399908803;
Antas;Índice de dependencia mayores;Población municipal;28,68217054263566;
Arboleas;Índice de dependencia global;Población municipal;93,92383397518186;
Arboleas;Índice de dependencia jóvenes;Población municipal;12,45186136071887;
Arboleas;Índice de dependencia mayores;Población municipal;81,47197261446298;
Armuña de Almanzora;Índice de dependencia global;Población municipal;51,94174757281553;
Armuña de Almanzora;Índice de dependencia jóvenes;Población municipal;12,135922330097088;
Armuña de Almanzora;Índice de dependencia mayores;Población municipal;39,80582524271845;
Bacares;Índice de dependencia global;Población municipal;84,61538461538461;
Bacares;Índice de dependencia jóvenes;Población municipal;3,8461538461538463;
Bacares;Índice de dependencia mayores;Población municipal;80,76923076923077;
Balanegra;Índice de dependencia global;Población municipal;40,36964980544747;
Balanegra;Índice de dependencia jóvenes;Población municipal;23,103112840466927;
Balanegra;Índice de dependencia mayores;Población municipal;17,266536964980546;
Bayárcal;Índice de dependencia global;Población municipal;50;
Bayárcal;Índice de dependencia jóvenes;Población municipal;15,384615384615385;
Bayárcal;Índice de dependencia mayores;Población municipal;34,61538461538461;
Bayarque;Índice de dependencia global;Población municipal;66,17647058823529;
Bayarque;Índice de dependencia jóvenes;Población municipal;12,5;
Bayarque;Índice de dependencia mayores;Población municipal;53,67647058823529;
Bédar;Índice de dependencia global;Población municipal;82,12996389891697;
Bédar;Índice de dependencia jóvenes;Población municipal;9,025270758122744;
Bédar;Índice de dependencia mayores;Población municipal;73,10469314079423;
Beires;Índice de dependencia global;Población municipal;72,5;
Beires;Índice de dependencia jóvenes;Población municipal;6,25;
Beires;Índice de dependencia mayores;Población municipal;66,25;
Benahadux;Índice de dependencia global;Población municipal;51,72981878088962;
Benahadux;Índice de dependencia jóvenes;Población municipal;32,55354200988468;
Benahadux;Índice de dependencia mayores;Población municipal;19,176276771004943;
Benitagla;Índice de dependencia global;Población municipal;103,84615384615385;
Benitagla;Índice de dependencia jóvenes;Población municipal;7,6923076923076925;
Benitagla;Índice de dependencia mayores;Población municipal;96,15384615384616;
Benizalón;Índice de dependencia global;Población municipal;65,359477124183;
Benizalón;Índice de dependencia jóvenes;Población municipal;11,11111111111111;
Benizalón;Índice de dependencia mayores;Población municipal;54,248366013071895;
Bentarique;Índice de dependencia global;Población municipal;86,71875;
Bentarique;Índice de dependencia jóvenes;Población municipal;19,53125;
Bentarique;Índice de dependencia mayores;Población municipal;67,1875;
Berja;Índice de dependencia global;Población municipal;47,021007921019404;
Berja;Índice de dependencia jóvenes;Población municipal;24,807714384112042;
Berja;Índice de dependencia mayores;Población municipal;22,213293536907358;
Canjáyar;Índice de dependencia global;Población municipal;70,02923976608187;
Canjáyar;Índice de dependencia jóvenes;Población municipal;13,450292397660817;
Canjáyar;Índice de dependencia mayores;Población municipal;56,57894736842105;
Cantoria;Índice de dependencia global;Población municipal;69,6926032660903;
Cantoria;Índice de dependencia jóvenes;Población municipal;17,723342939481267;
Cantoria;Índice de dependencia mayores;Población municipal;51,96926032660903;
Carboneras;Índice de dependencia global;Población municipal;49,29987270412802;
Carboneras;Índice de dependencia jóvenes;Población municipal;24,877250409165303;
Carboneras;Índice de dependencia mayores;Población municipal;24,42262229496272;
Castro de Filabres;Índice de dependencia global;Población municipal;53,333333333333336;
Castro de Filabres;Índice de dependencia jóvenes;Población municipal;2,666666666666667;
Castro de Filabres;Índice de dependencia mayores;Población municipal;50,66666666666667;
Chercos;Índice de dependencia global;Población municipal;57,59162303664922;
Chercos;Índice de dependencia jóvenes;Población municipal;14,136125654450263;
Chercos;Índice de dependencia mayores;Población municipal;43,455497382198956;
Chirivel;Índice de dependencia global;Población municipal;71,1211778029445;
Chirivel;Índice de dependencia jóvenes;Población municipal;16,308040770101925;
Chirivel;Índice de dependencia mayores;Población municipal;54,81313703284258;
Cóbdar;Índice de dependencia global;Población municipal;73,91304347826086;
Cóbdar;Índice de dependencia jóvenes;Población municipal;11,956521739130435;
Cóbdar;Índice de dependencia mayores;Población municipal;61,95652173913043;
