Territorio;Edad;Medida;Sexo;Valor;
Andalucía;De 0 a 4 años;Emigraciones;Hombres;8338;
Andalucía;De 0 a 4 años;Emigraciones;Mujeres;7965;
Andalucía;De 5 a 9 años;Emigraciones;Hombres;7493;
Andalucía;De 5 a 9 años;Emigraciones;Mujeres;7104;
Andalucía;De 10 a 14 años;Emigraciones;Hombres;7357;
Andalucía;De 10 a 14 años;Emigraciones;Mujeres;7103;
Andalucía;De 15 a 19 años;Emigraciones;Hombres;7976;
Andalucía;De 15 a 19 años;Emigraciones;Mujeres;7712;
Andalucía;De 20 a 24 años;Emigraciones;Hombres;13989;
Andalucía;De 20 a 24 años;Emigraciones;Mujeres;13777;
Andalucía;De 25 a 29 años;Emigraciones;Hombres;20139;
Andalucía;De 25 a 29 años;Emigraciones;Mujeres;19786;
Andalucía;De 30 a 34 años;Emigraciones;Hombres;21338;
Andalucía;De 30 a 34 años;Emigraciones;Mujeres;19911;
Andalucía;De 35 a 39 años;Emigraciones;Hombres;18104;
Andalucía;De 35 a 39 años;Emigraciones;Mujeres;16630;
Andalucía;De 40 a 44 años;Emigraciones;Hombres;16642;
Andalucía;De 40 a 44 años;Emigraciones;Mujeres;14479;
Andalucía;De 45 a 49 años;Emigraciones;Hombres;14226;
Andalucía;De 45 a 49 años;Emigraciones;Mujeres;11944;
Andalucía;De 50 a 54 años;Emigraciones;Hombres;10995;
Andalucía;De 50 a 54 años;Emigraciones;Mujeres;9696;
Andalucía;De 55 a 59 años;Emigraciones;Hombres;8339;
Andalucía;De 55 a 59 años;Emigraciones;Mujeres;7862;
Andalucía;De 60 a 64 años;Emigraciones;Hombres;6385;
Andalucía;De 60 a 64 años;Emigraciones;Mujeres;6102;
Andalucía;De 65 y más años;Emigraciones;Hombres;15277;
Andalucía;De 65 y más años;Emigraciones;Mujeres;16977;
Andalucía;TOTAL;Emigraciones;Hombres;176598;
Andalucía;TOTAL;Emigraciones;Mujeres;167048;
Almería;De 0 a 4 años;Emigraciones;Hombres;1018;
Almería;De 0 a 4 años;Emigraciones;Mujeres;937;
Almería;De 5 a 9 años;Emigraciones;Hombres;920;
Almería;De 5 a 9 años;Emigraciones;Mujeres;893;
Almería;De 10 a 14 años;Emigraciones;Hombres;935;
Almería;De 10 a 14 años;Emigraciones;Mujeres;861;
Almería;De 15 a 19 años;Emigraciones;Hombres;1019;
Almería;De 15 a 19 años;Emigraciones;Mujeres;947;
Almería;De 20 a 24 años;Emigraciones;Hombres;1932;
Almería;De 20 a 24 años;Emigraciones;Mujeres;1551;
Almería;De 25 a 29 años;Emigraciones;Hombres;2929;
Almería;De 25 a 29 años;Emigraciones;Mujeres;1985;
Almería;De 30 a 34 años;Emigraciones;Hombres;3091;
Almería;De 30 a 34 años;Emigraciones;Mujeres;2059;
Almería;De 35 a 39 años;Emigraciones;Hombres;2660;
Almería;De 35 a 39 años;Emigraciones;Mujeres;1797;
Almería;De 40 a 44 años;Emigraciones;Hombres;2412;
Almería;De 40 a 44 años;Emigraciones;Mujeres;1661;
Almería;De 45 a 49 años;Emigraciones;Hombres;2128;
Almería;De 45 a 49 años;Emigraciones;Mujeres;1385;
Almería;De 50 a 54 años;Emigraciones;Hombres;1562;
Almería;De 50 a 54 años;Emigraciones;Mujeres;1117;
Almería;De 55 a 59 años;Emigraciones;Hombres;1090;
Almería;De 55 a 59 años;Emigraciones;Mujeres;927;
Almería;De 60 a 64 años;Emigraciones;Hombres;868;
Almería;De 60 a 64 años;Emigraciones;Mujeres;740;
Almería;De 65 y más años;Emigraciones;Hombres;1867;
Almería;De 65 y más años;Emigraciones;Mujeres;1881;
Almería;TOTAL;Emigraciones;Hombres;24431;
Almería;TOTAL;Emigraciones;Mujeres;18741;
Abla;De 0 a 4 años;Emigraciones;Hombres;-;
Abla;De 0 a 4 años;Emigraciones;Mujeres;3;
Abla;De 5 a 9 años;Emigraciones;Hombres;2;
Abla;De 5 a 9 años;Emigraciones;Mujeres;1;
Abla;De 10 a 14 años;Emigraciones;Hombres;1;
Abla;De 10 a 14 años;Emigraciones;Mujeres;2;
Abla;De 15 a 19 años;Emigraciones;Hombres;2;
Abla;De 15 a 19 años;Emigraciones;Mujeres;5;
Abla;De 20 a 24 años;Emigraciones;Hombres;4;
Abla;De 20 a 24 años;Emigraciones;Mujeres;-;
Abla;De 25 a 29 años;Emigraciones;Hombres;2;
Abla;De 25 a 29 años;Emigraciones;Mujeres;3;
Abla;De 30 a 34 años;Emigraciones;Hombres;3;
Abla;De 30 a 34 años;Emigraciones;Mujeres;9;
Abla;De 35 a 39 años;Emigraciones;Hombres;-;
Abla;De 35 a 39 años;Emigraciones;Mujeres;1;
Abla;De 40 a 44 años;Emigraciones;Hombres;7;
Abla;De 40 a 44 años;Emigraciones;Mujeres;4;
Abla;De 45 a 49 años;Emigraciones;Hombres;3;
Abla;De 45 a 49 años;Emigraciones;Mujeres;5;
Abla;De 50 a 54 años;Emigraciones;Hombres;2;
Abla;De 50 a 54 años;Emigraciones;Mujeres;3;
Abla;De 55 a 59 años;Emigraciones;Hombres;4;
Abla;De 55 a 59 años;Emigraciones;Mujeres;1;
Abla;De 60 a 64 años;Emigraciones;Hombres;3;
Abla;De 60 a 64 años;Emigraciones;Mujeres;1;
Abla;De 65 y más años;Emigraciones;Hombres;7;
Abla;De 65 y más años;Emigraciones;Mujeres;7;
Abla;TOTAL;Emigraciones;Hombres;40;
Abla;TOTAL;Emigraciones;Mujeres;45;
Abrucena;De 0 a 4 años;Emigraciones;Hombres;4;
Abrucena;De 0 a 4 años;Emigraciones;Mujeres;-;
Abrucena;De 5 a 9 años;Emigraciones;Hombres;5;
Abrucena;De 5 a 9 años;Emigraciones;Mujeres;4;
Abrucena;De 10 a 14 años;Emigraciones;Hombres;4;
Abrucena;De 10 a 14 años;Emigraciones;Mujeres;6;
Abrucena;De 15 a 19 años;Emigraciones;Hombres;3;
Abrucena;De 15 a 19 años;Emigraciones;Mujeres;3;
Abrucena;De 20 a 24 años;Emigraciones;Hombres;4;
Abrucena;De 20 a 24 años;Emigraciones;Mujeres;5;
Abrucena;De 25 a 29 años;Emigraciones;Hombres;3;
Abrucena;De 25 a 29 años;Emigraciones;Mujeres;4;
Abrucena;De 30 a 34 años;Emigraciones;Hombres;5;
Abrucena;De 30 a 34 años;Emigraciones;Mujeres;6;
Abrucena;De 35 a 39 años;Emigraciones;Hombres;7;
Abrucena;De 35 a 39 años;Emigraciones;Mujeres;5;
Abrucena;De 40 a 44 años;Emigraciones;Hombres;6;
Abrucena;De 40 a 44 años;Emigraciones;Mujeres;8;
Abrucena;De 45 a 49 años;Emigraciones;Hombres;7;
Abrucena;De 45 a 49 años;Emigraciones;Mujeres;6;
Abrucena;De 50 a 54 años;Emigraciones;Hombres;6;
Abrucena;De 50 a 54 años;Emigraciones;Mujeres;3;
Abrucena;De 55 a 59 años;Emigraciones;Hombres;6;
Abrucena;De 55 a 59 años;Emigraciones;Mujeres;2;
Abrucena;De 60 a 64 años;Emigraciones;Hombres;1;
Abrucena;De 60 a 64 años;Emigraciones;Mujeres;-;
Abrucena;De 65 y más años;Emigraciones;Hombres;3;
Abrucena;De 65 y más años;Emigraciones;Mujeres;5;
Abrucena;TOTAL;Emigraciones;Hombres;64;
Abrucena;TOTAL;Emigraciones;Mujeres;57;
Adra;De 0 a 4 años;Emigraciones;Hombres;12;
Adra;De 0 a 4 años;Emigraciones;Mujeres;13;
Adra;De 5 a 9 años;Emigraciones;Hombres;10;
