Territorio;Estado del dato;Tipo de establecimiento turístico;Medida;Valor;
Andalucía;Provisional;Apartamentos turísticos;Nº de plazas;99180;
Andalucía;Provisional;Hostal;Nº de plazas;20666;
Andalucía;Provisional;Hotel;Nº de plazas;250211;
Andalucía;Provisional;Hotel-Apartamento;Nº de plazas;26819;
Andalucía;Provisional;Pensión;Nº de plazas;13943;
Andalucía;Provisional;Albergues;Nº de plazas;11018;
Andalucía;Provisional;Campings;Nº de plazas;82133;
Andalucía;Provisional;Casas Rurales;Nº de plazas;27006;
Andalucía;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;82875;
Andalucía;Provisional;Área de pernocta de autocaravanas;Nº de plazas;3412;
Andalucía;Provisional;Viviendas con fines turísticos;Nº de plazas;611627;
Andalucía;Provisional;Total;Nº de plazas;1228890;
Almería;Provisional;Apartamentos turísticos;Nº de plazas;13048;
Almería;Provisional;Hostal;Nº de plazas;1757;
Almería;Provisional;Hotel;Nº de plazas;27012;
Almería;Provisional;Hotel-Apartamento;Nº de plazas;4329;
Almería;Provisional;Pensión;Nº de plazas;1268;
Almería;Provisional;Albergues;Nº de plazas;522;
Almería;Provisional;Campings;Nº de plazas;9396;
Almería;Provisional;Casas Rurales;Nº de plazas;1821;
Almería;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;4632;
Almería;Provisional;Área de pernocta de autocaravanas;Nº de plazas;1476;
Almería;Provisional;Viviendas con fines turísticos;Nº de plazas;46999;
Almería;Provisional;Total;Nº de plazas;112260;
Abla;Provisional;Apartamentos turísticos;Nº de plazas;-;
Abla;Provisional;Hostal;Nº de plazas;-;
Abla;Provisional;Hotel;Nº de plazas;-;
Abla;Provisional;Hotel-Apartamento;Nº de plazas;-;
Abla;Provisional;Pensión;Nº de plazas;-;
Abla;Provisional;Albergues;Nº de plazas;-;
Abla;Provisional;Campings;Nº de plazas;-;
Abla;Provisional;Casas Rurales;Nº de plazas;-;
Abla;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Abla;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Abla;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Abla;Provisional;Total;Nº de plazas;-;
Abrucena;Provisional;Apartamentos turísticos;Nº de plazas;-;
Abrucena;Provisional;Hostal;Nº de plazas;-;
Abrucena;Provisional;Hotel;Nº de plazas;-;
Abrucena;Provisional;Hotel-Apartamento;Nº de plazas;-;
Abrucena;Provisional;Pensión;Nº de plazas;-;
Abrucena;Provisional;Albergues;Nº de plazas;-;
Abrucena;Provisional;Campings;Nº de plazas;-;
Abrucena;Provisional;Casas Rurales;Nº de plazas;-;
Abrucena;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;85;
Abrucena;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Abrucena;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Abrucena;Provisional;Total;Nº de plazas;149;
Adra;Provisional;Apartamentos turísticos;Nº de plazas;-;
Adra;Provisional;Hostal;Nº de plazas;-;
Adra;Provisional;Hotel;Nº de plazas;-;
Adra;Provisional;Hotel-Apartamento;Nº de plazas;-;
Adra;Provisional;Pensión;Nº de plazas;-;
Adra;Provisional;Albergues;Nº de plazas;-;
Adra;Provisional;Campings;Nº de plazas;-;
Adra;Provisional;Casas Rurales;Nº de plazas;-;
Adra;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Adra;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Adra;Provisional;Viviendas con fines turísticos;Nº de plazas;317;
Adra;Provisional;Total;Nº de plazas;685;
Albanchez;Provisional;Apartamentos turísticos;Nº de plazas;-;
Albanchez;Provisional;Hostal;Nº de plazas;-;
Albanchez;Provisional;Hotel;Nº de plazas;-;
Albanchez;Provisional;Hotel-Apartamento;Nº de plazas;-;
Albanchez;Provisional;Pensión;Nº de plazas;-;
Albanchez;Provisional;Albergues;Nº de plazas;-;
Albanchez;Provisional;Campings;Nº de plazas;-;
Albanchez;Provisional;Casas Rurales;Nº de plazas;-;
Albanchez;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Albanchez;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Albanchez;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Albanchez;Provisional;Total;Nº de plazas;-;
Alboloduy;Provisional;Apartamentos turísticos;Nº de plazas;-;
Alboloduy;Provisional;Hostal;Nº de plazas;-;
Alboloduy;Provisional;Hotel;Nº de plazas;-;
Alboloduy;Provisional;Hotel-Apartamento;Nº de plazas;-;
Alboloduy;Provisional;Pensión;Nº de plazas;-;
Alboloduy;Provisional;Albergues;Nº de plazas;-;
Alboloduy;Provisional;Campings;Nº de plazas;-;
Alboloduy;Provisional;Casas Rurales;Nº de plazas;-;
Alboloduy;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Alboloduy;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Alboloduy;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Alboloduy;Provisional;Total;Nº de plazas;-;
Albox;Provisional;Apartamentos turísticos;Nº de plazas;-;
Albox;Provisional;Hostal;Nº de plazas;-;
Albox;Provisional;Hotel;Nº de plazas;-;
Albox;Provisional;Hotel-Apartamento;Nº de plazas;-;
Albox;Provisional;Pensión;Nº de plazas;-;
Albox;Provisional;Albergues;Nº de plazas;-;
Albox;Provisional;Campings;Nº de plazas;-;
Albox;Provisional;Casas Rurales;Nº de plazas;-;
Albox;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;74;
Albox;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Albox;Provisional;Viviendas con fines turísticos;Nº de plazas;31;
Albox;Provisional;Total;Nº de plazas;505;
Alcolea;Provisional;Apartamentos turísticos;Nº de plazas;-;
Alcolea;Provisional;Hostal;Nº de plazas;-;
Alcolea;Provisional;Hotel;Nº de plazas;-;
Alcolea;Provisional;Hotel-Apartamento;Nº de plazas;-;
Alcolea;Provisional;Pensión;Nº de plazas;-;
Alcolea;Provisional;Albergues;Nº de plazas;-;
Alcolea;Provisional;Campings;Nº de plazas;-;
Alcolea;Provisional;Casas Rurales;Nº de plazas;-;
Alcolea;Provisional;Viviendas Turísticas de Alojamiento Rural;Nº de plazas;-;
Alcolea;Provisional;Área de pernocta de autocaravanas;Nº de plazas;-;
Alcolea;Provisional;Viviendas con fines turísticos;Nº de plazas;-;
Alcolea;Provisional;Total;Nº de plazas;28;
Alcóntar;Provisional;Apartamentos turísticos;Nº de plazas;-;
Alcóntar;Provisional;Hostal;Nº de plazas;-;
Alcóntar;Provisional;Hotel;Nº de plazas;-;
Alcóntar;Provisional;Hotel-Apartamento;Nº de plazas;-;
Alcóntar;Provisional;Pensión;Nº de plazas;-;
Alcóntar;Provisional;Albergues;Nº de plazas;-;
Alcóntar;Provisional;Campings;Nº de plazas;-;
