Territorio;Actividad;Medida;Valor;
Andalucía;Agricultura, ganadería, silvicultura y pesca;Establecimientos;99890;
Andalucía;Industria, energía, agua y gestión de residuos;Establecimientos;35121;
Andalucía;Construcción;Establecimientos;64174;
Andalucía;Comercio;Establecimientos;160128;
Andalucía;Transporte y almacenamiento;Establecimientos;34216;
Andalucía;Hostelería;Establecimientos;56740;
Andalucía;Información y comunicaciones;Establecimientos;10786;
Andalucía;Banca y seguros;Establecimientos;17720;
Andalucía;Administración pública, educación y sanidad;Establecimientos;58146;
Andalucía;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;185364;
Andalucía;TOTAL;Establecimientos;722285;
Almería;Agricultura, ganadería, silvicultura y pesca;Establecimientos;25664;
Almería;Industria, energía, agua y gestión de residuos;Establecimientos;2720;
Almería;Construcción;Establecimientos;5977;
Almería;Comercio;Establecimientos;13929;
Almería;Transporte y almacenamiento;Establecimientos;3346;
Almería;Hostelería;Establecimientos;4745;
Almería;Información y comunicaciones;Establecimientos;700;
Almería;Banca y seguros;Establecimientos;1531;
Almería;Administración pública, educación y sanidad;Establecimientos;4611;
Almería;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;13984;
Almería;TOTAL;Establecimientos;77207;
Abla;Agricultura, ganadería, silvicultura y pesca;Establecimientos;13;
Abla;Industria, energía, agua y gestión de residuos;Establecimientos;10;
Abla;Construcción;Establecimientos;15;
Abla;Comercio;Establecimientos;34;
Abla;Transporte y almacenamiento;Establecimientos;3;
Abla;Hostelería;Establecimientos;13;
Abla;Información y comunicaciones;Establecimientos;-;
Abla;Banca y seguros;Establecimientos;5;
Abla;Administración pública, educación y sanidad;Establecimientos;14;
Abla;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;26;
Abla;TOTAL;Establecimientos;133;
Abrucena;Agricultura, ganadería, silvicultura y pesca;Establecimientos;37;
Abrucena;Industria, energía, agua y gestión de residuos;Establecimientos;11;
Abrucena;Construcción;Establecimientos;12;
Abrucena;Comercio;Establecimientos;20;
Abrucena;Transporte y almacenamiento;Establecimientos;6;
Abrucena;Hostelería;Establecimientos;10;
Abrucena;Información y comunicaciones;Establecimientos;-;
Abrucena;Banca y seguros;Establecimientos;2;
Abrucena;Administración pública, educación y sanidad;Establecimientos;6;
Abrucena;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;18;
Abrucena;TOTAL;Establecimientos;122;
Adra;Agricultura, ganadería, silvicultura y pesca;Establecimientos;1945;
Adra;Industria, energía, agua y gestión de residuos;Establecimientos;68;
Adra;Construcción;Establecimientos;229;
Adra;Comercio;Establecimientos;481;
Adra;Transporte y almacenamiento;Establecimientos;106;
Adra;Hostelería;Establecimientos;126;
Adra;Información y comunicaciones;Establecimientos;8;
Adra;Banca y seguros;Establecimientos;40;
Adra;Administración pública, educación y sanidad;Establecimientos;108;
Adra;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;334;
Adra;TOTAL;Establecimientos;3445;
Albanchez;Agricultura, ganadería, silvicultura y pesca;Establecimientos;14;
Albanchez;Industria, energía, agua y gestión de residuos;Establecimientos;7;
Albanchez;Construcción;Establecimientos;9;
Albanchez;Comercio;Establecimientos;11;
Albanchez;Transporte y almacenamiento;Establecimientos;5;
Albanchez;Hostelería;Establecimientos;6;
Albanchez;Información y comunicaciones;Establecimientos;3;
Albanchez;Banca y seguros;Establecimientos;5;
Albanchez;Administración pública, educación y sanidad;Establecimientos;12;
Albanchez;Actividades inmobiliarias, profesionales, auxiliares, artísticas y otros servicios;Establecimientos;22;
Albanchez;TOTAL;Establecimientos;94;
