Territorio;Características básicas de la explotación;Medida;Valor;
Andalucía;Nº explotaciones;Bovinos;5100;
Andalucía;Nº explotaciones;Ovinos;10174;
Andalucía;Nº explotaciones;Caprinos;7907;
Andalucía;Nº explotaciones;Porcinos;5324;
Andalucía;Nº explotaciones;Aves corral;1703;
Andalucía;Nº explotaciones;Conejas madre;81;
Andalucía;Nº explotaciones;Colmenas;895;
Andalucía;Cabezas;Equinos;7621;
Andalucía;Cabezas;Bovinos;547544;
Andalucía;Cabezas;Ovinos;2599418;
Andalucía;Cabezas;Caprinos;1070861;
Andalucía;Cabezas;Porcinos;2546709;
Andalucía;Cabezas;Aves corral;19753444;
Andalucía;Cabezas;Conejas madre;6543;
Andalucía;UGT;Colmenas;129536;
Andalucía;UGT;Equinos;46870;
Andalucía;UGT;Bovinos;391389;
Andalucía;UGT;Ovinos;259941,8;
Andalucía;UGT;Caprinos;107086,1;
Andalucía;UGT;Porcinos;645135,232;
Andalucía;UGT;Aves corral;213580,161;
Andalucía;UGT;Conejas madre;130,86;
Almería;Nº explotaciones;Bovinos;33;
Almería;Nº explotaciones;Ovinos;934;
Almería;Nº explotaciones;Caprinos;1160;
Almería;Nº explotaciones;Porcinos;198;
Almería;Nº explotaciones;Aves corral;195;
Almería;Nº explotaciones;Conejas madre;27;
Almería;Nº explotaciones;Colmenas;219;
Almería;Cabezas;Equinos;290;
Almería;Cabezas;Bovinos;1905;
Almería;Cabezas;Ovinos;197017;
Almería;Cabezas;Caprinos;167747;
Almería;Cabezas;Porcinos;463375;
Almería;Cabezas;Aves corral;923606;
Almería;Cabezas;Conejas madre;66;
Almería;UGT;Colmenas;31080;
Almería;UGT;Equinos;1125;
Almería;UGT;Bovinos;1469,7;
Almería;UGT;Ovinos;19701,7;
Almería;UGT;Caprinos;16774,7;
Almería;UGT;Porcinos;103788,534;
Almería;UGT;Aves corral;7216,906;
Almería;UGT;Conejas madre;1,32;
Abla;Nº explotaciones;Bovinos;1;
Abla;Nº explotaciones;Ovinos;4;
Abla;Nº explotaciones;Caprinos;5;
Abla;Nº explotaciones;Porcinos;1;
Abla;Nº explotaciones;Aves corral;2;
Abla;Nº explotaciones;Conejas madre;1;
Abla;Nº explotaciones;Colmenas;0;
Abla;Cabezas;Equinos;2;
Abla;Cabezas;Bovinos;9;
Abla;Cabezas;Ovinos;321;
Abla;Cabezas;Caprinos;482;
Abla;Cabezas;Porcinos;2;
Abla;Cabezas;Aves corral;19;
Abla;Cabezas;Conejas madre;2;
Abla;UGT;Colmenas;0;
Abla;UGT;Equinos;28;
Abla;UGT;Bovinos;6,2;
Abla;UGT;Ovinos;32,1;
Abla;UGT;Caprinos;48,2;
Abla;UGT;Porcinos;0,6;
Abla;UGT;Aves corral;0,242;
Abla;UGT;Conejas madre;0,04;
Abrucena;Nº explotaciones;Bovinos;0;
Abrucena;Nº explotaciones;Ovinos;4;
Abrucena;Nº explotaciones;Caprinos;7;
Abrucena;Nº explotaciones;Porcinos;0;
Abrucena;Nº explotaciones;Aves corral;0;
Abrucena;Nº explotaciones;Conejas madre;0;
Abrucena;Nº explotaciones;Colmenas;1;
Abrucena;Cabezas;Equinos;2;
Abrucena;Cabezas;Bovinos;0;
Abrucena;Cabezas;Ovinos;380;
Abrucena;Cabezas;Caprinos;1653;
Abrucena;Cabezas;Porcinos;0;
Abrucena;Cabezas;Aves corral;0;
Abrucena;Cabezas;Conejas madre;0;
Abrucena;UGT;Colmenas;86;
Abrucena;UGT;Equinos;4;
Abrucena;UGT;Bovinos;0;
Abrucena;UGT;Ovinos;38;
Abrucena;UGT;Caprinos;165,3;
Abrucena;UGT;Porcinos;0;
Abrucena;UGT;Aves corral;0;
Abrucena;UGT;Conejas madre;0;
Adra;Nº explotaciones;Bovinos;0;
Adra;Nº explotaciones;Ovinos;10;
Adra;Nº explotaciones;Caprinos;15;
